07_FEAR_001 いやだ……来ないで！私にそんな恐ろしいものを近付けないでお願い！
07_FEAR_060 あ、開かない！ドアに鍵なんてかかってないはずなのに、ビクともしないぞ！
07_FEAR_061 いやだ……来ないで！私にそんな血まみれの包丁を向けないでお願い！
07_FEAR_062 ひぃっ！あ、悪魔だ！本物の悪魔が地獄の業火と共に現れたんだ！
07_FEAR_063 た、助けてくれ！誰か、あいつの不気味な笑い声を俺の耳から消してくれぇ！
07_FEAR_064 嘘だろ……こんな異形の化け物相手に、俺たちの剣が通用するわけがない……！
07_FEAR_065 いやあああっ！窓の外に、首のない死体が立ってこっちを指差しているわ！
07_FEAR_066 こ、こっちに来るなああ！俺はなにも、その呪いの箱なんて開けていないんだっ！
07_FEAR_067 お、お願いです、命だけは、私のこの惨めな命だけはお助けくださいませ！
07_FEAR_068 ヒィッ！天井から無数のムカデが、こっちに向かってボトボト落ちてくる！
07_FEAR_069 そんな……私たちの平和な街が、一瞬で瓦礫の山に変わってしまうなんて。
07_FEAR_070 くるな……私に触らないで！その腐敗した手で触れられるくらいなら舌を噛んで死ぬわ。
07_FEAR_071 あ、あんな得体の知れない邪神に、たった数人の騎士で立ち向かうなど完全な狂気だ！
07_FEAR_072 だ、ダメだ、もう逃げ場がない……！あいつの重い足音、すぐドアの向こうまで来ている。
07_FEAR_073 ひぃぃっ！ドアの隙間から、黄色く濁った大きな目がジッとこっちを覗いてる！
07_FEAR_074 いやだ、いやだあああっ！あんな狭くて息の詰まる棺桶に生きたまま閉じ込めないでくれ！
07_FEAR_075 た、大佐……！レーダーに信じられないサイズの巨大な未確認生物が接近中です！
07_FEAR_076 うわあああっ！死体が……墓場から掘り起こされた死体が突然立ち上がったぞ！
07_FEAR_077 こ、怖いよぉ……お母さん、助けて……暗くて冷たくて何も見えないよぉ……。
07_FEAR_078 ああっ！私の絶対防御の結界が、あの呪いの前にはまるで紙切れ同然だなんて、嘘でしょ！？
07_FEAR_079 ヒッ……！う、後ろ……！あなたのすぐ後ろの暗闇に、血塗られた包丁を持った男が……！
07_FEAR_080 そんなバカな……神話にのみ語られる破壊神が、この現代の都市に降臨したというのか！
07_FEAR_081 こ、来ないでください……！私にはまだ、帰りをずっと待っている病気の妹がいるんです！
07_FEAR_082 いやああああっ！助けて、ズブズブと足首を底なしの泥沼に引きずり込まれるぅ！
07_FEAR_083 バカな！あの分厚い鋼鉄の防爆扉が、まるでクッキーのように簡単に引き裂かれていくぞ！
07_FEAR_084 ひぃぃっ！壁の絵の少女が、突然血の涙をポロポロ流してこっちを恨めしそうに睨みつけているわ！
07_FEAR_085 あ、あいつの濁った目は……完全にイカれてる。殺戮だけを至上の喜びとする狂人の目だ！
07_FEAR_086 た、助けて……こんな真っ暗闇の中で、見知らぬ誰かの冷たい息が私の耳元にかかっているの……！
07_FEAR_087 うわあああっ！俺の体が……左腕が硫酸を浴びたみたいにドロドロに溶け出して骨が見えてるっ！
07_FEAR_088 ヒィッ！やめろ、やめてくれ！もう爪を剥がされる痛いのは絶対に嫌だ！なんでも言う事を聞くから！
07_FEAR_089 そ、そんな……まさかこの広大な森全体が、無数の死体の養分で育った一つの食虫植物だったなんて……！
07_FEAR_090 いやああっ！鏡に映る本当の私が、私に向かって狂ったように不気味な笑い声をあげて近づいてくるわ！
07_FEAR_091 こ、ここから出せええっ！窒息して死ぬ！毒ガスで……空気がだんだん息苦しくなって肺が焼けちまう！
07_FEAR_092 や、やめて……！その錆びた巨大なハサミで、私のドレスと一緒に体を切り刻むのはやめてええっ！
07_FEAR_093 ひぃぃっ！お墓の地面から無数の白骨化した手がミミズみたいに伸びてきて、逃げようとする足首を……！
07_FEAR_094 バカな！私の生涯をかけた完璧な防御陣が、あの怪物のたった一睨みでガラスみたいに砕け散るなんて！
07_FEAR_095 こ、こっちを見るな……！その魂が抜け落ちた空洞のような真っ黒い目で私をじっと見つめないで！
07_FEAR_096 た、助けてくれ！誰もいない背後から、血塗られたチェーンソーの低いモーター音がどんどん近づいてくる！
07_FEAR_097 いやあああっ！この地下室の部屋……見渡す限り壁中がビッシリと蠢く巨大なゴキブリで覆い尽くされているわ！
07_FEAR_098 ヒッ……！お、俺は……俺はただ上官の命令に逆らえず従っただけなんだ！どうか俺だけは殺さないでくれ！
07_FEAR_099 そ、そんな……神様は私たちのような罪深き人間を完全に見捨てたというの？なんて真っ暗で絶望的な世界なの……。
07_FEAR_100 ああっ！猛毒のガスが……！防毒マスクがないんだ！息が、ゼイゼイして肺が焼け焦げるみたいに苦しい……！
07_FEAR_101 こ、怖いっ！さっきから鳴ってる雷の音が、まるでこの世界の天地そのものが裂けるみたいに爆音で怖いよぉ！
07_FEAR_102 いやだあああっ！あんな得体の知れないヘドロの化け物スライムに生きたまま飲み込まれて溶かされるなんて絶対にごめんだ！
07_FEAR_103 ば、化け物……！普通の美しい人間の姿をしているのに、首が180度後ろも曲がってこっちを見ているぞ！
07_FEAR_104 ヒィッ！ふ、布団の中に……！寝ている私の布団の中に、氷のように冷たい誰かの死人の手が入ってきてる……！
07_FEAR_105 助けてくれ！車のブレーキが、パニックでブレーキが全く踏んでも効かない！このままじゃ断崖絶壁の崖から真っ逆さまに落ちる！
07_FEAR_106 いやあああっ！どうして顔が……私の顔が、鏡の中でどんどん恐ろしい別人の老婆に変わっていくのよ怖い！
07_FEAR_107 こ、こっちに来るなああ！その返り血にまみれた巨大な斧を俺の首に向かって思い切り振り下ろすのはやめてくれ！
07_FEAR_108 そ、そんな……この呪われた恐怖の館から外に出る扉が、一つ残らず壁と完全に同化して跡形もなく消えてしまった！
07_FEAR_109 ヒィィッ！誰もいない真っ暗闇の奥から、死んだはずの赤ん坊の泣き声と狂った女性のすすり泣く声が確実に近づいて聞こえる……！
07_FEAR_110 あ、あいつの不気味な足音……確実にまっすぐこっちにむかって近づいてきてる！恐怖で心臓が今にも破裂して止まりそうだ！
07_FEAR_111 いやだ……！そんな恐ろしいおぞましい呪いの言葉、私の頭の脳内に直接響かせて発狂させないで！
07_FEAR_112 た、助けて……！大量の毒蛇が……何百何十匹ものウジャウジャした毒蛇が、足元から体を這い上がってくるっ！
07_FEAR_113 ば、馬鹿な！この街の平凡な住人が、全員操り人形のように不気味に目をひん剥いて笑ってこっちを見ているぞ！
07_FEAR_114 ヒッ……！み、真っ暗な水の中に……！誰もいない夜のプールの水底に、無数のバラバラの死骸が沈んでいる……！
07_FEAR_115 うわあああっ！トラップの天井が……トゲのついた天井が徐々に迫って下がってきて、このままじゃ完全にミンチに押し潰される！
07_FEAR_116 いやあああっ！私の大事なアカウントが……私の銀行口座も全てが、正体不明の誰かに完全にハッキングされて乗っ取られているわ！
07_FEAR_117 こ、怖いよぉ……！鍵をかけたはずのクローゼットの中から、誰かの爪でカリカリ引っ掻く生々しい音がするぅ！
07_FEAR_118 そ、そんな……私の放った必殺の矢が、全部ゴーストみたいにすり抜けてあいつの体に全く当たらないで消えるなんて！
07_FEAR_119 ヒィィッ！誰もいない夜中のテレビの砂嵐の中から、恐ろしい形相の怨念の悪霊がこっちに手を伸ばして引きずり込もうとしているっ！
07_FEAR_120 あ、開かない！ドアにオートロックの鍵なんて絶対にかかってないはずなのに、ノブが接着剤で固められたかのようにビクともしないぞ！
07_FEAR_121 いやだ……来ないで！私にそんな恐ろしい呪いの仮面を被せないでお願い！
07_FEAR_122 ひぃっ！あ、悪魔だ！絵本の中の悪魔が現実の世界に具現化したんだ！
07_FEAR_123 た、助けてくれ！誰か、あいつを俺の心の中から追い出してくれぇ！
07_FEAR_124 嘘だろ……こんな無敵の化け物相手に、俺たちの銃が効くわけがない……！
07_FEAR_125 いやあああっ！鏡の中に、昨日死んだはずの親友が立って泣いているわ！
07_FEAR_126 こ、こっちに来るなああ！俺はなにも、その禁忌の儀式なんて知らないんだっ！
07_FEAR_127 お、お願いです、命だけは、どうか私をこの洋館から出してくださいませ！
07_FEAR_128 ヒィッ！天井から無数の注射器が、こっちに向かって突き刺さってくる！
07_FEAR_129 そんな……私たちの星が、一瞬でブラックホールに飲み込まれてしまうなんて。
07_FEAR_130 くるな……私に触らないで！その呪われた血で汚れるくらいなら灰になった方がマシよ。
07_FEAR_131 あ、あんな得体の知れない宇宙生物に、たった一隻で立ち向かうなど玉砕だ！
07_FEAR_132 だ、ダメだ、もう逃げ隠れできない……！あいつのハサミの音、すぐカーテンの裏まで来ている。
07_FEAR_133 ひぃぃっ！ドアの隙間から、真っ赤に充血した大きな目がこっちを覗いてる！
07_FEAR_134 いやだ、いやだあああっ！あんな虫の湧いた冷たい土の中に生き埋めにしないでくれ！
07_FEAR_135 た、大佐……！レーダーに信じられない速度で接近するミサイル群が……！
07_FEAR_136 うわあああっ！死体が……解剖室の死体がメスを持っていきなり動き出したぞ！
07_FEAR_137 こ、怖いよぉ……お母さん、助けて……誰かが布団を引っ張ってるよぉ……。
07_FEAR_138 ああっ！私の究極の封印魔法が、一瞬で溶かされて破られるなんて、嘘でしょ！？
07_FEAR_139 ヒッ……！う、後ろ……！あなたのすぐ後ろの窓ガラスに、血まみれの手形が……！
07_FEAR_140 そんなバカな……ウイルスが変異して、ゾンビパンデミックが本当に起きたというのか！
07_FEAR_141 こ、来ないでください……！私にはまだ、どうしても果たさなきゃいけない約束があるんです！
07_FEAR_142 いやああああっ！助けて、ズブズブと体が呪いの沼に引きずり込まれるぅ！
07_FEAR_143 バカな！あの宇宙船の装甲が、まるで紙切れのように引き裂かれて宇宙空間に……！
07_FEAR_144 ひぃぃっ！壁の絵の人物が、私と同じ顔に変わってこっちをあざ笑っているわ！
07_FEAR_145 あ、あいつの目は……完全にイカれてる。自分の子供を食い殺す狂人の目だ！
07_FEAR_146 た、助けて……押し入れの中で、誰かの冷たい息が私の首筋にフッと……！
07_FEAR_147 うわあああっ！俺の体が……機械のウイルスに侵食されて、腕が歯車に変わっていくっ！
07_FEAR_148 ヒィッ！やめろ、やめてくれ！もう電気ショックは嫌だ！なんでも告白するから！
07_FEAR_149 そ、そんな……まさかこの館のメイド全員が、精巧に作られた殺人ロボットだったなんて……！
07_FEAR_150 いやああっ！鏡に映る私が、私に向かってナイフを振り上げているわ！
07_FEAR_151 こ、ここから出せええっ！窒息する！エレベーターの空気が……完全に止まってる！
07_FEAR_152 や、やめて……！その注射器で、私の記憶を消去するのはやめてええっ！
07_FEAR_153 ひぃぃっ！地面から無数のヒルが湧き出してきて、私の足首に……！
07_FEAR_154 バカな！私の完璧なステルス迷彩が、たった一睨みで見破られてしまうなんて！
07_FEAR_155 こ、こっちを見るな……！その空洞のような真っ黒い目で私の心を覗かないで！
07_FEAR_156 た、助けてくれ！背後から、不気味なピエロの笑い声が近づいてくる！
07_FEAR_157 いやあああっ！この部屋……壁中がビッシリと血文字の呪詛で埋め尽くされているわ！
07_FEAR_158 ヒッ……！お、俺は……俺はただボタンを押すよう命令されただけだ！殺さないでくれ！
07_FEAR_159 そ、そんな……神様は私たちを見捨てたというの？なんて残酷で絶望的な世界なの……。
07_FEAR_160 ああっ！呪いの毒霧が……！解毒剤がない！息が、ゼイゼイして血を吐いてしまう……！
07_FEAR_161 こ、怖いっ！地震の揺れが、まるで大地が真っ二つに裂けるみたいに大きくて怖いよぉ！
07_FEAR_162 いやだあああっ！あんな得体の知れない肉塊の化け物に飲み込まれるなんて絶対にごめんだ！
07_FEAR_163 ば、化け物……！人間の姿をしているのに、手がハサミに変わっているぞ！
07_FEAR_164 ヒィッ！ふ、布団の中に……！布団の中に、切断された誰かの生首が入ってる……！
07_FEAR_165 助けてくれ！パラシュートが、パラシュートが全く開かない！このままじゃ地面に激突する！
07_FEAR_166 いやあああっ！顔が……私の顔が、鏡の中でどんどん腐っていくわ！
07_FEAR_167 こ、こっちに来るなああ！その血にまみれたノコギリを俺に向かって振り回すな！
07_FEAR_168 そ、そんな……この廃病院から出る扉が、一つ残らずコンクリートで塞がれてしまった！
07_FEAR_169 ヒィィッ！暗闇の奥から、オルゴールの音と一緒にすすり泣く声が聞こえる……！
07_FEAR_170 あ、あいつの足音……確実にベッドの下まで近づいてきてる！心臓が破裂しそうだ！
07_FEAR_171 いやだ……！そんな恐ろしい解剖の計画、私の頭の中に直接響かせないで！
07_FEAR_172 た、助けて……！虫が……何十匹ものムカデが、服の下から這い上がってくるっ！
07_FEAR_173 ば、馬鹿な！この街の住人が、全員吸血鬼になってこっちを笑って見ているぞ！
07_FEAR_174 ヒッ……！み、水の中に……！井戸の水底に、女の人の顔がいくつも沈んでいる……！
07_FEAR_175 うわあああっ！プレス機が……プレス機の天井が徐々に下がってきて、このままじゃ押し潰される！
07_FEAR_176 いやあああっ！私の脳が……私の意識が、誰かに乗っ取られて消えていくわ！
07_FEAR_177 こ、怖いよぉ……！ベッドの下から、誰かの包丁を研ぐカリカリって音がするぅ！
07_FEAR_178 そ、そんな……私の放った銃弾が、全部すり抜けてあいつに全く効かないなんて！
07_FEAR_179 ヒィィッ！スマートフォンの画面から、貞子みたいな悪霊がこっちに手を伸ばしているっ！
07_FEAR_180 あ、開かない！車のドアに鍵なんてかかってないはずなのに、ビクともしないぞ外にはゾンビが！
07_FEAR_181 いやだ……！もうこれ以上、暗くてジメジメした地下室に私を閉じ込めないで！
07_FEAR_182 ひぃっ！あ、悪魔だ！生贄を求めて地獄の底から本物の悪魔が這い上がってきたんだ！
07_FEAR_183 た、助けてくれ！誰か、あの無数の黒い影の群れを俺の視界から遠ざけてくれぇ！
07_FEAR_184 嘘だろ……こんな絶対に倒せない化け物相手に、俺たちが生きて地上に帰れるわけがない……！
07_FEAR_185 いやあああっ！振り返ったら、血まみれの包丁を持ったピエロが立っているわ！
07_FEAR_186 こ、こっちに来るなああ！俺はなにも、その呪いの本なんて読んでいないんだっ！
07_FEAR_187 お、お願いです、命だけは、私の惨めな命だけはどうかお助けくださいませ神様！
07_FEAR_188 ヒィッ！天井から無数の毒蜘蛛が、こっちに向かって糸を引いて落ちてくる！
07_FEAR_189 そんな……私たちの砦が、一瞬で炎の海に包まれて全滅してしまうなんて。
07_FEAR_190 くるな……私に触らないで！その腐った手で触れられるくらいなら毒を飲んで死んだ方がマシよ。
07_FEAR_191 あ、あんな未知の巨大生物に、たった数人の歩兵で立ち向かうなど完全な自殺行為だ！
07_FEAR_192 だ、ダメだ、もう逃げ道がない……！あいつのズリズリ引きずる足音、すぐそこまで来ている。
07_FEAR_193 ひぃぃっ！ドアのわずかな隙間から、ギョロリとした大きな無数の目がこっちを覗いてる！
07_FEAR_194 いやだ、いやだあああっ！あんな暗くて恐ろしい地下牢に二度と閉じ込めないでくれ！
07_FEAR_195 た、大将……！レーダーに信じられない数の巨大なエイリアンの敵影が接近中です！
07_FEAR_196 うわあああっ！死体が……棺おけの中の死体が突然目を見開いて動き出したぞ！
07_FEAR_197 こ、怖いよぉ……お母さん、助けて……押し入れの奥が暗くて誰もいないのに声がするよぉ……。
07_FEAR_198 ああっ！私の一生をかけた究極呪文が、完全に防がれて通用しないなんて、嘘でしょ！？
07_FEAR_199 ヒッ……！う、後ろ……！あなたのすぐ後ろの暗がりに、斧を構えた大男が……！
07_FEAR_200 そんなバカな……伝説のおとぎ話に語り継がれる魔神が、現代の世界に蘇ったというのか！
