05_SURPRISE_001 えっ！？こんなところに隠し扉があったなんて、全然気付かなかったよ！
05_SURPRISE_045 嘘だろ！？あのいつも怒ってばかりの鬼教官が、実は動物好きだったなんて！
05_SURPRISE_046 ひえっ！夜中にトイレに行こうとしたら、廊下に真っ白な影がいて腰が抜けたよ！
05_SURPRISE_047 なんと！この壁画の模様が、地図の道順と完全に一致しているとは……！
05_SURPRISE_048 ええっ！？この料理、見た目はすっごく辛そうなのに、食べると甘いなんて不思議！
05_SURPRISE_049 うわっ！？空から突然、大きな隕石が降ってくるなんて信じられないぜ！
05_SURPRISE_050 まさか……この私が、こんな下級の魔法使いに後れを取るなんて信じられん！
05_SURPRISE_051 えっ！？お前、そんな可愛い趣味を持っていたなんて、人は見かけによらないな！
05_SURPRISE_052 なんだと！？この城の地下に、これほど巨大な迷宮が隠されていたというのか！
05_SURPRISE_053 うそっ！この古い鏡に、急に見知らぬ人の顔が映って心臓が飛び出るかと思った！
05_SURPRISE_054 おおっ！まさかこんな偶然で、何年も探し求めていたあの素材が手に入るとは！
05_SURPRISE_055 ええーっ！？この大きなお城、全部チョコレートで作られているなんて信じられない！
05_SURPRISE_056 うわっ！？箱を開けたら、中からおもちゃの蛇が飛び出してきて本気で驚いたぜ！
05_SURPRISE_057 そんなバカな！あの堅固な城壁が、たった一晩で破られるなんてあり得ない！
05_SURPRISE_058 えっ！？あんなに怒っていたお父さんが、このケーキを一口食べただけで笑顔に！？
05_SURPRISE_059 まさか……あの伝説のドラゴンが、こんな小さな姿になっていたなんて驚きだわ。
05_SURPRISE_060 ええっ！？この本、白紙だと思っていたのに火に炙ると文字が浮かび上がるなんて！
05_SURPRISE_061 うそだろ！？あのいつもクールな先輩が、アイドルのライブで泣き崩れていただとぉ！？
05_SURPRISE_062 おおっ！こんな仕掛けが……！壁のスイッチを押すと、階段が滑り台になるのか！
05_SURPRISE_063 えっ！？私の書いた絵が、コンクールで金賞に選ばれるなんて……夢みたい！
05_SURPRISE_064 なんだって！？この村の住人が、実は全員ロボットだったなんて信じられないぞ！
05_SURPRISE_065 うわっ！？いきなり背後から肩を叩かないでくれ！泥棒かと思って焦ったじゃないか！
05_SURPRISE_066 そんな……！あんなに強かった魔王が、こんなあっけなく倒されてしまうなんて！
05_SURPRISE_067 ええーっ！？今日から急に学校が休みになるなんて、もっと早く言ってよぉ！
05_SURPRISE_068 まさか、あのポンコツロボットが、世界を救う鍵を握っていたなんて誰も思わないよ。
05_SURPRISE_069 えっ！？この古い指輪、はめたら急に喋り出すなんて、ホントびっくりしたわ！
05_SURPRISE_070 うそっ！この洞窟、奥に進むほど重力が軽くなるなんて、どういう原理なんだ！？
05_SURPRISE_071 おおっ！まさかこのガラクタの山から、こんな凄い設計図が見つかるとは！
05_SURPRISE_072 ええっ！？この不思議なキャンディ、食べると一日中空を飛べるようになるの！？
05_SURPRISE_073 うわっ！？テレビを見てたら、急に画面から貞子みたいなのが出てきて死ぬかと思った！
05_SURPRISE_074 なんだと！？この国の王様が、実はただの操り人形でしかなかったというのか！
05_SURPRISE_075 えっ！？あのいつも無口なマスターが、昔は伝説のロッカーだったなんてかっこいい！
05_SURPRISE_076 うそっ！この壺、一億円もするの！？絶対割れないように気をつけなきゃ！
05_SURPRISE_077 そんなバカな……！あの時、確かに助けたはずの町が、一瞬で消えるなんて！
05_SURPRISE_078 ええっ！？あの子、こんなにも凄い魔法を隠し持っていたなんて驚きだわ。
05_SURPRISE_079 うわぁ！急にカエルが降ってくる魔法なんて、聞いてないよぉ！
05_SURPRISE_080 なんだって！？この遺跡の文字、全部逆さまに読めば意味が通じるというのか！
05_SURPRISE_081 まさか……あの敵のボスが、実は昔の親友だったなんて信じたくない……！
05_SURPRISE_082 えっ！？この不思議なきのこ、食べたら身体が小さくなっちゃったよ！
05_SURPRISE_083 うそだろ！？あのオンボロ車が、空を飛ぶ機能まで付いていたなんてな！
05_SURPRISE_084 おおっ！この宝箱の中から、さらに小さな宝箱が出てくるとは面白い！
05_SURPRISE_085 ええーっ！？私が一番好きだったアイドルが、まさか結婚発表するなんて！
05_SURPRISE_086 うわっ！？部屋の電気をつけたら、壁一面にクモの巣が張っててビビったぜ！
05_SURPRISE_087 そんな……！この最強の盾が、たった一撃で粉々に砕け散るなんて！
05_SURPRISE_088 えっ！？あんなに怒っていた先生が、犬を見た瞬間にデレデレになるなんて！
05_SURPRISE_089 まさか……あの静かな森の奥に、これほど巨大な機械帝国が隠されていたとは。
05_SURPRISE_090 ええっ！？このスープ、緑色なのに飲むとイチゴの味がするなんてびっくり！
05_SURPRISE_091 うそっ！あのテストで赤点ばかりだった彼が、見事に満点を取るなんて！？
05_SURPRISE_092 なんだって！？この伝説の剣、抜いた者にしか見えない仕組みになっていたのか！
05_SURPRISE_093 ええーっ！？今日から急にダイエットするって言ったのに、もうケーキ食べてるの！？
05_SURPRISE_094 うわっ！？いきなり肩を叩かれて振り返ったら、全くの別人だったから驚いたよ！
05_SURPRISE_095 そんなバカな！あの強固な結界が、ただの石ころ一つで破られるなんて！
05_SURPRISE_096 まさか、君がこの計画を最初から全て見抜いていたなんて、思いもしなかったな。
05_SURPRISE_097 えっ！？この古いオルゴール、壊れてるはずなのに急に鳴り出すなんて怖いよ！
05_SURPRISE_098 うそだろ！？あのいつもクールな彼女が、お化け屋敷で大泣きしてるなんて！
05_SURPRISE_099 おおっ！まさかこの迷宮の最深部に、温泉が湧き出しているとは想定外だ！
05_SURPRISE_100 ええーっ！？私が育てたチューリップ、花びらが虹色になるなんてすっごく綺麗！
05_SURPRISE_101 うわっ！？箱を開けたら、中からおもちゃのパンチグローブが飛び出してきて顎に当たった！
05_SURPRISE_102 なんだと！？この国の歴史書、半分以上が後世の捏造だったというのか！
05_SURPRISE_103 えっ！？あのいつも無愛想なシェフが、子供にはすごく優しく笑うなんて意外！
05_SURPRISE_104 まさか……この私が、こんな初歩的な罠に二度も引っかかってしまうなんて……！
05_SURPRISE_105 ええっ！？この不思議なキャンディ、食べると髪の毛の色がピンクになるの！？
05_SURPRISE_106 えっ！？この猫、二足歩行で歩いてるどころか、日本語まで喋り出したぞ！
05_SURPRISE_107 うそっ！私の部屋のクローゼットが、異世界に繋がっていたなんて信じられない！
05_SURPRISE_108 マジかよ！あのボロボロの古時計、時を戻す魔法のアイテムだったのか！
05_SURPRISE_109 おおっ！まさかこんな砂漠のど真ん中に、巨大なオアシス都市が存在していたとは！
05_SURPRISE_110 ええっ！？このお水、ただの水道水だと思ったら最高級のワインの味がするわ！
05_SURPRISE_111 はあっ！？お前、その細腕で、どうやってあの巨大な岩礁を持ち上げたんだ！？
05_SURPRISE_112 あら！こんな氷点下の雪山に、南国のフルーツが実っているなんて奇跡的ね。
05_SURPRISE_113 なんだって！？この村の住人は、全員が何百年も生きている不死身だというのか！
05_SURPRISE_114 うわっ！？寝てたら急にベッドが宙に浮き始めて、天井にぶつかるかと思った！
05_SURPRISE_115 ええーっ！この可愛いウサギちゃん、怒るとライオンみたいに吠えるなんて怖いよ！
05_SURPRISE_116 まさか……この私が、こんな見え透いたおぞましい罠に足を踏み入れるなんて……！
05_SURPRISE_117 ひえっ！急に甲冑が一人でに歩き出すなんて、ホラー映画じゃないんですから！
05_SURPRISE_118 おいおい嘘だろ！？このオンボロ自転車で、新幹線より速く走れるって言うのか！？
05_SURPRISE_119 うそ！？あのアカデミーの落ちこぼれが、まさか伝説の魔法使いの生まれ変わりだったなんて！
05_SURPRISE_120 おおおっ！こんな見事な演奏、宮廷の専属楽団でもなかなかお目にかかれないぞ！
05_SURPRISE_121 えっ！？このボタンを押したら、家中が泡だらけになるなんて誰も言ってないよ！
05_SURPRISE_122 なんですって！？今日のお肉が全部消しゴムにすり替えられていただですって！？
05_SURPRISE_123 わあっ！急に冷蔵庫からペンギンが飛び出してきて、床が水浸しになっちゃったぁ！
05_SURPRISE_124 まさか……あの温厚な神父様が、裏社会のドンだったとはな。完全に騙されたよ。
05_SURPRISE_125 なんだと！？この俺の最強の剣撃を、ただの木の枝で防がれるなんて！
05_SURPRISE_126 へえっ！？この変な草、熱湯に入れると甘いチョコレートの香りがしてきたよ！
05_SURPRISE_127 嘘でしょ！？あんなに綺麗だったお姫様が、実は一つ目の魔物だったなんて信じられない……。
05_SURPRISE_128 ええっ、君がそんな過激な思想を持っていたなんて、全くの予想外で驚いたよ。
05_SURPRISE_129 おおっ！？この火山の火口に、こんなにも巨大な氷の結晶が存在していたとは！
05_SURPRISE_130 わっ！？急に絵画から手が伸びてきて、足首を掴まれて本気で泣きそうになったよ！
05_SURPRISE_131 嘘……私の究極魔法が、ただの結界ひとつに弾き返されるなんて、あり得ないわ！？
05_SURPRISE_132 えっ！？お前、その短時間でどうやって世界中を一周してきたって言うんだ！？
05_SURPRISE_133 そんなバカな！私の完璧な要塞が、たった一羽の鳥によって崩壊するなんて……！
05_SURPRISE_134 なんと！この古文書の図形が、未来の星空の配置を正確に予測していたとは驚きです！
05_SURPRISE_135 えええっ！？私のお気に入りの靴、歩くたびにカエルの鳴き声がするようになってる！？
05_SURPRISE_136 うわっ！お風呂場に入ったら、バスタブいっぱいにスライムが詰まっててびっくりしたぜ！
05_SURPRISE_137 まさか……君の方からそんな危険な取引を持ちかけてくるなんて思いもしなかったな。
05_SURPRISE_138 えっ！？あんなに嫌いだった数学が、このパズルゲームならスラスラ解けるなんて！
05_SURPRISE_139 うそっ！この髪飾りの色、私の感情に合わせて変わる魔法がかけられていたのね！
05_SURPRISE_140 マジか！あいつの打ったシュート、ゴールポストを粉砕してネットを突き破ったぞ！
05_SURPRISE_141 なんだって！？あの無敵の魔将軍が、ただの村人に一撃で倒されたというのか！
05_SURPRISE_142 ええっ！？私が植えたサボテン、一日で家を突き破るくらい大きくなるなんてびっくり！
05_SURPRISE_143 あら！こんな砂漠の地下深くに、これほど立派な図書館が埋もれていたとは！
05_SURPRISE_144 おおっ！まさかこの錆びた鉄くずが、伝説の飛空艇のエンジンだったなんて驚きだ！
05_SURPRISE_145 えっ！？校長先生が昔、宇宙海賊のキャプテンだったなんて信じられないですよ！
05_SURPRISE_146 うわっ！？教科書を開いたら、大量の蝶々が飛び出してきて教室がパニックになった！
05_SURPRISE_147 そんな……！あんなに複雑な迷宮のトラップが、ただのパズルだったなんて！
05_SURPRISE_148 まさか、君がこの奇跡の薬をたった一人で開発完成させていたなんて、驚愕だよ……。
05_SURPRISE_149 ええーっ！？私がずっと探していたあの幻の宝石、お母さんの指輪だったの！？
05_SURPRISE_150 嘘だろ！？あのいつもポーカーフェイスの彼が、お化け屋敷で気絶しちまうなんて！
05_SURPRISE_151 ひえっ！夜中に水を飲もうとしたら、冷蔵庫の中に宇宙人がいて腰が抜けたよ！
05_SURPRISE_152 なんと！この無作為に見える星の配置が、巨大な魔法陣を形成しているとは……！
05_SURPRISE_153 ええっ！？この激辛ラーメン、火を吹きそうに辛いのに、なぜかすごく甘いなんて不思議！
05_SURPRISE_154 うわっ！？海で泳いでいたら、突然足下から巨大なクジラが浮上してくるなんて信じられないぜ！
05_SURPRISE_155 まさか……この私が、こんな見習いレベルの幻術に完全に騙されるなんて信じられん！
05_SURPRISE_156 えっ！？お前、そんな可愛いキャラの弁当を毎日自分で作っていたなんて、意外すぎるぞ！
05_SURPRISE_157 なんだと！？この平凡な山村の地下に、これほど高度な古代文明の遺跡が眠っていたというのか！
05_SURPRISE_158 うそっ！この鏡に映った自分の顔が、急に老けたおばあちゃんになってるなんて心臓が止まるかと思った！
05_SURPRISE_159 おおっ！まさかこんな何気ない路地裏で、伝説の鍛冶屋の最高傑作が売られているとは！
05_SURPRISE_160 ええーっ！？この大きなお城、全部発泡スチロールで作られたセットだったなんて信じられない！
05_SURPRISE_161 うわっ！？プレゼントの箱を開けたら、中から大量のカブトムシが飛び出してきて本気で驚いたぜ！
05_SURPRISE_162 そんなバカな！あの絶対に破れない壁が、たった一本の針で粉砕されるなんてあり得ない！
05_SURPRISE_163 えっ！？あんなに泣いていた赤ちゃんが、この変顔を一つ見せただけで大爆笑するなんて！？
05_SURPRISE_164 まさか……あの凶悪な魔獣が、実はおとなしい草食動物だったなんて驚きだわ。
05_SURPRISE_165 ええっ！？この本、白紙だと思っていたのに水に濡らすと地図が浮かび上がるなんて！
05_SURPRISE_166 うそだろ！？あのいつもクールな生徒会長が、特撮ヒーローのショーで大興奮していたなんて！？
05_SURPRISE_167 おおっ！こんな仕掛けが……！本棚の特定の本を引くと、奥の隠し部屋が開くのか！
05_SURPRISE_168 えっ！？私の適当に書いたポエムが、有名な雑誌に掲載されるなんて……夢みたい！
05_SURPRISE_169 なんだって！？この村の住人が、実は全員宇宙から来た異星人だったなんて信じられないぞ！
05_SURPRISE_170 うわっ！？いきなり背後からくすぐらないでくれ！エイリアンに襲われたかと思って焦ったじゃないか！
05_SURPRISE_171 そんな……！あんなに強かったドラゴンが、風邪をこじらせて倒れてしまうなんて！
05_SURPRISE_172 ええーっ！？今日から急に宇宙旅行に行くことになるなんて、パスポート持ってないよぉ！
05_SURPRISE_173 まさか、あのポンコツ車が、実は最新鋭のスーパーテクノロジーで動いていたなんて誰も思わないよ。
05_SURPRISE_174 えっ！？この古い指輪、はめたら急に関西弁を喋り出すなんて、ホントびっくりしたわ！
05_SURPRISE_175 うそっ！この洞窟、奥に進むほど時間が早く進むなんて、どういう原理なんだ！？
05_SURPRISE_176 おおっ！まさかこのゴミ箱から、こんな貴重な古文書が見つかるとは！
05_SURPRISE_177 ええっ！？この不思議なキャンディ、食べると一日中動物と話せるようになるの！？
05_SURPRISE_178 うわっ！？テレビを見てたら、急に画面から大群の手が伸びてきて死ぬかと思った！
05_SURPRISE_179 なんだと！？この国の王様が、実はロボットの影武者でしかなかったというのか！
05_SURPRISE_180 えっ！？あのいつも寡黙なマスターが、昔は伝説の落語家だったなんて面白すぎる！
05_SURPRISE_181 嘘でしょ！？こんな砂漠のど真ん中で、雪が降ってくるなんて信じられないわ！
05_SURPRISE_182 マジかよ！あのボロボロの自転車、実は空を飛べるスーパーマシンだったのか！
05_SURPRISE_183 おおっ！まさかこの遺跡の壁画が、未来の出来事を予言していたなんて驚きだ！
05_SURPRISE_184 ええっ！？この水、ただの泥水だと思ったら最高級のスープの味がするわ！
05_SURPRISE_185 はあっ！？お前、その短時間で、どうやって大陸を一周してきたんだ！？
05_SURPRISE_186 あら！こんな氷点下の雪山に、温泉が湧き出ているなんて奇跡的ね。
05_SURPRISE_187 なんだって！？この村の犬たちは、全員が人の言葉を理解しているというのか！
05_SURPRISE_188 うわっ！？寝てたら急にベッドが沈み始めて、地下室に落ちるかと思った！
05_SURPRISE_189 ええーっ！この可愛いペンギンちゃん、怒ると火を吹くなんて怖いよ！
05_SURPRISE_190 ひえっ！急に甲冑が一人でに走り出すなんて、ホラー映画じゃないんですから！
05_SURPRISE_191 おいおい嘘だろ！？このオンボロ車で、Ｆ１レーサーより速く走れるって言うのか！？
05_SURPRISE_192 うそ！？あのアカデミーの落ちこぼれが、まさか世界を救う勇者だったなんて！
05_SURPRISE_193 おおおっ！こんな見事な歌声、宮廷の専属歌手でもなかなかお目にかかれないぞ！
05_SURPRISE_194 えっ！？このボタンを押したら、家中がスライムだらけになるなんて誰も言ってないよ！
05_SURPRISE_195 なんですって！？今日のお肉が全部豆腐にすり替えられていただですって！？
05_SURPRISE_196 わあっ！急に冷蔵庫からホッキョクグマが飛び出してきて、床が凍り付いちゃったぁ！
05_SURPRISE_197 まさか……あの温厚な校長先生が、裏社会のドンだったとはな。完全に騙されたよ。
05_SURPRISE_198 なんだと！？この俺の最強の魔法を、ただの木の盾で防がれるなんて！
05_SURPRISE_199 へえっ！？この変な草、水に入れると甘いイチゴの香りがしてきたよ！
05_SURPRISE_200 嘘でしょ！？あんなに綺麗だったお城が、実は巨大な魔物だったなんて信じられない……。
