03_SAD_001 どうして……私があんなに信じていたのに、嘘だったなんて……。
03_SAD_032 私がいなければ、あなたはこんなに苦しむことはなかったのに……。
03_SAD_033 あの綺麗な夕日を、もう一度だけ一緒に見たかったな……。
03_SAD_034 いつかまた、あの約束の丘で会えると信じていたのですが……。
03_SAD_035 ……もう二度と、私の前に姿を現さないでちょうだい。
03_SAD_036 ……さようなら。もう二度と、君と顔を合わせることはないだろう。
03_SAD_037 嘘だと言ってくれよ！あいつが死んだなんて、そんなの嘘だ！
03_SAD_038 信じられないわ……あんなに元気だった人が、突然亡くなるなんて……。
03_SAD_039 ごめんなさい、私……やっぱりこの道は進めそうにないんです……。
03_SAD_040 すまない。オレには、プレッシャーにもうこれ以上耐えられない……。
03_SAD_041 あんなに練習したピアノの発表会、間違えちゃった……。
03_SAD_042 こんな手応えで剣を打つなんて……私の腕もここまでか……。
03_SAD_043 もう誰も、私の言葉なんて信じてくれないんだわ……。
03_SAD_044 どうせ、俺の歌なんて誰の心にも届かないんだろうな……。
03_SAD_045 冷たい雨ですね……まるで、私の心を映しているかのようです。
03_SAD_046 雨が降っているな……俺たちの別れを悲しんでいるみたいだ。
03_SAD_047 結局、私はあの人にとってその程度の存在だったんだね……。
03_SAD_048 俺のことなんて、どうせ遊び仲間の一人としか思ってなかったんだな。
03_SAD_049 あんなに大切にしてくれてたのに……本当にごめんなさい……。
03_SAD_050 せっかく期待してくれたのにな。ごめんな、先生……。
03_SAD_051 私だけが生き残ってしまったなんて……何の意味があるの……。
03_SAD_052 俺一人が助かっても……仲間がいなきゃ何の価値もないじゃないか……。
03_SAD_053 もう頑張れないよ……いくらやっても全然だめなんだ……。
03_SAD_054 どんなに魔法を唱え続けても、届かないものは届かないのよ……。
03_SAD_055 あれほど立派だった城が、一夜にして瓦礫の山に変わるとは……。
03_SAD_056 この花壇のバラも、とうとう全て枯れ果ててしまった……。
03_SAD_057 誰も分かってくれない……私だけが、ずっと一人ぼっちなんだ……。
03_SAD_058 俺のこの苦しみなんて、誰にも理解できるわけがないんだよ……。
03_SAD_059 私が作ったこの料理、一度だけでいいから食べてほしかったな……。
03_SAD_060 この剣を彼に渡す日は、もう永遠にやって来ないのか……。
03_SAD_061 先生……どうして私を置いて、一人で逝ってしまったのですか……。
03_SAD_062 師匠……俺はこれから、どう生きていけばいいって言うんだ……。
03_SAD_063 せっかく楽しみにしていたのに、雨でピクニックが中止だなんて……。
03_SAD_064 あのお祭りの日、約束した場所でずっと待っていたのにな……。
03_SAD_065 こんな結末を迎えるくらいなら、出会わなければよかった……！
03_SAD_066 これで全て終わりだ。君との日々も、俺の夢も……。
03_SAD_067 どうして……よりによって一番信頼していた君が……。
03_SAD_068 まさかあなたが裏切り者だったなんて……信じたくない……。
03_SAD_069 どれだけ歩き続けても、光なんてどこにも見えないわ……。
03_SAD_070 この暗い森を抜ける道は、俺たちにはもう見つけられないんだ……。
03_SAD_071 私の魔法が弱かったせいで……みんなを守れなかった……。
03_SAD_072 俺の剣が鈍っていたばかりに、お前を助けられなかった……。
03_SAD_073 ……何をやっても上手くいかなくて、もう嫌になっちゃった……。
03_SAD_074 ……いくら俺が努力したところで、才能には勝てないんだな……。
03_SAD_075 大好きなぬいぐるみだったのに、腕がちぎれちゃったよ……。
03_SAD_076 せっかく買ったお気に入りのおもちゃ、壊してしまった……。
03_SAD_077 こんなになるまで、君はずっと一人で苦しんでいたんだね……。
03_SAD_078 お前がそこまで思い詰めていただなんて、気付いてやれなかった……。
03_SAD_079 誰も私の声なんて聞いてくれないのよ……。いつだってそう……。
03_SAD_080 俺の言葉なんて、どうせ誰にも届きやしないんだよ……。
03_SAD_081 あの日、もうちょっとだけ優しくしてあげればよかったな……。
03_SAD_082 ……もしあの時、無理にでも引き留めていたら……。
03_SAD_083 この指輪に込められた想いも、もう届くことはないのですね……。
03_SAD_084 あの人がくれたこのペンダント、もう意味を持たないんだ……。
03_SAD_085 ずっと楽しみにしていた旅行だったのに、パパが仕事で行けないなんて……。
03_SAD_086 今日みんなで遊ぶ約束だったのに、俺だけ置いてけぼりかよ……。
03_SAD_087 私がもっと早く真実に気付いていれば、こんなことには……。
03_SAD_088 俺の判断が遅れたせいで、取り返しのつかないことになった……。
03_SAD_089 ああ……せっかく描いた絵が、雨に濡れて滲んじゃった……。
03_SAD_090 一生懸命作ったクッキー、全部焦げて食べられなくなっちゃった……。
03_SAD_091 こんな思いをするくらいなら、誰のことも好きになりたくなかった。
03_SAD_092 もう誰も信じない。信じても、裏切られて傷つくだけだから……。
03_SAD_093 さようなら……あなたと過ごした日々は、本当に幸せでした……。
03_SAD_094 さらばだ。お前たちと過ごした時間は、決して忘れない……。
03_SAD_095 どうして、いつも私だけがこんなに辛い思いをしなきゃならないの……。
03_SAD_096 俺の人生なんて、どうせろくな終わり方しないんだろうな……。
03_SAD_097 ごめんな……俺が力不足だったから、みんなを守れなかった……。
03_SAD_098 本当にごめんなさい。私がいたら、足手まといになるだけなのです……。
03_SAD_099 あんなに大切にしてもらったのに、恩返しの一つもできないなんて……。
03_SAD_100 師匠に教えてもらったことを、何一つ活かすことができなかった……。
03_SAD_101 みんなの期待を背負っていたのに、最後で失敗しちゃったよ……。
03_SAD_102 私の歌は、誰の心も癒すことができなかったのね……。
03_SAD_103 あの時にもう少し勇気があったら、結果は違っていたのかな……。
03_SAD_104 いくら後悔しても、もうあの人は帰ってこないんだ……。
03_SAD_105 もうこの剣もボロボロだ……。俺の心と同じで、もう戦えないよ……。
03_SAD_106 私の魔法杖、あの戦いで折れてしまったの……もう直らないわ……。
03_SAD_107 いつかまた、あなたと一緒にこの場所を訪れたかったです……。
03_SAD_108 いつか、お前と一緒に美味い酒を飲むのが俺の夢だったのにな……。
03_SAD_109 どうして神様は、こんなにも残酷な運命ばかりを強いるのだろうか。
03_SAD_110 なんの罪もない人々が苦しむ姿を見るのは、本当に胸が痛むよ……。
03_SAD_111 あのおじいさん、いつも優しくしてくれたのに……もういないなんて。
03_SAD_112 あの老兵には、俺も随分と世話になったからなぁ……寂しくなるぜ。
03_SAD_113 せっかく見つけた宝の地図も、もう何の意味も持たないただの紙切れだ……。
03_SAD_114 必死に手に入れた魔導書も、あの人がいなければ何の意味もないわ……。
03_SAD_115 俺に力がないばかりに、また大事なものを失ってしまった……。
03_SAD_116 私に才能があれば……あの子を絶望から救い出せたかもしれないのに……。
03_SAD_117 ……ごめんね、私、もうどうしても涙が止まらないの……。
03_SAD_118 ……悪い、ちょっと一人にしてくれないか。今は誰とも話したくないんだ……。
03_SAD_119 こんな結末を迎えるなら、最初から旅に出るんじゃなかった……。
03_SAD_120 こんな悲しい思いをするのなら、冒険者になんてならなければよかった……。
03_SAD_121 あなただけは、ずっと私の味方でいてくれると信じていたのに……。
03_SAD_122 お前だけは、どんな時も俺の背中を預けられる親友だと思っていたのにな……。
03_SAD_123 誰も私の苦しみを理解してくれないのね……。所詮、人は孤独なのよ……。
03_SAD_124 誰一人として、俺の言葉に耳を傾けてくれはしないんだな……。
03_SAD_125 あの日、もうちょっとだけ素直に「ありがとう」って言えばよかったな……。
03_SAD_126 あの時、意地を張らずにごめんと謝っていれば……こんなことには……。
03_SAD_127 冷たい風が、私の心の隙間を吹き抜けていくみたいで……寂しいです……。
03_SAD_128 この降りしきる雨が、俺の心の痛みまですべて洗い流してくれればいいのに……。
03_SAD_129 ……そうか。私の考えは、根本から間違っていたというわけですね……。
03_SAD_130 ……そうか。俺の選択は、最初から全て間違っていたんだな……。
03_SAD_131 あんなに大切にしてくれていたのに……本当にごめんなさい……。
03_SAD_132 せっかく期待してくれていたのにな。ごめんな、先生……。
03_SAD_133 私だけが生き残ってしまったなんて……何の意味があるというの……。
03_SAD_134 あれほど立派だった城が、一夜にして瓦礫の山に変わるとは……無念だ……。
03_SAD_135 この花壇のバラも、とうとう全て散ってしまったのですね……。
03_SAD_136 私の魔法が弱かったせいで……みんなを守れなかった……ごめんなさい……。
03_SAD_137 俺の剣が鈍っていたばかりに、お前を助けられなかった……済まない……。
03_SAD_138 お前がそこまで思い詰めていただなんて、俺は気付いてやれなかった……。
03_SAD_139 俺の言葉なんて、どうせ誰にも届きやしないんだよ……俺なんて……。
03_SAD_140 ……もしあの時、無理にでも引き留めていたら……結果は変わっていたのか……。
03_SAD_141 この指輪に込められた想いも、もう届くことはないのですね……悲しいです……。
03_SAD_142 あの人がくれたこのペンダント、もう意味を持たないんだ……虚しいよな……。
03_SAD_143 今日みんなで遊ぶ約束だったのに、俺だけ置いてけぼりかよ……ずるいな……。
03_SAD_144 私がもっと早く真実に気付いていれば、こんなことにはならなかったのに……。
03_SAD_145 俺の判断が遅れたせいで、取り返しのつかないことになった……俺のせいだ……。
03_SAD_146 ああ……せっかく描いた絵が、雨に濡れて滲んじゃった……せっかくの絵が……。
03_SAD_147 一生懸命作ったクッキー、全部焦げて食べられなくなっちゃった……悲しいな……。
03_SAD_148 こんな思いをするくらいなら、誰のことも好きになりたくなかった……。
03_SAD_149 もう誰も信じない。信じても、裏切られて傷つくだけだから……もうたくさんだ……。
03_SAD_150 さようなら……あなたと過ごした日々は、本当に幸せでした……ありがとう……。
03_SAD_151 さらばだ。お前たちと過ごした時間は、決して忘れない……元気でな……。
03_SAD_152 どうして、いつも私だけがこんなに辛い思いをしなきゃならないの……なんで……。
03_SAD_153 俺の人生なんて、どうせろくな終わり方しないんだろうな……わかってるさ……。
03_SAD_154 ごめんな……俺が力不足だったから、みんなを守れなかった……本当にごめん……。
03_SAD_155 本当にごめんなさい。私がいたら、足手まといになるだけなのです……迷惑をかけて……。
03_SAD_156 あんなに大切にしてもらったのに、恩返しの一つもできないなんて……悔しいよ……。
03_SAD_157 師匠に教えてもらったことを、何一つ活かすことができなかった……不甲斐ない……。
03_SAD_158 みんなの期待を背負っていたのに、最後で失敗しちゃったよ……みんなごめん……。
03_SAD_159 私の歌は、誰の心も癒すことができなかったのね……やっぱり、私じゃだめなのね……。
03_SAD_160 あの時にもう少し勇気があったら、結果は違っていたのかな……そう思わずにはいられない……。
03_SAD_161 いくら後悔しても、もうあの人は帰ってこないんだ……どうしようもない現実だ……。
03_SAD_162 あんなに一緒だったのに、いつの間にかすれ違ってしまったね……。
03_SAD_163 どれだけ待っても、あの約束の船は港に帰ってこなかった……。
03_SAD_164 こんなことになるなんて……私がもっと気をつけていれば……。
03_SAD_165 いくら悔やんでも、手のひらからこぼれた砂は戻らないんだな。
03_SAD_166 私たちの過ごしたあの楽しい時間は、もう幻だったのかしら。
03_SAD_167 せっかく見つけた希望の星も、厚い雲に隠れてしまったよ。
03_SAD_168 何度失敗しても立ち上がってきたのに、今回はもう無理みたい。
03_SAD_169 あの時の一言が、まさか最後のお別れになるなんて思わなかった。
03_SAD_170 どんなに強く祈っても、あの人はもう二度と目覚めないのね。
03_SAD_171 俺のこの手で世界を救えるなんて、ただの傲慢な思い込みだった。
03_SAD_172 あの人がのこしてくれたこの詩集だけが、私の心の支えなの。
03_SAD_173 俺たちが夢見た楽園は、ただの妄想に過ぎなかったんだな……。
03_SAD_174 せっかくの記念日なのに、君が隣にいないなんて寂しすぎるよ。
03_SAD_175 どうして、僕の大切なものばかりがいつも先に消えていくんだろう。
03_SAD_176 あの頃のみんなの笑顔を、もう一度だけ見たいな……。
03_SAD_177 私たちだけが生き残ってしまったこの世界に、何の意味があるの。
03_SAD_178 いつか必ず迎えに行くって言ってたのに、嘘つきだね。
03_SAD_179 ……もう歩けないよ、足も心も限界みたいだ。
03_SAD_180 君と一緒に見たあの満天の星空も、今はなぜか悲しく見える。
03_SAD_181 俺の歌なんて、もう誰も聴いてはくれないんだろうな。
03_SAD_182 せっかく見つけた綺麗な石、落として割れちゃった……。
03_SAD_183 あんなに大切に育てたお花が、全部枯れちゃったの……。
03_SAD_184 いくら謝ったって、もう彼女の心には届かないんだ。
03_SAD_185 私たちの物語が、こんなバッドエンドで終わるなんて信じられない。
03_SAD_186 お別れだね……君と過ごした日々、すごく楽しかったよ。
03_SAD_187 これで全てを失ってしまった。俺に残されたものは何もない。
03_SAD_188 ……ごめんなさい、私、これ以上はもう耐えられないわ。
03_SAD_189 ……ごめんな、お前との約束、守れそうにないや。
03_SAD_190 どんなに叫んでも、この暗闇からは永遠に抜け出せないのね。
03_SAD_191 どうして、俺たちは戦わなきゃならなかったんだろうな……。
03_SAD_192 ……この涙が枯れる頃には、君のことも忘れられるのかな。
03_SAD_193 ……もう二度と、あんな思いはしたくないんだよ。
03_SAD_194 大好きだったおばあちゃん、遠いお星さまになっちゃったの……。
03_SAD_195 いつも一緒に遊んでた犬のポチが、もう動かなくなっちゃった。
03_SAD_196 誰も私の本当の気持ちなんて、分かろうとしてくれないのね。
03_SAD_197 俺の努力なんて、結局は初めから全部無駄だったってわけだ。
03_SAD_198 もし生まれ変われるなら、次はもっと優しい世界がいいな……。
03_SAD_199 もし願いが一つ叶うなら、あの日やり直すことができれば……。
03_SAD_200 ……ごめんなさい、本当に私の力不足でした。
