08_CONFUSE_001 えっと……さっきまでここにあった私の鞄、どこにいっちゃったんでしょうか？
08_CONFUSE_032 えっと……この招待状、宛名が私じゃなくて私の飼ってるペットの犬になってるんですけど。
08_CONFUSE_033 ん？この宝箱、金貨や宝石じゃなくて、大量のキャベツが詰まっているんじゃないか……？
08_CONFUSE_034 はて……この薬草、傷を治すのに使うのか、それとも毒消しだったのか、思い出せないな。
08_CONFUSE_035 え？ちょっと待って、今のは私が悪いわけじゃなくて、どう見ても不可抗力じゃない？
08_CONFUSE_036 どういうことなんだ……？俺の手から放たれた炎が、空中で突然氷に変わってしまったぞ。
08_CONFUSE_037 あのぉ……旦那様？お風呂のお湯を張るように言われましたが、なぜか紫色の水が……。
08_CONFUSE_038 ええっと、つまり……この扉の奥に姫が囚われているのか、それとも魔王が寝ているのか……。
08_CONFUSE_039 んん？この時計、よく見たら文字盤の数字が１から１２じゃなくて、全部８になってるぞ？
08_CONFUSE_040 あれ？私の靴、右と左で全然違うデザインのものを履いてきちゃったみたいなんだけど……。
08_CONFUSE_041 どうなってんだ……この銃、引き金を引いても弾が出ないで、旗がピコッと飛び出してくるんだが。
08_CONFUSE_042 えっと……このお茶、すごく良い香りがするんですけど、色が真っ青なのは気のせいですか？
08_CONFUSE_043 ん？おかしいな、この階段、登っても登っても一番下の階に戻ってきてしまうぞ……。
08_CONFUSE_044 はて……私、あの人に何かひどいことを言って、こんなに怒られてしまっているのかしら……。
08_CONFUSE_045 え？つまり、私がずっと敵だと思っていたあの人は、実は味方のスパイだったってこと？
08_CONFUSE_046 どういうことだ……さっきまで確かにここにあった城が、丸ごと一つ跡形もなく消えているぞ？
08_CONFUSE_047 あのぉ……ご主人様？なぜ今日は、服を前後ろ逆に着ていらっしゃるのでしょうか……。
08_CONFUSE_048 ええと、この魔法陣は……転送の魔法陣だったか、それとも爆発の魔法陣だったか……。
08_CONFUSE_049 んん？この手紙、封筒には私の名前が書いてあるのに、中身は全然知らない人へのラブレターだぞ？
08_CONFUSE_050 あれれ？私のスマホ、電波は満タンなのに、なぜか100年前の日付にタイムスリップしてるんだけど……。
08_CONFUSE_051 えっと……さっきまで私の腕の中にいたはずの猫が、いつの間にかぬいぐるみに変わっているんですけど！？
08_CONFUSE_052 あれ？この道、マップだとまっすぐ進むはずなのに、目の前が巨大な湖になってるんだが……。
08_CONFUSE_053 ええと……つまりその、君が僕の味方で、僕が君の敵であるという不思議な状況ってこと？
08_CONFUSE_054 うーん、この古代の壁画、何度よく見ても「ウサギが踊っている」ようにしか見えないんだが……。
08_CONFUSE_055 どういうことだ……？避けても避けても、この魔法の矢がホーミングして追いかけてくるぞ！？
08_CONFUSE_056 はて……私、一体誰との約束があって、こんな休日の朝早くから駅前で待っているのかしら……。
08_CONFUSE_057 ん？待ってくれ、今から倒しに行くのはドラゴンじゃなくて、ただの巨大なトカゲだったのか！？
08_CONFUSE_058 あの……お客様？ホットコーヒーをご注文されたはずなのに、なぜかき氷を震えながら食べているんですか？
08_CONFUSE_059 えっ？ちょっと待って、私の炎の魔法から火炎じゃなくてシャボン玉が大量に出てきたんだけど！？
08_CONFUSE_060 んんん……この料理のレシピ、どう見ても最後に「爆薬をひとつまみ」って不穏な指示になってるぞ。
08_CONFUSE_061 ええっと、つまり……この扉を開ければ脱出できるのか、それともトラップが発動するのか……。
08_CONFUSE_062 あれれ？さっきまで真冬で雪が降っていたのに、急に真夏のようなセミの鳴き声が聞こえてきたぞ？
08_CONFUSE_063 ん？この盾、よく見たら防御する面じゃなくて、攻撃する用のトゲトゲが自分の方に向いてるんじゃないか……？
08_CONFUSE_064 え？私がずっと大切に育てていたお花、実はただのプラスチックの造花だったってこと？
08_CONFUSE_065 どういうことだ……誰もいないはずの廃墟で、なぜ焼きたてのパンの良い香りが漂ってくるんだ？
08_CONFUSE_066 あのぉ……先輩？今の会議の結論、三時間も話し合ったのに結局「保留」ってどういう意味ですか……。
08_CONFUSE_067 はぁ……？なんで私が、こんなヒラヒラでフリフリの不格好なメイド服を着て掃除しなきゃいけないわけ？
08_CONFUSE_068 ええっと、こっちの赤いボタンを押せばミサイルが止まるのか、それとも青いスイッチの方なのか……。
08_CONFUSE_069 んん？この歴史の教科書、織田信長の名前が全部「織田ケーキ長」に書き換えられているぞ？
08_CONFUSE_070 あれ？私のスマホの画面、さっきからずっと同じ広告のループから一歩も進んでないような気がするんだけど……。
08_CONFUSE_071 どうなってんだ……敵の凶悪な大軍が、俺たちを見ると一斉に笑顔でフラダンスを踊り始めたんだが……。
08_CONFUSE_072 えっと……この提出書類のサイン、なんで全部象形文字みたいな謎の記号で書かれているんでしょうか？
08_CONFUSE_073 ん？おかしいな、このパスワード、絶対に正しいはずなのに「桁数が足りません」って弾かれるぞ……。
08_CONFUSE_074 はて……私、今日のご飯のおかずを買うためにスーパーに来たのに、なぜ釣竿を持っているのかしら……。
08_CONFUSE_075 え？つまり、私が一ヶ月かけて準備したサプライズパーティーの主役は、明日から海外旅行に行くってこと？
08_CONFUSE_076 どういうことだ……さっき粉々に砕け散ったはずのゴーレムが、なんで小さなミニチュアになってるんだ？
08_CONFUSE_077 あのぉ……先生？この英語の翻訳問題の答えが、なぜか「宇宙の真理」になるんですが……。
08_CONFUSE_078 ええと、この謎の宝箱は……開けると金銀財宝が出るのか、それとも毒ガスが噴き出す危険な罠なのか……。
08_CONFUSE_079 んん？この羅針盤、北を指してるはずのコンパスの針が、急にぐるんと南を向いて止まってしまったぞ？
08_CONFUSE_080 あれれ？私のネックレス、いつの間にかキラキラのダイヤからただのガラス玉にすり替わってるんじゃないよね？
08_CONFUSE_081 どうなってんだ……この深い森、さっきから同じ形の巨木の前をずっとぐるぐる回っているんだが……。
08_CONFUSE_082 えっと……この結婚式の招待状、新郎新婦の名前が両方とも私の幼馴染の男友達の名前になってるんですけど。
08_CONFUSE_083 ん？この秘密の宝箱、開けたら伝説の武具じゃなくて、大量のぬいぐるみと手紙が詰まっているんじゃないか……？
08_CONFUSE_084 はて……この赤色のポーション、体力を回復するのに使うのか、それとも魔力を上げる水だったのか、度忘れしたな。
08_CONFUSE_085 え？ちょっと待って、今のテストで私が赤点だったのは、私が勉強してないんじゃなくて問題が間違ってるんじゃない？
08_CONFUSE_086 どういうことなんだ……？俺の剣から放たれた衝撃波が、空中で突然きれいな花吹雪に変わってしまったぞ。
08_CONFUSE_087 あのぉ……旦那様？お部屋の掃除をするようにとのお達しでしたが、なぜか床が泥だらけになっているのですが……。
08_CONFUSE_088 ええっと、つまり……この不気味な扉の奥に姫が囚われているのか、それとも恐ろしい魔王が待ち構えているのか……。
08_CONFUSE_089 んん？このストップウォッチ、よく見たら秒針の進むスピードが普通の時計の三分の一くらい遅くなってるぞ？
08_CONFUSE_090 あれ？私の左右の靴下、よく見たら右が水玉で左がストライプの全然違う柄のものを履いてきちゃったみたいなんだけど……。
08_CONFUSE_091 どうなってんだ……この最新の銃、引き金を引いても弾が出ないで、謎の電子音がピーって鳴るだけなんだが。
08_CONFUSE_092 えっと……この不思議なお茶、すごく甘くて良い香りがするんですけど、色が真っ黒なのは本当に気のせいですか？
08_CONFUSE_093 ん？おかしいな、この螺旋階段、いくら足が棒になるまで登っても一番下の階のエントランスに戻ってきてしまうぞ……。
08_CONFUSE_094 はて……私、あんな大勢の前で何かとんでもなくひどいことを言って、こんなに冷たい目で見られているのかしら……。
08_CONFUSE_095 え？つまり、私がずっと信頼できる味方だと思っていたあの司令官は、実は敵国の大スパイだったってこと？
08_CONFUSE_096 どういうことだ……さっきまで確かにここにあった巨大な山が、一晩で丸ごと一つ跡形もなく平原に変わっているぞ？
08_CONFUSE_097 あのぉ……ご主人様？なぜ今日は、大切な式典の服を裏返しにして着ていらっしゃるのでしょうか……。
08_CONFUSE_098 ええと、この地面の怪しい魔法陣は……空間転送の魔法陣だったか、それとも爆発の大魔法陣だったか……。
08_CONFUSE_099 んん？この手紙、封筒には確かに私の名前と住所が書いてあるのに、中身は全然知らない異世界の話だぞ？
08_CONFUSE_100 あれれ？私のスマホ、電波は満タンでWi-Fiも繋がってるのに、なぜかメッセージが100年後の未来から届いてるんだけど……。
08_CONFUSE_101 えっと……さっきまで私が手に持っていたはずの鍵が、いつの間にかただの石ころに変わっているんですけど！？
08_CONFUSE_102 あれ？この道、案内標識だとまっすぐ進むはずなのに、目の前が巨大な断崖絶壁になってるんだが……。
08_CONFUSE_103 ええと……つまりその、君が僕の師匠で、僕が君のお弟子さんになるという不思議な状況ってこと？
08_CONFUSE_104 うーん、この古代の謎の石版、何度よく見ても「猫が昼寝している」絵にしか見えないんだが……。
08_CONFUSE_105 どういうことだ……？避けても避けても、この魔法の光線が空中で自動的に曲がって追いかけてくるぞ！？
08_CONFUSE_106 はて……私、一体誰との約束があって、こんな雨降る休日の朝早くから公園で待っているのかしら……。
08_CONFUSE_107 ん？待ってくれ、今から倒しに行く討伐対象は獰猛な魔獣じゃなくて、ただの巨大なキノコだったのか！？
08_CONFUSE_108 あの……お客様？激辛のラーメンをご注文されたはずなのに、なぜ甘いソフトクリームを震えながら食べているんですか？
08_CONFUSE_109 えっ？ちょっと待って、私の回復の魔法から光じゃなくてシャボン玉が大量に出てきたんだけど！？
08_CONFUSE_110 んんん……この魔法陣のレシピ、どう見ても最後に「牛乳を大さじ２杯」って普通の料理の指示になってるぞ。
08_CONFUSE_111 ええっと、つまり……この扉のレバーを引けば脱出経路が開くのか、それとも毒の罠が発動するのか……。
08_CONFUSE_112 あれれ？さっきまで真冬で大雪が降っていたのに、急に真夏のようなセミの鳴き声と暑さがやってきたぞ？
08_CONFUSE_113 ん？この魔法の盾、よく見たら防御する硬い面じゃなくて、ふわふわのクッションが自分の方に向いてるんじゃないか……？
08_CONFUSE_114 え？私がずっと大切にお世話して育てていた魔法の植物、実はただのプラスチックの精巧な造花だったってこと？
08_CONFUSE_115 どういうことだ……誰もいないはずの地下の廃墟牢獄で、なぜ焼きたての甘いパンの良い香りが漂ってくるんだ？
08_CONFUSE_116 あのぉ……先輩？今の戦術会議の結論、五時間も徹夜で話し合ったのに結局「気合」ってどういう意味ですか……。
08_CONFUSE_117 はぁ……？なんで私が、こんなヒラヒラで真っ赤なフリフリの不格好なドレス服を着て潜入捜査しなきゃいけないわけ？
08_CONFUSE_118 ええっと、こっちの赤いスイッチを押せば時限爆弾が止まるのか、それとも青いワイヤーの方を切るべきなのか……。
08_CONFUSE_119 んん？この由緒正しい歴史の魔法教科書、魔王の名前が全部「大魔王プリン」に誰のイタズラか書き換えられているぞ？
08_CONFUSE_120 あれ？私のスマホの画面、さっきからずっと同じお菓子の広告のループから一時間一歩も進んでないような気がするんだけど……。
08_CONFUSE_121 どうなってんだ……敵の凶悪で恐ろしいオークの大軍が、俺たちを見ると一斉に笑顔で手をつないで歌い始めたんだが……。
08_CONFUSE_122 えっと……この王様への提出書類のサイン、なんで全部象形文字みたいな解読不能な謎の記号で書かれているんでしょうか？
08_CONFUSE_123 ん？おかしいな、この開かずの扉のパスワード、絶対に正しいはずなのに「桁数が三桁足りません」って弾かれるぞ……。
08_CONFUSE_124 はて……私、今日のご飯のおかずの野菜を買うためにスーパーに来たのに、なぜ虫取り網を両手に持っているのかしら……。
08_CONFUSE_125 え？つまり、私が一ヶ月かけて徹夜で準備したサプライズパーティーの主役の誕生日は、実は来月だったってこと？
08_CONFUSE_126 どういうことだ……さっき俺の剣で粉々に砕け散ったはずの石のゴーレムが、なんで小さなミニチュアサイズに行儀よく並んでるんだ？
08_CONFUSE_127 あのぉ……先生？この高度な魔法陣の解読問題の答えが、なぜか「美味しいアップルパイの作り方」になるんですが……。
08_CONFUSE_128 ええと、この迷宮の奥にある謎の宝箱は……開けると伝説の金銀財宝が出るのか、それとも毒ガスが噴き出す死の危険な罠なのか……。
08_CONFUSE_129 んん？この不思議な羅針盤、北を指してるはずのコンパスの針が、急にぐるんと真南を向いてピタッと止まってしまったぞ？
08_CONFUSE_130 あれれ？私の首に下げてたネックレス、いつの間にかキラキラの高価なダイヤからただのビー玉ガラス玉にすり替わってるんじゃないよね？
08_CONFUSE_131 どうなってんだ……この迷いの深い森、さっきから全く同じ形の苔むした巨木の前をずっとぐるぐる回っているんだが……。
08_CONFUSE_132 えっと……この結婚式のお祝い招待状、新郎新婦の名前が両方とも私の会社の嫌いな上司と同姓同名の名前になってるんですけど。
08_CONFUSE_133 ん？この秘密の隠し部屋の宝箱、開けたら伝説の魔法の武具じゃなくて、大量の可愛いクマのぬいぐるみとラブレターの手紙が詰まっているんじゃないか……？
08_CONFUSE_134 はて……この赤色のあやしいポーション、体力を限界まで回復するのに使うのか、それとも魔力を上げる危険な劇薬水だったのか、完全に度忘れしたな。
08_CONFUSE_135 え？ちょっと待って、今の魔法実技のテストで私が赤点だったのは、私が勉強や練習してないんじゃなくて試験問題の魔法式自体が間違ってるんじゃない？
08_CONFUSE_136 どういうことなんだ……？俺の魔剣から放たれた真空の衝撃波が、空中で突然きれいなピンク色の桜の花吹雪に変わってしまったぞ。
08_CONFUSE_137 あのぉ……厳しい旦那様？お部屋の隅々まで掃除をするようにとの絶対のお達しでしたが、なぜか床が掃除する前より泥だらけになっているのですが……。
08_CONFUSE_138 ええっと、つまり……この不気味で重苦しい扉の奥に美しい姫が囚われているのか、それとも恐ろしい邪悪な魔王が待ち構えているのか……。
08_CONFUSE_139 んん？このアンティークのストップウォッチ、よく見たら秒針の進むスピードが普通の時計の三分の一くらい極端に遅くなってるぞ？
08_CONFUSE_140 あれ？私の左右の可愛い靴下、よく見たら出がけに慌てて右が水玉で左がストライプの全然違う柄のものを履いてきちゃったみたいなんだけど……。
08_CONFUSE_141 どうなってんだ……この軍の最新鋭の銃、引き金を思い切り引いても実弾が出ないで、謎の警告の電子音がピーってうるさく鳴るだけなんだが。
08_CONFUSE_142 えっと……この不思議な色のお茶、すごく甘くてお菓子みたいな良い香りがするんですけど、色が真っ黒なのは本当に私の目の気のせいですか？
08_CONFUSE_143 ん？おかしいな、この呪われた螺旋階段、いくら足が棒になるまで何時間も登っても一番下の階のエントランスに気づかぬうちに戻ってきてしまうぞ……。
08_CONFUSE_144 はて……私、あんな大勢の社交界の皆の前で何かとんでもなくひどい暴言を言って、こんなに冷たい氷のような目で見られているのかしら……。
08_CONFUSE_145 え？つまり、私がずっと命を預けて信頼できる味方だと思っていたあの優しい司令官は、実は冷酷な敵国の大物スパイだったってこと？
08_CONFUSE_146 どういうことだ……さっきまで確かにここにあったそびえ立つ巨大な山が、一晩で丸ごと一つ魔法でも使われたかのように跡形もなく平原に変わっているぞ？
08_CONFUSE_147 あのぉ……気難しくてご主人様？なぜ本日は、とても大切な式典の正装の服を裏返しにして誇らしげに着ていらっしゃるのでしょうか……。
08_CONFUSE_148 ええと、この地面の怪しく光る魔法陣は……遠くへ飛ぶ空間転送の魔法陣だったか、それとも周囲を巻き込む爆発の大魔法陣だったか……。
08_CONFUSE_149 んん？この分厚い手紙、封筒には確かに私の正式な名前と住所が書いてあるのに、中身は全然知らない異世界で起きた冒険の話だぞ？
08_CONFUSE_150 あれれ？私のスマホ、電波はどこでも満タンでWi-Fiもばっちり繋がってるのに、なぜかメッセージの受信時間が100年後の未来から届いてるんだけど……。
08_CONFUSE_151 えっと……さっきまで新品だったはずの私の靴が、いつのまにか底が抜けてボロボロになってるんですけど！？
08_CONFUSE_152 あれ？このダンジョン、右に行けば宝物庫のはずなのに、なんでドラゴンの巣に直結してるんだ？
08_CONFUSE_153 ええと……つまりその、君が僕のペットで、僕が君の飼い主じゃなくてペットのペットってこと？
08_CONFUSE_154 うーん、この伝説の暗号文、何度解読しても「カレーライスが食べたい」にしかならないんだが……。
08_CONFUSE_155 どういうことだ……？斬っても斬っても、この不死身のゾンビがなぜか分裂して増え続けているぞ！？
08_CONFUSE_156 はて……私、一体何のためにこの絶対に開けてはいけない箱の鍵をわざわざ探してきたのかしら……。
08_CONFUSE_157 ん？待ってくれ、今から行くのは豪華な王宮のパーティーじゃなくて、極寒の地でのサバイバル訓練だったのか！？
08_CONFUSE_158 あの……お客様？高級なフレンチをご注文されたはずなのに、なぜカップラーメンをすすっているんですか？
08_CONFUSE_159 えっ？ちょっと待って、私の最強の雷魔法からイナズマじゃなくて鳩が大量に飛び出してきたんだけど！？
08_CONFUSE_160 んんん……この究極兵器の設計図、どう見てもただの巨大な扇風機を組み立てる指示になってるぞ。
08_CONFUSE_161 ええっと、つまり……この赤いボタンを押せば宇宙船が発進するのか、それとも自爆装置が起動するのか……。
08_CONFUSE_162 あれれ？さっきまでカラカラに晴天だったのに、急にカエルが空から大量に降ってきたぞ？
08_CONFUSE_163 ん？この伝説の聖剣、よく見たらグリップのところがバナナの皮でできているんじゃないか……？
08_CONFUSE_164 え？私が昨日奮発して買ったばかりの高級メロン、もう誰かに皮ごと全部食べられちゃってるってこと？
08_CONFUSE_165 どういうことだ……誰もいないはずの完全な密室で、なぜ花瓶が勝手に奇妙なダンスを踊ってるんだ？
08_CONFUSE_166 あのぉ……先輩？今の重要極秘任務の説明、三回聞いても「美味しいパン屋への行き方」としか聞こえなかったんですが……。
08_CONFUSE_167 はぁ……？なんで私が、こんなヘンテコで恥ずかしい鳥の着ぐるみを着てステージで踊らなきゃいけないわけ？
08_CONFUSE_168 ええっと、こっちの太い赤いコードを切れば時限爆弾が止まるのか、それとも細い青いワイヤーの方なのか……。
08_CONFUSE_169 んん？この禁断の黒魔術書、恐ろしい呪文の詠唱じゃなくて、ものすごく美味しい超激辛カレーのレシピが書いてあるぞ？
08_CONFUSE_170 あれ？私の腕時計、五分前に見た時から針が一秒も進んでないどころか、逆に逆回転しているような気がするんだけど……。
08_CONFUSE_171 どうなってんだ……敵の無慈悲なロボット大軍が、俺たちを見ると一斉に土下座してお茶を勧めてきたんだが……。
08_CONFUSE_172 えっと……この超重要書類の偉い人のハンコ、なんで全部逆さまでしかも違う会社の名前が押してあるんでしょうか？
08_CONFUSE_173 ん？おかしいな、この開かずの扉、押しても引いても魔法を使っても爆破してもビクとも横にスライドさせても開かないぞ……。
08_CONFUSE_174 はて……私、今日のご飯のメインディッシュに何を入れようとしていたのか、完全にスパッと度忘れしてしまったわ。
08_CONFUSE_175 え？つまり、私が頑張って徹夜で作ったこの完璧なプレゼン資料は、今日の社長会議ではなく明日の飲み会で使うってこと？
08_CONFUSE_176 どういうことだ……さっき全力で倒したはずのスライムの魔物が、なんで集まって合体してこっちに歩いてくるんだ？
08_CONFUSE_177 あのぉ……先生？この複雑な方程式の証明の答えが、計算するとどうしても「イチゴタルト」になるんですが……。
08_CONFUSE_178 ええと、この謎の光る液体は……飲むと一瞬で元気になるのか、それとも三日間カエルになるのか……。
08_CONFUSE_179 んん？この不思議な地図、北を指してるはずのコンパスの針が、狂ったようにグルグルとものすごいスピードで回り続けているぞ？
08_CONFUSE_180 あれれ？私のトレードマークのメガネ、どこに置いたっけ……って、まさか他人の頭の上に乗ってるんじゃないよね？
08_CONFUSE_181 どうなってんだ……この地下ダンジョン迷宮、さっきから同じ不気味な彫像の廊下をずっと数時間も堂々巡りしているんだが……。
08_CONFUSE_182 えっと……この国王からの特別招待状、宛名が私じゃなくて私の飼ってるペットの犬の名前宛てになってるんですけど。
08_CONFUSE_183 ん？この一番奥の宝箱、開けたら金貨や宝石じゃなくて、大量の腐ったキャベツがみっちり詰まっているんじゃないか……？
08_CONFUSE_184 はて……このいい匂いのする薬草、深い傷を治すのに使うのか、それとも超強力な毒消しだったのか、全く思い出せないな。
08_CONFUSE_185 え？ちょっと待って、今お皿が割れたのは私が悪いわけじゃなくて、どう見ても重力異常かポルターガイストの不可抗力じゃない？
08_CONFUSE_186 どういうことなんだ……？俺の手から全魔力を込めて放たれた炎が、空中で突然カチコチの氷の塊に変わって地面に落ちてしまったぞ。
08_CONFUSE_187 あのぉ……旦那様？お風呂の熱いお湯を張るように言われましたが、なぜか蛇口から鮮やかな紫色のドロドロのゼリーが……。
08_CONFUSE_188 ええっと、つまり……この重厚な扉の奥に姫が囚われているのか、それとも魔王が全裸で寝ているのか……。
08_CONFUSE_189 んん？この大きな壁掛け時計、よく見たら文字盤の数字が１から１２じゃなくて、全部不吉な４と９になってるぞ？
08_CONFUSE_190 あれ？私の靴、慌てて出てきたら右と左でサイズも色も全然違うデザインのものを履いてきちゃったみたいなんだけど……。
08_CONFUSE_191 どうなってんだ……この特殊な銃、引き金を引いても弾が出ないで、真っ赤な旗がピコッと音と共に飛び出してくるんだが。
08_CONFUSE_192 えっと……この不思議なお茶、すごく甘くて良い香りがするんですけど、色が真っ青で星が輝いているのは気のせいですか？
08_CONFUSE_193 ん？おかしいな、この魔の階段、いくら勢いよく登っても登っても一番下の薄暗い階のスタート地点に戻ってきてしまうぞ……。
08_CONFUSE_194 はて……私、あの怖い上司に何かひどい暴言を言って、こんなにみんなから怒られてしまっているのかしら……。
08_CONFUSE_195 え？つまり、私がずっと敵国のスパイだと思っていたあの悪人は、実は味方の潜入特別捜査官だったってこと？
08_CONFUSE_196 どういうことだ……さっきまで確かにここにあった巨大な城が、丸ごと一つ跡形もなく消えてただの空き地になってるぞ？
08_CONFUSE_197 あのぉ……ご主人様？なぜ今日は、大切な服を前後ろ完全に逆にして自信満々に着ていらっしゃるのでしょうか……。
08_CONFUSE_198 ええと、この光る魔法陣は……目的地への安全な転送の魔法陣だったか、それとも即死の爆発の魔法陣だったか……。
08_CONFUSE_199 んん？この手紙、封筒には確かに私の名前が書いてあるのに、中身は全然知らない異世界の人への情熱的なラブレターだぞ？
08_CONFUSE_200 あれれ？私のスマホ、電波は満タンなのに、なぜか100年前の日付にバグってタイムスリップしてるんだけど……。
