06_CONTEMPT_001 ふん、その程度の魔法で私の結界が破れるとでも本気で思っているのかね。
06_CONTEMPT_069 ちっ……何度痛い目を見ても這い上がってくるなんて、本当にゴキブリみたいな奴だな。
06_CONTEMPT_070 ふん、お前のような不浄な者が、この清らかな神殿に足を踏み入れること自体が罪だ。
06_CONTEMPT_071 どうでもいいわ。あなたみたいな脳天気なお馬鹿さんの相手なんて、時間の無駄だから。
06_CONTEMPT_072 おい、俺の靴を舐めろ。お前の存在価値なんて、その程度のものなんだよ。
06_CONTEMPT_073 へぇ……結局最後はそうやって、泣いて誰かに助けを求めるんだ。本当に哀れだね。
06_CONTEMPT_074 おや、まだそんな泥だらけの服を着ているのですか？近づかないでいただけますか。
06_CONTEMPT_075 馬鹿げている。そんなくだらない迷信にすがるなんて、知性の欠片も感じられないな。
06_CONTEMPT_076 ちっ、お前みたいな能天気な奴が、のうのうと生きていられる世界が憎いぜ。
06_CONTEMPT_077 ふんっ。その程度の擦り傷で泣き叫ぶなんて、お前は本当に臆病者の見本だな。
06_CONTEMPT_078 あら、その時代錯誤な髪型、もしかして自分で切って失敗したのかしら？
06_CONTEMPT_079 くだらん。貴様のような志の低いクズに、この崇高な教えを説く意味などない。
06_CONTEMPT_080 おいおい、そのザマは何だ？地を這うミミズの方がまだマシな動きをするぜ。
06_CONTEMPT_081 ふははっ！たったこれっぱっちの困難で泣き言を言うとは、本当に笑わせてくれる。
06_CONTEMPT_082 なんだその反抗的な態度は。お前ごときが、この俺を出し抜けるとでも思ったか？
06_CONTEMPT_083 全く、何度言ったら分かるの。あなたみたいな単細胞には、言葉は通じないのね。
06_CONTEMPT_084 けっ。口では勇ましいこと言ってても、いざとなれば真っ先に逃げ出すくせにな。
06_CONTEMPT_085 ふん。その貧相な脳みそで、一体どんな素晴らしい言い訳を考えてきたって言うんだい？
06_CONTEMPT_086 信じられない。あなたみたいな図々しい人間が、まだこの屋敷に出入りしていたなんて。
06_CONTEMPT_087 お黙りなさい！あなたのような品格の欠片もない平民が、私に意見するなど言語道断ですわ！
06_CONTEMPT_088 ちっ、なんだその被害者ぶった顔は。見てるこっちが吐き気を催してくるぜ。
06_CONTEMPT_089 へぇ……それがお前の全知全能？あまりの無知っぷりに欠伸が出そうなんだけど。
06_CONTEMPT_090 いい加減にしてくれないか。お前のそのくだらない嘘偽りにはもう吐き気がする。
06_CONTEMPT_091 ふんっ。お前みたいな恩知らずの裏切り者、誰が同情するかって言うんだよ。
06_CONTEMPT_092 あら、あなたって本当に身の程を知らないのね。無知って本当に恐ろしいわ。
06_CONTEMPT_093 くだらない。そんな幼稚な挑発で、俺の平常心を乱せるなんて本気で思っているのか。
06_CONTEMPT_094 おいおい、土下座して泣いて謝れば、許してもらえるとでも思ってるのか？おめでたい頭だな。
06_CONTEMPT_095 ふははっ。見ろよあの絶望に染まったツラ。本当に踏み潰したくなるような虫ケラだぜ。
06_CONTEMPT_096 全く……こんなドブの臭いがする男と、よく平気で腕を組んで歩けるわね。
06_CONTEMPT_097 けっ。お前みたいな卑怯なゴマすり野郎、見てるだけで虫唾が走って吐きそうだ。
06_CONTEMPT_098 ふん。その薄汚れた手で、この美しい装飾品に触れようなどと二度と考えるな。
06_CONTEMPT_099 信じられないわ……自分の無能さを棚に上げて他人を批判するなんて、本当に救いようのないクズね。
06_CONTEMPT_100 お黙りっ！あなたのような卑しい盗人の泣き言など、誰が信じるというのです！
06_CONTEMPT_101 ちっ、なんだよその態度は。こっちはお前みたいなクズを助けてやったってのに。
06_CONTEMPT_102 へぇ……結局お前も、権力に媚びへつらうだけの安い人間だったってわけだ。軽蔑するよ。
06_CONTEMPT_103 いい加減にしなさい！あなたのその無様なヘタッピな魔法、学校の恥ですわ！
06_CONTEMPT_104 ふんっ。お前みたいな才能の欠片もない奴が、どれだけ努力したところで一生底辺なんだよ。
06_CONTEMPT_105 ふん、その程度の安い挑発に私が乗るとでも？あなたの浅はかさには呆れ果てるわ。
06_CONTEMPT_106 ちっ、こんな簡単な依頼もこなせないなんて、お前は本当に冒険者失格だな。
06_CONTEMPT_107 あら、あなたみたいな小汚いハエが、私の視界に入るなんて本当に不愉快極まりないわね。
06_CONTEMPT_108 くだらない。そんな幼稚な作戦で、この俺を出し抜けるなどと本気で信じていたのか。
06_CONTEMPT_109 へぇ、それがお前の言う友情ってやつ？ずいぶんと安っぽくて吐き気がするよ。
06_CONTEMPT_110 おいおい、そのザマで勇者の末裔だなんて、先祖が草葉の陰で泣いているぞ。
06_CONTEMPT_111 ふふっ、あなたのその必死に言い訳を並べる姿、本当に惨めで滑稽ですわ。
06_CONTEMPT_112 全く……こんな初歩的な錬金術の失敗など、学園の恥部の何物でもないな。
06_CONTEMPT_113 お前みたいな裏切り者は、この世のどこへ逃げても仲間なんてできないさ。
06_CONTEMPT_114 馬鹿ね……あなたのお遊戯レベルの陰謀なんて、最初から筒抜けだったのよ。
06_CONTEMPT_115 けっ、どうせお前のような寄生虫は、誰かの背中に隠れているしか能がないんだ。
06_CONTEMPT_116 そんなドブネズミのような卑屈な言い訳、聞いているだけで吐き気がしてくるわ。
06_CONTEMPT_117 ふんっ、この程度の偽物で私を騙そうなどと、百年早い上に片腹痛いな。
06_CONTEMPT_118 見苦しい。貴様のような野盗風情は、さっさとその見窄らしいアジトで死ねばいい。
06_CONTEMPT_119 はっ！その程度の安っぽい芝居で、俺の同情が引けるとでも本当に思っているのか。
06_CONTEMPT_120 あんたのその見え透いたおためごかし、聞いてるこっちが恥ずかしくて死にそうよ。
06_CONTEMPT_121 ちっ……何度痛い目を見ても這い上がってくるなんて、本当に見苦しいゾンビみたいな奴だな。
06_CONTEMPT_122 ふん、お前のような不浄な者が、この清らかな我が領域に足を踏み入れること自体が不愉快だ。
06_CONTEMPT_123 どうでもいいわ。あなたみたいな脳天気で無能な人間の相手なんて、時間の無駄だから。
06_CONTEMPT_124 おい、俺の視界に入るな。お前の薄汚い面を見ると、せっかくの食事が不味くなるんだよ。
06_CONTEMPT_125 へぇ……結局最後はそうやって、他人の褌で相撲を取るんだ。本当に哀れで最低だね。
06_CONTEMPT_126 おや、まだそんな泥だらけの靴を履いているのですか？近寄らないでいただけますか。
06_CONTEMPT_127 馬鹿げている。そんなくだらない占いの結果にすがるなんて、知性の欠片も感じられないな。
06_CONTEMPT_128 ちっ、お前みたいな能天気な馬鹿が、のうのうとこのギルドに出入りしているのが憎いぜ。
06_CONTEMPT_129 ふんっ。その程度の擦り傷で医者を呼ぶなんて、お前は本当に甘やかされた赤ん坊だな。
06_CONTEMPT_130 あら、その時代錯誤で悪趣味なドレス、どこかの古着屋でタダで恵んでもらったのかしら？
06_CONTEMPT_131 くだらん。貴様のような志の低いクズに、この崇高な世界の真理を教える意味などない。
06_CONTEMPT_132 おいおい、そのザマは何だ？地を這うミミズの方がまだマシで美しい動きをするぜ。
06_CONTEMPT_133 ふははっ！たった数人に囲まれただけで震え上がり失禁するとは、最高のお笑い草だな。
06_CONTEMPT_134 なんだその反抗的な目は。お前ごときが、この俺様に偉そうに意見できるとでも思っているのか？
06_CONTEMPT_135 全く、何度言ったら分かるの。あなたみたいな単細胞生物には、人間の言葉は通じないのね。
06_CONTEMPT_136 けっ。口では勇ましい英雄気取りでも、いざとなれば真っ先に仲間を盾に逃げ出すくせにな。
06_CONTEMPT_137 ふん。その貧相で空っぽな脳みそで、一体どんな素晴らしい言い訳をでっち上げてきたって言うんだい？
06_CONTEMPT_138 信じられない。あなたみたいな図々しくて無神経な人間が、まだこの屋敷に出入りを許されていたなんて。
06_CONTEMPT_139 お黙りなさい！あなたのような品格の欠片もない平民が、この私に意見の口出しをするなど言語道断ですわ！
06_CONTEMPT_140 ちっ、なんだその被害者ぶった偽善の顔は。見てるこっちが反吐を吐きそうになってくるぜ。
06_CONTEMPT_141 へぇ……それがお前の全知全能の計画？あまりの無知でお粗末な内容っぷりに欠伸が出そうなんだけど。
06_CONTEMPT_142 いい加減にしてくれないか。お前のそのくだらない嘘偽りと見え透いた嘘にはもう心底吐き気がする。
06_CONTEMPT_143 ふんっ。お前みたいな恩知らずで薄情な裏切り者なんか、誰が可哀想に思って同情するかって言うんだよ。
06_CONTEMPT_144 あら、あなたって本当に自分の身の程を全く知らないのね。その無知っぷりって本当に恐ろしくて罪だわ。
06_CONTEMPT_145 くだらない。そんな幼稚で子供騙しな挑発で、俺の平常心を乱せるなんて本気で頭の隅でも思っているのかしら。
06_CONTEMPT_146 おいおい、土下座して泣いて喚いて謝れば、俺が優しく許してやるとでも思ってるのか？おめでたい頭だな。
06_CONTEMPT_147 ふははっ。見ろよあの絶望に完全に染まったツラ。本当に足でグシャっと踏み潰したくなるようなただの虫ケラだぜ。
06_CONTEMPT_148 全く……こんなドブのような生ゴミの臭いがする小汚い男と、よく平気でニコニコ腕を組んで歩けるわね。
06_CONTEMPT_149 けっ。お前みたいな卑怯ですぐ権力者に媚びへつらうゴマすり野郎、見てるだけで虫唾が走って本当に吐きそうだ。
06_CONTEMPT_150 ふん。その薄汚れて泥水にまみれた手で、この美しい宮廷の最高級装飾品に触れようなどと二度と考えるんじゃないぞ。
06_CONTEMPT_151 信じられないわ……自分の無能な失敗を完全に棚に上げて他人を偉そうに批判するなんて、本当に救いようのないクズね。
06_CONTEMPT_152 お黙りっ！あなたのような卑しくて見下げ果てた盗人のくだらない泣き言など、この世の誰が信じ同情するというのです！
06_CONTEMPT_153 ちっ、なんだよその見下したような態度は。こっちはお前みたいな使えない死にかけのクズをわざわざ助けてやったってのに。
06_CONTEMPT_154 へぇ……結局お前も、金と権力さえあれば簡単に正義も仲間も寝返るような安いチンピラ人間だったってわけだ。心底軽蔑するよ。
06_CONTEMPT_155 いい加減にしなさい！あなたのその無様でちっとも実戦で使えないヘタッピな魔法、伝統ある名門魔法学校の永遠の恥ですわ！
06_CONTEMPT_156 ふんっ。お前みたいな才能の欠けらもない底辺の奴が、どれだけ血反吐を吐いて努力したところで一生這い上がれない底辺なんだよ。
06_CONTEMPT_157 ふん、何度説明しても理解できないとは。お前の脳味噌は飾りとして付いているだけなのか。
06_CONTEMPT_158 ちっ、そんなくだらない罠で俺を出し抜けるとでも思ったのか。思考が浅すぎるぜ。
06_CONTEMPT_159 あら、あなたみたいなゴミ虫に、この私が一瞬でも同情するとでも思っていて？勘違いも甚だしいわ。
06_CONTEMPT_160 くだらない。お前のような臆病者に、これ以上語るべき言葉などこの世に存在しない。失せろ。
06_CONTEMPT_161 へぇ、それがお前なりの必死の抵抗ってわけ？まるで知性のないチンパンジー以下の暴れ方だな。
06_CONTEMPT_162 おいおい、こんな簡単な任務すらまともに失敗するなんて、お前は本当に人間のクズを通り越してるな。
06_CONTEMPT_163 ふふっ、その恐怖におののき怯えきった顔、本当に滑稽で素晴らしい最高クラスの見世物になっていますわ。
06_CONTEMPT_164 全く……こんな初歩的な魔術で大爆発を引き起こして自爆するとは、阿呆も極まるとはこのことだな。
06_CONTEMPT_165 お前みたいな嘘吐き野郎の口から出た言葉なんか、便所の壁の落書き以下の価値も一切ないぞ。
06_CONTEMPT_166 馬鹿ね……あなたのお遊戯みたいな児戯に等しい作戦で、この鉄壁の城が落ちるとでも本気で信じていたの？
06_CONTEMPT_167 けっ、どうせお前のような寄生虫野郎は、人の不幸と利益を吸って生きるしか能がない哀れな存在なんだろ。
06_CONTEMPT_168 そんなドブネズミみたいな薄汚くて卑屈な態度、見ているだけでこちらの高貴な品位まで下がるからやめてくれる？
06_CONTEMPT_169 ふんっ、この程度の安っぽい偽札で私を簡単に騙そうなどと、片腹痛くて笑いも全く出ない見苦しさだな。
06_CONTEMPT_170 見苦しい。貴様のようなゴロツキのならず者は、さっさとその見窄らしい泥水の中で溺れて惨めに死ねばいい。
06_CONTEMPT_171 はっ！その程度の三文芝居の安っぽい泣き落としで、俺の同情を引けるとでも本気で勘違いして思ったか、間抜けが。
06_CONTEMPT_172 あんたのその吐き気を露骨に催すような下劣なごますり、聞いてるこっちが恥ずかしさのあまり死にそうになるわよ。
06_CONTEMPT_173 ちっ……何度痛い目を見て血祭りに上げられても這い上がってくるなんて、本当にゴキブリ以下の虫ケラみたいな奴だな。
06_CONTEMPT_174 ふん、お前のような不浄で穢れた者が、この由緒正しく清らかな神殿に足を踏み入れること自体が万死に値する大罪だ。
06_CONTEMPT_175 どうでもいいわよ。あなたみたいな脳天気で何の取り得もないただのお馬鹿さんの相手なんて、時間の圧倒的な無駄だから。
06_CONTEMPT_176 おいおい、俺の視界の中に立つな。お前のその哀れで薄汚い顔を見ると、せっかくの美味しい飯が最高に不味くなるんだよ。
06_CONTEMPT_177 へぇ……結局最後はいつでもそうやって、泣きべそかいて誰かに媚びて助けを求めるんだ。本当に哀れで救いようがないね。
06_CONTEMPT_178 おやおや、まだそんなボロボロで泥だらけの服を着ているのですか？臭いがうつりますから絶対に近づかないでいただけますか。
06_CONTEMPT_179 馬鹿げている。そんなくだらない古代の迷信にすがるなんて、お前の頭には知性の欠片も全く一ミリも感じられないな。
06_CONTEMPT_180 ちっ、お前みたいな脳内お花畑の能天気な奴が、のうのうと呼吸して生きていられるこの世界が心底憎くてたまらないぜ。
06_CONTEMPT_181 ふんっ。その程度の子供の擦り傷で大声で泣き叫ぶなんて、お前は本当に痛みに弱い情けない赤ん坊みたいな臆病者だな。
06_CONTEMPT_182 あら、その時代錯誤でどうしようもなくセンスの悪いドレス、もしかしてどこかのゴミ捨て場で哀れに拾ってきたのかしら？
06_CONTEMPT_183 くだらん極まりない。貴様のような志の低いその日暮らしのクズに、この崇高な教えを説いて聞かせる意味など全くない。
06_CONTEMPT_184 おいおいおい、その酷いザマは何だ？地面を這いつくばるゴミムシのミミズの方がまだマシで美しい動きをするぜ。
06_CONTEMPT_185 ふははっ！たった数人の雑兵に囲まれただけでブルブル震え上がるとは、お前という存在はお笑いの天才的なお笑い草だな。
06_CONTEMPT_186 なんだその反抗的なゴミを見るような目は。お前ごときが、この偉大なる俺様に逆らって勝てるとでも本気で思っているのか？
06_CONTEMPT_187 全く、何度口酸っぱく言ったら分かるの。あなたみたいな頭の悪い単細胞には、人間の高度な言葉は通じないのおかしらね。
06_CONTEMPT_188 けっ。口ではいつも偉そうなことを並べ立てて言ってても、いざとなれば真っ先に尻尾を巻いて逃げ出す最低なくせにな。
06_CONTEMPT_189 ふん。その貧相で栄養も足りてない体で、一体誰の足手まといにならずに守れるって言うんだい？笑わせるのも大概にしろよな。
06_CONTEMPT_190 信じられないわね。あなたみたいな無能の極みである人間が、まだこの厳しい組織にクビにならずに居座っていたなんて。
06_CONTEMPT_191 お黙りなさいませ！あなたのような下働きの奴隷分際で、この高貴なる私に偉そうに意見するなど一万年早いですわ！
06_CONTEMPT_192 ちっ、なんだよその常に卑屈な情けない顔は。見てるこっちの気分がどん底までイライラしてくるんだよ、消え失せろ。
06_CONTEMPT_193 へぇ……結局それがお前のひねり出した全力？あまりの弱さのどん底っぷりに、戦う前から欠伸とため息が出そうなんだけど。
06_CONTEMPT_194 いい加減にしなさいよ。お前のそのくだらない妄想やでっち上げの嘘にはもうとっくの昔に愛想も尽きてうんざりしてるんだよ。
06_CONTEMPT_195 ふんっ。お前みたいな都合が悪くなるとすぐ寝返る裏切り者、誰が好き好んでいつまでも信用してやるかって言うんだよ、バカめ。
06_CONTEMPT_196 あらあら、あなたって本当に常識も知性の欠片も何も知らないのね。無知っていうのはどこまでも救えなくて罪だと思わない？
06_CONTEMPT_197 くだらない。そんなすぐに見破れるようなつまらない挑発にホイホイ乗るほど、俺は脳みそが空っぽの馬鹿じゃないんだよ。
06_CONTEMPT_198 おいおいおい、涙を流して土下座で泣いて謝れば、簡単に全部許してもらえるとでも甘く思ってるのか？お前の頭はお花畑だな。
06_CONTEMPT_199 ふははっ。よく見てみろよあの完全に怯えきった青ざめたツラ。本当にゴミ捨て場で見かけた見苦しいネズミそっくりだぜ。
06_CONTEMPT_200 全く……こんな腐ったドブスライムの死骸の臭いがする男と、よくもまあ平気な顔をしてニコニコ腕を組んで歩けるわね。
