01_JOY_001 すっごく嬉しい！初めて私が焼いたパンを美味しいって言ってくれたの。
01_JOY_057 やったぜ！次の大会に出場できる切符を、ついに手に入れたんだ！
01_JOY_058 へっへー！俺様の華麗な剣さばきに、みんなメロメロだっただろう？
01_JOY_059 ふぉっふぉっふぉっ、こんな珍しい品に出会えるとは、長生きはするもんじゃ。
01_JOY_060 おめでとう！ついに念願の支店長に昇格するらしいな！
01_JOY_061 ありがとね！先輩が教えてくれたおかげで、すごくよく分かったよ。
01_JOY_062 お帰りなさい。あなたがご無事で戻られたこと、本当に嬉しく存じます。
01_JOY_063 ふぅ、やっと終わったな。お前たち、今日はとことん飲むぞ！
01_JOY_064 おや？君もあの本を読んでくれたんだね？とても嬉しいよ。
01_JOY_065 ふん、私に挑もうなんて百萬年早いが、なかなか筋が良くて楽しませてくれたぞ。
01_JOY_066 やったぜ！今日の漁は見たこともないほどの大漁だった！
01_JOY_067 そうか！この魔法陣のパズルの正体はそういうことだったのか！
01_JOY_068 おっ、この肉料理たまらん！ほっぺたが落ちそうだぜ！
01_JOY_069 おや？君たちのチームが優勝したのか。それは本当におめでたい話だね。
01_JOY_070 ふふっ、この呪文書の最後のページに到達したのは、私が初めてだろう。
01_JOY_071 おめでとうございます！社長賞の受賞、私まで嬉しくなっちゃいました。
01_JOY_072 ついに俺たちの長年の夢だった、自分たちのお店を持つことができたな！
01_JOY_073 助かりました。あなたが援護してくれなければ、危ないところでしたから。
01_JOY_074 やった！今日のログインボーナスは、欲しかったアイテムだったよ。
01_JOY_075 よし、これで今月の売り上げは目標額を大きく上回ったな。みんな、お疲れさん。
01_JOY_076 ありがとな！お前が後ろを任せてくれたから、心置きなく戦えたぜ！
01_JOY_077 おお、ついに神竜の試練を打ち破る者が現れようとはな！
01_JOY_078 やったあ！来週の日曜日、家族みんなで遊園地にご褒美旅行だって！
01_JOY_079 えへへ～！パパがお仕事早く終わって、一緒に遊んでくれるって！
01_JOY_080 お帰りなさいませ。今日のために、特別なお茶菓子をご用意いたしました。
01_JOY_081 素晴らしい勝利でした。あの強大な敵を打ち破るなんて、見事としか言いようがありません。
01_JOY_082 この料理、すごく美味しい！ほっぺたが落ちちゃうくらい甘くて最高！
01_JOY_083 俺たちの絆があれば、どんな強敵だって必ず打ち倒せるはずさ。
01_JOY_084 なるほど、長年の謎だったこの数式の意味がようやく解けたぞ！
01_JOY_085 おお！長年探し求めた伝説の剣をついに発見したぞ！
01_JOY_086 お坊ちゃま！怪我なくお戻りになられて、本当に良かったです！
01_JOY_087 大豊作だ！これなら冬も皆で暖かく過ごすことができるぞ！
01_JOY_088 おらあっ！ついにランキングで全国一位まで上り詰めたぞーっ！
01_JOY_089 おっしゃ！今日から念願の夏休みだ！海へ遊びに行こうぜっ！
01_JOY_090 この設計図通りに作れば、必ず世界最高の空飛ぶ船が完成するはずさ！
01_JOY_091 あら、あなたが摘んできてくれたお花、本当にとってもいい香りね。
01_JOY_092 へへっ、どんなもんだ！オレ様にかかれば、こんな魔物なんてただの雑魚だぜ！
01_JOY_093 えっ、これ私にくれるの？すっごく嬉しい、ありがとう！
01_JOY_094 ありがとうございます。皆様のご支援があってこそ、ここまで来られました。
01_JOY_095 やったぜ！ずっとクリアできなかった高難度クエストをクリアしたぞ！
01_JOY_096 うんうん、この刀の反り具合、まさに私が追い求めていた完璧な曲線だ。
01_JOY_097 お主の鍛え上げたこの品、まさに国宝級の仕上がりじゃ！
01_JOY_098 うんうん、君の努力の成果が目に見えて分かるのは嬉しいよ。
01_JOY_099 見て見て！あのね、お父さんが大きなぬいぐるみを買ってくれたの！
01_JOY_100 私の奏でるピアノの音色を、あなたがそんなに喜んでくれるなんて。
01_JOY_101 よーし、このまま一気に敵の本拠地まで攻め込んで、終わらせてやるぜ！
01_JOY_102 えへへ～、今日の晩ご飯はハンバーグだって！早く食べたいな～。
01_JOY_103 ええっ、この貴重な古文書を本当に私が譲り受けてもよいのですか！
01_JOY_104 あぶねえ！間一髪でドラゴンの炎から逃げ切れたぜ。
01_JOY_105 おっと、これは珍しい魔導書だな。こんな場所で出会えるとは運がいいぞ。
01_JOY_106 ふふ、この剣の切れ味、驚くほど滑らかで素晴らしいわね。
01_JOY_107 やったあ！今日はパパとママと一緒にゲームセンターで遊び放題だ！
01_JOY_108 おお、生きておったか！またお主と肩を並べられるとは！
01_JOY_109 ふふっ、この依頼も無事に終わりましたね。
01_JOY_110 いいぞ！この調子でどんどん記録を更新していこうじゃないか。
01_JOY_111 うん、これですべての準備が整った。あとは本番で全力を出すだけだね。
01_JOY_112 よしよし、もう君の怪我は完全に治ったみたいだね。
01_JOY_113 よく無事で戻ってきてくれました。さあ、温かいスープができておりますよ。
01_JOY_114 この日をずっと待っておりました。本当に、ただただ感謝の言葉しかありません。
01_JOY_115 えへへ、見てみて！おばあちゃんからすっごく可愛い指輪をもらったの！
01_JOY_116 いやー、まさか君がここまで強くなるとは、オレも本当に嬉しいよ。
01_JOY_117 この素材、驚くほど高品質だ！最高の剣を打ってやるから待ってな。
01_JOY_118 ねえ、あそこのケーキ屋さん、新作のイチゴタルトが出たらしいよ！行こう！
01_JOY_119 いいね！君のそういう強気なところ、オレは結構好きだぜ。
01_JOY_120 よし！ようやく迷いの森を抜けて、光の当たる街道に出たぞ！
01_JOY_121 わーっ！海だー！すっごく広くて青くて、とっても綺麗だね！
01_JOY_122 うわぁ、こんなにたくさんのお菓子をもらえるなんて、夢みたいだね。
01_JOY_123 うんっ！私たち、これからもずっとずっと仲良しでいようね！
01_JOY_124 ありがとう、君の励ましがあったから最後まで走り切れたんだ。
01_JOY_125 よっしゃ！今日のお昼ご飯のおかずは、私の大好きな唐揚げだ！
01_JOY_126 よーし！気合い入れて作ったこのロケット、予定通り打ち上がったぞ！
01_JOY_127 やったぜ！ずっと欲しかったあのおもちゃ、サンタさんがくれたよ！
01_JOY_128 この風の匂い、やっぱり故郷の村に帰ってくるのは最高だな。
01_JOY_129 やったあ！くじ引きで一等賞のハワイ旅行が当たっちゃった！
01_JOY_130 ふふっ、今日は特別に、私がとっておきのフルコースを作ってあげるわ。
01_JOY_131 ふふ、この新しいドレスを着て舞踏会に出るのが、今からとても楽しみですわ。
01_JOY_132 おお！これでやっとすべての部品が揃った！あとは組み立てるだけだ！
01_JOY_133 なるほど、こんな素晴らしい解決策を思いつくとはさすがだな。
01_JOY_134 わぁ！こんなに可愛いお洋服、全部私にくれるの？ホントに信じられない！
01_JOY_135 おお、ついに我が一族に新しい命が誕生したのか！なんと喜ばしいことだ！
01_JOY_136 よしよし、よく頑張った。今日のおやつは、特大のショートケーキにしてやろう。
01_JOY_137 ねえ、あの花畑を見て！すごく色鮮やかで、まるで絵画のようね。
01_JOY_138 ふふ、私が手塩にかけて育てた薬草が、ついに花を咲かせましたね。
01_JOY_139 ふふ、この魔法が完成すれば、誰も私を止めることはできませんわ！
01_JOY_140 まあ！こんなに可愛らしいお洋服、本当に私が着てもいいんですか？
01_JOY_141 やった！ついに新しいゲーム機をパパが高確率で買ってくれるってさ！
01_JOY_142 ふふっ、これでお前ともう一度戦えると思うと、血が騒ぐな。
01_JOY_143 よしよし、よく我慢したな。お前は本当に強い、立派な戦士だ。
01_JOY_144 ふふっ、予想していた通りの素晴らしい結果を出してくれましたね。
01_JOY_145 素晴らしいご提案ですね！その条件でしたら喜んで契約を結ばせていただきます。
01_JOY_146 信じられない！誰も気づかなかった隠し部屋を見つけたわ！
01_JOY_147 ご主人様！私が縫ったこの服、サイズもピッタリで良かったです！
01_JOY_148 おお！なんと見事な財宝じゃ！これを売り裁けば大金持ちになれるぞ！
01_JOY_149 あなたが作ったこの剣、実に素晴らしい出来栄えだぞ。
01_JOY_150 ふん、お前ならこれくらいやってのけると思っていたぜ。
01_JOY_151 ふふっ、ついに私たちがずっと準備してきた計画を実行する時が来たわ。
01_JOY_152 やった！今日の夕飯は私の大好きなハンバーグとエビフライだ！
01_JOY_153 うん、このスープは絶品だ。野菜の甘みがしっかり引き出されているね。
01_JOY_154 ええっ、まさかこんなところで君と再会できるなんて！
01_JOY_155 ふん、私に勝とうなど一万年早いということが証明されたな。
01_JOY_156 おお、ついに私が注文していた最強の防具が完成したのか！
01_JOY_157 もう大丈夫です。傷跡ひとつ残らず完璧に癒えましたよ。
01_JOY_158 助かったよ！君がすぐに駆けつけてくれたおかげで、被害は最小限で済んだんだ。
01_JOY_159 君の笑顔を見ていると、自然と私の心もぽかぽかと温かくなるよ。
01_JOY_160 ふふ、この魔法の杖を手に入れたからには、どんな敵でも一撃ですわ！
01_JOY_161 いやあ、あのピンチから這い上がってきた時は、俺も思わず声が出たよ。
01_JOY_162 やったぜ！あの宿敵をついに俺の手で倒してやったんだ！
01_JOY_163 へへん！俺様の強さを思い知ったか！
01_JOY_164 ふふ、無事に依頼が終わって良かったですわ。ゆっくりお休みなさいませ。
01_JOY_165 心地よい風ですね。サンドイッチの味も格別に感じられます。
01_JOY_166 素晴らしい！君のその閃きは、誰も思いつかなかった大発見だよ。
01_JOY_167 ああ、これでやっとこの長い旅路も終わりを迎えることができる。
01_JOY_168 いやー、このビール、仕事終わりの一杯にしては最高すぎるだろ。
01_JOY_169 ありがとう。お前のその一言に、俺はどれだけ救われたか分からない。
01_JOY_170 見て！ずっと欲しかった魔法の杖を手に入れたの！
01_JOY_171 まさか私にこんな才能が眠っていたなんて、本当に驚きです！
01_JOY_172 やっぱり君の淹れる紅茶は、世界で一番温かくて落ち着くね。
01_JOY_173 おおっ、これほど見事な刀は、わしのような老いぼれにはもったいないな！
01_JOY_174 素晴らしい成果だよ。君の弛まぬ努力は、必ず報われると信じていたさ。
01_JOY_175 素晴らしい出来栄えだ。君の鍛冶の腕は、ついに私を超えたようだな。
01_JOY_176 うんっ、これでもう誰にもバカにされないくらい魔法の練習をしたんだ。
01_JOY_177 やったー！自転車に補助輪なしで乗れるようになったよ！
01_JOY_178 やったあ！ガチャで一番レアなキャラクターが一発で出たわ！
01_JOY_179 やったー！ついに自分の部屋をもらえたぞ！これから俺の城だ！
01_JOY_180 旦那様、無事のご帰還、心よりお待ち申し上げておりました。
01_JOY_181 あの難しい試験に合格するなんて、本当に頑張ったんですね。
01_JOY_182 ははっ、今回の任務も無キズで完了だな。
01_JOY_183 なるほど、君は本当に私が期待した通りの逸材だったようだな。
01_JOY_184 あら、このお茶菓子、すごく美味しくて手が止まらなくなりそうだわね。
01_JOY_185 よかった、これで全ての村人が無事に避難できたようですね。
01_JOY_186 お祝い申し上げます。次期店長の座を見事射止めましたね。
01_JOY_187 ありがとう。お前が無事に帰ってきてくれただけで、もう十分さ。
01_JOY_188 ありがとう！あなたが助けてくれなかったら、今頃どうなっていたか。
01_JOY_189 あら、この紅茶のブレンド、とても私好みで美味しくてよ。
01_JOY_190 わぁ！星が降ってくるみたい！あんなにたくさんの流れ星、初めて！
01_JOY_191 やったー！パパが新しい自転車を買ってくれたよ！
01_JOY_192 こんなにすてきなプレゼントをいただけるなんて、夢のようですわ。
01_JOY_193 助かった！君が道案内してくれなかったら完全に迷ってたよ。
01_JOY_194 ありがとうみんな！応援してくれたおかげで優勝できたよ！
01_JOY_195 よしっ、ついに私の理想とする最強の剣が打ち上がったぞ！
01_JOY_196 今日は雲ひとつない、とても素晴らしいお天気ですね。
01_JOY_197 君の剣筋、見違えるほど鋭くなったな。見事な成長ぶりだ。
01_JOY_198 素晴らしい成果だ！これほどの魔石は市場でも滅多にお目にかかれない。
01_JOY_199 素晴らしい！君たちのこの見事な働きには、金一封では足りないくらいだ！
01_JOY_200 うん！君と一緒にいると、なんだか毎日がすごく楽しくて仕方ないよ！
