02_ANGRY_001 ふざけるな！そんな戯言、誰が信じると思っているんだ！
02_ANGRY_069 おいおい、勘弁してくれよ。こんな面倒な仕事、俺は聞いてないぞ。
02_ANGRY_070 貴様、我らが神聖なる儀式を妨害するなど、万死に値するぞ！
02_ANGRY_071 ふざんけんな！お前がドジを踏んだせいで、俺たちまで巻き添えだ！
02_ANGRY_072 もう限界だ。これ以上、君たちの身勝手な振る舞いには付き合えん。
02_ANGRY_073 なんてことするの！私が大切に育てていた花壇を滅茶苦茶にして！
02_ANGRY_074 うるさいっ！誰がどう言おうと、俺の決意は絶対に変わらない！
02_ANGRY_075 こんな安物を売りつけようとするなんて、私を甘く見るのも大概にしろ！
02_ANGRY_076 おいおい、本気で言ってるのか？それはあまりにも筋が通らない話だぜ。
02_ANGRY_077 私のような大魔術師に向かって、そのような口の利き方は何事だ！
02_ANGRY_078 いい加減にしろ！これ以上俺のプライドを傷つける気なら、容赦しない。
02_ANGRY_079 あなたって本当に気が利かないのね！少しは自分で考えて動けないの？
02_ANGRY_080 おいっ！俺のプリンを勝手に食べたのはお前か！許さねえぞ！
02_ANGRY_081 口を慎んでいただこうか。あなたの発言は、我が主への宣戦布告と受け取ります。
02_ANGRY_082 こんな鉄屑に金など払えるか！オレは本物の業物を求めているんだ！
02_ANGRY_083 お前なぁ！何回言えばその手癖の悪さを直してくれるんだよ！
02_ANGRY_084 本当に苛立たしい！なぜ貴様らはそんなに愚かな判断しかできないんだ！
02_ANGRY_085 何をやっているの！早くそいつを縛り上げないと逃げられちゃうじゃない！
02_ANGRY_086 黙らんか！生徒の分際で、教師に向かってその態度は何事だ！
02_ANGRY_087 おい、その言葉の意味が分かってて言ってるんだろうな。ならば実力で見せてもらうぞ。
02_ANGRY_088 なんて失礼な男！私の厚意を無にして踏みにじるなんて、最悪だわ！
02_ANGRY_089 いい加減にしろよ！いつ見てもゲームばかりで、全然手伝ってくれないじゃないか！
02_ANGRY_090 ふん、あんな小娘一人捕まえられないとは、全く使えない連中だ。
02_ANGRY_091 申し訳ありませんが、そのような不当な要求には一切応じられません！
02_ANGRY_092 なめやがって！俺の顔に泥を塗った代償、高くつくと思えよ！
02_ANGRY_093 もうっ！どうしていつもそうやって、一番大事なところではぐらかすの！
02_ANGRY_094 おい、お前ら！俺の指示を無視して勝手に動くなと言っただろうが！
02_ANGRY_095 貴様の手柄だと？笑わせるな、それは我が騎士団が命を懸けて勝ち取ったものだ！
02_ANGRY_096 ふざけるなっ！たったこれっぱっちのミスで俺をクビにする気かよ！
02_ANGRY_097 あなたって人は、どうしてそんなにも人の心が理解できないの！
02_ANGRY_098 おいっ！俺の後ろに隠れてないで、お前も少しは戦えよ！臆病者！
02_ANGRY_099 静まれ！この神聖なる場において、これ以上の私語は決して許さぬ！
02_ANGRY_100 ふん！この程度の攻撃で私を倒そうなど、片腹痛いにもほどがあるわ！
02_ANGRY_101 ふん、お前みたいな役立たず、今すぐ私の視界から消え失せろ！
02_ANGRY_102 あなたたち！私がせっかく作った夕食を、冷めるまで放置する気なの！
02_ANGRY_103 なんだと！俺様を見下すようなその目つき、二度とできないようにしてやる！
02_ANGRY_104 ふざけるな！そんなに不満があるなら、自分で全部やってみろよ！
02_ANGRY_105 口出しするな！この件において、部外者のお前が口を挟む権利などない！
02_ANGRY_106 まったく、少し目を離した隙に、何と浅ましい真似をしてくれたんだ！
02_ANGRY_107 おいおい、おふざけも大概にしろよ。これ以上は本気で怒るぜ。
02_ANGRY_108 何度同じミスを繰り返せば気が済むの！もうあなたには何も任せられない！
02_ANGRY_109 控えなさい！我らが王に対して、そのような無礼な物言いが許されるとでも！
02_ANGRY_110 ふん、あんな見え透いた嘘で私を騙せるとでも思っていたのか！おめでたい奴だ！
02_ANGRY_111 うるさい！お前のくだらない自慢話を聞かされる身にもなってくれ！
02_ANGRY_112 どうして約束の一つも守れないの！あなたって本当に最低な人ね！
02_ANGRY_113 こんな安物を掴まされるとは！あの商人の顔を二度と拝めないようにしてやる！
02_ANGRY_114 私だって一生懸命頑張ったのに！どうして頭から否定されなきゃいけないのよ！
02_ANGRY_115 おいっ、ふざけんな！勝手に俺の大事なバイクに乗るんじゃねぇよ！
02_ANGRY_116 まったく、君という人はどこまで厚かましいんだ！いい加減にしろ！
02_ANGRY_117 愚か者が！この私の顔に泥を塗った代償、高くつくことを思い知るがいい！
02_ANGRY_118 おいおい、冗談はよしてくれ。こんなハズレくじのために命を懸けろってのか？
02_ANGRY_119 いい加減にしなさい！いつまで経っても子供みたいな言い訳ばかりして！
02_ANGRY_120 ふざけるな！俺たちの友情をこんな形で踏みにじるなんて許さない！
02_ANGRY_121 ああもう、イライラする！誰も彼も言うことを聞かないんだから！
02_ANGRY_122 あなたって人は、どうしていつもそうやって人を傷つけることしか言えないの！
02_ANGRY_123 おい、その態度はないんじゃないか？誠意ってもんが全く見えないぞ。
02_ANGRY_124 黙れ！貴様など、この聖なる剣のサビにしてくれるわ！
02_ANGRY_125 だから言ったじゃない！あんな怪しい話に乗るからこういうことになるのよ！
02_ANGRY_126 ふざけんなよ！俺が全部お膳立てしてやったのに、逃げ出すってどういうことだ！
02_ANGRY_127 うるさい！私に指図をするんじゃないわよ！あんたなんて大嫌い！
02_ANGRY_128 ふん、私をここまでコケにした連中だ。決して生かしては返さんぞ。
02_ANGRY_129 お前なぁ！もっと周りを見てから行動できないのか！なんて身勝手な奴だ！
02_ANGRY_130 いい加減にして！いつまで私の後をつけ回すつもりなのよ、気持ち悪い！
02_ANGRY_131 おいっ！俺の分のお弁当まで勝手に食べちゃったのか！信じられない！
02_ANGRY_132 おいおい、いくら何でもその要求は非常識すぎるだろ！ふざけるな！
02_ANGRY_133 だーっ、もうめちゃくちゃだ！お前らのせいで全部台無しだぞ！
02_ANGRY_134 貴様、我らが守り抜いた砦をやすやすと明け渡すなどと、正気で言っているのか！
02_ANGRY_135 ちょっと！なんでこんな大事な連絡を今まで黙っていたのよ！
02_ANGRY_136 うるさいっ！もう誰の意見も聞きたくない！私を一人にして！
02_ANGRY_137 ふんっ、この程度の痛みで泣き言を言うとは、本当に情けない奴だ！
02_ANGRY_138 おいっ、いい加減にしろ！何度言ったら俺の邪魔をするのをやめるんだ！
02_ANGRY_139 あんたって人は！人が真剣に話してるのに、欠伸なんてするんじゃないわよ！
02_ANGRY_140 ふざけるな！私が描いたデザインを勝手に自分のものとして発表するなんて！
02_ANGRY_141 まったく、君たちはいつになったらチームワークの重要性を理解するんだ！
02_ANGRY_142 口を慎め！これ以上その口を開けば、私がその舌を切り落としてくれる！
02_ANGRY_143 おいおい、本気でそんなことを言っているのか！バカにするのも大概にしろ！
02_ANGRY_144 ねえっ！なんでいつもそうやってすぐに怒鳴るのよ！理不尽すぎるわ！
02_ANGRY_145 もう我慢ならない！私に濡れ衣を着せた犯人を、絶対に地の果てまで追い詰めてやる！
02_ANGRY_146 貴様ら、我らが王の御前であるぞ！その無礼な態度、万死に値する！
02_ANGRY_147 あーもう！いくら探しても肝心な資料が出てこないじゃないか！イライラする！
02_ANGRY_148 いい加減にしてよ！私がどれだけ心配したか、少しは分かってるの！？
02_ANGRY_149 ふん、あんなゴミ屑のような連中と一緒にされるなど、屈辱の極みだ！
02_ANGRY_150 なんで私がこんな目に遭わなきゃいけないの！本当に信じられない！
02_ANGRY_151 おいっ！俺の宝剣に勝手に触るな！素人が安易に扱っていい代物じゃないんだぞ！
02_ANGRY_152 だから言ったじゃないの！私の忠告を無視するから、こんな大失敗をするのよ！
02_ANGRY_153 ふざけんじゃねえ！俺の仲間を侮辱したこと、絶対に後悔させてやる！
02_ANGRY_154 まったく、なんでこんな簡単な計算問題も解けないんだ！もっと真面目にやれ！
02_ANGRY_155 あなたって人は、人の言うことを最後まで聞かずに、いつも勝手な行動ばかり！
02_ANGRY_156 おいおい、冗談だろ？こんなふざけた仕様書でプログラムが組めるわけないだろ！
02_ANGRY_157 もう許さない！私の大切にしていたドールを壊すなんて、絶対に許さないんだから！
02_ANGRY_158 貴様、我らが鍛え上げたこの鎧を「重くて使えない」と抜かしたな！
02_ANGRY_159 ふん、私を嵌めようなどと、百年早いわ！その浅はかな計画ごと消し飛ばしてくれよう！
02_ANGRY_160 いい加減にしろ！お前の身勝手なワガママには、俺たち全員うんざりしてるんだよ！
02_ANGRY_161 なによそれ！私が一生懸命作ってきたプレゼン資料を、一目見てボツにするなんて！
02_ANGRY_162 おいっ、俺の席を勝手に取るなよ！そこは俺が朝イチで場所取りしてたんだぞ！
02_ANGRY_163 本当に苛立たしいわね。あのような無神経な言葉を平然と口にするなんて。
02_ANGRY_164 黙りなさい！私が話している最中に、部下のあなたが口を挟むなど言語道断です！
02_ANGRY_165 ちょっと！私に内緒でみんなで遊びに行ったなんて、酷すぎるじゃない！
02_ANGRY_166 おいおい、ふざけるなよ！俺がどれだけ苦労してこの情報を集めたと思ってるんだ！
02_ANGRY_167 まったく、いつになっても成長しない。君という男には開いた口が塞がらないよ！
02_ANGRY_168 許しはしない！私の誇りを踏みにじった罪、その身をもって償わせる！
02_ANGRY_169 いい加減にして！あなたがいつも遅刻するせいで、みんなが迷惑してるのよ！
02_ANGRY_170 おいっ！俺のゲームのセーブデータを勝手に上書きしたの、絶対お前だろ！
02_ANGRY_171 貴様、我らが神聖なる騎士団の規律を、またしても破ろうというのか！
02_ANGRY_172 なによっ！私がせっかく親切で言ってあげてるのに、その反抗的な態度は！
02_ANGRY_173 ふん、あんな腑抜けの連中など、私の視界に入るだけでも不愉快だ！
02_ANGRY_174 おいおい、俺の分け前がこれっぽっちだなんて、聞いてないぞ！ふざけてるのか！
02_ANGRY_175 いい加減にしてよ！さっきから全然話を聞いてないじゃない！
02_ANGRY_176 もう限界だっ！こんな理不尽な労働環境、今すぐ辞めてやる！
02_ANGRY_177 あなたって本当に最低ね！自分の都合のいいようにばかり解釈して！
02_ANGRY_178 おいっ、俺の大切なギターに勝手に触って、傷をつけたのはどいつだ！
02_ANGRY_179 なんだと！私に向かってそのような無礼を働くとは、命知らずにも程があるわ！
02_ANGRY_180 ふざけるなっ！俺たちが身を粉にして働いた結果が、全部お前の手柄になるなんて！
02_ANGRY_181 ちょっと！私のおやつのプリン、いつの間に冷蔵庫から消えたのよ！
02_ANGRY_182 貴様、この私が寛大に許してやっているというのに、まだ文句があるというのか！
02_ANGRY_183 うるさい！お前のその軽薄な言い訳、もう聞き飽きたんだよ！
02_ANGRY_184 まったく、なんでこんな簡単な作業ですら、一度でミスなくできないんですか！
02_ANGRY_185 あなたって人はっ！私のことを少しでも心配してくれる気持ちはないの！
02_ANGRY_186 おいっ！俺が決めたルールを勝手に変えるな！協調性を持てよ！
02_ANGRY_187 ふん、私をここまでコケにして、ただで済むと本当に思っているのか？
02_ANGRY_188 ちょっと！なんで私がお前のミスの尻拭いをさせられなきゃならないのよ！
02_ANGRY_189 黙れ！これ以上、我が愛する者たちの悪口を言えば、絶対に許さないぞ！
02_ANGRY_190 いい加減にして！いつまで経っても私の顔色ばかり窺って、自分の意見はないの！？
02_ANGRY_191 ふざけるな！そんな口先だけの謝罪で、この俺が納得すると思うなよ！
02_ANGRY_192 本当に苛立たしいわ。あのような卑怯な手段で私から勝利を掠め取るなんて！
02_ANGRY_193 うるさいっ！あなたになんて、私のこの深い悲しみや怒りが分かるはずないわ！
02_ANGRY_194 おいおい、冗談だろ？こんなくだらない依頼のために、俺を呼び出したのかよ。
02_ANGRY_195 まったく、お前というやつは！いつもいつも俺の手を焼かせやがって！
02_ANGRY_196 なんだと！俺の大事なプラモデル、掃除の邪魔だからって捨てたのか！
02_ANGRY_197 ちょっと待ってよ！なんで私だけがこんな理不尽なペナルティを受けなきゃいけないの！
02_ANGRY_198 貴様、我らが鍛え上げたこの名剣を「なまくら」と抜かしたか！もう一度言ってみろ！
02_ANGRY_199 口を慎んでよ！私がどれだけ苦労してこれを作り上げたか、少しは考えなさい！
02_ANGRY_200 許さない！私を裏切って、敵の手に落ちるなんて！絶対に許さないんだから！
