WHISPER_NORMAL_001 ……シーッ、ここだけの話をしよう。誰にも聞かれたくないからさ。
WHISPER_JOY_001 ……ねえ、聞いて。さっき、ちょっとだけいいことがあったんだ。
WHISPER_JOY_002 ご主人様、おめでとうございます。心からの祝福を、そっとお伝えさせてくださいませ。
WHISPER_JOY_003 ふふっ、静かにしてないと怒られるのに、笑いこらえるの限界なんだけど。
WHISPER_JOY_004 お嬢様、その新しいドレス、とてもよくお似合いでございます。小声で失礼ながら、最高です。
WHISPER_JOY_005 ……やったな。がんばってるの、ちゃんと報われたじゃん。
WHISPER_JOY_006 ねえ、今の瞬間スクショ撮りたいくらい尊いんだけど、さすがに空気読んでやめておく。
WHISPER_JOY_007 ご主人様、本日のご成功は、日頃のご努力の賜物にございます。ささやかではございますが、祝いの紅茶をお持ちしました。
WHISPER_JOY_008 ……ほら、見て。さっきまで曇ってたのに、急に光が差してきた。
WHISPER_JOY_009 お嬢様、今の笑顔は、誰にも見せたくないほど眩しゅうございますね。
WHISPER_JOY_010 ね、こっそりハイタッチしよ。あんまり派手にやるとバレるから。
WHISPER_JOY_011 ……好きな人が笑ってるのを見るだけで、こんなに幸せになれるんだな。
WHISPER_JOY_012 ご主人様、本日のパーティーは大成功と申し上げてよろしいかと。皆さま、実に楽しそうでございました。
WHISPER_JOY_013 ふふ、思ったより上手くいっちゃったね。自分たちを褒めてあげよ。
WHISPER_JOY_014 ……サプライズ、ちゃんと驚いてくれてよかった。内心、すごくドキドキしてたんだよ。
WHISPER_JOY_015 お嬢様、よろしければ、このあと一曲だけご一緒にいかがでしょう。誰にも聞こえないくらい小さな声で歌いましょう。
WHISPER_JOY_016 ご主人様、ささやかではございますが、厨房より特別なデザートをお預かりしております。今夜だけの内緒でございます。
WHISPER_JOY_017 ……今日、生きててよかったって、素直に思えた。こういう日が、もっと増えるといいな。
WHISPER_JOY_018 ねえ、これさ、小さい頃からの夢だったんだよ。叶っちゃったね。
WHISPER_JOY_019 お嬢様、舞踏会のフロアで堂々と踊られるお姿、とても素晴らしゅうございました。
WHISPER_JOY_020 ご主人様、今夜くらいは、少しはしゃいでいただいても誰も文句は申しませんよ。
WHISPER_JOY_021 ……秘密のご褒美、用意しておいたんだ。よかったら、このあとこっそり渡させて。
WHISPER_JOY_022 ね、こんなに笑ったの、久しぶりじゃない？ 頬がちょっと痛い。
WHISPER_JOY_023 お嬢様、本日は本当にお疲れ様でございました。よろしければ、成功の余韻に浸りながら一杯いかがでしょう。
WHISPER_JOY_024 ご主人様、次の計画も、きっと上手くいきます。今までの積み重ねが、それを証明してくれています。
WHISPER_JOY_025 ……こうやって静かに喜びを分かち合うの、派手なパーティーより好きかもしれない。
WHISPER_JOY_026 ねえ、これからもさ、こんな小さい「やった」を集めていこうよ。
WHISPER_JOY_027 お嬢様、本日のご活躍、陰ながら何度も拍手をこらえておりました。
WHISPER_JOY_028 ご主人様、ささやかながら、使用人一同より感謝の気持ちを込めた贈り物がございます。あとでそっとお渡しいたします。
WHISPER_JOY_029 ……大声で叫びたいくらい嬉しいけどさ、この距離で「おめでとう」って囁くほうが、特別感あるでしょ。
WHISPER_JOY_030 ほんとによくがんばったね。胸を張って、この喜びを受け取っていいんだよ。
WHISPER_FEAR_001 ……今の音、聞こえた？ さっきから同じ場所で止まってる。
WHISPER_FEAR_002 ねえ、ここ、さっき通ったとこと違うよね……道、合ってる？
WHISPER_FEAR_003 ……電気が一気に消えるの、やめてほしい。心臓に悪い。
WHISPER_FEAR_004 ご主人様、この廊下の先は灯りが少なく、足元も悪うございます。どうか私の腕につかまってお進みください。
WHISPER_FEAR_005 息、浅くなってる。いったん止まって、ゆっくり吸って……そう、ゆっくり。
WHISPER_FEAR_006 ……後ろ、見ないほうがいい。振り向いたら、何かと目が合いそうで。
WHISPER_FEAR_007 お嬢様、申し訳ございませんが、この部屋は少々不吉な噂がございまして……長居はなさらないほうが賢明かと。
WHISPER_FEAR_008 ねえ、さっきからスマホの電波、急に切れたり戻ったりしてるんだけど。
WHISPER_FEAR_009 ……足音がひとつ多い気がするの、気のせいだと言ってほしい。
WHISPER_FEAR_010 ご主人様、少し震えておられますね。大丈夫、私はここを離れません。
WHISPER_FEAR_011 ……もしこのドアが開かなかったらって考えると、ちょっと笑えないよね。
WHISPER_FEAR_012 お嬢様、灯りを消したあと、しばらく目が慣れるまで動かないでくださいませ。
WHISPER_FEAR_013 ねえ、外の風の音に混ざって、別の何かが聞こえない？
WHISPER_FEAR_014 ……怖いって言ってくれたほうが、まだ安心する。黙って耐えられると、こっちが不安になる。
WHISPER_FEAR_015 ご主人様、あの影は……いえ、見間違いであればよいのですが。どうか私の後ろへ。
WHISPER_FEAR_016 ここ、明らかに空気が違う。温度も、匂いも。
WHISPER_FEAR_017 ……もしものときは、先に逃げろなんて言わないでね。一緒に考えよう。
WHISPER_FEAR_018 お嬢様、どんなに怖くとも、叫び出したくなったら、まずは私の袖を強く握ってください。
WHISPER_FEAR_019 ご主人様、この先は危険が予想されます。引き返すという選択肢も、常に頭に置いておきましょう。
WHISPER_FEAR_020 ……心臓、暴れてるね。同じくらい、俺のもバクバクしてるから安心して。
WHISPER_FEAR_021 ねえ、明かりが消えても、手だけは離さないで。それだけ約束して。
WHISPER_FEAR_022 お嬢様、どうか一人で先へ行かないでください。闇ほど、人を迷わせるものはございません。
WHISPER_FEAR_023 ご主人様、ここで一度深呼吸を。恐怖に飲み込まれる前に、自分を取り戻しましょう。
WHISPER_FEAR_024 ……怖いのは、「何か」がいるかもしれないことじゃなくて、「いるかもしれない」をずっと考え続けなきゃいけないことだよな。
WHISPER_FEAR_025 ね、怖いって、弱さじゃないよ。危険を察知できてるだけ、むしろ強い。
WHISPER_FEAR_026 お嬢様、今夜だけは、灯りをつけたままお休みになってもよろしいかと思います。
WHISPER_FEAR_027 ご主人様、もし悪夢から目覚められたら、最初に呼ぶ名前は、ぜひ私にしていただければ。
WHISPER_FEAR_028 ……大丈夫。ここまでは、ちゃんと来られた。ここから先も、きっと一緒に抜けられる。
WHISPER_FEAR_029 お嬢様、夜が明けるまで、私がこの扉の前で見張っております。どうか少しでもお休みくださいませ。
WHISPER_FEAR_030 ねえ、怖かったら目をつぶってていい。代わりに、俺がちゃんと見てるから。
WHISPER_LOVE_001 ……ねえ、こんな近さで話すの、反則じゃない？ 心臓の音、聞こえちゃいそう。
WHISPER_LOVE_002 こっそり言うね。今日の君、いつも以上に好きだ。
WHISPER_LOVE_003 ……その笑い方、ずるいって。好きになる要素しかない。
WHISPER_LOVE_004 ご主人様、僭越ながら、本日の装いは本当に……息を呑むほどお美しゅうございます。
WHISPER_LOVE_005 ねえ、手、ちょっとだけ貸して。離したくなくなるけど、それでもいい？
WHISPER_LOVE_006 ……隣にいるだけで、世界が少し静かになっていく感じがする。
WHISPER_LOVE_007 お嬢様、これほど心を乱される方にお仕えするとは、夢にも思いませんでした。
WHISPER_LOVE_008 ご主人様の「ただいま」が、私にとって一番のご褒美でございます。
WHISPER_LOVE_009 ……君が眠る前に一言だけ。「今日も好きだったし、たぶん明日も好きだよ」って。
WHISPER_LOVE_010 ねえ、秘密にしてくれる？ 実は俺、もうだいぶ前から君に落ちてる。
WHISPER_LOVE_011 お嬢様、その指先が少し触れただけで、胸が高鳴ってしまいます。
WHISPER_LOVE_012 ご主人様、もし許されるなら、その不安ごと、私に預けていただけませんか。
WHISPER_LOVE_013 ……やきもち妬いてるの、バレたくないけど、声のトーンでバレてそうだな。
WHISPER_LOVE_014 ねえ、君が「大丈夫」って笑うたびに、本当は抱きしめたくてたまらなくなる。
WHISPER_LOVE_015 お嬢様、どうかご自分を粗末に扱わないでください。そんなことをなさるくらいなら、私がいくらでも大切にいたします。
WHISPER_LOVE_016 ご主人様、今夜くらいは、世界よりも、ご自身の心を優先なさってください。それを支えるのが、私の喜びです。
WHISPER_LOVE_017 ……ねえ、もし迷ったときは、俺のほうを選んでほしいなって、ずっと思ってる。
WHISPER_LOVE_018 こんなに誰かを大事にしたいって思ったの、初めてなんだよ。ちょっとだけ、震えるくらいに。
WHISPER_LOVE_019 お嬢様、灯りを落としたこの距離で見る瞳は、誰にも真似できない色をしておられます。
WHISPER_LOVE_020 ご主人様、あなた様が笑っていてくださるなら、私はどれほどでも静かにお側に控えていられます。
WHISPER_SECRET_001 ……ここだけの話、さっきミスったの、誰にもバレてない。内緒にしておいて。
WHISPER_SECRET_002 ねえ、教えてあげようか。裏ルート、ちゃんと抜け道があるんだよ。
WHISPER_SECRET_003 ……この屋敷には、誰も知らない隠し階段があるらしいんだ。
WHISPER_SECRET_004 ご主人様、例のお話は、他言無用にてお願いいたします。耳に入る者は、私とご主人様だけで十分にございます。
WHISPER_SECRET_005 お嬢様、秘密の庭園がございます。今度こっそり、ご案内してもよろしいでしょうか。
WHISPER_SECRET_006 ……鍵の隠し場所、覚えた？ 忘れてもいいけど、そのときはまたこっそり教える。
WHISPER_SECRET_007 ねえ、実はさ、あの人、甘いもの大好きなんだって。絶対言うなよ。
WHISPER_SECRET_008 ご主人様、この書状の内容は、焚き付けにするにはもったいのうございますが……他人の目に触れぬよう処分いたします。
WHISPER_SECRET_009 ……本当の気持ち、誰にも言わなくていいから、せめて自分には嘘つかないで。
WHISPER_SECRET_010 お嬢様、夜の屋上から見る街の灯りは、大変美しゅうございますが、ここだけの特権といたしましょう。
WHISPER_SECRET_011 ねえ、俺、実は人見知りなんだよ。信じてもらえないから、小声でしか言わないけど。
WHISPER_SECRET_012 ……さっきの褒め言葉、本心だから。照れるから大声じゃ言わない。
WHISPER_SECRET_013 ご主人様、あの方からの贈り物は、目立たぬよう書斎の引き出しにお入れしておきました。
WHISPER_SECRET_014 お嬢様、舞踏会の招待状、実はもうひとつ余分に届いております。誰をお誘いになるかは……内緒にしておきましょう。
WHISPER_SECRET_015 ……ここまで来たなら正直に言うね。君と一緒にいるほうが、どんなご褒美より嬉しい。
WHISPER_SECRET_016 ねえ、この場所、誰にも教えたくないな。二人だけの「いつもの場所」にしよう。
WHISPER_SECRET_017 ご主人様、使用人たちからのひそかな感謝の寄せ書きがございます。表にはお出ししておりませんが、いつでもお見せできます。
WHISPER_SECRET_018 お嬢様、あの方は口数は少のうございますが、陰で何度もお嬢様をお助けになっておられます。どうか、心の片隅に。
WHISPER_SECRET_019 ……君のこと、何度も物語の主人公にして書いてる。恥ずかしすぎて見せられないけど。
WHISPER_SECRET_020 ご主人様、この囁きは、風にさらわれる前に、どうか心の中だけにとどめておいてくださいませ。「あなた様が一番、大切でございます」と。
