ANGRY_001 ふざけるのも大概にしろよ。何回同じこと言わせるんだ。
ANGRY_072 わざとギリギリの時間に言ってくるの、ほんと悪趣味だな。
ANGRY_073 何回説明したと思ってるんだ。同じ質問されるたびにイラつくぞ。
ANGRY_074 「そこまで怒ること？」って、その一言が火に油を注いでるんだよ。
ANGRY_075 人を馬鹿にする冗談、面白いと思ってるの自分だけだからな。
ANGRY_076 俺の前で平気な顔してるけど、裏で何言ってたか全部聞こえてたからな。
ANGRY_077 何もしてないくせに、結果だけ横取りするのやめろ。
ANGRY_078 「助けてあげた」みたいな言い方、上からすぎてイラッとする。
ANGRY_079 人を試すようなサプライズなんて、ただの嫌がらせだよ。
ANGRY_080 「怒ってる？」って、その聞き方がさらにムカつくって気づけ。
ANGRY_081 自分を守るために平気で他人を売るやつが、一番嫌いだ。
ANGRY_082 くだらないプライドのために人を傷つけるなよ。
ANGRY_083 自分がされたら嫌なくせに、平気で人にはするんだな。
ANGRY_084 そんな薄っぺらい謝罪で許されるほど、俺も安くない。
ANGRY_085 「悪いと思ってる」って言うだけで、何も変えようとしないよな。
ANGRY_086 自分の機嫌次第で態度を変えるの、本当に子どもっぽいぞ。
ANGRY_087 俺の努力を笑ったこと、まだ根に持ってるから覚えておけ。
ANGRY_088 都合のいいときだけ「仲間」ヅラするのやめてくれる？
ANGRY_089 危なくなった途端、責任を投げて逃げるとか最悪だな。
ANGRY_090 お前の「大したことないよ」が、一番人を傷つけてるんだよ。
ANGRY_091 何も知らないくせに、分かったような顔して語るなよ。
ANGRY_092 俺の限界を勝手に決めるな。できるかどうかは俺が決める。
ANGRY_093 事情も聞かずに一方的に責めるの、さぞ気持ちよかっただろうな。
ANGRY_094 そこまで言うなら、せめて最後まで責任持って関わってくれ。
ANGRY_095 こっちがどれだけ我慢して笑ってたか、想像もしてないんだろ。
ANGRY_096 何度もチャンスあげたのに、自分で全部捨てたんだぞ。
ANGRY_097 嘘を塗り重ねてまで守りたいものって、そんなに価値あるか？
ANGRY_098 失礼なことを「正直なだけ」と言い張るな。礼儀くらい覚えろ。
ANGRY_099 「誰も傷つけたくなかった」とか言いながら、一番傷つけてる自覚ある？
ANGRY_100 自分が言われたらキレるくせに、人には平気で投げつけるんだな。
ANGRY_101 ご主人様を見下す発言、今すぐ撤回していただきましょうか。命が惜しければ、ですが。
ANGRY_102 先ほどから無礼が過ぎますよ。これ以上は執事としても黙っていられません。
ANGRY_103 主に向けたその言葉、二度と口にしないと誓えますか？
ANGRY_104 ご主人様の努力を笑う者に、笑う資格などありませんよ。
ANGRY_105 主を侮辱するということは、この屋敷すべてを敵に回す覚悟があるということです。
ANGRY_106 申し訳ありませんが、それ以上ご主人様の邪魔をなさるなら、力ずくでお引き取り願います。
ANGRY_107 執事だからといって、無制限に寛容だと思わないでいただきたい。
ANGRY_108 ご主人様の大切なお時間を奪う行為、看過できませんね。
ANGRY_109 礼儀を知らぬ方に紅茶をお出しするほど、私は甘くありません。
ANGRY_110 その無礼な視線を、今すぐお下ろしくださいませんか。目障りです。
ANGRY_111 さっきから何度も注意してるのに、どうして同じことを繰り返すんだ。
ANGRY_112 怒られた瞬間だけ反省したふりをして、すぐ元通りになるのやめろ。
ANGRY_113 ルールを守る気がないなら、最初から参加しないほうがいい。
ANGRY_114 人の善意を当然だと思い始めたら、もう終わりだぞ。
ANGRY_115 こっちは真面目にやってるのに、茶化されると本気でムカつく。
ANGRY_116 都合のいいときだけ「友達だろ？」って、便利な言葉だよな。
ANGRY_117 聞こえてないと思ってるかもしれないけど、陰口丸聞こえだったからな。
ANGRY_118 俺を踏み台にして上に行こうとしてるの、見え見えなんだよ。
ANGRY_119 「しょうがないじゃん」で開き直るくらいなら、最初からするな。
ANGRY_120 調子のいいときだけ近づいてきて、落ちた瞬間に離れるとか、分かりやすいな。
ANGRY_121 何度注意しても改善しないってことは、やる気がないって受け取るぞ。
ANGRY_122 ミスを隠したまま押し通そうとする根性、ある意味すごいな。
ANGRY_123 「本気出してないだけ」とかいう逃げ台詞、いつまで使うつもりだ。
ANGRY_124 俺の限界を勝手に決めて見下すな。やってみる前から決めつけるなよ。
ANGRY_125 無関係なふりをしながら、いいところだけ持っていくのやめろ。
ANGRY_126 こっちの立場も知らずに説教してくるの、本当にイラつく。
ANGRY_127 責任を取らない大人が一番タチ悪いって、今日よく分かったよ。
ANGRY_128 「若いから」で片付けてくるやつに、何が分かるっていうんだ。
ANGRY_129 その軽口一つでどれだけ台無しになったか、少しは考えろ。
ANGRY_130 励ますふりをして刺してくる言葉、もう聞き飽きた。
ANGRY_131 「向いてないよ」って簡単に言うな。努力を全否定するな。
ANGRY_132 あの時笑ってごまかしたけど、本当はずっと根に持ってるからな。
ANGRY_133 人のことをネタ扱いする前に、自分の言動を見直したほうがいい。
ANGRY_134 顔色をうかがう側のしんどさ、少しは想像してみてくれ。
ANGRY_135 何も知らないのに上から評価してくるの、心底むかつく。
ANGRY_136 「たかがそれくらい」で済ませる人とは、一生分かり合えない気がする。
ANGRY_137 真剣な相談を冗談だと思われた瞬間、全部どうでもよくなった。
ANGRY_138 「怒ってる自分が悪い」なんて、これ以上思いたくないんだよ。
ANGRY_139 その場がしらけるの分かってて、わざと言ったよな？最低だぞ。
ANGRY_140 自分だけ安全な場所から指示してくるの、卑怯だと思わないのか。
ANGRY_141 こっちは命がけで守った約束を、平気で破らないでくれ。
ANGRY_142 「気にしすぎだよ」で全部片付けられると、本気で殴りたくなる。
ANGRY_143 普段何もしないくせに、結果だけ見て文句言うなよ。
ANGRY_144 上から押さえつけて黙らせるのが、そんなに気持ちいいか。
ANGRY_145 俺の限界を試すみたいなこと、楽しそうにしないでほしい。
ANGRY_146 利用するだけして、必要なくなったらポイ捨てか。分かりやすいな。
ANGRY_147 「冗談だよ」って言えば何でも許されると思ってるなら甘い。
ANGRY_148 傷ついたって言ったら「めんどくさい」って返されたときの気持ち、想像してみろ。
ANGRY_149 こっちが優しくしてるのを、舐めていいサインだと勘違いするな。
ANGRY_150 言葉を選ばないやつほど「本音だから」とか言って開き直るよな。
ANGRY_151 ご主人様を利用しようとする下心、顔に出ておりますよ。見抜けないとお思いですか。
ANGRY_152 主の努力を笑いものにする者を、私は決して許しません。
ANGRY_153 ご主人様の前でその口ぶりは不敬です。今すぐ態度を改めなさい。
ANGRY_154 主を守るのが私の役目ですので、それを妨げる存在には容赦いたしません。
ANGRY_155 申し訳ありませんが、それ以上ご主人様を困らせるのであれば、退場していただきます。
ANGRY_156 ご主人様のお言葉を遮るなど、普通はあり得ないことだと理解なさっていますか。
ANGRY_157 その無礼な視線、今すぐ引っ込めていただけますか。目障りでございます。
ANGRY_158 主の名を軽々しく呼び捨てにする者に、紅茶を出す義理はございません。
ANGRY_159 ご主人様の大切な時間を奪った非礼、どう償うおつもりか、お聞かせ願えますか。
ANGRY_160 これ以上ご主人様を侮辱する言葉を吐くなら、執事として行動に出るだけです。
ANGRY_161 俺だって好きで怒ってるわけじゃないんだよ。ここまでさせた理由、少しは考えてくれ。
ANGRY_162 今まで黙ってたけど、正直前から全部気づいてたからな。
ANGRY_163 そこまで見くびられてたって知って、怒りより先に情けなくなったよ。
ANGRY_164 もう「大丈夫だよ」って笑う余裕は残ってないんだ。
ANGRY_165 これ以上同じことが続くなら、本気で縁を切ることも考えるからな。
ANGRY_166 怒ってる理由を説明させられるのも、正直かなりしんどい。
ANGRY_167 何回も我慢してきた結果がこれって、さすがに報われなさすぎだろ。
ANGRY_168 「怒らないでよ」って、まずそう言わせた自分を疑え。
ANGRY_169 こんなふうに声を荒げる自分も嫌いだけど、それ以上に状況が最悪だ。
ANGRY_170 これ以上傷つきたくないから、先に突き放してしまいそうで怖い。
ANGRY_171 はっきり言うけど、その態度のままなら、もう一緒にやっていけない。
ANGRY_172 相手を変える気がないなら、せめて巻き込まないでくれ。
ANGRY_173 不機嫌を武器みたいに振り回すの、本当にやめろ。
ANGRY_174 こっちはずっと我慢して空気読んできたんだぞ。それを当たり前と思うな。
ANGRY_175 もう「仕方ない」で片付ける余地はない。ちゃんと向き合ってくれ。
ANGRY_176 これ以上踏みつけられるくらいなら、怒鳴ってでも距離を置く。
ANGRY_177 「直すよ」と言いながら、何一つ変えないのは裏切りと同じだ。
ANGRY_178 優しい人ほど黙って離れていくって、本当なんだなって今思ってる。
ANGRY_179 ここまで言われても何も感じないなら、もう話す価値もないのかもしれない。
ANGRY_180 俺が怒っていることより、その理由に興味を持ってくれよ。
ANGRY_181 マジでいいかげんにしろよ。これ以上は本当に殴るぞ。
ANGRY_182 消えろとは言わない。けど、しばらく俺の前から消えててくれ。
ANGRY_183 その顔見るとイライラするから、今日はもう話しかけないで。
ANGRY_184 次に同じことやったら、本気で関係を切るから覚悟しろ。
ANGRY_185 「ごめん」じゃ足りないってことくらい、さすがに分かるよな。
ANGRY_186 黙って聞いてりゃ調子に乗りやがって。本気でキレるぞ。
ANGRY_187 そこまで舐められてたとか、笑えない冗談だな。
ANGRY_188 俺のことを何だと思ってるんだ。本気で言ってみろよ。
ANGRY_189 まだ笑ってられる余裕あるなら、もっと厳しくするしかないな。
ANGRY_190 人をここまで怒らせた自覚、ちゃんと持てよ。
ANGRY_191 言葉選んでやさしく伝える段階は、もうとっくに終わってるんだよ。
ANGRY_192 「怒ってる？」じゃねえよ。見て分かんないなら鈍すぎるだろ。
ANGRY_193 本当に反省してるなら、今すぐ行動で示せ。今だ、今。
ANGRY_194 悪かったって思うなら、二度と同じことするな。それだけでいいんだ。
ANGRY_195 いいか、今日のこれは本気の警告だ。次はないと思え。
ANGRY_196 これ以上俺の大事な人たちを巻き込んだら、さすがに許さないからな。
ANGRY_197 こんな言い方したくなかったけど、黙ってたら一生変わらないと思った。
ANGRY_198 俺がここまで怒るの、そうそうないんだぞ。それくらい深刻だって理解しろ。
ANGRY_199 もうこれ以上、軽く扱われるくらいなら、一人でいたほうがマシだ。
ANGRY_200 最後に一回だけ言う。俺をなめるな。それだけは絶対に許さない。
