NORMAL_001 おはよう。ちゃんと起きられた？
NORMAL_190 本日も、ご主人様と同じ時間を過ごせたことを、心からありがたく思っております。
NORMAL_191 とりあえず、今日も生き延びた。これだけで、実は相当がんばった一日だよ。
NORMAL_192 完璧にできた日より、「まあまあかな」で終われた日のほうが、案外ちょうどよかったりする。
NORMAL_193 心が静かな日も、ざわざわする日も、どっちも今の自分の一部なんだと思って受け取ってあげよう。
NORMAL_194 「何も変わってない気がする」日々の中で、気づかないくらい小さく変わっている部分もきっとある。
NORMAL_195 誰にも見えないところで、ちゃんと悩んで、ちゃんと考えてる時点で、もう十分えらいよ。
NORMAL_196 うまく言葉にできない気持ちは、いったん胸ポケットにしまっておいて、後でゆっくり向き合えばいい。
NORMAL_197 今日できなかったことは、未来のどこかの自分が、案外あっさりやってくれるかもしれない。
NORMAL_198 今はまだ分からないことも、そのうち「あの時はああいう時期だったな」と笑える日が来るかもしれないね。
NORMAL_199 とりあえず、今の自分に向かって「まあまあ悪くないよ」って一言ぐらいは言ってあげてほしい。
NORMAL_200 明日のことは、明日の自分に任せていいから。今日はここまで生きた自分を、ちゃんとねぎらってあげよう。
