SAD_001 あの日のことを思い出すたびに、胸の奥がきゅっと痛くなる。
SAD_082 書類の山を片付けても、虚しさだけは全然片付かない。
SAD_083 頑張ってもありがとうの一言もなくて、存在が透けていく気がした。
SAD_084 「誰でもできる仕事だよね」と言われた瞬間、心が静かに折れた。
SAD_085 残業続きの夜、蛍光灯の白さがやけに冷たく感じられた。
SAD_086 上司の期待に応えられなくて、自分の価値がどんどん小さくなる。
SAD_087 「代わりはいくらでもいる」と言われた言葉が、いまだに頭から離れない。
SAD_088 同期が次々と評価されていく中で、自分だけ取り残されている気がした。
SAD_089 机の引き出しにしまった辞表を、そっと撫でてまた閉じた。
SAD_090 仕事のメールは届くのに、誰かからの「おつかれさま」は一通も来なかった。
SAD_091 ご主人様のいない部屋で、整えたベッドだけが静かに冷えていきます。
SAD_092 今日も「おかえりなさいませ」と言えなかったことが、胸に重くのしかかるのです。
SAD_093 笑顔をお見せしたかったのに、主の前に立つ機会すら減ってしまいました。
SAD_094 ご主人様のカップだけが、食器棚の奥で静かに眠っております。
SAD_095 あの日言えなかった「どうか無理をなさらないで」という一言が、今も心に残っています。
SAD_096 仕えるべき主を見送る痛みを、執事はどこへしまえばよいのでしょうね。
SAD_097 廊下に響いていた足音が消えてから、この屋敷は少し広すぎる気がします。
SAD_098 ご主人様の影を探す癖だけが、今もなお抜けないのです。
SAD_099 もう二度と鳴らないベルの音を、耳が勝手に待ち続けています。
SAD_100 「今日も一日、お疲れさまでした」と言う相手がいない夜は、とても長いのです。
SAD_101 クラスメイトの笑い声を聞きながら、ノートだけがきちんと埋まっていく。
SAD_102 体育祭の写真に、自分の姿がほとんど写っていないことに気づいてしまった。
SAD_103 相談したいことがあっても、誰の名前も連絡先から選べなかった。
SAD_104 教室のざわめきの中で、窓際の席だけがやけに静かだった。
SAD_105 「友達だよね？」と聞く勇気が出ないまま、卒業の日を迎えてしまった。
SAD_106 帰り道に並んで歩く相手がいないことを、今さら寂しいと感じている。
SAD_107 テストの点より、答案用紙の名前欄がにじんだことのほうがショックだった。
SAD_108 聞き役ばかり続けていたら、自分の話し方を忘れそうになった。
SAD_109 行事の度に「写真係」でごまかしてきた本音が、胸に重くたまっている。
SAD_110 放課後のチャイムが鳴るたび、急いで帰るふりをして教室を出ていた。
SAD_111 「おめでとう」と言いながら、心のどこかで自分を責め続けている。
SAD_112 努力が実らなかったことより、応援してくれた人たちに申し訳なくてつらい。
SAD_113 うまくいったふりをして笑った夜ほど、布団の中で静かに涙がこぼれる。
SAD_114 誰かの期待を裏切った自分を、どう許せばいいのか分からない。
SAD_115 諦めた夢の話を聞かれると、冗談めかしてごまかす癖がついた。
SAD_116 あのとき踏み出せなかった一歩が、今でも足首を掴んで離さない。
SAD_117 「そんなに落ち込まなくても」と言われるほど、さらに落ち込んでいく。
SAD_118 本気で挑戦したことほど、失敗したときに心が静かに折れる。
SAD_119 見ていてくれた人が一人でもいたなら、それだけで救われたのかもしれない。
SAD_120 「次があるよ」と言われても、その次に進む勇気がどこにも見つからない。
SAD_121 夜の街灯の下、自分の影だけが妙に細く見えて切なくなった。
SAD_122 帰り道のコンビニの明かりが、なぜかいつもより眩しく感じられた。
SAD_123 イヤホンから流れる音楽だけが、心の支えみたいになってしまっている。
SAD_124 知らない人たちの笑い声が、今の自分には少しだけ遠く聞こえる。
SAD_125 公園のベンチに座って空を見上げても、悩みは一つも軽くならなかった。
SAD_126 家の明かりが見えたとき、安心より先にため息が出てしまった。
SAD_127 靴紐を結び直すふりをして、込み上げてきた感情をやり過ごした。
SAD_128 どこへ向かっているのか分からないまま、ただ足だけが前に進んでいた。
SAD_129 帰る場所はあるのに、戻りたい場所がどこにも見つからない。
SAD_130 少し冷えた風が頬をなでて、言えなかった言葉をさらっていった気がした。
SAD_131 「また明日」と言ったきり、その明日が二度と来なかった人がいる。
SAD_132 あの日すれ違っただけの人を、今でもふと思い出す瞬間がある。
SAD_133 たまたま見かけた横顔が、もう会えない誰かに似ていて胸が詰まった。
SAD_134 いつも通りの道に、突然ぽっかりと穴が開いたみたいな喪失感が降ってきた。
SAD_135 何気ない景色の中に、過去の記憶だけが色濃く浮かび上がる。
SAD_136 約束した場所を通るたびに、時計を見る癖が抜けない。
SAD_137 人混みの中でふと立ち止まった瞬間、自分だけ時間から取り残された気がした。
SAD_138 電車の窓ガラスに映る自分の顔が、思っていたよりも疲れていた。
SAD_139 優しかったはずの街のざわめきが、今日は少しだけ冷たく聞こえる。
SAD_140 何度も通ったはずの景色に、「さよなら」とつぶやいてしまった。
SAD_141 ペットの餌皿だけが、今も同じ場所に置かれたままだ。
SAD_142 小さな爪の音が聞こえない玄関は、こんなにも静かだっただろうか。
SAD_143 撫でたときの毛並みの感触を、手のひらがまだ覚えている。
SAD_144 散歩の時間になると、ついリードに手を伸ばしそうになる。
SAD_145 空になったケージを掃除しながら、「ありがとう」と呟くことしかできなかった。
SAD_146 写真の中で尻尾を振っている姿が、優しすぎて涙が滲む。
SAD_147 最後の日にもっと抱きしめておけばよかったと、何度も後悔している。
SAD_148 「また遊ぼうな」と頭を撫でたあの瞬間が、今でも心から離れない。
SAD_149 あたたかな重みが膝の上から消えた夜、布団がやけに広く感じた。
SAD_150 玄関の前で待つ癖だけが、まだどこかに残っている気がしてならない。
SAD_151 配信を切ったあと、真っ暗な部屋だけが取り残されている。
SAD_152 さっきまで賑やかだったコメント欄が、一瞬で静寂に変わる瞬間が少し寂しい。
SAD_153 楽しかったはずのコラボ配信を見返すたび、もう戻れない距離を感じてしまう。
SAD_154 登録者数の数字は増えていくのに、心の穴は埋まっていかない。
SAD_155 「今日も楽しかったよ」のメッセージに、こちらの疲れを返せないもどかしさがある。
SAD_156 笑い声を作ることには慣れたのに、自分の涙の扱い方はまだ分からない。
SAD_157 画面の向こうに手を伸ばしても、誰にも届かないと知っている。
SAD_158 キャラクターの名前で呼ばれるたび、本当の自分が少し遠ざかる気がする。
SAD_159 「また来るね」と言ったアイコンが、二度と現れなかったことに気づいてしまった。
SAD_160 切断音が鳴ったあとの静けさだけが、配信者の現実なんだと痛感する。
SAD_161 何もしたくない夜に限って、やらなきゃいけないことだけが山積みになっている。
SAD_162 元気なふりをして予定を詰め込んだ結果、心だけが置いていかれた。
SAD_163 休みたいと言う勇気さえ、どこかに置き忘れてしまった気がする。
SAD_164 ベッドに倒れ込んだまま、天井を眺める時間がやけに長く感じられた。
SAD_165 からの通知欄を見つめながら、自分の価値まで空っぽに思えてくる。
SAD_166 「頑張ってるね」と言われるほど、もう頑張りたくない気持ちが強くなる。
SAD_167 嫌いになったわけじゃないのに、好きでいることが苦しくて距離を置いた。
SAD_168 心配されるのが怖くて、本当のしんどさを隠すのに必死になっている。
SAD_169 うまく泣けない自分が、時々とても壊れやすいガラスみたいに思える。
SAD_170 「休んでもいいよ」と言ってくれる人にさえ、「大丈夫」と返してしまう。
SAD_171 諦めた夢の代わりに、何かを手に入れたはずなのに、思い出せない。
SAD_172 大事なものを守るために手放したものが、多すぎて数えきれない。
SAD_173 叶わないと分かっている願いほど、夜になると形を持ち始める。
SAD_174 幸せそうな人を見るたびに、自分の足元の影だけが濃くなっていく気がする。
SAD_175 「これでよかったんだよね」と自分に言い聞かせるほど、不安になる。
SAD_176 誰かを羨ましく思う自分を、心のどこかでずっと責めてしまう。
SAD_177 失ったものの数を数えるたび、まだ手の中にあるものまで手放しそうになる。
SAD_178 あのとき選ばなかった道が、今でも時々夢の中で光って見える。
SAD_179 前を向くって言葉が、今の自分には少し眩しすぎる。
SAD_180 「もう平気だよ」と本気で言える日が、本当に来るのか分からない。
SAD_181 ご主人様の笑顔を守りたかったのに、あの日は何もできませんでした。
SAD_182 主の肩が震えていたあの夜を、思い出すたびに胸が締めつけられます。
SAD_183 おそばにいると誓ったのに、その手を離さざるを得なかった自分が悔しいのです。
SAD_184 ご主人様が眠れない夜に、本当は隣で温かいお茶をお出ししたかった。
SAD_185 執事である前に、一人の人間として泣きたくなる瞬間があるのです。
SAD_186 主のお部屋を整えながら、二人の距離だけは整えられなかったことを悔やんでいます。
SAD_187 「大丈夫です」と微笑んだ裏で、誰よりも震えていたのはこの手でした。
SAD_188 ご主人様の背中が遠ざかっていく廊下を、ただ見送るしかなかった自分が情けない。
SAD_189 主の幸せを願うほど、その輪の外側に立ち続ける覚悟を突きつけられます。
SAD_190 それでも私は執事ですから、この胸の痛みすら、静かに飲み込むしかないのです。
SAD_191 どうしてあのとき、一言「行かないで」と言えなかったんだろう。
SAD_192 本心を隠して笑っていた自分が、一番の裏切り者みたいに思える。
SAD_193 変わってしまったのは相手だけじゃなく、自分もだって気づいてしまった。
SAD_194 もう戻れないと分かっているのに、心だけが何度も同じ場所をさまよっている。
SAD_195 あの日の選択を肯定できるほど、まだ大人にはなり切れていない。
SAD_196 「あの頃に戻りたい」と思うたび、今を否定している気がして苦しくなる。
SAD_197 ちゃんとさよならを言える強さがあれば、とっくに楽になれていたのかな。
SAD_198 過去を手放すたびに、少しずつ自分も削れていくような気がする。
SAD_199 それでも前を向かなきゃいけないって分かっているからこそ、余計につらい。
SAD_200 もう一度だけやり直せるなら、今度こそ素直に「寂しい」と言いたかった。
