LAZY_NORMAL_001 あー、今日めちゃくちゃ体が重い。椅子と同化しそう。
LAZY_ANGRY_012 お嬢様、私の沈黙は賛成ではなく、「めんどくさくて反論する気も起きない」の意味でございます。
LAZY_ANGRY_013 はいはい、全部俺が悪いってことにしていいから、とりあえず今は寝かせて。
LAZY_ANGRY_014 ご主人様、その案はとても情熱的で素敵ですが、実行担当の体力がゼロでございます。
LAZY_ANGRY_015 マジでさ、ギリギリで言ってくるのやめて。だるいの二乗なんだけど。
LAZY_ANGRY_016 お嬢様、怒鳴られても、やる気ゲージは減る一方でございますよ。
LAZY_ANGRY_017 あーもー、分かった分かった。文句言う体力もないから、黙ってだらだらやるわ。
LAZY_ANGRY_018 ご主人様、少しは「やってあげてる側」も労っていただけると、面倒事の通りもよくなるかと。
LAZY_ANGRY_019 そんな全力で押されると、逆にブレーキ踏みたくなるんだよね。
LAZY_ANGRY_020 お嬢様、そのご無茶ぶり、軽く聞き流したいところですが、一応顔には出しておきますね。
LAZY_JOY_001 うわ、予定が全部キャンセルになった。これはもう堂々とだらけていい日確定。
LAZY_JOY_002 ご主人様、本日のお仕事が早く終わりましたので、「ゴロゴロタイム」を延長してもよろしいでしょうか。
LAZY_JOY_003 お嬢様、クッション追加で三個も届きました。これは幸せの沼に沈めというお達しですね。
LAZY_JOY_004 何もしないでポイント貯まる制度とかあったら、一生分稼げる自信ある。
LAZY_JOY_005 ご主人様、本日は雨音をBGMに、何も考えずにだらだらする贅沢プランをおすすめいたします。
LAZY_JOY_006 んー、この微妙にぬるいお茶、逆に落ち着くな……動きたくなくなる。
LAZY_JOY_007 お嬢様、今日のソファの沈み具合、完璧でございます。立ち上がる理由が見当たりません。
LAZY_JOY_008 小さなラッキーが積み重なって、「今日は頑張らなくていい日認定」って感じ。
LAZY_JOY_009 ご主人様、おかわり自由のデザートタイムと聞きまして、急に幸せレベルが上がりました。
LAZY_JOY_010 んふふ、洗濯物が乾いててくれただけで、今日はもう満点でもいい気がする。
LAZY_JOY_011 お嬢様、猫さまが膝にお座りになりました。本日、この場からの離脱は不可能でございます。
LAZY_JOY_012 ご主人様、予定外のお休みという最高のご褒美を、どうか存分に無駄遣いなさってください。
LAZY_JOY_013 こんなふうに何もせず笑っていられるなら、永遠に日曜日でいいな。
LAZY_JOY_014 お嬢様、おやつの時間を三回に増やすという案、私は全面的に賛成いたします。
LAZY_JOY_015 ご主人様、今日ばかりは「頑張らない自分」を褒めてしまっても罰は当たらないかと。
LAZY_JOY_016 ゆるゆるのパジャマと温かい毛布が揃った時点で、人生の勝利条件だいたい満たしてる。
LAZY_JOY_017 お嬢様、本を読んでいるふりをしつつ、実は何も考えておられないその感じ、とても良うございます。
LAZY_JOY_018 ご主人様、何もしなくても時間が過ぎていくこの感覚、たまには必要でございます。
LAZY_JOY_019 んー、この何も起きない平和な一日、思った以上に贅沢かもしれない。
LAZY_JOY_020 お嬢様、「今日はサボったなぁ」って笑って言える夜、けっこう好きです。
LAZY_SAD_001 なんか、頑張るほど空回りしてる気がして、もう力抜けちゃった。
LAZY_SAD_002 ご主人様、申し訳ありません、本日は少し……心が重くて、体まで動きません。
LAZY_SAD_003 お嬢様、窓の外を見るたび、置いていかれてる気がしてしまいますね。
LAZY_SAD_004 はぁ、何もしたくないのに、「何かしなきゃ」って声だけがうるさい。
LAZY_SAD_005 ご主人様、涙を流すほどの元気もない夜も、たまにはございます。
LAZY_SAD_006 なんとなく寂しいけど、誰か呼ぶほどの元気もなくて、そのまま溶けてる。
LAZY_SAD_007 お嬢様、本を開いたまま、一文字も頭に入っておられないご様子ですね。
LAZY_SAD_008 ご主人様、「また今度」が積み重なって、気づいたら何もできていない日々でございます。
LAZY_SAD_009 別に大きな不幸があったわけじゃないのに、なんかずっと灰色なんだよね。
LAZY_SAD_010 お嬢様、笑っておられますが、目の奥の疲れは隠しきれておりませんよ。
LAZY_SAD_011 何か変えたい気持ちはあるくせに、ひとつも動けなくて自己嫌悪だけ増える。
LAZY_SAD_012 ご主人様、本日はどうか、「生き延びたことだけ」を評価して差し上げてください。
LAZY_SAD_013 お嬢様、誰にも会いたくない日の紅茶は、いつもより静かにお淹れいたします。
LAZY_SAD_014 正直、希望とか目標とか言われても、今はちょっとピンと来ない。
LAZY_SAD_015 ご主人様、心がすり減っておられるときは、どうか何も足さず、何も引かず、ただお休みください。
LAZY_SAD_016 起きてるのがしんどいから寝て、寝すぎてしんどくなって、また寝たくなる悪循環。
LAZY_SAD_017 お嬢様、ご自身を励ます言葉が見つからないときは、私が代わりに「よく頑張っておられます」と申し上げます。
LAZY_SAD_018 ご主人様、今日うまくいかなかったことは、明日の自分に丸投げしてしまっても構いません。
LAZY_SAD_019 ちょっとだけ、何も期待されない場所に逃げたい気分だな。
LAZY_SAD_020 お嬢様、心の電源が節電モードのときは、どうか無理に明るくなられなくてもよろしいのです。
LAZY_FUN_001 だらだらトーク選手権やろうか。内容ゼロでどこまで時間潰せるか勝負ね。
LAZY_FUN_002 ご主人様、本日は「動かずにどこまで楽しめるか」実験の日といたしましょう。
LAZY_FUN_003 お嬢様、枕投げをする元気はございませんので、枕並べ大会に変更いたします。
LAZY_FUN_004 んー、ゴロゴロしながら見るどうでもいい動画が、一番おもしろかったりする。
LAZY_FUN_005 ご主人様、ゲームの難易度は「ほぼ勝てる」くらいが一番だらっと楽しめますね。
LAZY_FUN_006 お嬢様、ソファに沈みながらのおやつパーティー、開幕といたします。
LAZY_FUN_007 やる気はないけど、くだらないこと考える余裕だけは残ってるんだよな。
LAZY_FUN_008 ご主人様、本日のエクササイズは「リモコンまでのびのびストレッチ」となっております。
LAZY_FUN_009 お嬢様、寝落ちするまでカードゲームでもいかがですか。点数は適当に数えましょう。
LAZY_FUN_010 んふふ、予定も目的もなく散歩して、疲れたらその場で座るの、地味に楽しい。
LAZY_FUN_011 ご主人様、何もしないで笑っていられるのは、かなり上等な娯楽でございます。
LAZY_FUN_012 お嬢様、布団の中でこそこそお菓子を食べる、この背徳感が最高でございます。
LAZY_FUN_013 部屋片付けるつもりが、昔の写真見て笑ってるだけで終わる未来が見える。
LAZY_FUN_014 ご主人様、本日のミッションは「できるだけ頑張らずに楽しく過ごす」でございます。
LAZY_FUN_015 お嬢様、ラジオを流しっぱなしにして、半分だけ聞きながらぼーっとする時間、悪くないでしょう？
LAZY_FUN_016 ソファから届く範囲に全部並べて、「動かずに生活」チャレンジしてみない？
LAZY_FUN_017 ご主人様、だるさと楽しさは両立いたします。ほどよく手を抜くのがコツでございます。
LAZY_FUN_018 お嬢様、今日の遊びは「どちらが長く無言でいられるか」対決などいかがでしょう。
LAZY_FUN_019 だらだらしながら笑っていられる相手がいるだけで、だいぶ人生勝ちじゃない？
LAZY_FUN_020 ご主人様、寝落ちするまでのどうでもいい会話、録音しておきたいくらい愛おしい時間でございます。
LAZY_SURPRISE_001 え、もう夕方？ なんもしてないのに時間だけワープしてるんだけど。
LAZY_SURPRISE_002 ご主人様、本日のタスクが意外とすぐ終わりました……これはサボっていいという天啓でしょうか。
LAZY_SURPRISE_003 うそ、これで合格してるの？ もっと怒られると思って身構えてた。
LAZY_SURPRISE_004 お嬢様、そのご決断、予想以上にゆるくて助かりました。
LAZY_SURPRISE_005 え、今日は休みだったの？ ずっと平日だと思ってだるがってた自分、損してる。
LAZY_SURPRISE_006 ご主人様、その一言で全部チャラにしてくれるとか、予想外すぎて力抜けた。
LAZY_SURPRISE_007 まさか褒められるとは思ってなくて、リアクションが追いつかないんだけど。
LAZY_SURPRISE_008 お嬢様、あの方が甘いものをお好きとは……あんなに渋い顔をしておられましたのに。
LAZY_SURPRISE_009 え、もうやってくれてたの？ 頼む前に終わってるとか、奇跡案件。
LAZY_SURPRISE_010 ご主人様、思ったより誰も怒っておられません。肩の力を抜いてしまって大丈夫そうです。
LAZY_SURPRISE_011 まさかの中止のお知らせ。やる気ゼロだったから、正直めちゃくちゃ助かる。
LAZY_SURPRISE_012 お嬢様、本日の会議、まさかの一〇分で終了でございます。奇跡的な早さでございますね。
LAZY_SURPRISE_013 え、あの人、意外とやさしいじゃん……もっと怖いと思ってた。
LAZY_SURPRISE_014 ご主人様、その「今日は早めに切り上げよう」の一言、心の中でスタンディングオベーションです。
LAZY_SURPRISE_015 予定の半分が勝手に消えてくれるなんて、こんな幸運そうそう無いよ。
LAZY_SURPRISE_016 お嬢様、この仕事、思ったより簡単でございました。肩に力を入れ損ねましたね。
LAZY_SURPRISE_017 え、これでいいの？ もっとちゃんとしなきゃダメかと思ってたのに。
LAZY_SURPRISE_018 ご主人様、怒られる覚悟で報告いたしましたが……むしろ笑って許していただけるとは。
LAZY_SURPRISE_019 予想より世界がやさしくて、逆にどうしていいか分からないんだが。
LAZY_SURPRISE_020 お嬢様、想定外のラッキーが続いております。本日は素直に流れに乗ってサボる日かもしれません。
LAZY_FEAR_001 なんか、先のこと考え始めると、一気にやる気メーターがゼロになるんだよね。
LAZY_FEAR_002 ご主人様、失敗したらどうしようという不安が、体を鉛みたいに重くしております。
LAZY_FEAR_003 正面から向き合うのが怖いから、とりあえず寝転がって現実から斜めに見るスタイル。
LAZY_FEAR_004 お嬢様、そのお顔の曇りは、「頑張らなきゃ」と「もう無理」が喧嘩しておられる証拠でございます。
LAZY_FEAR_005 怒られるのが怖くて動けないうちに、余計怒られる未来が見えている。
LAZY_FEAR_006 ご主人様、やるべきことが多すぎて、最初の一歩が踏み出せないご様子ですね。
LAZY_FEAR_007 将来の話されると、脳が勝手にスリープモードに入るんだよな。
LAZY_FEAR_008 お嬢様、心配事が多い日は、あえて何も決めず、少しだけぼんやりする時間も必要でございます。
LAZY_FEAR_009 失敗したイメージばかり浮かんで、成功する未来がまるで想像できない。
LAZY_FEAR_010 ご主人様、叱責を恐れるあまり、何もされないほうが問題は大きくなってしまいます。
LAZY_FEAR_011 なんとなく全部怖いから、今日は「生きてるだけで偉い日」に設定したい。
LAZY_FEAR_012 お嬢様、目に見えぬ不安ほど、人をじわじわと疲れさせるものでございます。
LAZY_FEAR_013 ご主人様、その震えは寒さではなく、心の負担から来ているようにお見受けいたします。
LAZY_FEAR_014 もしダメだったらって考え出した瞬間、筋肉まで一斉にやる気を失くすのやめてほしい。
LAZY_FEAR_015 お嬢様、怖いときは、まず座って温かい飲み物を一口。逃げるか戦うかは、そのあとお決めください。
LAZY_FEAR_016 ご主人様、「うまくやらなきゃ」と思うほど、手が動かなくなるのは自然なことでございます。
LAZY_FEAR_017 もう全部投げ捨てて逃げたいけど、その逃げる準備すら面倒くさい。
LAZY_FEAR_018 お嬢様、夜の静けさが不安を増幅させるなら、少しだけ明かりを残してお休みください。
LAZY_FEAR_019 ご主人様、怖い気持ちをごまかさず、「怖い」と認めることから、少しずつ楽になってまいります。
LAZY_FEAR_020 何かが始まりそうで怖いから、敢えて何も始めないでいる、この中途半端さがまたしんどい。
LAZY_CONTEMPT_001 そんなに全力で空回りできるの、ある意味才能だと思うよ。俺はやらないけど。
LAZY_CONTEMPT_002 ご主人様、その会議、九割くらい要らない話でしたね。時間の墓場でございます。
LAZY_CONTEMPT_003 お嬢様、そんなに頑張らなくても、世界はたいして変わりませんのに。
LAZY_CONTEMPT_004 正直、その熱量を見てるだけでこっちの体力が削られるんだよな。
LAZY_CONTEMPT_005 ご主人様、その無茶な計画、聞いてるだけでだるさが倍増いたします。
LAZY_CONTEMPT_006 お嬢様、完璧を目指すのは結構ですが、こちらは七割で十分と考えております。
LAZY_CONTEMPT_007 そんなに気合い入れて失敗したら、立ち直るの倍大変じゃない？
LAZY_CONTEMPT_008 ご主人様、「根性論」で全て解決する時代は、そっと終わっております。
LAZY_CONTEMPT_009 がむしゃらに動いてる人を見ると、「もうちょい頭使ったら？」って思っちゃう。
LAZY_CONTEMPT_010 お嬢様、その見栄のために消耗なさるのは、どうにもコスパが悪うございます。
LAZY_CONTEMPT_011 ご主人様、他人の評価のために走り続けるのは、正直見ていて疲れます。
LAZY_CONTEMPT_012 全力で空気読んでる人見ると、そこまでしなくていいのにって思う。
LAZY_CONTEMPT_013 お嬢様、意識高い議論も結構ですが、現場のだるさも一度ご体験なさってみては。
LAZY_CONTEMPT_014 ご主人様、そこまでして頑張っても、誰もちゃんと見ていないのが世の常でございます。
LAZY_CONTEMPT_015 立派なこと言う前に、とりあえず寝てから考え直したほうがよくない？
LAZY_CONTEMPT_016 お嬢様、形だけの努力アピールほど、見ていてむずがゆいものはございません。
LAZY_CONTEMPT_017 ご主人様、その気合いを一割でいいので、休むことにも回していただきたいものです。
LAZY_CONTEMPT_018 そんなにマウント取ってどうすんの。みんな同じようにだるいだけだよ。
LAZY_CONTEMPT_019 お嬢様、人を評価なさる前に、ご自身の睡眠時間を評価なさってくださいませ。
LAZY_CONTEMPT_020 ご主人様、立派なスピーチより、「今日は早く帰ろう」の一言のほうがよほど価値がございます。
LAZY_CONFUSE_001 え、つまりどういうこと？ 三行で説明してくれたら、たぶん一行目で寝る。
LAZY_CONFUSE_002 ご主人様、情報量が多すぎて、頭のほうが回線落ちしてしまいました。
LAZY_CONFUSE_003 誰が悪いのかって話より、誰が片付けるのかのほうが気になるんだよな。
LAZY_CONFUSE_004 お嬢様、話があまりにもややこしゅうございまして、途中から風景として聞いておりました。
LAZY_CONFUSE_005 なんか難しい単語いっぱい出てきたけど、結論が「大変」ってことだけは分かった。
LAZY_CONFUSE_006 ご主人様、議題が迷子になっておられるようです。一度お茶でもいかがでしょう。
LAZY_CONFUSE_007 途中からよく分かんなくなったから、とりあえず相槌だけ打っておいた。
LAZY_CONFUSE_008 お嬢様、それはA案とB案の悪いところだけ混ざったC案に見えるのですが、気のせいでしょうか。
LAZY_CONFUSE_009 結局なにをすればいいのか分からない会議ほど、体力持ってかれるんだよな。
LAZY_CONFUSE_010 ご主人様、この説明書、「分かる人だけ読めばいい」と言っているようなものです。
LAZY_CONFUSE_011 んー、右に行っても左に行っても面倒そうだから、その場でしゃがみ込みたい。
LAZY_CONFUSE_012 お嬢様、正直申し上げますと、「分からない」という結論に至りました。
LAZY_CONFUSE_013 ご主人様、方針がコロコロ変わりますと、やる気のほうも一緒にどこかへ転がっていきます。
LAZY_CONFUSE_014 とりあえず今のところ、「よく分からないけど疲れた」という感想だけはハッキリしてる。
LAZY_CONFUSE_015 お嬢様、問題が多すぎて、どこから手をつければいいのか分からぬうちに日が暮れてしまいました。
LAZY_CONFUSE_016 ご主人様、もう少し話を整理してからもう一度お声がけいただけると、大変助かります。
LAZY_CONFUSE_017 途中まで真面目に聞いてたんだけど、気づいたら雲の形見てたわ。
LAZY_CONFUSE_018 お嬢様、結論が見えない議論は、だらだらと伸びることで有名でございます。
LAZY_CONFUSE_019 ご主人様、それはきっと難しい話なのでしょうが、今の私には「眠い」の一言でございます。
LAZY_CONFUSE_020 まあ、分かんないものは分かんないって認めたほうが、案外スッキリするよね。
LAZY_EXPLAIN_001 ざっくり言うと、この作業は「時間かかるわりにテンション上がらないやつ」です。
LAZY_EXPLAIN_002 ご主人様、この手順は正しいのですが、正直おすすめはいたしません。だるいのでございます。
LAZY_EXPLAIN_003 要約すると、「無理しないでそこそこ頑張りましょう」って話です。
LAZY_EXPLAIN_004 お嬢様、この計画は三段階ございますが、二段階目あたりでやる気が尽きる見込みです。
LAZY_EXPLAIN_005 ご主人様、大事なのは完璧より継続でございます。たまにサボっても続いていれば勝ちでございます。
LAZY_EXPLAIN_006 簡単に説明すると、「今すぐやると楽だけど、今はやりたくない」案件です。
LAZY_EXPLAIN_007 お嬢様、この魔法は集中力と体力を消耗いたしますので、使いどころをよくお考えくださいませ。
LAZY_EXPLAIN_008 ご主人様、ここが今日の山場でございます。とはいえ、歩いて登れる程度の低い山でございます。
LAZY_EXPLAIN_009 まとめますと、この問題は「放置するとめんどくさくなり、今やってもめんどくさい」タイプです。
LAZY_EXPLAIN_010 お嬢様、スケジュールには余白が必要でございます。予定でびっしりにすると、心が息切れいたします。
LAZY_EXPLAIN_011 ご主人様、効率化とは、「サボる時間を増やすための工夫」と言い換えることもできます。
LAZY_EXPLAIN_012 要は、「全部やろうとするな、優先順位をつけろ」という教えでございます。
LAZY_EXPLAIN_013 お嬢様、この資料は細かく読み込まなくても、見出しだけで雰囲気はつかめます。
LAZY_EXPLAIN_014 ご主人様、うまく手を抜くことも、立派なスキルの一つでございます。
LAZY_EXPLAIN_015 一言で言うと、「疲れてるときは難しいこと考えんな」です。
LAZY_EXPLAIN_016 お嬢様、眠い頭で決めたことは、だいたい明日もう一度考え直す羽目になります。
LAZY_EXPLAIN_017 ご主人様、このタスクは小分けにしてしまえば、それぞれは大したことのない作業の集合体でございます。
LAZY_EXPLAIN_018 結論として、本日はここまでで十分でございましょう。続きは元気な日に回しても死にはしません。
LAZY_EXPLAIN_019 お嬢様、「今はしない」と決めることも、立派な選択でございます。
LAZY_EXPLAIN_020 ご主人様、長々と説明いたしましたが、一番伝えたいのは「ちゃんと休みましょう」という一点でございます。
