ANGRY_001 ふざけるのも大概にしろよ。
ANGRY_165 こんな結果になるとは思ってもみなかった。
ANGRY_166 もう限界だ。これ以上は無理だ。
ANGRY_167 お前のその無責任な態度が許せないんだ。
ANGRY_168 何度も同じことを繰り返して、学習能力がないのか。
ANGRY_169 こんなことは二度としてくれるな。
ANGRY_170 もう我慢の限界を超えてるんだよ。
ANGRY_171 お前のせいで全部台無しになった。
ANGRY_172 いつまで待たせるつもりなんだ。
ANGRY_173 こんな扱いは受け入れられない。
ANGRY_174 お前には本当にがっかりだ。
ANGRY_175 もう信じられない。何も信じられないよ。
ANGRY_176 どの口でそんなことが言えるんだよ。
ANGRY_177 こんなことで時間を無駄にするのは嫌だ。
ANGRY_178 お前のその態度には我慢ならない。
ANGRY_179 もう関わりたくない。勝手にやってくれ。
ANGRY_180 いい加減にしないと本気で怒るぞ。
ANGRY_181 ご主人様、この者の無礼は許されるものではありません。
ANGRY_182 こんな結果を招いたのは誰のせいだと思ってるんだ。
ANGRY_183 もう我慢できない。限界だ。
ANGRY_184 お前には本当に失望しかない。
ANGRY_185 何を考えてそんなことをしたんだよ。
ANGRY_186 こんなことは許されることじゃないんだ。
ANGRY_187 もう二度と同じ過ちは繰り返すな。
ANGRY_188 お前のその無責任さには呆れ果てた。
ANGRY_189 いつまでそんな調子でいるつもりなんだ。
ANGRY_190 こんな扱いは二度とごめんだ。
ANGRY_191 もう顔も見たくない。消えてくれ。
ANGRY_192 どうしてそんな嘘をつけるんだよ。
ANGRY_193 お前のせいでこんなことになったんだぞ。
ANGRY_194 こんなことで怒らせて、どう責任を取るんだ。
ANGRY_195 もう限界だ。これ以上は耐えられない。
ANGRY_196 お前には本当にうんざりしてるんだ。
ANGRY_197 いい加減にしろ。もう我慢できない。
ANGRY_198 こんな結果になるなんて、信じられないよ。
ANGRY_199 もう何も期待していない。勝手にしろ。
ANGRY_200 お嬢さま、この無礼者には相応の制裁を。
