ANNOUNCE_001 まもなく、電車が参ります。黄色い線までお下がりください。
ANNOUNCE_068 お子様の手をお引きください。
ANNOUNCE_069 降り口では、足元にご注意ください。
ANNOUNCE_070 サンダル、クロックスなどでのご利用は、お控えください。
ANNOUNCE_071 お客様へお知らせいたします。
ANNOUNCE_072 台風接近のため、本日は臨時休業とさせていただきます。
ANNOUNCE_073 システムメンテナンスのため、一時サービスを停止いたします。
ANNOUNCE_074 復旧までしばらくお待ちください。
ANNOUNCE_075 お問い合わせは、フリーダイヤルまでお願いします。
ANNOUNCE_076 ただいま電話が大変混み合っております。
ANNOUNCE_077 このままお待ちいただくか、時間をおいておかけ直しください。
ANNOUNCE_078 お客様の番号は、3番です。
ANNOUNCE_079 順番にご案内いたしますので、お待ちください。
ANNOUNCE_080 本日の受付は終了いたしました。
ANNOUNCE_081 次回の予約をお取りいたします。
ANNOUNCE_082 診察券をお持ちでしょうか。
ANNOUNCE_083 保険証を確認させていただきます。
ANNOUNCE_084 問診票のご記入をお願いします。
ANNOUNCE_085 待合室でお待ちください。
ANNOUNCE_086 お呼び出しの際は、お名前をお呼びいたします。
ANNOUNCE_087 診察室へお入りください。
ANNOUNCE_088 次の方、どうぞ。
ANNOUNCE_089 お会計窓口は、こちらです。
ANNOUNCE_090 処方箋をお受け取りください。
ANNOUNCE_091 お大事になさってください。
ANNOUNCE_092 駐車券を提示していただくと、割引いたします。
ANNOUNCE_093 こちらのボタンを押してください。
ANNOUNCE_094 画面の指示に従ってください。
ANNOUNCE_095 カードを挿入してください。
ANNOUNCE_096 暗証番号を入力してください。
ANNOUNCE_097 金額をご確認ください。
ANNOUNCE_098 お取り忘れにご注意ください。
ANNOUNCE_099 領収書は必要でしょうか。
ANNOUNCE_100 取引が完了しました。
ANNOUNCE_101 カードをお取りください。
ANNOUNCE_102 明細書を印刷しております。
ANNOUNCE_103 ご利用ありがとうございました。
ANNOUNCE_104 係員をお呼びする場合は、こちらのボタンを押してください。
ANNOUNCE_105 ご不明な点がございましたら、お問い合わせください。
ANNOUNCE_106 セキュリティのため、周囲を確認してください。
ANNOUNCE_107 暗証番号は、他人に見られないようご注意ください。
ANNOUNCE_108 定期的にパスワードを変更してください。
ANNOUNCE_109 不審な取引がないか、ご確認ください。
ANNOUNCE_110 本人確認のため、お名前を確認させていただきます。
ANNOUNCE_111 生年月日をお伺いいたします。
ANNOUNCE_112 ご住所を確認させていただきます。
ANNOUNCE_113 本人確認書類をご提示ください。
ANNOUNCE_114 こちらにサインをお願いします。
ANNOUNCE_115 お電話番号をお聞かせください。
ANNOUNCE_116 メールアドレスをご登録いただけますか。
ANNOUNCE_117 確認のため、もう一度お願いします。
ANNOUNCE_118 こちらの内容で、よろしいでしょうか。
ANNOUNCE_119 お手続きが完了いたしました。
ANNOUNCE_120 控えをお渡しいたします。
ANNOUNCE_121 貴重品は、お手元で管理をお願いします。
ANNOUNCE_122 ロッカーのご利用は、こちらです。
ANNOUNCE_123 鍵をなくさないよう、ご注意ください。
ANNOUNCE_124 終了時には、ロッカーを空にしてください。
ANNOUNCE_125 時間を超過すると、追加料金が発生します。
ANNOUNCE_126 コインをご用意ください。
ANNOUNCE_127 お釣りは出ません。
ANNOUNCE_128 両替機は、入口にございます。
ANNOUNCE_129 サイズをお選びください。
ANNOUNCE_130 ご利用前に、説明書をお読みください。
ANNOUNCE_131 安全のため、ルールを守ってご利用ください。
ANNOUNCE_132 飲酒後のご利用は、お控えください。
ANNOUNCE_133 体調の優れない方は、ご利用をお控えください。
ANNOUNCE_134 お子様のご利用には、保護者の同伴が必要です。
ANNOUNCE_135 12歳未満のお子様は、ご利用いただけません。
ANNOUNCE_136 身長制限がございます。
ANNOUNCE_137 妊娠中の方は、ご利用をお控えください。
ANNOUNCE_138 心臓に疾患のある方は、ご利用をお控えください。
ANNOUNCE_139 緊急時には、係員が対応いたします。
ANNOUNCE_140 このボタンを押すと、緊急停止します。
ANNOUNCE_141 無理な使い方は、おやめください。
ANNOUNCE_142 故障の原因となりますので、ご注意ください。
ANNOUNCE_143 使用後は、元の場所に戻してください。
ANNOUNCE_144 清潔にご使用ください。
ANNOUNCE_145 次の方のために、きれいにご利用ください。
ANNOUNCE_146 ゴミはお持ち帰りください。
ANNOUNCE_147 ゴミ箱は、あちらにございます。
ANNOUNCE_148 分別にご協力ください。
ANNOUNCE_149 リサイクルにご協力をお願いします。
ANNOUNCE_150 環境保護のため、ご理解とご協力をお願いします。
ANNOUNCE_151 省エネにご協力ください。
ANNOUNCE_152 使用しない時は、電源をお切りください。
ANNOUNCE_153 節水にご協力ください。
ANNOUNCE_154 水を大切にしましょう。
ANNOUNCE_155 喫煙は、指定された場所でお願いします。
ANNOUNCE_156 こちらは禁煙エリアです。
ANNOUNCE_157 火の始末に、ご注意ください。
ANNOUNCE_158 消火器は、こちらにございます。
ANNOUNCE_159 避難経路を確認してください。
ANNOUNCE_160 非常時の連絡先は、こちらです。
ANNOUNCE_161 緊急連絡先を控えておいてください。
ANNOUNCE_162 お困りの際は、スタッフまでお声がけください。
ANNOUNCE_163 インフォメーションは、こちらです。
ANNOUNCE_164 ご質問がございましたら、お気軽にお尋ねください。
ANNOUNCE_165 パンフレットは、こちらにございます。
ANNOUNCE_166 地図は、入口に設置してございます。
ANNOUNCE_167 音声ガイドのレンタルは、受付で承っております。
ANNOUNCE_168 ツアーは、1時間ごとに出発いたします。
ANNOUNCE_169 次回のツアーは、午後2時からです。
ANNOUNCE_170 集合場所は、エントランスホールです。
ANNOUNCE_171 時間厳守でお願いいたします。
ANNOUNCE_172 遅れる場合は、ご連絡ください。
ANNOUNCE_173 キャンセルの場合は、前日までにお知らせください。
ANNOUNCE_174 キャンセル料が発生する場合がございます。
ANNOUNCE_175 天候により、内容が変更になる場合がございます。
ANNOUNCE_176 中止の場合は、ご連絡いたします。
ANNOUNCE_177 払い戻しについては、規約をご確認ください。
ANNOUNCE_178 チケットの転売は、お控えください。
ANNOUNCE_179 入場の際は、チケットを提示してください。
ANNOUNCE_180 再入場の際は、スタンプを押させていただきます。
ANNOUNCE_181 当日券は、窓口で販売しております。
ANNOUNCE_182 前売り券は、オンラインで購入できます。
ANNOUNCE_183 割引制度がございます。対象の方は、お申し出ください。
ANNOUNCE_184 学生証をお持ちの方は、割引がございます。
ANNOUNCE_185 シニア割引がございます。
ANNOUNCE_186 団体割引もございますので、お問い合わせください。
ANNOUNCE_187 年間パスポートも販売しております。
ANNOUNCE_188 会員登録いただくと、特典がございます。
ANNOUNCE_189 メールマガジンで、最新情報をお届けしています。
ANNOUNCE_190 SNSで情報を発信しております。
ANNOUNCE_191 ホームページもご覧ください。
ANNOUNCE_192 アプリをダウンロードすると、便利です。
ANNOUNCE_193 ご意見・ご感想は、アンケートにご記入ください。
ANNOUNCE_194 ご協力いただき、ありがとうございます。
ANNOUNCE_195 今後のサービス向上に役立ててまいります。
ANNOUNCE_196 またのご利用を、お待ちしております。
ANNOUNCE_197 本日は、ご来場いただきありがとうございました。
ANNOUNCE_198 お気をつけてお帰りください。
ANNOUNCE_199 良い一日をお過ごしください。
ANNOUNCE_200 ご利用ありがとうございました。またお越しください。
