LAZY_ANGRY_001 面倒なんだよ、それ。
LAZY_CONTEMPT_016 別に……どうでもいいし。
LAZY_CONTEMPT_017 はぁ……レベル低い。
LAZY_CONTEMPT_018 どうでもいいわ……本当に。
LAZY_CONTEMPT_019 ふーん……そうか。
LAZY_CONTEMPT_020 別に……期待してないから。
LAZY_CONFUSE_001 なんか、よく分かんない。
LAZY_CONFUSE_002 ま、いっか……そんな感じで。
LAZY_CONFUSE_003 んー、どうだったかな。
LAZY_CONFUSE_004 よく分からんけど、まあいいや。
LAZY_CONFUSE_005 んー、どうしようかな。
LAZY_CONFUSE_006 まあ、なんとかなるでしょ。
LAZY_CONFUSE_007 んー、どうでもいいかな。
LAZY_CONFUSE_008 ま、いいんじゃない……多分。
LAZY_CONFUSE_009 なんか……よく分からん。
LAZY_CONFUSE_010 んー、どうかな。
LAZY_CONFUSE_011 ま、適当でいいや。
LAZY_CONFUSE_012 よく分からないけど……まあ。
LAZY_CONFUSE_013 んー、どうだろうね。
LAZY_CONFUSE_014 ま、なんとかなるよ。
LAZY_CONFUSE_015 なんか……微妙。
LAZY_CONFUSE_016 んー、分かんない。
LAZY_CONFUSE_017 ま、いいんじゃないかな。
LAZY_CONFUSE_018 よく分からん……けど。
LAZY_CONFUSE_019 んー、どうなんだろう。
LAZY_CONFUSE_020 ま、適当に……適当に。
LAZY_NORMAL_001 あー、めんどくさい。
LAZY_NORMAL_002 やる気が出ないんだよね。
LAZY_NORMAL_003 だるい……すごくだるい。
LAZY_NORMAL_004 後でいいかな……今じゃなくて。
LAZY_NORMAL_005 やる気ゼロ……本当にゼロ。
LAZY_NORMAL_006 別に、どっちでもいいよ。
LAZY_NORMAL_007 動きたくない……全然動きたくない。
LAZY_NORMAL_008 だりぃな……本当にだりぃ。
LAZY_NORMAL_009 考えるのも面倒くさい。
LAZY_NORMAL_010 眠い……すごく眠いんだ。
LAZY_NORMAL_011 適当でいいんじゃない。
LAZY_NORMAL_012 やる気が起きないなぁ。
LAZY_NORMAL_013 しんどい……体が重いよ。
LAZY_NORMAL_014 今日は無理……明日にしよう。
LAZY_NORMAL_015 だるすぎて何もしたくない。
LAZY_NORMAL_016 面倒だから、パスで。
LAZY_NORMAL_017 気力がない……本当にない。
LAZY_NORMAL_018 体がだるくて動けない。
LAZY_NORMAL_019 やる気スイッチが入らないんだよね。
LAZY_NORMAL_020 寝たい……ただ寝たいだけ。
LAZY_NORMAL_021 考えるのも億劫だ。
LAZY_NORMAL_022 重い……体が重すぎる。
LAZY_NORMAL_023 やる気が全く湧かない。
LAZY_NORMAL_024 動く気になれないんだよ。
LAZY_NORMAL_025 面倒なことは嫌だな。
LAZY_NORMAL_026 だるさが半端ない。
LAZY_NORMAL_027 気が向いたら、やるかもね。
LAZY_NORMAL_028 めんどくさい……本当にめんどくさい。
LAZY_NORMAL_029 やる気が……ないんだよね。
LAZY_NORMAL_030 だるくて……動きたくない。
LAZY_NORMAL_031 後回し……後回しでいいや。
LAZY_NORMAL_032 やる気なし……完全にやる気なし。
LAZY_NORMAL_033 どっちでもいい……本当に。
LAZY_NORMAL_034 動けない……体が動かない。
LAZY_NORMAL_035 だるい……だるすぎる。
LAZY_NORMAL_036 考えたくない……何も。
LAZY_NORMAL_037 眠すぎて……何もできない。
LAZY_NORMAL_038 適当に……適当にやろう。
LAZY_NORMAL_039 やる気ゼロ……マジでゼロ。
LAZY_NORMAL_040 しんどすぎ……本当にしんどすぎ。
LAZY_NORMAL_041 明日……明日でいいでしょ。
LAZY_NORMAL_042 だるくて……仕方がない。
LAZY_NORMAL_043 パス……それはパスで。
LAZY_NORMAL_044 気力ゼロ……完全にゼロ。
LAZY_NORMAL_045 体重い……すごく重い。
LAZY_NORMAL_046 やる気が……出ないんだよ。
LAZY_NORMAL_047 寝る……寝たいだけ。
LAZY_NORMAL_048 億劫……すごく億劫。
LAZY_NORMAL_049 重すぎ……体が重すぎ。
LAZY_NORMAL_050 やる気なんて……ないよ。
LAZY_NORMAL_051 動きたくない……本当に動きたくない。
LAZY_NORMAL_052 めんどい……マジでめんどい。
LAZY_NORMAL_053 やる気出ない……全然出ない。
LAZY_NORMAL_054 だるいわ……本当にだるいわ。
LAZY_NORMAL_055 後で……後でやるから。
LAZY_NORMAL_056 やる気皆無……本当に皆無。
LAZY_NORMAL_057 どうでもいい……正直どうでもいい。
LAZY_NORMAL_058 動かない……体が動かない。
LAZY_NORMAL_059 だるすぎて……笑えてくる。
LAZY_NORMAL_060 考えない……もう考えない。
