WHISPER_ANGRY_001 許さない……絶対に許さないから。
WHISPER_FUN_015 面白い……本当に面白いね。
WHISPER_FUN_016 期待が……高まってるんだ。
WHISPER_FUN_017 楽しくて……仕方がないよ。
WHISPER_FUN_018 最高だ……最高に楽しいよ。
WHISPER_FUN_019 もっともっと……楽しみたいんだ。
WHISPER_FUN_020 ワクワクする……本当にワクワクする。
WHISPER_SURPRISE_001 え……まさか、本当に。
WHISPER_SURPRISE_002 信じられない……嘘でしょ。
WHISPER_SURPRISE_003 まさか……そんなはずない。
WHISPER_SURPRISE_004 本当に……本当なの、これ。
WHISPER_SURPRISE_005 え……嘘だよね。
WHISPER_SURPRISE_006 信じられない……本当に信じられない。
WHISPER_SURPRISE_007 まさか……まさかの展開だ。
WHISPER_SURPRISE_008 びっくりした……本当にびっくりした。
WHISPER_SURPRISE_009 え……どういうこと。
WHISPER_SURPRISE_010 信じられない……まさか。
WHISPER_SURPRISE_011 本当に……本当なの。
WHISPER_SURPRISE_012 まさか……こんなことに。
WHISPER_SURPRISE_013 驚いた……本当に驚いたよ。
WHISPER_SURPRISE_014 え……信じられないよ。
WHISPER_SURPRISE_015 まさかの……まさかの結果だ。
WHISPER_SURPRISE_016 びっくり……びっくりしたんだ。
WHISPER_SURPRISE_017 本当に……本当に驚いた。
WHISPER_SURPRISE_018 え……そんなはずは。
WHISPER_SURPRISE_019 信じられない……予想外すぎる。
WHISPER_SURPRISE_020 まさか……まさかね。
WHISPER_FEAR_001 怖い……誰か、助けて。
WHISPER_FEAR_002 やめて……お願い、やめて。
WHISPER_FEAR_003 来ないで……こっちに来ないで。
WHISPER_FEAR_004 不安で……どうしようもなくて。
WHISPER_FEAR_005 震えが……止まらないんだ。
WHISPER_FEAR_006 助けて……誰か助けてよ。
WHISPER_FEAR_007 逃げたい……ここから逃げたい。
WHISPER_FEAR_008 怖くて……動けないんだ。
WHISPER_FEAR_009 やめて……本当にやめて。
WHISPER_FEAR_010 怖い……本当に怖いよ。
WHISPER_FEAR_011 誰か……誰かいないの。
WHISPER_FEAR_012 助けて……お願い、助けて。
WHISPER_FEAR_013 逃げなきゃ……早く逃げなきゃ。
WHISPER_FEAR_014 不安で……押しつぶされそうだ。
WHISPER_FEAR_015 怖くて……声も出ない。
WHISPER_FEAR_016 やめて……近づかないで。
WHISPER_FEAR_017 震えてる……体が震えてる。
WHISPER_FEAR_018 怖い……すごく怖いんだ。
WHISPER_FEAR_019 助けて……誰でもいいから。
WHISPER_FEAR_020 逃げたい……今すぐ逃げたい。
WHISPER_CONTEMPT_001 はっ……その程度か。
WHISPER_CONTEMPT_002 呆れた……本当に呆れたよ。
WHISPER_CONTEMPT_003 しょうもない……本当にしょうもない。
WHISPER_CONTEMPT_004 レベルが……低すぎるね。
WHISPER_CONTEMPT_005 つまらない……本当につまらない。
WHISPER_CONTEMPT_006 期待するだけ……無駄だったね。
WHISPER_CONTEMPT_007 所詮……その程度か。
WHISPER_CONTEMPT_008 呆れて……物も言えない。
WHISPER_CONTEMPT_009 話にならない……本当に話にならない。
WHISPER_CONTEMPT_010 その程度……その程度なんだね。
WHISPER_CONTEMPT_011 くだらない……本当にくだらない。
WHISPER_CONTEMPT_012 期待した私が……バカだったよ。
WHISPER_CONTEMPT_013 しょうもな……本当にしょうもな。
WHISPER_CONTEMPT_014 呆れ果てた……本当に呆れ果てた。
WHISPER_CONTEMPT_015 低レベル……低レベルすぎる。
WHISPER_CONTEMPT_016 つまらない奴……本当につまらない奴だ。
WHISPER_CONTEMPT_017 期待するだけ……損だったね。
WHISPER_CONTEMPT_018 所詮……所詮その程度だ。
WHISPER_CONTEMPT_019 呆れる……呆れるしかないよ。
WHISPER_CONTEMPT_020 話にならん……本当に話にならん。
WHISPER_CONFUSE_001 分からない……何が何だか。
WHISPER_CONFUSE_002 どうすればいいの……教えて。
WHISPER_CONFUSE_003 訳が分からない……本当に。
WHISPER_CONFUSE_004 どうしよう……どうすればいいの。
WHISPER_CONFUSE_005 理解できない……全然理解できない。
WHISPER_CONFUSE_006 混乱してる……頭が混乱してる。
WHISPER_CONFUSE_007 分からない……本当に分からない。
WHISPER_CONFUSE_008 どうすれば……どうすればいいんだ。
WHISPER_CONFUSE_009 訳が……訳が分からないよ。
WHISPER_CONFUSE_010 困った……本当に困ったな。
WHISPER_CONFUSE_011 理解が……追いつかないんだ。
WHISPER_CONFUSE_012 混乱してる……本当に混乱してる。
WHISPER_CONFUSE_013 分からない……何も分からない。
WHISPER_CONFUSE_014 どうしよう……本当にどうしよう。
WHISPER_CONFUSE_015 理解できない……どうしても理解できない。
WHISPER_CONFUSE_016 困惑してる……すごく困惑してる。
WHISPER_CONFUSE_017 分からない……さっぱり分からない。
WHISPER_CONFUSE_018 どうすれば……教えてほしい。
WHISPER_CONFUSE_019 訳が分からん……本当に訳が分からん。
WHISPER_CONFUSE_020 混乱してる……完全に混乱してる。
WHISPER_NORMAL_001 ねえ、聞いてる。
WHISPER_NORMAL_002 ここだけの話なんだけどさ。
WHISPER_NORMAL_003 静かに……声を出さないで。
WHISPER_NORMAL_004 誰にも言わないでね。
WHISPER_NORMAL_005 そっと……そっとね。
WHISPER_NORMAL_006 内緒だよ……絶対に内緒。
WHISPER_NORMAL_007 ちょっと待って……今、話せないの。
WHISPER_NORMAL_008 こっそり……バレないように。
WHISPER_NORMAL_009 小声で……ね、小声で話そう。
WHISPER_NORMAL_010 秘密……これは秘密だよ。
WHISPER_NORMAL_011 ……聞こえてる。ちゃんと聞いてるよ。
WHISPER_NORMAL_012 静かに……静かにしてて。
WHISPER_NORMAL_013 ここだけの……ここだけの話ね。
WHISPER_NORMAL_014 誰にも……誰にも言わないで。
WHISPER_NORMAL_015 そっと……そっと近づいて。
WHISPER_NORMAL_016 内緒にして……絶対に内緒にして。
WHISPER_NORMAL_017 ちょっと……ちょっとだけ待って。
WHISPER_NORMAL_018 こっそりと……こっそりとね。
WHISPER_NORMAL_019 小声で……小声で教えて。
WHISPER_NORMAL_020 秘密にしてね……約束だよ。
WHISPER_NORMAL_021 静かに……静かに話そう。
WHISPER_NORMAL_022 ここだけ……ここだけの秘密。
WHISPER_NORMAL_023 誰にも……誰にも聞かれないように。
WHISPER_NORMAL_024 そっと……そっと教えて。
WHISPER_NORMAL_025 内緒だよ……本当に内緒だよ。
WHISPER_NORMAL_026 ちょっと……ちょっといい。
WHISPER_NORMAL_027 こっそり……こっそり聞いてる。
WHISPER_NORMAL_028 小声でね……小声でお願い。
WHISPER_NORMAL_029 秘密……二人だけの秘密。
WHISPER_NORMAL_030 静かに……静かにして。
WHISPER_NORMAL_031 ここだけ……ここだけにしてね。
WHISPER_NORMAL_032 誰にも言えない……誰にも言えないんだ。
WHISPER_NORMAL_033 そっと……そっとしてて。
WHISPER_NORMAL_034 内緒にして……お願い、内緒にして。
WHISPER_NORMAL_035 ちょっと聞いて……ちょっとだけ。
WHISPER_NORMAL_036 こっそりと……こっそりと話そう。
WHISPER_NORMAL_037 小声で……小声でいいから。
WHISPER_NORMAL_038 秘密だから……秘密だからね。
WHISPER_NORMAL_039 静かにね……静かにしてね。
WHISPER_NORMAL_040 ここだけの話……ここだけの話だから。
WHISPER_NORMAL_041 誰にも……誰にもバレないように。
WHISPER_NORMAL_042 そっと……そっと行こう。
WHISPER_NORMAL_043 内緒……絶対に内緒ね。
WHISPER_NORMAL_044 ちょっと……ちょっと来て。
WHISPER_NORMAL_045 こっそり……こっそり教えるね。
WHISPER_NORMAL_046 小声で……小声で話して。
WHISPER_NORMAL_047 秘密にして……これは秘密にして。
WHISPER_NORMAL_048 静かに……静かにしないと。
WHISPER_NORMAL_049 ここだけね……ここだけの話ね。
WHISPER_NORMAL_050 誰にも……誰にも聞こえないように。
WHISPER_NORMAL_051 そっと……そっと置いて。
WHISPER_NORMAL_052 内緒だよ……これは内緒だよ。
WHISPER_NORMAL_053 ちょっとね……ちょっとだけね。
WHISPER_NORMAL_054 こっそり……こっそり見てる。
WHISPER_NORMAL_055 小声でお願い……小声でお願いします。
WHISPER_NORMAL_056 秘密……私たちの秘密。
WHISPER_NORMAL_057 静かにして……静かにしてて。
WHISPER_NORMAL_058 ここだけ……ここだけだからね。
WHISPER_NORMAL_059 誰にも言わない……誰にも言わないから。
WHISPER_NORMAL_060 そっと……そっと閉めて。
