NORMAL_001 おはよう。今日もいい天気だね。
NORMAL_130 ここ、雰囲気いいね。
NORMAL_131 そろそろ出発しようか。
NORMAL_132 これ、結構よかったよ。
NORMAL_133 今日の調子はどう。
NORMAL_134 それ、いいアイデアだね。
NORMAL_135 ちょっとお願いしてもいいですか。
NORMAL_136 この前のこと、ありがとうね。
NORMAL_137 今度時間作って話そう。
NORMAL_138 それ、どう感じる。
NORMAL_139 今日はここで終わりにしましょう。
NORMAL_140 ちょっと見せてもらえますか。
NORMAL_141 ご主人様、お夕食の時間です。
NORMAL_142 それ、私も興味あるんだ。
NORMAL_143 今週はスケジュールがいっぱいだよ。
NORMAL_144 この店、雰囲気いいよね。
NORMAL_145 また今度一緒に遊ぼうよ。
NORMAL_146 それ、どこで手に入れたの。
NORMAL_147 今日は過ごしやすいね。
NORMAL_148 そっちはどんな状況。
NORMAL_149 ちょっと話聞いてもらえる。
NORMAL_150 これ、後でチェックしておきます。
NORMAL_151 そういえば、あれどうなったっけ。
NORMAL_152 今度の計画、聞かせてね。
NORMAL_153 それ、面白そうだね。
NORMAL_154 ここでちょっと一息つこう。
NORMAL_155 明日また話そう。
NORMAL_156 これ、試してみてください。
NORMAL_157 そっちの具合はどう。
NORMAL_158 今日は何か予定があるの。
NORMAL_159 それ、私もそう思うよ。
NORMAL_160 この前の話、詳しく聞きたいな。
NORMAL_161 今からでも間に合うよね。
NORMAL_162 それ、調べてみるね。
NORMAL_163 ちょっと教えてほしいんだけど。
NORMAL_164 今日もよく頑張ったね。
NORMAL_165 そうだね。それでいこう。
NORMAL_166 この辺で休憩しようか。
NORMAL_167 また折り返し連絡しますね。
NORMAL_168 それ、後で確認してみる。
NORMAL_169 今週末は何か予定ある。
NORMAL_170 ここ、落ち着くね。
NORMAL_171 そろそろ移動しようか。
NORMAL_172 これ、なかなかよかったよ。
NORMAL_173 今日の気分はどう。
NORMAL_174 それ、素晴らしいアイデアだね。
NORMAL_175 ちょっと手伝ってもらえる。
NORMAL_176 この前はどうもありがとう。
NORMAL_177 今度じっくり話そうよ。
NORMAL_178 それ、君はどう思う。
NORMAL_179 今日はこの辺で終わりにしよう。
NORMAL_180 ちょっと貸してもらえますか。
NORMAL_181 それ、私も気になってたんだ。
NORMAL_182 今週は予定が立て込んでる。
NORMAL_183 この店、本当に美味しいよね。
NORMAL_184 また今度ゆっくり会おう。
NORMAL_185 それ、どこで買えるの。
NORMAL_186 今日は気持ちいい天気だね。
NORMAL_187 そっちの進み具合はどう。
NORMAL_188 ちょっと意見聞いてもらえる。
NORMAL_189 これ、後で見ておきます。
NORMAL_190 そういえば、あの件どうなったの。
NORMAL_191 お嬢さま、お散歩の時間ですが。
NORMAL_192 今度の予定、また教えて。
NORMAL_193 それ、楽しそうだね。
NORMAL_194 ここで少し休憩しませんか。
NORMAL_195 明日また改めて連絡するね。
NORMAL_196 これ、ぜひ試してみてください。
NORMAL_197 そっちの調子はどう。
NORMAL_198 今日は特に予定ない。
NORMAL_199 それ、私も同感だよ。
NORMAL_200 この前の話、もっと聞きたいな。
