JOY_001 話している顔だけで、今の仕事があなたに合っているんだなって伝わってきます。
JOY_065 私の好きな色を覚えていたんだね、包みを開ける前から顔が緩んでしまう。
JOY_066 お祝いの席、君も真ん中に座ってよ、今回ばかりは遠慮しないで笑ってほしいんだ！
JOY_067 父さんが名前を呼んでくれて、安心したら涙が止まらなくなったよ。
JOY_068 やるじゃないか、向こう岸まで飛べたぜ、あんなに長く助走の練習をしたもんな！
JOY_069 手書きの文字って温かいね。
JOY_070 お皿を洗ってくれたのね、私にも休む時間をくれてありがとう。
JOY_071 あなたの食べる速さが戻ったわ、鍋の底まで見えてきて作った甲斐があるじゃない！
JOY_072 電話で聞いた話をもう少し教えてよ、良い知らせなら何度聞いても笑顔になるから。
JOY_073 あんたが頼ってくれると、あたしも張り合いが出るよ。
JOY_074 あの難しいところを弾き切ったね、客席で息を止めてた私まで報われた気がする！
JOY_075 この椅子でまた飯が食えるな、捨てずに取っておいたあんたの判断が正解だ。
JOY_076 迎えに来てくれたんだ！
JOY_077 看板に明かりがついたね、準備の時から見ていたから、しばらく眺めていたいな。
JOY_078 わたくしの手に合う大きさを探してくださったのですね、大切に使います。
JOY_079 好きだって言ってたスープを多めに作ったの、喜んでもらえるなら何杯でもよそいたい。
JOY_080 封筒の字を見た時から、あなたのお顔が浮かんでいました。
JOY_081 全員の画面が動いたぞ、これで安心して帰れる、最後まで付き合ってくれて助かった！
JOY_082 雨の合間に休憩を取れたし、温かいコーヒーまであるなんて上出来だね。
JOY_083 別れる前にもう少し歩きたいな、君といると普段の道まで明るく見えるんだよね…
JOY_084 封筒を見ただけで頬が緩むよ。
JOY_085 雲が動いたおかげで月まで見えるのね、今夜は眠る前に良い贈り物をもらったわ。
JOY_086 改札で君が見えてから、手を振るのを止められなかったよ。
JOY_087 練習した笑顔が自然に出てるよ、あたしの出番がなくなるくらい頼もしいじゃない。
JOY_088 自分でここまで歩けたね、今の顔を忘れないように抱きしめたいな。
JOY_089 帰る時間に合わせて温めてくださったのですね、最初のひと口から元気が戻ります。
JOY_090 自分の文章が本棚に並ぶなんて、何度でも見に来たくなりますね。
JOY_091 今夜は焦げた豆で済ませなくていいんだぜ、焼きたてのパンを取りに行かないか？
JOY_092 この顔を見るとつられて笑うよ。
JOY_093 隣の席にきみのかばんがあると、いつもの朝が戻ってきたって感じるんだ。
JOY_094 餌台に鳥が来たよ、置き場所を変えてから毎朝待ってたから、窓を開けずに眺めよう。
JOY_095 また皆様と朝を迎えられますね、しまっていた看板をさっそく出してまいります！
JOY_096 太い大根が採れたよ、おじいちゃんの教えを守ってよかった。
JOY_097 留守の間も水をやってくれたんだな、葉がこんなにつやつやしてやがる。
JOY_098 私の分のクッキーまであるんですね、甘いものが欲しいところだったので助かります。
JOY_099 私の言葉が支えになったんだ…
JOY_100 屋根の下で温かいお茶を飲めるだけで、さっきまでの雨も笑い話にできそうだね。
JOY_101 帰ってきたんだね、ぬれた毛を拭きながらずっと顔を見ていたいよ。
JOY_102 昨日まで迷っていた線がつながったわね、あなた自身も仕上がりに驚いているのかしら？
JOY_103 喜ぶ顔を見たら、贈り物を探して歩いた疲れも消えたよ。
JOY_104 会えたら何を話そうか考えてたのに、顔を見たら笑いしか出てこないじゃない！
JOY_105 みんなの声があったから最後まで走れたよ、今も耳に残ってる。
JOY_106 皆さんの持ち寄った色が合わさって、どの席から見ても明るい壁になりましたね。
JOY_107 制服姿の君がまぶしく見えるよ、初出勤の朝を家族の写真に残しておきたいな。
JOY_108 冬を越した鉢に花がつくと、毎朝水を運んだ時間まで報われるようです。
JOY_109 おかわりまであるのかよ…
JOY_110 机を並べるところから手伝ってくださって、おかげで皆さんを笑顔で迎えられました。
JOY_111 煮物の味がやっとおばあちゃんの味に近づいた気がする…
JOY_112 あなたが呼ばれた瞬間、私まで立ち上がってたよ、遠慮せず真ん中に行って！
JOY_113 後ろを持ってなくても進んでるよ、そのまま前を見て、ちゃんと自分でこげてる！
JOY_114 久しぶりに使っても手にぴたりと収まるな、捨てずに手入れしてきてよかったよ。
JOY_115 おまえの棚に人が集まってるぞ、ほら、作った本人が奥に隠れてどうする！
JOY_116 寒い中を来てくれてありがとう、あなたが好きだと言っていた紅茶を用意してあるよ。
JOY_117 父さん、ぼくの絵をずっと財布に入れてくれてたんだ…
JOY_118 客席まで笑顔が広がってたよ、あの場面の練習を何度もやり直して正解だったね！
JOY_119 見事な焼き色でございます！
JOY_120 気に入って使ってくださっているんですね、持ち手の色が変わるほど使われて光栄です。
JOY_121 湯気からこの香りがすると、あなたの家に来た気がするわ。
JOY_122 今日はみんながそろったんだから、端に隠れず私の隣に来て、大きく笑って撮ろう！
JOY_123 新しい部屋の鍵を見せるあんたの顔、さっきから緩みっぱなしじゃない。
JOY_124 最後まで通えたんだな、途中でやめずに座り続けた机が急にいとおしく見える…
JOY_125 もう手を離しても進めるのですね…
JOY_126 茶わんが空になるのを見るだけで、おれも飯がうまくなるから不思議だな。
JOY_127 ちょうどお腹がすいてたの、袋からパンの香りがしてきただけでもう元気が出たよ。
JOY_128 お前の歩く音が後ろから聞こえると、オレもつい足取りが軽くなるんだよな。
JOY_129 君の絵で埋まった壁を眺めると、最初の落書きから見てきた私まで誇らしくなるね。
JOY_130 ここまで自分の足で登れたんだ、帰ったらきみにもこの景色を話したいよ。
JOY_131 窓いっぱいの海を並んで見られてよかったね、連れてくる約束をやっと果たせたよ。
JOY_132 君のお祝いに選んだ花なんだ、似合いそうな色を集めてみたけど受け取ってくれる？
JOY_133 別々に描いた線がここでつながると、2人で作った意味が見えてくるね。
JOY_134 この紙の花、まだ色が残ってる…
JOY_135 全部包み終えたよ、机が見えるくらい片付いたのを眺めてからお祝いに出かけよう！
JOY_136 演奏をすぐ近くで聞ける席ですね、開演前から顔が緩みます。
JOY_137 よっしゃ、雲が切れたぜ、お前が見たいと言ってた朝日をここで拝めそうだな。
JOY_138 犬を迎える日が来たんだね、うちの庭を駆ける姿がたまらないよ。
JOY_139 ほらね、あんたの頑張りは届いてたよ、呼ばれた名前を聞いてあたしまで泣きそうなの。
JOY_140 仕事を分担できたおかげで、久々に熱いご飯を味わえるね。
JOY_141 どうぞ、この喜びを分けさせてください、わたくしだけで頂くには立派なケーキです。
JOY_142 おれの靴を追い越したか…
JOY_143 その冗談が出るならもう安心だね、心配してたけど笑って聞ける日が戻ってきた。
JOY_144 姉ちゃんの帰宅が決まったよ、今から玄関の音が待ち遠しいね。
JOY_145 ひとまず肩の力を抜きましょう、皆さんの笑顔を見る限り発表会は大成功ですね。
JOY_146 写真の君も今と同じ笑い方だね、見ていると頬が緩むよ。
JOY_147 こんな素敵な絵なら毎朝眺めたいな、玄関のいちばん目立つ壁に飾ってもいい？
JOY_148 きみの作った皿が並んでると、ぼくまで背筋が伸びるよ。
JOY_149 全員そろって提出できたね、途中で手が止まった人にも声をかけ合った成果だよ！
JOY_150 眺めのいい窓際が空いたね、待ってみてよかった。
JOY_151 その笑顔が見たかったんだぜ。
JOY_152 会えない間に話すことが増えたけど、こうして向かいに座ると黙っていても満たされるね。
JOY_153 仕事が決まったお祝いに、前から食べたいって言ってたパフェを食べに行かない？
JOY_154 小さなつぼみが開きましたね、毎朝の水やりを分け合った甲斐がありました。
JOY_155 初めて実がついたよ、あんなに小さな苗だったのに、もう手のひらからはみ出してる！
JOY_156 長旅でお疲れでしょうが、その元気なお声を聞けてわたくしは何よりです。
JOY_157 あなたの足音だと分かったわ！
JOY_158 細かな模様まできれいにそろっていて、隣で練習した私まで誇らしくなりますね。
JOY_159 持ち手が広くなって楽だよ、毎日使う身にはありがたいね。
JOY_160 あたしの好物だって覚えて、取り分けてくれたのね。
JOY_161 最初のお客さんになれて光栄だよ、看板の前で君の写真を撮らせてもらっていい？
JOY_162 声をかける前に気づいてくれたね、こんなに人がいても私を見つけてくれたんだ！
JOY_163 腰かけてみろよ、おまえの言った高さに直したら随分使いやすくなっただろ？
JOY_164 やっと安心して眠れたんだね、寝息が続いているのを聞くと私も肩の力が抜ける…
JOY_165 用事が早く済んだから、花の咲いてる道を通って帰らない？
JOY_166 あなたが残って手伝ってくれたおかげで間に合いました、昼食をごちそうしてもいいですか？
JOY_167 覚えていてくださったのですね…
JOY_168 きみと笑ってる写真を部屋に飾りたいんだけど、もう1枚撮ってもいいかな？
JOY_169 最後まで晴れてくれたね、みんなの笑った顔も海の色も忘れないように目に焼き付けるよ！
JOY_170 久しぶりにその呼び方をされたら、離れていた時間が急に短くなった気がするよ。
JOY_171 採れたての豆ってこんなに甘いのね、もう少し畑に付き合ってもいい？
JOY_172 教わった味に近づけた気がするんだけど、今度はおかわりまで食べてもらえるかな？
JOY_173 帰ってきたぞ、全員そろった！
JOY_174 海から朝日が広がるところを君と見られて、早起きが報われたよ。
JOY_175 そうね、わたしの好みを覚えて作ってくれたのなら、冷める前にいただきたいわ。
JOY_176 その笑い声をまたここで聞けるとはね、仕事の山も今なら越えられると思う！
JOY_177 兄ちゃんの名前が呼ばれたよ、あれだけ続けてきたことをみんなが認めてくれたんだね！
JOY_178 前みたいに隣を歩いてくれるんだね、話しかけるまで固くなっていた喉がほどけたよ。
JOY_179 汗をかいた後にあんたと飲む茶は格別だな。
JOY_180 仕上げた顔が何よりの答えです！
JOY_181 せっかく目標を達成した日なんだし、いつもより少し良いデザートを頼んでもいいよね？
JOY_182 ぼくの声が分かるんだね、しっぽが止まらないよ。
JOY_183 ここまで来られたのは2人が待っていてくれたからだよ、今度は私がお祝いさせて！
JOY_184 また同じ机で話せるなんて、授業が始まる前に伝えたいことが山ほどあるよ！
JOY_185 おれにも描いてくれたのか！
JOY_186 欲しかった本に手書きのしおりまで挟んであるなんて、何からお礼を言えばいいんだろう…
JOY_187 寝息が聞こえるところで本を読むと、不思議と落ち着くわ。
JOY_188 私の好みを考えて選んでくれたんだね、このスカーフを巻いてさっそく歩いてもいい？
JOY_189 目標の数を超えたよ、みんなが作った品をこんなに多くの人が選んでくれたんだ！
JOY_190 オレの席まで空けて待ってたのかよ、ありがたいぜ。
JOY_191 便りの最後にいつものひと言があるだけで、遠くにいても背中を支えてもらえるね。
JOY_192 帰ったところに温かいお茶とは、ありがたいことです。
JOY_193 話が尽きなくて帰るのが惜しくなったよ、次の予定がなければもう少し座っていかない？
JOY_194 せっかくのお祝いですから、お好きなお茶を選びませんか？
JOY_195 咲いた花を最初に見せたかったんだ、毎朝水をやった君の手で受け取ってほしいな！
JOY_196 話を聞いてくれるだけで助かるよ。
JOY_197 なるほど、炊き上がりを待ったかいがあるね、何も乗せずに食べたくなる。
JOY_198 久しぶりに焦がさず焼けたよ、端までいい香りがして、食べる前からにやけちゃうな…
JOY_199 よし、今夜のご飯はぼくがごちそうするよ、初めてのお給料で決めてたんだ。
JOY_200 新しい暮らしが落ち着いたら遊びに行きたいな、君が選んだ部屋を見せてもらえる？
