ANGRY_001 心配していたのは分かるけど、私の荷物を開けて中身まで確かめるのはやめてほしい。
ANGRY_093 火の番を引き受けたのはお前だろ、覚えてないと言うのかよ？
ANGRY_094 貸した本のページを折ったまま返すんだね、大事にしていると話したのを覚えてないんだ…
ANGRY_095 あんたが作った部分はどこなのか、指さして説明できる？
ANGRY_096 皆で分ける差し入れを袋ごとしまうのは違うでしょ、まだ食べていない人もいるんだから。
ANGRY_097 立場の弱い者になら、何を言ってもよいとお考えでしょうか？
ANGRY_098 間違った噂を流したなら聞いた人にも訂正してよ、私にだけ謝って終わりにはできないからね。
ANGRY_099 見つからなければ続けてよかったと、今も考えていますか？
ANGRY_100 私が休んでいるとすぐ用事を頼むんだね、何もしていない時間も私には必要なんだけど。
ANGRY_101 人の失敗を笑うな！
ANGRY_102 私が反対した部分を、全員の意見と呼んでいいと思う？
ANGRY_103 切符を買ってから行かないと言われても困るよ、気が変わっただけで片付けないでほしい。
ANGRY_104 わたしが確かめていない結果を、なぜ完成と呼べるのかしら？
ANGRY_105 間違いを知っていたのに報告を止めたのですね、黙っていれば直す人が減るだけでしょう。
ANGRY_106 壊したのはおれだと言い張るなら、いつ見たのか答えられるか？
ANGRY_107 答えたくないと伝えた話を何度も聞くんだね、親しいから何でも聞いていいとは思わないで。
ANGRY_108 その呼び方は嫌なんだ。
ANGRY_109 古いから捨てたと言うけれど、使うかどうかは私が決めるよ。
ANGRY_110 オレの靴を履いて泥だらけにしたのかよ、借りる前も返す時もひと言もなしか。
ANGRY_111 作った人の前で文句ばかり言うなら、次の食事は献立を考えるところからやってみてよ。
ANGRY_112 古くてもあたしには大切なの、捨てる前に聞いてよ。
ANGRY_113 門の内側へごみを置かれるのは困ります、片付ける者がいるからよいとは思えません。
ANGRY_114 通路をふさいでおいて、少しだからいいとは言えないでしょ。
ANGRY_115 自分がしたことを隣の人に押しつけても、起きた事実まで変えられるわけではありません。
ANGRY_116 毎回寝坊して連絡もないのか、代わりに働く側のことを考えろ！
ANGRY_117 聞く耳も持たないんだね。
ANGRY_118 片付けの時だけあたしを頼るのね、遊ぶ仲間はほかで選ぶなんて調子がよすぎるよ。
ANGRY_119 聞いてると言うわりに、同じことを何度も説明させるんだね。
ANGRY_120 理由を聞かずに私だけ残すんですか、見ていなかったことまで決めつけないでください！
ANGRY_121 ぼくの案だって説明する機会まで奪うつもりなの？
ANGRY_122 集中したいと伝えても机の横で話し続けるんだね、別の場所に移る気はないということかな。
ANGRY_123 音を小さくしてと言われて、なぜ笑っているのか分からないね。
ANGRY_124 試すための見本でも壊してよいわけではありません、無理に引っ張るのはおやめください。
ANGRY_125 書きかけだと伝えたのに…
ANGRY_126 使った油くらい片付けろよ、床までべたべたじゃないか。
ANGRY_127 私が手伝うと誰に言ったの、まだ話も聞いていないのに承諾したことにしないでよ！
ANGRY_128 荷物を運べば門を開けると言っただろう、着いてから条件を増やすのはずるいぜ。
ANGRY_129 返品の条件を買った後に変えられては、納得できません。
ANGRY_130 わたくしに確認せず承知したと伝えたのですね、その言葉を訂正していただきたいです。
ANGRY_131 犬の後始末をせずに帰るなよ、子どもが遊ぶ場所なんだぞ！
ANGRY_132 壊れたまま返すのですね…
ANGRY_133 毎回同じ人が掃除をしているのを知っていて、助け合いのひと言で終わらせるんですね。
ANGRY_134 相談したのに、全部こちらで決めろという返事では困ります。
ANGRY_135 待ち合わせの時間を冗談みたいに扱われると、私の時間まで軽く見られた気がする。
ANGRY_136 私の仕事を知らないまま、楽でいいねと言わないでほしいです。
ANGRY_137 柵が低いから入ってよいわけではないわ、育てた草を踏んでいく理由にはならないの。
ANGRY_138 鍵を渡したからって、留守中に人を連れてくるなよ！
ANGRY_139 おれが育ててる木だと知ってて切ったのか、邪魔なら先に言いに来ればいいだろ。
ANGRY_140 勝手に触るなと言ったよ。
ANGRY_141 相談なしに道を変えるなよ、後ろの連中が困るだろう。
ANGRY_142 車では吸わない約束だったよね、窓を開けたからいいという条件は付けていなかったはずだよ。
ANGRY_143 休みのたびに代わりを頼まれては、わたくしにも限度がございます。
ANGRY_144 まだ確認していない資料に私の名前を付けたのですか、責任まで勝手に引き受けさせないでください。
ANGRY_145 わたしの食器を使ったなら、洗って戻しておいてください。
ANGRY_146 謝ればすぐ元に戻ると思ってるのかな、大切な物を壊された気持ちはまだ消えてないよ…
ANGRY_147 また聞こえないふりなの…
ANGRY_148 頼んだ買い物を忘れたまま自分の物だけ選んできたんだね、引き受けた言葉が軽すぎるよ。
ANGRY_149 ぼくにも予定があるんだから、先に聞いてほしかったよ。
ANGRY_150 異音がすると何度も伝えたでしょう、動かなくなってから初耳だという顔はしないでください。
ANGRY_151 名前を書いた菓子まで食べるなら、もうここには置けませんね。
ANGRY_152 注文を間違えたら何を言ってもいいわけじゃないよ、今の言い方は聞いてられない。
ANGRY_153 嫌だと伝えた写真を、勝手に人へ送らないでくれる？
ANGRY_154 声の大きい人だけを聞くのは不公平です、黙って働いた人の記録も確かめてください。
ANGRY_155 発表中にわざと音を立てるなんて、人の努力を何だと思ってるんだ！
ANGRY_156 謝るだけで同じことを繰り返すなら、次は私が対応すると期待しないでほしいね。
ANGRY_157 逃げれば済むと思うな！
ANGRY_158 待たせた時間を笑い話にされるのは、気分が悪いわ。
ANGRY_159 緊張していると分かってわざとからかうんだね、励ましているつもりなら今は黙っていて。
ANGRY_160 傷を隠して渡すくらいなら、やり直す手間を惜しむなよ。
ANGRY_161 泊まるのは君だけと聞いていたよ、知らない人まで連れてくるなら先に確認してほしかった。
ANGRY_162 鍋を焦がしたなら洗えよ、オレに隠して置いていくな。
ANGRY_163 わたくしが知らないと思って繰り返したのですね、今度は曖昧なお返事では済ませません。
ANGRY_164 私には休むなと言って自分は抜けるのですか、その違いをきちんと説明してもらえますか？！
ANGRY_165 内緒にしてって頼んだ話を、笑いの種にしないでよ。
ANGRY_166 最後まで聞かずに大げさだと片付けるんだね、話し合いたくて声をかけたのが間違いだったかな…
ANGRY_167 汚した服を黙って戻されると、次に貸そうとは思えないよ。
ANGRY_168 記録まで消したんだね…
ANGRY_169 困っている人にわざと違う場所を教えるなんて、冗談のつもりでも私は笑えないよ。
ANGRY_170 後ろに列があるのが見えるでしょ、ここから入らないでください。
ANGRY_171 あなたが選んだ手順なのに、失敗した時だけわたしの指示だったと言うのはやめて。
ANGRY_172 終わってない作業を完了にするな、後で誰が困ると思ってる！
ANGRY_173 勝手に寸法を変えたのか…
ANGRY_174 説明を聞いただけで申し込んだ扱いにしないでください、同意した覚えはありません。
ANGRY_175 相談した話を広めたなら、もうあんたには頼れないよ。
ANGRY_176 オレの失敗なら好きに言えよ、助けに戻った仲間まで笑うのは我慢できないぜ。
ANGRY_177 真面目に相談したのに、笑われるとは思わなかったな…
ANGRY_178 注意を受けた人だけ配置を変えるのですか、声を上げた側に負担を負わせないでください。
ANGRY_179 気に入らない品を棚に投げ戻すのは、見ていて気分が悪いよ。
ANGRY_180 勝ちたいからって線を動かすなんて、ぼくはそんな試合の続きをやりたくないよ。
ANGRY_181 お手紙まで捨てるとは…
ANGRY_182 冷蔵庫の空き箱を戻しておくんだね、残っていると思って買わなかった人のことも考えてよ。
ANGRY_183 壊れた台車を使えだと、けがをしたら誰が責任を取るんだ？！
ANGRY_184 忙しいから知らないで済むかよ、あんたが引き受けた分をおれに黙って置いていくな。
ANGRY_185 嫌な役目だけ順番を忘れるのは、都合がよすぎませんか。
ANGRY_186 練習する場所を予約していたんだよ、人数が多いから譲れと言われても納得できないよ。
ANGRY_187 私の手紙は私が開けるものだよ、親切で済む話ではないね。
ANGRY_188 意見が違うだけで能力の話にするのはやめてください、提案のどこが問題なのか答えてください。
ANGRY_189 オレの分も食ったのかよ…
ANGRY_190 迎えを頼んだのに飲みに行ったんだね、私との約束は何だったの。
ANGRY_191 待たせた側が怒るなんて変じゃない、あたしの帰る時間まで勝手に決めないでよ。
ANGRY_192 結論まで聞いてから反論してよ、途中で切られたら話せないでしょ！
ANGRY_193 私が着る服まで勝手に選んだのね、似合うかどうかより自分で決めたかったんだけど…
ANGRY_194 選んだ布と違うのに、同じだと言い張るおつもりなのね。
ANGRY_195 前回の案内に従って書類をそろえたのです、説明が違った理由を確かめていただけますか？
ANGRY_196 謝ってくれると思ったのに…
ANGRY_197 値札を外しても、お値段を変える理由にはなりません。
ANGRY_198 ふざけて突き飛ばすのはやめてよ、転んでから謝ればいいと思っているなら大間違いだよ！
ANGRY_199 嫌だと伝えたことを、家族だからと繰り返さないでください。
ANGRY_200 私の担当を減らしたのは任せられないからなんだね、相談もせずそう決めていたとは…
