SAD_001 つらい、胸に冷たい雨が降る。
SAD_082 夢の続きは、もうひとりでは描けないよ。
SAD_083 お嬢さまがお戻りになるまで、毎朝カーテンを開けてこの部屋へ光を入れましょう。
SAD_084 頼りにしていた先輩の転校を突然知らされ、最後の授業では何も話せなかった。
SAD_085 終わったんだ、フィナーレの拍手がなぜか遠く聞こえる。
SAD_086 昨日まで元気だった小鳥が飛べなくなって、空の巣を抱くあの子の涙を見ていられない。
SAD_087 さよならは言いたくない…
SAD_088 優勝を逃した仲間へ、何も言えなかった。
SAD_089 何度も選び直した贈り物が渡せず、包み紙の華やかさだけがひどく切なく目に映る。
SAD_090 窓辺の花まで枯れたよ、季節の終わりなんだね。
SAD_091 皆で作った舞台が取り壊されると聞き、楽屋に残る笑い声まで消えた気がした。
SAD_092 一番つらいときにそばにいられなかったことが、謝っても消えない悔いになっている。
SAD_093 こんなに静かな夜は、初めてかもしれない。
SAD_094 なぜ間に合わなかったの？
SAD_095 旅の途中で別れた仲間の名前を呼んでも、深い谷から返るのは自分の声だけだ！
SAD_096 師匠、この剣は今日はひどく重たいです。
SAD_097 今日で店を閉めるのか、長く使った看板へ布を掛ける手がどうしても震えてしまう。
SAD_098 商いを続けたいが、このまま店を守れるだろうか？
SAD_099 強くなれば守れると信じて剣を振ってきたのに、大切なものは指の間からこぼれた。
SAD_100 信じていた言葉まで、嘘に思えてしまう！
SAD_101 もう、ぱらぱら落ちる葉を見送ることしかできない。
SAD_102 楽しい思い出を忘れたくないからこそ、同じ場所へ戻ることが今は怖いのです。
SAD_103 紙飛行機は風に乗れず足元へ落ち、書き込んだ願いは泥ににじみ、もう読めなくなった。
SAD_104 あなたの紅茶を、もう用意できないのですね。
SAD_105 ご無事を祈って用意したディナーが冷めても、扉の外から足音は聞こえないよ。
SAD_106 もう、胸の奥がずっと痛い。
SAD_107 みんなで収穫するはずだった畑が嵐で荒れ、折れた麦が雨に打たれて胸が痛い。
SAD_108 帰りたいのに、旅の地図から帰り道だけが消えている。
SAD_109 先生に褒めてもらいたくて仕上げた絵を、見せられないまま別れの日が来たよ。
SAD_110 また会えるという言葉を、信じてもいい？
SAD_111 助けを呼ぶ声に、間に合わなかったんだ！
SAD_112 ぱらぱらと舞う雪が足跡を消していき、追いかける道さえ分からなくなったよ。
SAD_113 この落書き、懐かしすぎて見るのがつらいよ。
SAD_114 仲間を励ますために笑ったけれど、ひとりになった途端に涙が止まらなくなった！
SAD_115 何気なく交わしたまた明日の言葉が、果たされない約束になるとは思わなかった。
SAD_116 ああ、花が静かに散っていく。
SAD_117 いつものパンなのに、香りまで寂しく感じる。
SAD_118 不合格の知らせを見ても、まだ受け入れられない…誰もいない公園で、ため息ばかり出る。
SAD_119 弟子が去ったこの工房では、火だけが寂しく揺れている。
SAD_120 大切な本の最後のページが破れていて、物語の結末を知ることができずつらい。
SAD_121 期待した分だけつらい…
SAD_122 思い出の曲がふいに流れて、足が止まった…
SAD_123 賑やかだった広場から店が一つずつ消えて、昔を覚えているのは私だけになった。
SAD_124 ほんの少し勇気を出せば伝えられた気持ちを、今も胸の奥へしまったままだよ…
SAD_125 ぺたんと座り込み、空を見上げるしかない。
SAD_126 祖父から受け継いだ道具が壊れ、欠けた柄を手放すことがどうしてもできない。
SAD_127 あの声がもう聞けない…
SAD_128 大丈夫と言った声が、少し震えてしまった。
SAD_129 遠征から戻った仲間の列に友の姿がない、歓声が急に遠くなって今も胸が痛む。
SAD_130 この不合格を、家族にどう伝えようか？
SAD_131 ごめんと書いた便りを何度も送り直したが、返ってくるのは冷たい封筒だけだった。
SAD_132 ぽっかり空いた隣の席へ話しかけそうになり、もういないことを改めて思い知った。
SAD_133 祭りは終わったんだ、灯りが一つずつ消えていく。
SAD_134 何もする気になれない。
SAD_135 ずっと大事にしていた約束を相手が覚えておらず、責める言葉さえ見つからない。
SAD_136 あんなに近かった友が、今は知らない人みたい。
SAD_137 練習ではうまく歌えたのに本番で声が震え、フィナーレまで立っていられなかった。
SAD_138 この作品は完成しない、もう布で覆うしかない。
SAD_139 家族で囲んだ食卓の写真を箱へ収めると、部屋の静けさがいっそう深くなった。
SAD_140 ずっと待った返事は、短い別れの言葉だけだった…
SAD_141 誰もいない食卓に冷めたティーだけ、寂しいな。
SAD_142 森を救う薬を見つけた頃には季節が過ぎ、枯れた木々はもう芽を出さなかった…
SAD_143 友達の幸せを祝いたい気持ちは本当なのに、自分の寂しさまで隠しきれないよ。
SAD_144 頑張れという言葉さえ、今日は重たく感じる。
SAD_145 旅立つ船へ最後の手紙を渡せず、港に残った風だけが封筒を寂しく揺らしている。
SAD_146 帰り道まで、今日はやけに長い。
SAD_147 助けてくれた相手の名前さえ聞けないまま別れ、感謝を伝える機会を失ったよ。
SAD_148 魔法が解けた城を見ていると、私の心まで灰色の霧に沈みそうだ。
SAD_149 何度直してもこの時計は動かない、思い出の時刻からどうしても針を動かせずにいる。
SAD_150 ごめんなさい、今はうまく笑えそうにない。
SAD_151 約束の鐘が鳴らない、広場まで静まり返ってる。
SAD_152 卒業式の後で空になった教室を見回すと、楽しかった声が聞こえる気がしたよ。
SAD_153 せめて最後に、ありがとうと伝えたかった！
SAD_154 ファンファーレはもう止んだ、城の廊下には今もただ重い足音だけが響いている。
SAD_155 約束を忘れられたことより、楽しみに待っていた自分の姿まで、ひどく悲しく思える…
SAD_156 大切なものをなくした！
SAD_157 何度読み返しても、手紙の意味は変わらない。
SAD_158 新しい生活を応援すると笑ったけれど、見送るホームでとうとう涙があふれた！
SAD_159 この古いフィルムには、もう戻れない日々が映ってる。
SAD_160 大切な人の声を忘れまいと何度も思い出すほど、少しずつ遠ざかる気がして寂しい。
SAD_161 ねえ、今夜は星も見えないね。
SAD_162 帰りたいな、置いてきた故郷の灯りを今も夢に見る。
SAD_163 雨でにじんだ地図を広げても帰る道がない、私はここで静かに朝を待つしかない。
SAD_164 あの子が好きだったパンを今日も焼いたのに、空いた椅子へ置くことしかできない。
SAD_165 風船が割れた途端、あの子の笑顔まで曇ってしまった。
SAD_166 一緒に仕上げるはずだったのに…最後の色をひとりで塗ると、筆を置く音だけが寂しく響く。
SAD_167 ごめんねが届かなかった…
SAD_168 この雨は、いつになったら上がるのかな？
SAD_169 誤解を解くには遅すぎたのか、届けた手紙は封を切られないまま戻ってきたのかな？
SAD_170 ぽつりと謝られても、胸の傷は消えない。
SAD_171 お帰りを待つ役目だけは手放せません、今夜も玄関の灯りをともしておきます。
SAD_172 夢をかなえた報告を一番に聞いてほしかった人へ、もう知らせることができない。
SAD_173 守ると誓った門が目の前で崩れていく、止められない。
SAD_174 また置いていかれたの？
SAD_175 大丈夫だと笑う妹の手が震えていたのに、何も気づかないふりをしてしまった。
SAD_176 今日もあの人の席へ花を一輪置こう、忘れないために。
SAD_177 足跡が雨に消えていく…お願い、どこにいるの？せめて一度だけ、返事をして！
SAD_178 思い出まで捨てることは、私にはできない。
SAD_179 もう使われない部屋の窓を開けると、懐かしい香りが一瞬だけ戻り、余計に寂しくなった。
SAD_180 祭りの後の道は、どうしてこんなに寂しい？
SAD_181 切れた糸を結び直せないまま、私はここにいる。
SAD_182 皆に見送られて旅立つはずだったのに、駅には冷たい風しか待っていなかった…
SAD_183 せめて最後までそばにいたかった、その願いさえかなわなかったことが苦しい。
SAD_184 夢を諦める日が、こんなに早く来るなんて。
SAD_185 風に飛ばされた花びらを拾い集めても、元の美しい形には、もう戻せないのかな？
SAD_186 もう、涙が止まらない…
SAD_187 あの人の涙を止められないなんて…自分の未熟さが悔しくて、今も唇をかんでしまう。
SAD_188 帰ってきたら渡すつもりで、今も贈り物を包んでる。
SAD_189 いつか戻ると信じて磨いてきた剣を、今日からどこへ置けばいいのか分からない。
SAD_190 あのディナーが、ふたりの最後になるとは…
SAD_191 皆の期待を裏切り、顔を上げてよいのでしょうか？
SAD_192 この古い人形を選んでくれる人は、もう来ないのかな…ほこりを払いながら、最後のお客さまを待っている。
SAD_193 もう少し強ければ、未来を変えられたのか？
SAD_194 たった一言のありがとうが言えなかったせいで、今も別れの場面を夢に見るよ。
SAD_195 魔術師さま、町の結界は消え、あなたの杖だけが今も広場に取り残されています…
SAD_196 この別れは苦しすぎる！
SAD_197 君のいない部屋では、時計の音だけが響くんだね。
SAD_198 楽しかった日々を思い出せることは幸せなのに、今は涙のほうが先にこぼれる。
SAD_199 さよならの一言が、喉につかえて出なかった。
SAD_200 朝になれば少し楽になると思ったけれど、空の青さまで悲しく見えてしまった…
