SURPRISE_001 わっ、星が流れた！
SURPRISE_139 ほう、魔法なしでその小さな歯車だけを使い巨大な門を開けたとは実に立派な技だ。
SURPRISE_140 え、こんな遠い場所から山頂まで声が届いたの？
SURPRISE_141 まあ、空の水槽へ水を注いだら銀色の魚が現れ、きれいな光の輪を描き始めました。
SURPRISE_142 なんと、氷の中で小さな花が咲いている。
SURPRISE_143 おやまあ、誰にも解けなかった難問に小さな子どもがさらりと答えるとはお見事です。
SURPRISE_144 なんだ、この香りは？
SURPRISE_145 あらまあ、焼いた魚が皿から消えています。
SURPRISE_146 これは予想外です、荒い音だった古楽器が、修理の後は驚くほど澄んで響きます。
SURPRISE_147 なんだって、迷路の出口は出発地点のすぐ後ろにあったのに全員で見落としていたのか？
SURPRISE_148 まさか、その細い糸で大荷物を引けるとは！
SURPRISE_149 まあ、真冬の森を抜けた先に、南国のような湖と赤い花畑があるなんて意外だわ。
SURPRISE_150 おや、廊下の突き当たりに窓が増えている。
SURPRISE_151 落としたコインが床で3回も跳ねたあと、細い瓶へぴたりと入るとは、まるで奇跡だ。
SURPRISE_152 ほう、意外と速いな。
SURPRISE_153 ええっ、昨日の記録をもう塗り替えたの？
SURPRISE_154 あらまあ、あの古い人形が音楽に合わせて手を振り、優雅に歩いていますよね。
SURPRISE_155 見上げて、夕焼けだと思った空を大きな鳥の群れが覆い、渦を描き始めたよね。
SURPRISE_156 へえ、メロディーだけで鍵が開く仕掛けか。
SURPRISE_157 まさか、港で別れた友人と海から遠く離れた雪深い山頂の小屋で偶然再会するとは…
SURPRISE_158 わあ、月明かりで文字が読める紙なんだ！
SURPRISE_159 へえ、触れると冷たい青い炎なら暗い倉庫でも安全に使えるし本当に画期的だな。
SURPRISE_160 ほう、これは職人でも思いつかぬ細工だ。
SURPRISE_161 まあ、月に一度しか開かない花が今夜は庭中で咲き、甘い香りまで放っています。
SURPRISE_162 驚いた、冷えた石から温かな風が出ている。
SURPRISE_163 おお、盾で受け止めた矢が花の枝へ変わり、小さな白いつぼみまで開きましたよ。
SURPRISE_164 わっ、帽子が飛んだ！
SURPRISE_165 驚きました、君はこの暗号を一目で解いたのですね。
SURPRISE_166 まあ、何もない紙へ息を吹きかけるだけで宝の地図と現在地がはっきり浮かぶのね。
SURPRISE_167 おや、眠る前に片づけた積み木が朝には立派な城になっているなんて驚きました。
SURPRISE_168 まあ、馬車より速く走る自転車ですって。
SURPRISE_169 まさか、町で一番静かな店が楽器工房で地下では大きな太鼓を作っていたとはね。
SURPRISE_170 あっ、鐘を鳴らしたら霧が晴れていく！
SURPRISE_171 あら、空を飛べないはずのペンギンが、風船につかまり屋根より高く飛んでいます。
SURPRISE_172 あれ、鍵が開いてる？
SURPRISE_173 なんと、古いコインが現在の店で使えたぞ。
SURPRISE_174 これは驚いた、柔らかなスポンジで磨いただけなのに、金属が鏡のように輝いている。
SURPRISE_175 見て、ゆっくり歩いていた亀が最後の坂で全員を追い抜き、先にゴールしましたよ。
SURPRISE_176 おやまあ、壁いっぱいに星空が映りました。
SURPRISE_177 ほら、雲の切れ間から差した光が舞台だけを照らし、音楽と同時に消えました。
SURPRISE_178 まさか、小鳥が私の名前を呼ぶなんて…
SURPRISE_179 まさか、ずっと探していた小さな鍵を、肩に乗った鳥がくちばしで持っていたとは。
SURPRISE_180 えっ、この分厚い本が羽より軽いとは不思議だ。
SURPRISE_181 ほう、失われた美しい旋律を、古い風車の回る音から再現したというのですか？
SURPRISE_182 わあ、フィルムを光に当てると絵が浮かぶ！
SURPRISE_183 おやまあ、地下室の小窓を開けたら、潮風と一緒に波の音まで流れ込んできました。
SURPRISE_184 これは大発見だよ！
SURPRISE_185 ほう、道具なしでここまで磨き上げたか。
SURPRISE_186 見てください、空の雲が大きな文字を作って町の祭りの始まりを告げていますよ。
SURPRISE_187 まあ、修理したばかりの時計が、現在だけでなく明日の時刻まで示しているわ。
SURPRISE_188 あら、空の封筒にチケットが入っていた。
SURPRISE_189 さっき摘んだ赤い花がもう新しい種を結び、芽まで出しているなんて早すぎます。
SURPRISE_190 まあ、今の大きなジャンプで川を越えたのですね。
SURPRISE_191 あら、静かな泉へ歌いかけたら底から光の輪が広がり、魚まで集まりましたね。
SURPRISE_192 まあ、雪が青く見える…
SURPRISE_193 これは驚いた、庭石の下に泉が湧いている。
SURPRISE_194 見て、旅の途中で拾った白い羽が暗闇の中で光る本物のコンパスになりましたよ。
SURPRISE_195 まさか、質素な箱の中にこれほど精巧で美しいオルゴールがあり、澄んだ音まで奏でるとは…
SURPRISE_196 まあ、手のひらサイズの傘が大きく開いたわ。
SURPRISE_197 おお、若い見習いが仕上げた器は親方の品より軽く、たたく音まで澄んでいるぞ。
SURPRISE_198 なんだって、全問正解したのは君だけなのか！
SURPRISE_199 これは驚きました、夜明けと同時に町中の鐘が同じ音で鳴り、白い鳥が舞いました…
SURPRISE_200 おや、風がないのにカーテンが揺れている。
