ANNOUNCE_001 まもなく開館します。
ANNOUNCE_038 館内カフェでは温かな飲み物と軽食を用意し、午後6時まで注文を承っております。
ANNOUNCE_039 コピー機は受付の奥に設置しております。
ANNOUNCE_040 この先の通路は床が濡れているため、足元の黄色い表示に沿ってゆっくりお進みください。
ANNOUNCE_041 次の便は3番線です。
ANNOUNCE_042 車椅子用のスロープは係員がご案内します。
ANNOUNCE_043 お買い上げの商品は会計後に包装台へお持ちいただくと、無料で袋へお入れします。
ANNOUNCE_044 館内放送は日本語のあとに英語で行います。
ANNOUNCE_045 閉館時刻の30分前から順番に展示室を閉めますので、早めの移動にご協力ください。
ANNOUNCE_046 館内は禁煙となります。
ANNOUNCE_047 お手洗いは廊下の突き当たりにございます。
ANNOUNCE_048 当駅では階段のほかにエレベーターとスロープを用意し、どなたでも利用できます。
ANNOUNCE_049 整理券の番号は中央のパネルへ表示し、同時に館内放送でもお呼び出しいたします。
ANNOUNCE_050 忘れ物防止のため、お手回り品をご確認ください。
ANNOUNCE_051 パンと飲み物を購入された方は、窓際の休憩席を午後7時までご利用になれます。
ANNOUNCE_052 列の途中で待ち合わせをする行為はご遠慮ください。
ANNOUNCE_053 閉店時刻は8時です。
ANNOUNCE_054 まもなく扉が閉まりますので、駆け込み乗車はせず次の電車をお待ちください。
ANNOUNCE_055 次の整理券は10時から配布いたします。
ANNOUNCE_056 本日の催しは2階の広間で行い、入口前にて詳しい時間表を配布しております。
ANNOUNCE_057 会議室の利用時間は残り30分となります。
ANNOUNCE_058 お席の位置が分からない方は、案内係が番号を確認して座席までご案内いたします。
ANNOUNCE_059 店内のかごは出口手前へお戻しください。
ANNOUNCE_060 フィッティングルームをご利用の際は、商品を3点までお持ち込みいただけます。
ANNOUNCE_061 お忘れ物がないかご確認ください。
ANNOUNCE_062 本日のおすすめは温かな野菜のスープです。
ANNOUNCE_063 会場内で撮影する場合はフラッシュを使わず、ほかのお客様の通行を妨げないでください。
ANNOUNCE_064 雨天のため本日は屋外行事を見合わせます。
ANNOUNCE_065 お呼び出しを受けた方は白い番号札を持ち、受付右側の窓口へ順番にお越しください。
ANNOUNCE_066 ただいま館内の通信設備に不具合があり、カード決済の復旧作業を進めております。
ANNOUNCE_067 受付票へ名前と連絡先をご記入ください。
ANNOUNCE_068 図書の返却期限を過ぎた場合は、新たな貸し出しの前に受付へお申し出ください。
ANNOUNCE_069 窓側の席への変更は係員までお申し出ください。
ANNOUNCE_070 お子様が迷子にならないよう、館内では必ず手をつないで一緒にお進みください。
ANNOUNCE_071 こちらが最後尾です。
ANNOUNCE_072 電車の到着まであと5分ほどございます。
ANNOUNCE_073 本日は強い雨が予想されるため、屋外の休憩所と庭園を午後4時に閉鎖いたします。
ANNOUNCE_074 電車を降りる方を先にお通しになってから、足元の表示に沿ってご乗車ください。
ANNOUNCE_075 小さなお子様から目を離さないでください。
ANNOUNCE_076 駐車券をお持ちの方は会計時にご提示いただくと、2時間分を無料で処理いたします。
ANNOUNCE_077 館内の温度は空調により調整しております。
ANNOUNCE_078 上映中の入退場は足元が暗く危険ですので、係員の誘導に従って静かにお進みください。
ANNOUNCE_079 お荷物は足元へ置かず棚をご利用ください。
ANNOUNCE_080 お荷物の一時保管には、入口右手にある空いている小型ロッカーをご利用ください。
ANNOUNCE_081 左側の扉が開きます。
ANNOUNCE_082 間もなく受付を締め切りますのでお急ぎください。
ANNOUNCE_083 会場の座席には番号が付いておりますので、入場券に記載された番号の席へお座りください。
ANNOUNCE_084 閉館後の返却は専用ポストへお願いいたします。
ANNOUNCE_085 休憩室のポットには熱い湯が入っているため、カップへ注ぐ際は十分にご注意ください。
ANNOUNCE_086 本日の受付は終了です。
ANNOUNCE_087 白い番号札をお持ちの方からご案内します。
ANNOUNCE_088 最終便の出発まであと10分ですので、お乗りになる方は搭乗口へお急ぎください。
ANNOUNCE_089 館内の空調は適温に設定しておりますが、寒い場合は受付へ遠慮なくお申し出ください。
ANNOUNCE_090 フィッティングルームは売り場の奥です。
ANNOUNCE_091 店内で購入した商品に不具合があった場合は、領収書を添えて窓口へお持ちください。
ANNOUNCE_092 お帰りの際は忘れ物がないかお確かめください。
ANNOUNCE_093 非常口の位置をご確認ください。
ANNOUNCE_094 案内所では詳しい施設の地図と催しの予定表を用意し、無料でお渡ししております。
ANNOUNCE_095 プールの利用前には必ずシャワーを浴びてください。
ANNOUNCE_096 本日の混雑状況は入口のディスプレイへ表示し、空いた区域から順にご案内します。
ANNOUNCE_097 空いたカップは係員が順番にお下げします。
ANNOUNCE_098 線路内へ物を落とした場合は決して拾わず、近くの係員へすぐにお知らせください。
ANNOUNCE_099 休憩時間は午後3時から20分間となります。
ANNOUNCE_100 入館証を紛失された方は、本人確認のできる書類を持って受付へお越しください。
ANNOUNCE_101 売り場は2階です。
ANNOUNCE_102 危険ですので黄色いロープの内側へお入りください。
ANNOUNCE_103 ただいま館内の照明を一部落として、夜間展示への切り替えを行っております。
ANNOUNCE_104 上映中は座席からの移動をお控えください。
ANNOUNCE_105 お持ち帰りの品は、温かい物と冷たい物を別々の袋へそれぞれ包装いたします。
ANNOUNCE_106 自転車でお越しの方は正面入口へ止めず、建物の裏側にある駐輪場をご利用ください。
ANNOUNCE_107 ただいま係員が順番に対応しております。
ANNOUNCE_108 公演中は音の出る機器の電源を切り、座席で静かにお楽しみくださいますようお願いします。
ANNOUNCE_109 ベビーカーは折り畳んで指定場所へ置いてください。
ANNOUNCE_110 拾得物の受け取りには特徴の確認が必要となるため、詳しい形や色を係員へお伝えください。
ANNOUNCE_111 整理券をお取りください。
ANNOUNCE_112 カフェの注文受付は午後6時に終了します。
ANNOUNCE_113 まもなく受付番号50番までをお呼びしますので、番号札を手元にご用意ください。
ANNOUNCE_114 次の路線バスは道路の混雑により到着が約10分遅れる見込みとなっております。
ANNOUNCE_115 お車でご来館の方は、北側の立体駐車場へお進みください。
ANNOUNCE_116 施設内のウェブ案内へ接続すると、各階の混雑状況と空席をその場で確認できます。
ANNOUNCE_117 本日のピアノ演奏は中庭で行われます。
ANNOUNCE_118 館内での飲食は1階のカフェと屋外テラスに限りますので、展示室内では飲食をご遠慮ください。
ANNOUNCE_119 入館証は見える位置に着けてお進みください。
ANNOUNCE_120 階段付近では立ち止まらず、待ち合わせには中央広場の時計前をご利用ください。
ANNOUNCE_121 通路を空けてください。
ANNOUNCE_122 扉が閉まりますので手荷物をお引きください。
ANNOUNCE_123 本日配布する資料は1人1部となりますので、必要以上のお持ち帰りはお控えください。
ANNOUNCE_124 優先席は必要な方へお譲りくださいますようお願いします。
ANNOUNCE_125 郵便窓口の受付は午後6時までですが、専用ポストは閉館時刻まで利用できます。
ANNOUNCE_126 ただいま確認中です…
ANNOUNCE_127 次回の案内放送は10分後を予定しております。
ANNOUNCE_128 外国語の案内冊子をご希望の方は、必要な言語を1階の受付でお知らせください。
ANNOUNCE_129 ホーム上は大変滑りやすくなっていますので、走らず手すり側をお歩きください。
ANNOUNCE_130 商品の包装は会計後に専用台で承ります。
ANNOUNCE_131 会場へ再び入場される際は、出口でお渡しした青い札を係員へご提示ください。
ANNOUNCE_132 受付番号は中央のディスプレイに表示します。
ANNOUNCE_133 休憩室をご利用ください。
ANNOUNCE_134 迷子のお子様を保護しておりますので、お心当たりの方は案内所までお越しください。
ANNOUNCE_135 館内を見学する方は矢印の方向へお進みください。
ANNOUNCE_136 大型の荷物は通路へ置かず、車両の端にある専用スペースへ固定してください。
ANNOUNCE_137 パスポートは係員へ開いてお見せください。
ANNOUNCE_138 雨雲が近づいているため、屋上の催しを1階の広間へ移して予定どおり開催します。
ANNOUNCE_139 点検のため東側の通路を閉鎖しております。
ANNOUNCE_140 閉店時刻が近づきましたので、商品をお選びの方は会計窓口へお進みください。
ANNOUNCE_141 お会計は中央です。
ANNOUNCE_142 お客様同士で間隔を空けてお並びください。
ANNOUNCE_143 ペットをお連れの方は専用ケースを使用し、ほかのお客様へご配慮をお願いいたします。
ANNOUNCE_144 売り場の案内図は各階の入口にございます。
ANNOUNCE_145 お忘れ物が多くなっておりますので、席を離れる前に棚と足元をもう一度ご確認ください。
ANNOUNCE_146 案内係の赤い旗が見える位置まで進み、列を崩さず2列に並んでお待ちください。
ANNOUNCE_147 ご予約の方は開始10分前にお集まりください。
ANNOUNCE_148 館内で気分が悪くなった方は無理に歩かず、最寄りの椅子から係員をお呼びください。
ANNOUNCE_149 通信障害のため一部の受付を停止中です。
ANNOUNCE_150 購入した商品の配送をご希望の方は、受付で受け取りを希望する日時をお伝えください。
ANNOUNCE_151 指定されたお席へお進みください。
ANNOUNCE_152 手話によるご案内は受付で承っております。
ANNOUNCE_153 特別展示の入場には通常券とは別の整理券が必要となり、入口で確認いたします。
ANNOUNCE_154 インフォメーションでは、周辺の交通案内と施設内の相談を午後8時まで承ります。
ANNOUNCE_155 階段では手すりを持ってゆっくりお進みください。
ANNOUNCE_156 緑のランプが点灯している改札のみ通れますので、矢印を確認してお進みください。
ANNOUNCE_157 非常時には係員の誘導に従って避難してください。
ANNOUNCE_158 午後の便は強風の影響で出発時刻が変わる可能性があり、決まり次第ご案内します。
ANNOUNCE_159 館内の傘袋は入口の機械からお取りください。
ANNOUNCE_160 会計を別々にする場合は商品を分け、あらかじめその旨を係員へお伝えください。
ANNOUNCE_161 まもなく消灯いたします。
ANNOUNCE_162 発車ベルが鳴りましたら車両から離れてください。
ANNOUNCE_163 安全確認が完了しましたので、係員の合図に合わせてゆっくりご乗車ください。
ANNOUNCE_164 落とし物の特徴を受付係へお伝えください。
ANNOUNCE_165 ピアノ演奏中は広間の出入りを控え、曲が終わるまで扉の外でお待ちください。
ANNOUNCE_166 出口はこの先です。
ANNOUNCE_167 本日のイベントは予定どおり開催いたします。
ANNOUNCE_168 貸出用の傘は専用の受付で名前を記入すると、閉館時刻まで無料で利用できます。
ANNOUNCE_169 館内の案内放送が聞き取りにくい場合は、近くのスタッフへお声がけください。
ANNOUNCE_170 乗車券は改札を出るまで大切にお持ちください。
ANNOUNCE_171 この先の道路は工事中となるため、歩行者の方は反対側の通路へお回りください。
ANNOUNCE_172 休館日は毎週水曜と月末の最終日です。
ANNOUNCE_173 車内は適温に保ちます。
ANNOUNCE_174 定員に達しましたので、次の回の整理券を正面入口にて順番に配布しております。
ANNOUNCE_175 黄色いテープの先は立ち入り禁止となります。
ANNOUNCE_176 お席までの移動に介助が必要な方は、お近くにいる案内係へお申し付けください。
ANNOUNCE_177 郵便物は午後4時にまとめて回収いたします。
ANNOUNCE_178 閉館後に残された傘は大切に1か月保管し、その後は規定に沿って取り扱います。
ANNOUNCE_179 窓口での受け取りへの変更は受付で承ります。
ANNOUNCE_180 小さなお子様が扉へ近づかないよう、必ず手をつないでその場を離れてください。
ANNOUNCE_181 本日は通常営業です。
ANNOUNCE_182 まもなく開演しますので客席へお戻りください。
ANNOUNCE_183 本日の献血は年齢と体調を確認したあと、番号札の順に受付へご案内しております。
ANNOUNCE_184 案内冊子は入口のラックに用意しております。
ANNOUNCE_185 使用済みのカップや食器を返却する際は、中身を捨てて種類ごとの棚へお戻しください。
ANNOUNCE_186 ただいま急病のお客様を救護しておりますので、通路を空けて係員の呼びかけにご協力ください。
ANNOUNCE_187 ウェブ予約の確認画面を受付でお見せください。
ANNOUNCE_188 次の上映開始まで5分となりましたので、入場券を持って扉前へお集まりください。
ANNOUNCE_189 インフォメーションは中央広場にございます。
ANNOUNCE_190 館内ポスターに記載した催しの時刻は、都合により変更する場合がございます。
ANNOUNCE_191 傘立ては入口にあります。
ANNOUNCE_192 強風のため屋上は当面ご利用になれません。
ANNOUNCE_193 予約内容を確認しますので、ウェブで表示された番号を受付へお見せください。
ANNOUNCE_194 出発便の搭乗口は案内板へ表示し、変更がある場合は放送でもお知らせいたします。
ANNOUNCE_195 お子様用の椅子は係員へお申し付けください。
ANNOUNCE_196 忘れ物に気づいた際やお連れ様とはぐれた際は、慌てず中央の案内所へお越しください。
ANNOUNCE_197 お支払いには現金と各種カードを利用できます。
ANNOUNCE_198 閉店後は正面入口を施錠しますので、地下駐車場へは東側の出口をご利用ください。
ANNOUNCE_199 退館時は貸出品を返却口へお戻しください。
ANNOUNCE_200 以上で本日の館内放送を終了し、明日は午前9時から通常どおり開館いたします。
