FUN_001 その帽子、似合いすぎ！
FUN_052 今日の授業は雲の形を考える時間で、竜と答えた人だけがなぜか半分もいたよ。
FUN_053 お客さま、この箱には笑顔も入っています。
FUN_054 こっそり驚かせよう。
FUN_055 お客さまが選んだ帽子には小さな鈴が付き、歩くたび陽気な音が鳴って楽しいね。
FUN_056 そのフォークで、豆を何個運べるかな？
FUN_057 森で拾った木の枝を立派な杖だと言い張る弟へ、妖精役としてお辞儀をしたよ。
FUN_058 ぴょんと跳ねたら、帽子だけ残っちゃった。
FUN_059 長いテーブルの端から豆を転がしたら、皿を避けながら見事に反対側へ着いた！
FUN_060 森の妖精が木の実で作った笛、吹くたびにリスが踊るんだって！
FUN_061 失敗した呪文で、髪がふわふわになった。
FUN_062 フィナーレの曲が始まった途端に靴ひもがほどけ、即興の妙な踊りへ変わった。
FUN_063 窓に映った自分へ真剣に挨拶した後で、鏡ではないと気づいてつい笑っちゃう。
FUN_064 あの雲は、昼寝する大きな竜に見えないか？
FUN_065 みんなで変な形の野菜に名前を付けたら、料理するのが急に惜しくなってしまった。
FUN_066 おやつ争奪戦、開始。
FUN_067 商人さん、秘密の商品だという箱に、どう見ても丸い石しか入っていませんよ？
FUN_068 ほら、お皿の上で丸い豆が逃げ回っているよ。
FUN_069 ご用意したディナーには仕掛けがございますが、驚いても皿は落とさないでください。
FUN_070 商人さん、その袋の音がカエルのいびきだなんて面白いね！
FUN_071 先生も一緒に、早口勝負をしませんか？
FUN_072 友達の影を踏もうと追いかけていたら、自分の影にも逃げられている気がした。
FUN_073 雨の日だけの水たまり競走を始めよう。
FUN_074 魔法のじゅうたんへ乗ったものの、地面から少しだけ浮いてゆっくり庭を進んだ…
FUN_075 職人さん、このからくり鳥は鳴くたび羽が外れるから、直す時間まで楽しいですね。
FUN_076 今日は寄り道しない？
FUN_077 その真顔で冗談を言うのは、まったく反則だよ。
FUN_078 先輩、一度だけの冗談を聞き逃しました、お願いですからもう一度言ってください。
FUN_079 宝箱を開けたら、お菓子がぎっしりだ…
FUN_080 ねえ、聞いてよ、山道で見つけた長い枝をみんなで竜のしっぽみたいに運んできたんだ。
FUN_081 へんてこな踊りだなあ。
FUN_082 くるくる回った後で、まっすぐ歩ける？
FUN_083 大きなケーキを均等に分ける会議が始まり、食べ終わるより長い時間がかかった。
FUN_084 かくれんぼで完璧な場所を見つけたのに、うれしくて笑った声ですぐ見つかった！
FUN_085 聞いて、今日は靴音まで陽気に聞こえてくるよ。
FUN_086 執事さん、あなたが注いだティーの泡は王冠みたいで、崩すのが惜しいですね。
FUN_087 その冗談、気に入った。
FUN_088 ふかふかの枕をたくさん並べて、砦を作ろう。
FUN_089 雪だるまへ旅人の帽子を貸したら本人より似合い、返してもらう相談が始まった。
FUN_090 あの鳥、私の笑い声をまねしているね。
FUN_091 教室へ迷い込んだ蝶を静かに逃がすはずが、全員で窓まで小さな行進をしたよ。
FUN_092 術師さん、その呪文を唱えるたび髪の色が変わっていますよ、鏡を見てください！
FUN_093 料理長、スープの中に星が浮かんでいます。
FUN_094 宝探しへ出発だよ。
FUN_095 この勝負で負けたら広場を一周する約束だが、変な歩き方まで指定されるとは聞いてないぞ！
FUN_096 剣の代わりに、木の枝で勝負しようぜ！
FUN_097 ぺこぺこ頭を下げる人形を机に置いたら、仕事中のみんなまで同じ動きを始めた。
FUN_098 この暗号、読めたらきっと笑ってしまうよ…
FUN_099 旅の途中で見つけた洞窟は声がよく響き、誰のくしゃみが一番長いか競う場所になった。
FUN_100 見て、箱をぽんとたたいたら紙吹雪が出たよ。
FUN_101 負けた人は、変な声で元気よく挨拶すること！
FUN_102 先生がいない間だけ静かにしようと決めたのに、その相談の声が廊下まで聞こえた。
FUN_103 ねえ、大きな箱をかぶって失敗を隠しても、壁へぶつかるから余計に目立つよ。
FUN_104 カーテンの影から、足だけ見えているよ。
FUN_105 風に飛ばされた帽子を全員で追いかけたら、町を一周する楽しい散歩になった。
FUN_106 何が飛び出すのかな？
FUN_107 ファンファーレに合わせて登場する予定が、演奏より先に扉が勢いよく開いた！
FUN_108 その絵の魚、空を楽しそうに泳いでいるのかな？
FUN_109 お姉さまが焼いた星形のクッキーを並べると、皿の上に小さな夜空ができました。
FUN_110 今日のディナーには、遊び心も添えました。
FUN_111 先輩、机の下に風船が隠れていますよ。
FUN_112 騎士殿、長い演説で皆が眠りかけましたが、大きなくしゃみで全員起きましたよ。
FUN_113 小さな失敗なら、笑い話に変えちゃおう。
FUN_114 庭で拾った丸い葉をお金に見立て、猫の店主から石ころのお菓子を買ってみた。
FUN_115 笑ってはいけない遊びを始めた瞬間、理由もないのに全員の肩が震え出したよ。
FUN_116 ぷかぷか雲に乗りたい。
FUN_117 魔術師さん、帽子から白い鳩が顔を出してますよ。
FUN_118 騎士殿、剣で泡を割るはずが、みんなの前で鼻に付けて固まるなんて愉快ですね。
FUN_119 その長いマフラー、みんなで巻けそうだ。
FUN_120 先生、会議の資料にある小さな落書きを見て、こっそり口元を緩めましたよね。
FUN_121 お祭り気分でいこう。
FUN_122 砂浜に大きな顔を描いて、波を待とう。
FUN_123 見て、看板人形のまねをする子どもたちが、いつの間にか長い列を作っているよ。
FUN_124 目を閉じて選んだお菓子が自分の苦手な味で、交換相手をこっそり探している…
FUN_125 こんな面白い道、通らない手は絶対にない！
FUN_126 皆で作った紙の船を水路へ浮かべたら、一番小さな船だけ逆向きに進み、皆を笑わせた。
FUN_127 また靴下が逃げたぞ。
FUN_128 お茶菓子を選ぶだけなのに、会議がこんなに長引いてるよ。
FUN_129 魔術書の余白へ描かれた謎の顔が気になって、肝心の呪文が少しも頭に入らない！
FUN_130 ふたり同時に同じ冗談を言うなんてね。
FUN_131 お客さま、その大きな包みは贈り物ですか、それとも中に友達が隠れていますか？
FUN_132 みんな、ぽかぽかの毛布から出ないつもりなら、朝食のパンを持って起こしに行くよ。
FUN_133 この風なら、紙飛行機の大会ができそう。
FUN_134 笑う準備はできた？
FUN_135 旅人さん、恐ろしい怪物の話は聞くたびに小さくなって、今では手のひらほどですよ。
FUN_136 ねえ、眠そうな猫にあくびで返事をされたよ。
FUN_137 順番に面白い話をする会なのに、最初の人の笑い声だけで皆がつられてしまった。
FUN_138 騎士殿、その盾は鍋のふたではないぞ。
FUN_139 先生の質問へ自信満々に答えた言葉が隣の問題のものだと、後から気づいたぞ！
FUN_140 笑わずにいられたら、君の勝ちにしてあげよう！
FUN_141 フィナーレまで、思い切り踊り続けよう！
FUN_142 聞いて、この古城の幽霊は人を驚かすよりお茶が好きで、毎晩カップを持って現れるらしいよ。
FUN_143 遠足のお弁当を開いたら母の作った顔が笑っていて、食べる順番で悩んでしまった。
FUN_144 ぱりぱりのお菓子で、音の合奏をしよう。
FUN_145 料理長、フォークを鳴らす弟へ合いの手を入れるなんて、最高に面白くて思わず笑いました！
FUN_146 あっ、ひらめきが跳ね回ってる。
FUN_147 夜空の星を線で結んで新しい動物を作ったら、どう見ても眠そうな魚になった。
FUN_148 ごきげんよう、今日は少し羽目を外しましょう。
FUN_149 剣士さん、マントに絡まったまま威厳を保つより、素直に助けを求めてください。
FUN_150 旅の地図へ、寄り道だけ書き足したんだ。
FUN_151 このゼリー、ぷるぷる揺れてて皆で見守っちゃうね。
FUN_152 旅人さん、みんなが違う方向を指すからって、そのまま道の真ん中で笑わないでよ。
FUN_153 次の魔法は、笑った人から成功します。
FUN_154 ふわりと飛んだ紙飛行機が先生の机へ着地し、授業中の新記録として拍手が起きた！
FUN_155 内緒話を小さな声で始めたはずが、面白くなるほど笑い声だけ大きくなっていった…
FUN_156 ほら、失敗まで面白くなるよ。
FUN_157 見て、木箱を太鼓にしたら広場が舞台になったよ！
FUN_158 冷静な友達を驚かせようと隠れていたら、待ちくたびれて自分が眠ってしまった。
FUN_159 その眼鏡をかけると、急に先生みたいだ。
FUN_160 商人さん、一番派手な布で目立たない旅人の服を作るなんて、まさか本気で言っていますか？
FUN_161 その声、鳥みたいだね。
FUN_162 しりとりの途中で、竜の名前を作るなよ。
FUN_163 何でも入る魔法の袋を逆さにしたら、なくした靴下だけが山ほど落ちてきたぞ！
FUN_164 騎士殿、かっこよく名乗る練習の最後に、まさか自分の名前を間違えましたね。
FUN_165 雪だるまへ立派なひげを付けてみよう。
FUN_166 お父さん、その丸い石は卵じゃないのに、楽しそうにひよこの声で返事をしないでよ。
FUN_167 まだ遊び足りない、次は鬼ごっこ！
FUN_168 お客さまの冗談には、特別料金を頂きます。
FUN_169 ご主人さま、庭の雪だるまから晩餐への招待状が届いておりますが、参りますか？
FUN_170 しまった、ぺこりとしたら帽子が床まで落ちた。
FUN_171 長い廊下で声を響かせて遊んでいたら、返事の正体は仲間の肩にいた九官鳥で、みんな大笑いしたよ！
FUN_172 ぴったり同じ服で待ち合わせた友達同士が、互いを見た途端に吹き出してしまった。
FUN_173 こんな仕掛けを考えたのは誰でしょう？
FUN_174 ぱっと遊びを始めよう。
FUN_175 料理長、秘密の味どころか、ご自分でも何を入れたか本気で忘れたって本当ですか？
FUN_176 聞いて、朝から靴ひもがやけに元気なんだよ。
FUN_177 野原で昼寝して目を覚ますと、花びらが顔に並んで立派なひげになっていたよ。
FUN_178 勇者の試練が、菓子作りとは聞いてない！
FUN_179 遊び心で描いた架空の地図を弟が本物だと信じ、探検の荷造りを始めているよ。
FUN_180 先生の話に出てきた猫、賢すぎないかな。
FUN_181 ペンを転がして、今日の係を決めよう。
FUN_182 失敗した劇のせりふを皆でつなげていくうち、元より面白い物語が完成したよ…
FUN_183 町の音で曲を作ろうとしたら、猫のくしゃみが一番調子よくて、みんな笑っちゃった。
FUN_184 お化け役さん、本人が一番怖がってどうするの。
FUN_185 先生、難しい質問に誰も答えられないのに、窓辺の鳥だけ元気なのはずるくない？
FUN_186 今日は何でもありだ。
FUN_187 宝を守る竜へ焼き菓子を渡したら、仲間より先に冒険の一員として付いてきた！
FUN_188 よし、風に飛ぶ葉っぱと坂道の終わりまで競走だ。
FUN_189 ふざけて歩幅をそろえていた三人が、気づけば町の端まで同じ足で歩いていた。
FUN_190 このファンファーレ、少し調子が外れてる。
FUN_191 ねえ、影だけでいろいろな動物を作ってみない？
FUN_192 お嬢さま、帽子をかぶった犬が庭へ逃げました、追いかけっこの始まりですよ！
FUN_193 見て、ふわふわの泡で立派なひげができた！
FUN_194 ねえ、風船を抱えすぎて顔が見えないよ、もう今の君はまるで大きな花束みたい！
FUN_195 静かな図書室で笑いをこらえるほど、さっき聞いた冗談がどんどん面白くなる。
FUN_196 次の仕掛けは秘密だよ…
FUN_197 今日は笑った回数なら、誰にも負けない。
FUN_198 皆で考えた秘密基地の合言葉が長すぎて、扉を開ける前に毎回忘れてしまうぞ！
FUN_199 あれ、秘密の合図を決めたのにもう忘れた…
FUN_200 ねえ、聞いて、一日じゅう遊んだ後も最後の笑い声だけはまだ部屋に残ってるんだ…
