WHISPER_001 しっ、足音を立てないで！
WHISPER_056 この古いオルゴールはふたを半分だけ開けると、眠りを誘う静かな曲を奏でるんです。
WHISPER_057 急いで、足音が消えた今なら動けるよ！
WHISPER_058 友人たちが眠った後なら、たき火のそばで今日見つけた宝についてゆっくり話せるね。
WHISPER_059 あなたの歌は、小声でも遠くまで届きますね。
WHISPER_060 お客様はお休みなので、お部屋の花と水は音を立てずに取り替えておきました。
WHISPER_061 もう少し近くへ来る？
WHISPER_062 この箱の中身を、先に見てみたいですか？
WHISPER_063 竜の子どもは大きな音を怖がるから、近づく時は剣を置いて優しく名前を呼んでみて。
WHISPER_064 ランプを少し暗くすると、星がよく見えるよ。
WHISPER_065 誰かに話すだけで胸が軽くなることもありますから、言葉を急がなくて大丈夫ですよ。
WHISPER_066 ピアノの最後の音が消えた後も、窓から入る夜風が同じ旋律を運んでいるみたい。
WHISPER_067 今の小さな物音は、窓の外から聞こえたの？
WHISPER_068 隊長が地図を確認している間に、斥候から届いた知らせを小声で皆へ伝えてください。
WHISPER_069 しっ、その鐘を鳴らすのはまだ早いよ！
WHISPER_070 眠そうな猫が私のひざへ乗ってきたので、このまま動かず朝まで付き合おうと思います。
WHISPER_071 この話は内緒ですよ。
WHISPER_072 森の番人には、合言葉を静かに伝えてください。
WHISPER_073 森の泉へ月が映る夜には、妖精の羽音が水のそばで聞こえると祖母から教わりました。
WHISPER_074 あなたが選んだ青いリボンは箱の底へ隠し、誕生日の朝にそっと渡すつもりです。
WHISPER_075 この香りをかぐと、懐かしい夜を思い出す。
WHISPER_076 この秘密の通路は古い書棚の後ろにあり、3番目の本を静かに引くと扉が開きます。
WHISPER_077 ねえ、驚かないで聞いてほしいことがあるの。
WHISPER_078 風邪で声が出にくいなら、返事はうなずくだけでいいからゆっくり休んでください。
WHISPER_079 傷が痛むなら、無理に声を出さなくていい。
WHISPER_080 朝まで続く雨の音を聞いていると、昔ここで出会った日のことを君も思い出すでしょう？
WHISPER_081 夜風が優しいですね。
WHISPER_082 少し寒いから、毛布を半分借りてもいい？
WHISPER_083 王の寝室へ薬を届けますので、鎧の音が響かないよう廊下では慎重に歩きましょう。
WHISPER_084 誰にも見られない場所に、手紙を隠しました。
WHISPER_085 しっ、茂みの向こうに白い鹿がいますから、驚かせずこの木陰から見守りましょう。
WHISPER_086 まだ起きているのね…
WHISPER_087 朝露が落ちる音を、君と一緒に聞きたいな。
WHISPER_088 君が大切にしていた写真を修復できたので、誰もいない時にゆっくり見せたいんだ。
WHISPER_089 こんな静かな夜には、遠く離れた友人の声まで風に乗って聞こえる気がするの…
WHISPER_090 親方は眠っていますから、道具はそっと戻して。
WHISPER_091 暖炉の火を小さくしても部屋は十分に温かいから、毛布を掛けて安心して眠ってね。
WHISPER_092 あの星の名前を、もう一度教えてくれる？
WHISPER_093 しっ、誰か来たみたい！
WHISPER_094 親方が眠っているから小声で言うけど、倉庫の古い箱に昔の道具が入ってたよ。
WHISPER_095 早く来て、白い月の輪が消えてしまうよ。
WHISPER_096 夜のパトロールへ出る前に、帰りを待つ人がいることだけは忘れないでください。
WHISPER_097 今夜だけは、時計の音も優しく聞こえます。
WHISPER_098 フィナーレの余韻が残る劇場で、君が歌った最後の一節をもう一度思い返しています。
WHISPER_099 この先へ進む前に、少し相談しませんか？
WHISPER_100 月が雲に隠れた時だけ門を開けますから、合図があるまで物陰で静かに待っていて。
WHISPER_101 小さな声なら平気だ。
WHISPER_102 隊長、敵の見張りがこちらを向きました！
WHISPER_103 お茶の香りで目が覚めたとしても、まだ夜明け前なので無理に起きなくていいですよ。
WHISPER_104 お菓子を1個だけ、机の中へ入れておいたよ。
WHISPER_105 旅立つ前に渡したい物がありますので、皆が眠った後で裏庭へ来てもらえませんか。
WHISPER_106 森の小道には眠っている鳥が多いから、馬を下りて手綱を引きながら進みましょう。
WHISPER_107 静かな図書室では、ページの音まで響きます。
WHISPER_108 古い手紙に書かれた約束を覚えていたのは、きっと私たち2人だけなのでしょうね。
WHISPER_109 旅の続きは、火が小さくなってから話そう。
WHISPER_110 夜空を横切る雲の切れ間に光が見えたら、願い事を心の中で静かに唱えてみて。
WHISPER_111 見て、星が動いたよ。
WHISPER_112 そのペンダントを、近くで見せてもらえる？
WHISPER_113 先生にはまだ内緒だけど、置いていった本の間にきれいな押し花を見つけたよ。
WHISPER_114 あなたの返事を急がせたくないから、この手紙は朝まで机の上に置いておきます…
WHISPER_115 雨がやむまで、この軒下で並んで待とうか。
WHISPER_116 城の地下へ続く階段は音が響きますので、壁に手を添えて一段ずつ進んでください。
WHISPER_117 ピアノの余韻が消えるまで、拍手は待ってね。
WHISPER_118 眠れない子どもたちへ星の話を聞かせたら、最後の1人も静かに目を閉じました。
WHISPER_119 魔法の粉は、息で飛ばさないよう気をつけて。
WHISPER_120 このフォルダには内緒の計画が入っていますから、会議が始まるまで開かないでね。
WHISPER_121 そばに座ってもいい？
WHISPER_122 君に会えたことが、まだ夢みたいだよ…
WHISPER_123 雨上がりの庭には小さな水たまりが残り、月と私たちの影を一緒に映しています。
WHISPER_124 しっ、洞窟の奥で急に水音が変わったよ！
WHISPER_125 机の引き出しへ予備の鍵を入れましたので、困った時だけそっと使ってください。
WHISPER_126 静かな曲を聞こう。
WHISPER_127 あの白い花は、夜だけ開くって本当なの？
WHISPER_128 今夜は波が穏やかなので、小舟の上からでも岸辺の虫の声がはっきり聞こえます。
WHISPER_129 親方が仕上げた銀の器は小さな音にもよく響くから、布を敷いて静かに運びましょう。
WHISPER_130 お客様はお休みですので、声をお控えください。
WHISPER_131 あの高い塔の窓に灯りが見えたら、無事に着いたという合図を1回だけ返してほしい。
WHISPER_132 ほら、窓辺に小さな青い鳥が来ているよ。
WHISPER_133 このまま眠れそう…
WHISPER_134 誰にも気づかれないよう花束を机へ置き、短いお礼の言葉だけ添えておきました。
WHISPER_135 風邪を引かないよう、肩まで毛布を掛けますね。
WHISPER_136 深い森で道に迷っても焦らず、遠くの川音を探せば村へ続く小道が見つかります。
WHISPER_137 この小さな鍵は、私たちだけで預かろう。
WHISPER_138 このティーカップは薄くて音が響きやすいので、受け皿へゆっくり戻してください。
WHISPER_139 帰る前に、もう少しだけ話していかない？
WHISPER_140 朝食はここに置いたから、目が覚めたら冷めないうちに温かいスープからゆっくり食べてね。
WHISPER_141 心配しなくていいよ。
WHISPER_142 遠くの波音を聞くと、心がゆっくり落ち着く。
WHISPER_143 夜の礼拝堂では小さな祈りも天井まで届くから、声を張らず心のまま話せばいい。
WHISPER_144 師匠には内緒で、この近道を使いましょう。
WHISPER_145 君が作ったペンダントは少し不格好だけれど、温かな気持ちが伝わる大切な宝物だよ。
WHISPER_146 騎士たちが交代する鐘はもうすぐ鳴りますので、今のうちに短い伝言をお聞かせください。
WHISPER_147 ねえ、流れ星が消える前に願ってみて。
WHISPER_148 雲の間から星が1個だけ見えているから、眠る前に一緒に名前を考えてみませんか。
WHISPER_149 戸棚の奥に、君へのプレゼントを隠したよ。
WHISPER_150 この静かな部屋で本を読んでいると、ページをめくる音まで物語の一部に思えます。
WHISPER_151 本当のことを話す？
WHISPER_152 今夜の見張りを、私と交代してくれる？
WHISPER_153 明日の朝になれば皆へ話せるけれど、今夜だけは私たちの秘密にしておきましょう。
WHISPER_154 ほら、ランプの光を半分に落としたら、壁に映る白い花の影がゆっくり揺れ始めたよ。
WHISPER_155 あなたの隣なら、静かな時間も退屈しません。
WHISPER_156 遠い港へ向かう船の汽笛を聞くと、胸の奥にある別れの言葉をまだ言えずにいるの…
WHISPER_157 しっ、カーテンの向こうに誰かいるよ！
WHISPER_158 森の番人が眠っている間は、合言葉の代わりに白い羽をそっと門へ置いてください。
WHISPER_159 朝になったら、この手紙を読んでくださいね。
WHISPER_160 お嬢様が大切な夢をご覧ですから、朝の支度は隣の部屋で静かに始めましょう。
WHISPER_161 朝までここにいるね。
WHISPER_162 炉の火を弱めたので、工房も静かになりました。
WHISPER_163 川辺で拾った丸い石を耳へ近づけると、遠い海の音が小さく聞こえるそうです。
WHISPER_164 この指輪には、古い約束が刻まれているんだ。
WHISPER_165 今夜の晩餐でどうしても伝えられなかった感謝を、短い手紙にして枕元へ置きました。
WHISPER_166 急いで、灯りを消して！
WHISPER_167 眠そうな君を見ていたら、私まで眠くなった。
WHISPER_168 友人が緊張しているようなので、舞台へ出る前に優しい言葉をそっと掛けてきます。
WHISPER_169 古い城の回廊は声が遠くまで届くから、秘密の相談は中庭でする方がよさそうだ。
WHISPER_170 ほら、白い花びらが手のひらに降りたよ。
WHISPER_171 月明かりで銀色に見える花びらを集め、朝まで優しい香りが残る小袋を作りました。
WHISPER_172 今の気持ちは、言葉にしなくても伝わります。
WHISPER_173 私の声、聞こえる？
WHISPER_174 あなたが眠るまでここで本を読んでいますから、何か必要なら小声で呼んでください。
WHISPER_175 フィルムを光に透かすと、小さな絵が見える。
WHISPER_176 見張りの足音が西へ遠ざかったので、今なら古い裏門から静かに外へ出られます。
WHISPER_177 夜が明けるまで、そばにいてほしいな…
WHISPER_178 練習はもう終わったけど、最後の音が消えるまで鍵盤にもう少しだけ手を置いていたいの。
WHISPER_179 王様には秘密で、裏庭の花を1輪もらったよ。
WHISPER_180 この長い旅が終わっても、たき火のそばで静かに交わした約束を忘れないでいてね。
WHISPER_181 ねえ、窓を見てみて。
WHISPER_182 急いで、この重い扉が閉まる前に入って！
WHISPER_183 師匠から借りた魔術書は朝までに戻しますので、机のランプを消さずにいてください。
WHISPER_184 ティーカップを置く音さえ、今夜は大きく響く。
WHISPER_185 雨の夜にだけ開く白い花を見つけたから、傘を1本持って庭へ来てくれないかな。
WHISPER_186 目を閉じて頬に当たる風の流れを感じれば、暗い洞窟でも出口が東にあるとはっきり分かるんだ。
WHISPER_187 君の悩みなら、最後まで静かに聞くからね。
WHISPER_188 フェンスの向こうで子犬が眠っていますから、門を開ける時は音を立てないでください。
WHISPER_189 このフォルダには、誰にも見せていない写真だけ入っています。
WHISPER_190 君へ渡すプレゼントは青い箱に入れたので、誕生日までは戸棚を開けないでね。
WHISPER_191 もう少しだけこのまま…
WHISPER_192 小舟が岸へ着くまで、灯りを低くしておこう。
WHISPER_193 静かな夜更けに時計の針を眺めていると、君と話した時間だけゆっくり進む気がする。
WHISPER_194 王子が無事に戻るまで城門の灯りを守り、夜明けには白い旗をそっと掲げましょう。
WHISPER_195 遠くで鐘が鳴ったら、そっと窓を開けてください。
WHISPER_196 最後の夜に交わした小さな約束を、あなたが今も覚えているのか小声で教えてほしい…
WHISPER_197 みんな静かに、夜の森の歌が始まるよ。
WHISPER_198 朝の鳥が歌い始める前にこの部屋を出ますが、机の花はそのまま残しておきます。
WHISPER_199 ここへ座れば、暖炉の音がきれいに聞こえる。
WHISPER_200 もう深く眠ってしまった君へ、届かないほど小さな声でそっとおやすみを伝えるね…
