JOY_001 ああ、胸がふわりと弾む。
JOY_067 夕暮れの港へ仲間の船が戻ってきたぞ、今夜は盛大な宴を開き、帰還を祝おうじゃないか！
JOY_068 風が気持ちいいから、少し遠回りしようか？
JOY_069 君が考えた作戦は見事だった、冷静な私でも思わず笑みが浮かんで実に愉快だ。
JOY_070 新しい仲間を迎えられて、騎士団も心強い。
JOY_071 大丈夫、君ならきっと素敵な未来を選べる。
JOY_072 小さな苗が今年初めて花をつけ、毎日水をあげた日々が報われた、これは小さな奇跡だ。
JOY_073 店いっぱいの笑い声が、商人の宝物だよ。
JOY_074 本当に良かった、迷子の子犬が家族のもとへ戻って、元気にしっぽを振っているよ。
JOY_075 魔術の大会で努力を認められたことより、仲間が自分以上に喜んでくれたのが幸せだ。
JOY_076 喜びで声が弾んじゃう。
JOY_077 この青空を見ていると、何でもできそうだ！
JOY_078 久しぶりに集まった友人たちの話は尽きず、時計を見るのも忘れて笑い続けた。
JOY_079 ご主人さま、お祝いのパイが焼けました。
JOY_080 この帽子には明るいリボンがよく似合います、お出かけがますます楽しみですね。
JOY_081 この瞬間を待っていた…
JOY_082 やった、目標を達成したら疲れが吹き飛んだよ。
JOY_083 願っていた知らせが届いた瞬間、張り詰めていた心がほどけて涙までこぼれた…
JOY_084 山頂で迎えた朝日は想像よりも鮮やかで、登ってきた疲れを優しく照らしてくれた。
JOY_085 初めての舞台なのに、拍手がこんなに温かい。
JOY_086 今日から同じチームですね、あなたと力を合わせられることを心強く思います。
JOY_087 みんなの笑顔、まぶしくて最高だよ。
JOY_088 素晴らしい発見です、研究が前へ進みますね！
JOY_089 みんなで磨いた大広間に灯りがともり、今夜の舞踏会はいっそう華やぐだろう。
JOY_090 友達と同じ班になれて、心からほっとした。
JOY_091 お姉さまが貸してくれた本は胸が躍る物語で、ページを閉じるのが惜しくなります。
JOY_092 初めて作った料理を家族が残さず食べてくれて、少しだけ自信が持てたから次も作りたい。
JOY_093 雨上がりの空気って、こんなに爽やかなんだ。
JOY_094 ごきげんよう、良い日ね。
JOY_095 荒波を越えて探していた島へ着いたんだ、仲間と眺める景色は格別だ、万歳を叫ぼう！
JOY_096 宝箱の中身より、仲間の無事がうれしいよ。
JOY_097 冬の夜に暖炉を囲みながら温かなスープを飲むと、心の奥まで満たされていく。
JOY_098 今日のディナーは、みんなで囲むから特別だ。
JOY_099 発表を終えた後輩がほっと笑ったので、こちらまで肩の力が抜けてうれしくなった。
JOY_100 ようやく届いた返事に、頬がにやけてしまう。
JOY_101 お客さまの笑顔を見ると、疲れも消えます。
JOY_102 あなたの選んだ花はどれも生き生きしています、きっと贈る相手にも喜ばれますよ。
JOY_103 森の妖精たちが奏でるファンファーレに合わせ、冒険の成功を高らかに祝おう！
JOY_104 先輩も一緒なら、文化祭がもっと楽しみです！
JOY_105 思い切って声をかけたら優しく笑い返してくれて、新しい友情が始まりそうだ。
JOY_106 うれしい、空まで飛べそうだよ。
JOY_107 長年探していた材料がようやく手に入り、最高の作品を仕上げられる予感がする。
JOY_108 ふたりの門出を祝えて、本当に幸せだよ。
JOY_109 先生が教えてくれた方法で答えにたどり着き、勉強する面白さが少し分かった。
JOY_110 あの雲、白い子犬みたいでかわいいね？
JOY_111 剣を収めて祝おう、今日は平和な日なのだから。
JOY_112 かわいい包みを開いたら手作りの飾りが入っていて、胸の中がぽかぽかしたよ。
JOY_113 うまく焼けたクッキーを、早くみんなへ届けたいな。
JOY_114 これだけの収穫があれば冬も安心して越せるぞ、畑を守り抜いたみんなへ心から感謝しよう！
JOY_115 君の剣筋は昨日よりずっと力強い、その成長をそばで見届けられて誇らしいよ。
JOY_116 みんなへ拍手を送りたい！
JOY_117 頑張る姿を見ていたから、成功がなおうれしい。
JOY_118 一度は諦めかけた夢にもう一度挑めることが、今は何よりうれしくて仕方ない。
JOY_119 楽しみだな、新しいページを開くたび期待が膨らむよ。
JOY_120 風に乗って花びらが舞い込み、静かな部屋まで春の祝福に満たされ、うれしい朝になった。
JOY_121 こんな幸運もあるんだね！
JOY_122 なんと立派な成果でしょう、拍手をどうぞ！
JOY_123 皆さまが私のディナーを楽しんでくださり、料理人としてこれ以上の喜びはありません。
JOY_124 遠く離れていても同じ月を眺めていると思えば、不思議と心が近く感じられる。
JOY_125 見つけた、ずっと探していた本が棚の奥にあったよ。
JOY_126 危ない場面で助けてくれた相棒と無事に帰還できて、喜びが言葉にならないよ…
JOY_127 うれしくて眠れないよ。
JOY_128 星明かりの下で踊るなんて、夢みたいだ…
JOY_129 早起きして並んだかいがあり、焼きたてのお菓子を一番に味わえて本当に幸せだ！
JOY_130 遠征から全員戻って、城じゅうが喜んでいる。
JOY_131 修理した機械に軽やかな音が戻り、工房のみんなも拍手してくれて、胸がいっぱいになった。
JOY_132 雲ひとつない夜空に流れ星が走ったけれど、お願いより先に笑顔がこぼれたよ。
JOY_133 ぴかぴかの勲章を胸に、堂々と進もう。
JOY_134 見て、心に春が来たみたい。
JOY_135 こちらへ戻られたと聞いて安心いたしました、お部屋も温かく整えてございます。
JOY_136 君が笑ってくれると、こちらまで元気になる。
JOY_137 初めて会った子どもたちがすぐ輪に入れてくれて、一緒に遊ぶ時間が宝物になった。
JOY_138 こんなすてきな偶然、信じてもいいのかな？
JOY_139 勇気を出して謝ったら相手も素直に笑ってくれて、胸につかえていたものが消えた。
JOY_140 旅人よ、無事な到着を祝って今夜は祝杯を上げよう！
JOY_141 みんなの声援が、最後の一歩を支えてくれた。
JOY_142 頼もしい仲間が増えた今なら、どんな竜の山へだって胸を張って進めるぞ、心強いな！
JOY_143 応援してくれた人の名前を思い浮かべるたび、ここまで来られた幸運をかみしめる。
JOY_144 先生、難しい課題が解けて気分爽快です！
JOY_145 ふわふわの雲が夕日に染まる景色を、君と並んで眺められるなんて本当に幸せだよ。
JOY_146 よく頑張ったね、乾杯！
JOY_147 お客さまが選んだ指輪は朝露のように澄んでいて、晴れの日にきっと映えますよ。
JOY_148 気持ちいい、春風にリボンが揺れて心も軽やかだ。
JOY_149 何度も書き直した手紙へすぐに返事が届き、封を切る瞬間まで胸が高鳴ったよ。
JOY_150 見て、丁寧に磨いた器が朝の光を受けて輝いてる。
JOY_151 このファンファーレは、勇者たちへの祝福だ。
JOY_152 見て、学級のみんなで育てた花が一斉に咲いて、教室の窓辺が明るい色であふれているよ。
JOY_153 見て、妹の描いた絵に家族みんなが笑ってるよ。
JOY_154 戦いを避けて話し合いで道を開けたのだ、これこそ騎士にふさわしい勝利だろう。
JOY_155 思わぬところで昔の友人に会えるなんて、この偶然は本当に素敵な夢みたいだね…
JOY_156 夢なら覚めないでほしい…
JOY_157 おかえりなさいませ、無事なお姿に安心しました。
JOY_158 苦手だった水泳で向こう岸まで進めたよ、先生の励ましが力になって本当にうれしい！
JOY_159 見ろ、金色の麦畑が今年も豊かに実ったぞ。
JOY_160 静かな図書室でずっと読みたかった物語を見つけ、帰る時間まで夢中になった。
JOY_161 朗報だ、もう頬がゆるんじゃうよ。
JOY_162 あなたの優しさに触れて、涙が出るほどうれしい。
JOY_163 見て、朝市に新鮮な果物がずらりと並んで、店主の元気な声まで町を明るくしているよ。
JOY_164 君が無事なら宝物なんてなくても構わない、また一緒に旅を続けられるからな。
JOY_165 懐かしいな、この曲を聴くと楽しかった夏を思い出す。
JOY_166 今日のティーパーティーは大成功です、皆さまの笑顔が何よりの証拠でしょう？
JOY_167 今日はごちそうだね！
JOY_168 ついに念願の役を任された、胸が高鳴っているよ。
JOY_169 丁寧に練った土が思いどおりの器になり、手のひらへ確かな手応えが残ったよ。
JOY_170 ほう、これが勝利の味か、悪くない気分だ。
JOY_171 満開の桜の下を家族でゆっくり歩ける、それだけで今年の春は忘れられないね。
JOY_172 目覚めたら体の痛みがすっかり引いていて、窓を開ける風まで心地よく感じた。
JOY_173 聞いて、子どもたちの歓声で広場がぱっと華やいだよ！
JOY_174 やっと、私にも光が差したよ。
JOY_175 君の工夫で難しい問題がきれいに解けたね、発想の柔らかさに感心したし、頼もしいよ！
JOY_176 きれいな石を拾ったよ、君にも見せようか？
JOY_177 旅先で親切に道を教えてもらい、この町をもっと好きになれそうな気がするよ。
JOY_178 よく眠れた、今朝は体まで軽く感じるよ。
JOY_179 小鳥よ、手のひらから元気に飛び立てて良かったね、青空の向こうまで見送るよ。
JOY_180 やった、新しい呪文に成功して思わず笑ってしまった。
JOY_181 こんなに喜ばれるなら、作ったかいがあるよ。
JOY_182 受け継いだ剣を初めてうまく扱えたぞ、まだ半人前でも今日は誇っていいだろう！
JOY_183 心を込めた歌が遠くの席まで届いたと聞き、舞台に立った喜びがさらに増した。
JOY_184 晴れ舞台に立つ君を、客席から応援してもいい？
JOY_185 雨で延期になった遠足へやっと出発できるなんて、昨夜からわくわくしている。
JOY_186 ねえ、この喜びを分けさせて。
JOY_187 いつも支えてくださる皆さまへ、今度は私から大きな喜びを届けたいと思います。
JOY_188 最高だな、野原で飲むティーはいつもより香り高い。
JOY_189 卒業しても笑い合える仲間に出会えたことが、学校生活で一番の宝物になった。
JOY_190 素敵なお便りをいただき、心が潤いました。
JOY_191 さあ、目の前の扉が開いた、新しい旅の始まりだ！
JOY_192 星の地図にない道を見つけたんだ、この先に待つ景色を想像するだけで胸が躍る。
JOY_193 幸せだな、この日々が続くなら明日も早起きできそう。
JOY_194 おいしい香りに誘われて入った食堂で、思いがけず懐かしい味に巡り会えたよ。
JOY_195 私たちで力を合わせた橋が完成したぞ、向こう岸の歓声を聞くと胸が熱くなるな！
JOY_196 聞こえる、胸の鐘が鳴っている…
JOY_197 仲直りできた今なら、前より近くなれるかな？
JOY_198 小さな成功を一緒に祝ってくれる人がいるから、次の挑戦にも笑顔で向かえる。
JOY_199 お祭りのフィナーレまで、笑顔で駆け抜けよう。
JOY_200 長い旅を終えて家の灯りが見えた瞬間、帰れる場所の温かさに涙がこぼれたよ…
