CONTEMPT_001 その程度で自慢するの！
CONTEMPT_029 君のフェイントは動きが大きすぎて、初心者にさえ次の一手を読まれているよ。
CONTEMPT_030 見栄ばかり磨いて、肝心の腕はさびたままか！
CONTEMPT_031 約束を守れない人が信頼を語っても、その言葉に重みなど生まれるはずがありません。
CONTEMPT_032 弱い魔物を1匹追い払っただけで英雄気取りとは、ずいぶんおめでたい話だね。
CONTEMPT_033 約束を忘れて平然としているとは、感心しないね。
CONTEMPT_034 その場しのぎのパッチを重ねた機械なら、朝まで動くだけでも上出来でしょうね。
CONTEMPT_035 その芝居、見え透いてる！
CONTEMPT_036 その場しのぎの説明で納得させられると思う？
CONTEMPT_037 客に見える棚だけ整えて裏の倉庫を放置する店など、信用する価値もありません。
CONTEMPT_038 中身のない箱を豪華な布で包んだだけでしょう。
CONTEMPT_039 失敗した手品を観客のせいにするなんて、芸人の誇りまで疑うほど見苦しいわ。
CONTEMPT_040 下調べもせずに専門家を名乗るとは大胆だな。
CONTEMPT_041 安っぽい駆け引きね。
CONTEMPT_042 その程度の修理で代金を取るとは恐れ入るよ。
CONTEMPT_043 どれほど大声を張り上げたところで、根拠のない主張が正しくなることはないよ。
CONTEMPT_044 その華やかなマントは、まるで逃げ足の速さを目立たせるためにしか役立たないな。
CONTEMPT_045 先輩のまねだけでは、いつまでも半人前ですよ。
CONTEMPT_046 自分の失敗には甘く後輩の小さなミスには厳しいとは、なんともご立派な態度ですね。
CONTEMPT_047 弱い相手にだけ威張るとは、ずいぶん立派な勇気だね。
CONTEMPT_048 ふん、笑わせてくれる！
CONTEMPT_049 説明書を1ページも読まずに製品を責めるとは、ずいぶん浅はかで軽率な判断だね。
CONTEMPT_050 その薄い誇りも、雨ですぐ崩れそうだ…
CONTEMPT_051 その空っぽの袋を宝として売るなら、せめてもう少しましな物語が必要ですね。
CONTEMPT_052 また誰かの成果へ自分の名前を書き足して得意顔とは、飽きもせず懲りないね…
CONTEMPT_053 自分だけ安全な場所から指図する気ですか？
CONTEMPT_054 親方の技を盗み見ただけで職人を名乗るなんて、あまりにも気の早い未熟者だな。
CONTEMPT_055 それが全力のつもり？
CONTEMPT_056 おや、便利な時だけ友情を持ち出すのですね。
CONTEMPT_057 片づけを人に任せて写真だけ中央で主役を気取るなんて、ずいぶん図々しい人ね。
CONTEMPT_058 その安物の罠で騎士を止められるものか！
CONTEMPT_059 その程度の暗号で秘密を守ったつもりなら、扉を開け放すのと変わりませんよ。
CONTEMPT_060 失敗を笑って隠す癖は、そろそろやめたまえ。
CONTEMPT_061 雑な仕上がりだこと。
CONTEMPT_062 たった1回の成功で達人を名乗るのですか？
CONTEMPT_063 大切な報告を忘れた理由が今さらペンの書き味とは、ずいぶん幼稚な言い訳ですね。
CONTEMPT_064 借り物の鎧と剣を身につけても、実力まで借りられると思うのは本当に甘すぎるぞ。
CONTEMPT_065 ずいぶん派手な帽子だが、品格までは飾れない。
CONTEMPT_066 先生がいない時だけ騒げるその勇気を、なぜ発表の場では使えないのでしょうね。
CONTEMPT_067 締切を破っておいて、褒め言葉を待っているの？
CONTEMPT_068 期待するだけ無駄ね。
CONTEMPT_069 その冷笑は鋭さなどではなく、挑戦する人へのただの幼い嫉妬にしか見えませんよ。
CONTEMPT_070 口だけの冒険者に、地図を語る資格はない！
CONTEMPT_071 フィナーレだけ派手に飾ったところで、途中の退屈な演奏までは救えませんね。
CONTEMPT_072 昨日まで反対していた案が成功した途端、自分の提案に変わるとは便利ですね。
CONTEMPT_073 そのピカピカの道具は、使われた形跡がないな。
CONTEMPT_074 その雑な地図で旅人から代金を取るなんて、まったく商人の看板が泣いていますよ。
CONTEMPT_075 また同じごまかしか…
CONTEMPT_076 聞きかじった知識を並べても、底の浅さは見える。
CONTEMPT_077 一度褒められただけで師匠を追い越した顔をするとは、先が知れる浅はかさだ。
CONTEMPT_078 はん、その程度で私をだませると思うな！
CONTEMPT_079 床に落ちたパンを戻して飾りだけ替えれば済むなんて、本当に最低の考え方ね。
CONTEMPT_080 客の前だけ働く店員など、信用できませんね。
CONTEMPT_081 情けない幕引きだな！
CONTEMPT_082 また都合の悪い記録だけ消したのですか？
CONTEMPT_083 どれほど高価なティーカップでも、乱暴に置けば安い器より品がなく見えるよ。
CONTEMPT_084 あれほど勇ましい演説をしていたのに、仕事が始まった途端に小声とは情けないね。
CONTEMPT_085 君の自信は、ずいぶんもろい土台に立っている。
CONTEMPT_086 都合の良い数字だけ拾って作った結論など、砂の城よりもろくて価値もないよ。
CONTEMPT_087 礼儀を知らない商人に、良い取引はできないよ。
CONTEMPT_088 その虚勢はもう飽きた。
CONTEMPT_089 仲間の努力を踏み台にして勝者の顔をするなんて、恥ずかしいまねはやめなさい。
CONTEMPT_090 その古い冗談を何度も使うとは、芸がないな。
CONTEMPT_091 3分遅れただけと言いますが、それを毎日続けるなら十分に怠慢と呼べますよ。
CONTEMPT_092 その薄っぺらな謝罪なら、最初から黙っていた方がまだ誠実だったでしょうね…
CONTEMPT_093 まさか、その雑な設計を完成品と呼ぶの？
CONTEMPT_094 立派な工房を受け継いでも、道具を粗末に扱う人には決して良い品を作れないよ。
CONTEMPT_095 見苦しい言い逃れだ！
CONTEMPT_096 くだらない挑発に乗るほど暇ではない！
CONTEMPT_097 見返りがないと分かった瞬間に消える親切なんて、羽根よりも軽く見えますね。
CONTEMPT_098 あなたの評価は、相手の肩書で変わるのですね。
CONTEMPT_099 ファイル名を変えただけの企画を新作として出すなんて、さすがに呆れました。
CONTEMPT_100 その空っぽの皿を料理として出す気ですか？
CONTEMPT_101 大きな荷物を持つふりで軽い箱だけ選ぶなんて、ずいぶん分かりやすい人だね。
CONTEMPT_102 道具の片づけもできぬ者が工房を語るな！
CONTEMPT_103 帽子を替えただけの粗末な変装では、本人だと誰の目にも分かってしまいますよ。
CONTEMPT_104 まだ勝てると思うの？
CONTEMPT_105 お世辞で席を得ても、実力までは手に入らない。
CONTEMPT_106 練習では手を抜いて本番の失敗だけ運のせいにするなんて、見苦しい姿勢ですね。
CONTEMPT_107 そんな勝てる相手だけを選んで作った連勝記録に、いったい何の誇りがあるのやら。
CONTEMPT_108 へえ、間違いを認めないことが勇気なのですか？
CONTEMPT_109 スープを温めただけで料理長を名乗るなんて、あまりの大胆さに笑ってしまいます。
CONTEMPT_110 その薄笑いでは、内心の焦りを隠せていない。
CONTEMPT_111 その甘い評価は部下を守るためでなく、管理不足を隠すためにしか見えないよ。
CONTEMPT_112 あまりに幼稚ですね。
CONTEMPT_113 仲間の成果を自分の手柄にするつもり？
CONTEMPT_114 人の話を最後まで聞かず分からない部分だけ笑うとは、実に幼稚な態度ですね。
CONTEMPT_115 肝心の設計図を忘れたのにペンの色だけ6種類とは、ずいぶん無駄な準備ですね。
CONTEMPT_116 立派な制服も、だらしない態度では台無しだ。
CONTEMPT_117 参加者が1人だけだったと聞けば、その立派なメダルもやはり急に軽く見えるね…
CONTEMPT_118 練習をさぼった音は、フィナーレでばれるものさ。
CONTEMPT_119 雨の日は休みで晴れの日は暑いと言うなら、君が働く日は永遠に来なさそうだ。
CONTEMPT_120 その粗末な盾では、そよ風すら防げないだろう。
CONTEMPT_121 使えない飾りを山ほど足して基本機能を忘れるとは、見事なまでに愚かですね。
CONTEMPT_122 また都合のいい記憶だけ残したのですね…
CONTEMPT_123 あなたのいう伝統は、都合の悪い決まりだけ省けるずいぶん便利な仕組みなのですね。
CONTEMPT_124 なんとも薄っぺらい…
CONTEMPT_125 小さな勝利だけで王のように振る舞うな！
CONTEMPT_126 そのフィルターで傷を隠しても、品物のひびまで決して直るわけではありませんよ。
CONTEMPT_127 自分は手伝わずに終わった後だけ配置へ文句とは、ずいぶん気楽な立場ですね。
CONTEMPT_128 読まずに批判して、鋭い意見のつもりですか？
CONTEMPT_129 道に迷った理由をコンパスの機嫌のせいにするなんて、新しい言い訳には感心するね。
CONTEMPT_130 まあ、そんな浅い策略を魔法と呼ぶのかしら。
CONTEMPT_131 豪華な表紙の中が白紙なら、結局は本棚を飾る以外の価値など少しもありませんよ。
CONTEMPT_132 品のない振る舞いだ。
CONTEMPT_133 責任から逃げ出す速さだけは一流だな！
CONTEMPT_134 誰にでも同じお世辞を配って特別な信頼を得ようとは、軽薄にもほどがあるよ。
CONTEMPT_135 皿を1枚運んだだけで宴の功労者を名乗るなんて、まるで子どもの自慢みたいね。
CONTEMPT_136 その派手なパフォーマンスに中身はありません。
CONTEMPT_137 立派な計画を語る前に、まず散らかった机から必要な資料を探してみせたまえ。
CONTEMPT_138 助言を笑って捨てた結果が、この失敗ですか？
CONTEMPT_139 その剣の飾りは見事でも、刃を研がないなら結局壁へ掛ける置物と変わらないよ。
CONTEMPT_140 弱い者の前だけで強がるのが誇りなの？
CONTEMPT_141 質問には答えず相手の服装を笑って終わりとは、論点もない浅いやり方ですね。
CONTEMPT_142 君の話は飾りが多すぎて、要点が見えないよ。
CONTEMPT_143 朝から不満を並べるだけで改善案を1個も出さないなら、誰にでもできる仕事だ。
CONTEMPT_144 それで賢いつもり？
CONTEMPT_145 壊した品を隠すとは、職人として最低ですね。
CONTEMPT_146 小さな成功を何度も語るほど、最近は本当に何も成し遂げていないようですね。
CONTEMPT_147 ディナーの席で給仕を見下す態度では、せっかく礼服を着る意味もありませんよ。
CONTEMPT_148 そのぺらぺらの紙の鎧で戦場に立つ気か！
CONTEMPT_149 失敗を認めず話題を変える器用さには感心しますが、尊敬する気はありません。
CONTEMPT_150 お茶をこぼした程度で、全部他人のせいですか？
CONTEMPT_151 強い風だけで崩れる砦なら、難攻不落どころかただの砂山と変わらないだろう。
CONTEMPT_152 実にお粗末な策だ。
CONTEMPT_153 自分の名前だけ大きく書けば満足なの？
CONTEMPT_154 使った道具を洗わず次の職人へ説教だけ残すなんて、迷惑にもほどがあります。
CONTEMPT_155 その安っぽい拍手で機嫌を取ろうとしても、こちらの判断は少しも変わりません。
CONTEMPT_156 その場の拍手だけを求める芸は長続きしない。
CONTEMPT_157 自分の番だけ規則を変えるとは、なんとも自分にだけ都合のいい公平さで笑わせるね…
CONTEMPT_158 ずいぶん安っぽい脅しを覚えたものだな！
CONTEMPT_159 誰も見ていない場所では働かない人に、大切な仕事など到底任せられませんよ。
CONTEMPT_160 先生の説明を聞かず、課題を責めるのですね。
CONTEMPT_161 去年の成果を今年の計画へ貼り直すだけで進歩とは、ずいぶん手軽なものですこと。
CONTEMPT_162 その曲がった定規では、まっすぐ測れませんよ。
CONTEMPT_163 せっかくの一流の道具を手入れもせず腕前だけ語るとは、まったくの宝の持ち腐れだな。
CONTEMPT_164 その腕で挑む気か！
CONTEMPT_165 誰かの失敗を待つだけとは、退屈な生き方だ。
CONTEMPT_166 仲間が集めた材料を混ぜただけで発明者を名乗るなんて、厚かましい話ですね。
CONTEMPT_167 大切な客を待たせながら鏡の前で帽子を直す余裕には、呆れて言葉もありません。
CONTEMPT_168 見せかけの親切など、薄い紙より頼りないわ。
CONTEMPT_169 その勇気が本物なら安全な観客席ではなく、今すぐ現場へ立って意見を述べたまえ。
CONTEMPT_170 その半端な覚悟のまま、門をくぐるな！
CONTEMPT_171 紙の盾に金色の模様を描いても、結局雨すら防げない粗末な品に変わりはないぞ。
CONTEMPT_172 本気で通じると思う？
CONTEMPT_173 ふん、立派なのは飾りの羽根だけのようだな。
CONTEMPT_174 あなたの謝罪には、自分が悪かったという肝心な言葉がまたも抜けていますよ。
CONTEMPT_175 箱を開けずに中身を評価できるとは、なんとも便利な鑑定眼をお持ちですこと。
CONTEMPT_176 知らないことを笑う態度こそ、無知の証です。
CONTEMPT_177 その立派な羽ペンで責任逃れの文章しか書かないとは、紙の方が惜しいですね。
CONTEMPT_178 まだ古い肩書にしがみついているのか…
CONTEMPT_179 自分で決めた期限さえ守れない人が、今さら後輩の予定へ口を出すとは厚顔ですね。
CONTEMPT_180 そのフォークの持ち方では執事役も務まらない。
CONTEMPT_181 ピンを1本留めただけで衣装を全部仕立てた顔とは、ずいぶん図々しいですね。
CONTEMPT_182 口約束ばかり並べ立てる商人はお断りだ！
CONTEMPT_183 都合の悪い質問を雑音と呼べば、さぞあなたの説明はいつまでも完璧でしょうね。
CONTEMPT_184 まあ、哀れな強がり！
CONTEMPT_185 早起きを1日しただけで努力家を名乗るのか？
CONTEMPT_186 その程度の火花で大魔術を名乗るなら、台所のかまどまで伝説級になってしまいますね。
CONTEMPT_187 誰かが片づけると思ってまた空のカップを置いていくとは、まったく怠慢ですね。
CONTEMPT_188 苦労を避けて拍手だけ望むとは、虫が良いね。
CONTEMPT_189 失敗した時だけ見習いで成功した時は親方気取りとは、見事なほど都合がいいな。
CONTEMPT_190 あのディナーを自慢するには、味が足りません。
CONTEMPT_191 そのパフォーマンスは派手なのに、約束した成果はどこにも見当たりませんね。
CONTEMPT_192 その程度の覚悟か…
CONTEMPT_193 その穴だらけの理屈に、答える価値はない。
CONTEMPT_194 仲間の助言を無視した結果を運命のせいにするとは、本当にまだまだ未熟だな。
CONTEMPT_195 その乾いた拍手を称賛だと思える耳なら、どんな冷笑も祝福に聞こえるのでしょうね…
CONTEMPT_196 失礼を率直さと呼ぶのは、ただの甘えですよ。
CONTEMPT_197 どんな上品な言葉を選んでも、相手を利用する意図までは決して隠せませんよ。
CONTEMPT_198 自分で散らかした部屋も片づけられないとは、情けないね。
CONTEMPT_199 同じ失敗をまた道具へ押しつけて反省したふりとは、いつまでたっても進歩がないね…
CONTEMPT_200 その程度の観察で、すべてを知った顔ですか？
