id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
EXPLAIN_066,teacher,weak,40,。,YOUON;DAKUON,,4
EXPLAIN_067,none,weak,19,。,DAKUON,P11,5
EXPLAIN_068,none,weak,37,。,SOKUON;DAKUON;HANDAKUON,,4
EXPLAIN_069,none,strong,21,？,DAKUON,,5
EXPLAIN_070,none,strong,38,！,YOUON;SOKUON;DAKUON,,4
EXPLAIN_071,none,weak,13,。,DAKUON,,5
EXPLAIN_072,none,weak,21,。,CHOON;DAKUON;GAIRAION,,5
EXPLAIN_073,none,weak,36,。,DAKUON,,4
EXPLAIN_074,none,mid,38,。,DAKUON,,4
EXPLAIN_075,none,mid,20,。,DAKUON,,5
EXPLAIN_076,none,mid,36,。,DAKUON,,4
EXPLAIN_077,none,mid,20,。,,,5
EXPLAIN_078,none,weak,39,。,SOKUON;DAKUON,,4
EXPLAIN_079,none,mid,24,。,DAKUON,,5
EXPLAIN_080,none,strong,36,？,CHOON;DAKUON;GAIRAION,,4
EXPLAIN_081,none,mid,13,。,DAKUON,,5
EXPLAIN_082,teacher,strong,20,！,YOUON;DAKUON,,5
EXPLAIN_083,none,mid,39,。,SOKUON;CHOON;DAKUON,,4
EXPLAIN_084,none,mid,18,。,DAKUON,,5
EXPLAIN_085,none,mid,40,。,DAKUON,,4
EXPLAIN_086,none,mid,12,。,DAKUON,P02,5
EXPLAIN_087,none,mid,19,。,DAKUON,P03,5
EXPLAIN_088,none,strong,37,！,DAKUON,,4
EXPLAIN_089,none,mid,37,。,DAKUON,,4
EXPLAIN_090,none,mid,20,。,SOKUON;DAKUON,,5
EXPLAIN_091,none,mid,38,。,DAKUON,,4
EXPLAIN_092,none,mid,21,。,HATSUON;DAKUON,,5
EXPLAIN_093,none,strong,12,！,HATSUON;DAKUON,,5
EXPLAIN_094,none,mid,37,。,DAKUON,,4
EXPLAIN_095,none,mid,20,。,CHOON;HANDAKUON,,5
EXPLAIN_096,none,mid,37,。,DAKUON,,4
EXPLAIN_097,none,strong,21,？,DAKUON,,5
EXPLAIN_098,none,mid,38,。,SOKUON;CHOON;DAKUON,,4
EXPLAIN_099,none,mid,20,。,DAKUON,,5
EXPLAIN_100,none,mid,36,。,CHOON;DAKUON,,4
EXPLAIN_101,none,mid,12,。,,P08,5
EXPLAIN_102,none,strong,20,！,YOUON;HATSUON;DAKUON,,5
EXPLAIN_103,none,mid,37,。,DAKUON,,4
EXPLAIN_104,none,mid,20,。,DAKUON,,5
EXPLAIN_105,none,strong,37,？,SOKUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
EXPLAIN_106,none,mid,38,。,HATSUON;DAKUON,,4
EXPLAIN_107,none,mid,27,。,SOKUON;DAKUON,P09,5
EXPLAIN_108,none,mid,36,。,HATSUON;DAKUON,,4
EXPLAIN_109,none,mid,23,。,DAKUON,,5
EXPLAIN_110,none,mid,39,。,CHOON;DAKUON,,4
EXPLAIN_111,none,mid,13,。,DAKUON,,5
EXPLAIN_112,none,mid,26,。,SOKUON;CHOON;DAKUON;GAIRAION,P06,5
EXPLAIN_113,none,strong,36,！,YOUON;CHOON,,4
EXPLAIN_114,none,mid,37,。,SOKUON;CHOON;DAKUON,P09,4
EXPLAIN_115,adventurer,mid,22,。,DAKUON,,5
EXPLAIN_116,none,mid,41,。,HATSUON;DAKUON,,4
EXPLAIN_117,none,mid,28,。,,,4
EXPLAIN_118,none,mid,37,。,DAKUON,,4
EXPLAIN_119,none,mid,20,。,CHOON;DAKUON,P20,5
EXPLAIN_120,none,mid,36,。,,,4
EXPLAIN_121,none,mid,13,。,,,5
EXPLAIN_122,none,strong,18,！,YOUON;CHOON;DAKUON;HANDAKUON,P14,5
EXPLAIN_123,none,mid,36,。,DAKUON,,4
EXPLAIN_124,none,strong,23,？,,P19,5
EXPLAIN_125,none,strong,37,。,DAKUON,,4
EXPLAIN_126,none,mid,12,。,,P01,5
EXPLAIN_127,adventurer,mid,21,。,,P12,5
EXPLAIN_128,none,strong,37,？,CHOON;DAKUON,,4
EXPLAIN_129,swordsman,strong,37,！,YOUON;SOKUON;DAKUON,,4
EXPLAIN_130,none,mid,21,。,DAKUON,,5
EXPLAIN_131,none,mid,38,。,DAKUON,,4
EXPLAIN_132,none,mid,23,。,,,5
EXPLAIN_133,none,mid,14,。,DAKUON,,5
EXPLAIN_134,none,mid,36,。,DAKUON,,4
EXPLAIN_135,none,mid,19,。,SOKUON;DAKUON,,5
EXPLAIN_136,none,mid,38,。,CHOON;DAKUON,,4
EXPLAIN_137,none,mid,18,。,HATSUON;HANDAKUON,,5
EXPLAIN_138,none,mid,44,。,YOUON;SOKUON;DAKUON,,4
EXPLAIN_139,none,mid,20,。,DAKUON,,5
EXPLAIN_140,none,mid,37,。,DAKUON,,4
EXPLAIN_141,none,mid,12,。,DAKUON,,5
EXPLAIN_142,none,strong,23,！,CHOON;DAKUON,P15,5
EXPLAIN_143,none,mid,37,。,SOKUON;DAKUON;HANDAKUON,,4
EXPLAIN_144,none,mid,19,。,DAKUON,,5
EXPLAIN_145,none,weak,39,。,DAKUON,,4
EXPLAIN_146,none,strong,36,！,HATSUON;DAKUON,,4
EXPLAIN_147,none,mid,18,。,CHOON;DAKUON,,5
EXPLAIN_148,none,mid,36,。,DAKUON,P12,4
EXPLAIN_149,none,mid,27,。,YOUON;DAKUON,P14,5
EXPLAIN_150,none,strong,38,？,SOKUON;DAKUON,,4
EXPLAIN_151,none,strong,14,？,,,5
EXPLAIN_152,adventurer,strong,23,？,SOKUON;DAKUON,,5
EXPLAIN_153,none,mid,37,。,SOKUON;CHOON;DAKUON,,4
EXPLAIN_154,none,weak,38,。,SOKUON;CHOON;DAKUON;GAIRAION,,4
EXPLAIN_155,none,mid,18,。,,,5
EXPLAIN_156,none,mid,36,。,DAKUON,P18,4
EXPLAIN_157,none,mid,18,。,DAKUON,,5
EXPLAIN_158,none,mid,41,。,HATSUON;DAKUON,,4
EXPLAIN_159,none,mid,20,。,DAKUON,,5
EXPLAIN_160,none,mid,38,。,DAKUON,,4
EXPLAIN_161,teacher,strong,14,！,HATSUON;DAKUON;HANDAKUON,,5
EXPLAIN_162,none,strong,18,！,DAKUON,P13,5
EXPLAIN_163,none,strong,43,！,YOUON;CHOON;DAKUON;HANDAKUON,,4
EXPLAIN_164,none,mid,22,。,SOKUON,,5
EXPLAIN_165,none,mid,36,。,HATSUON;DAKUON;GAIRAION,P17,4
EXPLAIN_166,none,mid,13,。,HATSUON;DAKUON,,5
EXPLAIN_167,none,mid,19,。,DAKUON,,5
EXPLAIN_168,none,mid,36,。,CHOON;DAKUON,,4
EXPLAIN_169,none,mid,37,。,DAKUON,,4
EXPLAIN_170,none,mid,21,。,DAKUON,,5
EXPLAIN_171,none,mid,36,。,DAKUON,,4
EXPLAIN_172,none,mid,18,。,DAKUON,P05,5
EXPLAIN_173,none,mid,11,。,DAKUON,P02,5
EXPLAIN_174,none,mid,40,。,YOUON;SOKUON;DAKUON,,4
EXPLAIN_175,none,mid,19,。,DAKUON,,5
EXPLAIN_176,none,strong,37,？,DAKUON,,4
EXPLAIN_177,none,mid,18,。,SOKUON;CHOON;DAKUON;HANDAKUON,,5
EXPLAIN_178,none,mid,37,。,DAKUON,,4
EXPLAIN_179,none,strong,24,？,DAKUON,P19,5
EXPLAIN_180,artisan,strong,38,！,YOUON;HATSUON;DAKUON,,4
EXPLAIN_181,none,strong,12,。,,,5
EXPLAIN_182,none,strong,21,！,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,5
EXPLAIN_183,none,strong,40,。,DAKUON,,4
EXPLAIN_184,none,strong,19,。,DAKUON,,5
EXPLAIN_185,none,strong,36,。,SOKUON;DAKUON,,4
EXPLAIN_186,none,strong,37,。,SOKUON;DAKUON,,4
EXPLAIN_187,none,strong,20,。,CHOON;DAKUON;GAIRAION,P04,5
EXPLAIN_188,none,strong,36,！,SOKUON;HATSUON;DAKUON,P20,4
EXPLAIN_189,none,strong,18,。,DAKUON;HANDAKUON;GAIRAION,,5
EXPLAIN_190,none,strong,39,。,HATSUON;DAKUON;HANDAKUON,,4
EXPLAIN_191,none,strong,16,。,DAKUON,,5
EXPLAIN_192,none,strong,28,。,YOUON;SOKUON;HATSUON,,4
EXPLAIN_193,none,strong,36,？,HATSUON;DAKUON;GAIRAION,,4
EXPLAIN_194,none,strong,37,。,DAKUON,,4
EXPLAIN_195,none,strong,18,。,,,5
EXPLAIN_196,none,strong,38,！,SOKUON;DAKUON,,4
EXPLAIN_197,none,strong,18,。,CHOON;DAKUON,,5
EXPLAIN_198,none,strong,36,。,DAKUON,,4
EXPLAIN_199,none,strong,20,。,HATSUON;DAKUON,,5
EXPLAIN_200,none,strong,42,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
