NORMAL_001 窓、少し開けるね。
NORMAL_079 入口の近くに木の傘立てが置いてあるよ。
NORMAL_080 申込書を見てたら楽しそうな催しだったから、君も誘って一緒に参加したいと思ったんだ。
NORMAL_081 今夜はさんまにしよう。
NORMAL_082 ちょっと疲れたね、一緒に外の空気を吸おう！
NORMAL_083 玄関に届いた荷物は遠く離れて住む姉からだったよ、今夜みんなが帰ったら一緒に開けようね。
NORMAL_084 料理に使う野菜は、もう切ってあるよ。
NORMAL_085 新しいカレンダーへ来月の休みを書いたら、旅行の日が今から急に近く感じたよ。
NORMAL_086 ペンを1本借りてもいい？
NORMAL_087 植木には夕方に水をやることにしよう。
NORMAL_088 廊下の台車を端へ寄せたら足元まで通りやすくなったね、これなら祖母も安心だよ。
NORMAL_089 朝の点検で非常口の表示を見ていたら、学生のころの避難訓練を思い出したよ。
NORMAL_090 君が貸してくれた本、昨日の夜に読み終えたよ。
NORMAL_091 読み終えた手紙を封筒へ戻したけど、うれしくて内容を何度も思い返してるんだ。
NORMAL_092 会議室は廊下の突き当たりにあるからね。
NORMAL_093 よし、準備できたよ！
NORMAL_094 庭仕事を始めたら隣の猫がずっとそばにいて、手を止めて一緒に遊んでしまったよ。
NORMAL_095 昨日の写真、笑いすぎて少しぶれてたね。
NORMAL_096 夕方までに雨がやんだら、近所の店まで一緒にのんびり買い物に出かけようよ。
NORMAL_097 この大きな箱、倉庫へ移してもかまわない？
NORMAL_098 電球を新しくしたら部屋がずいぶん明るくなって、今夜はここで絵を描きたいな。
NORMAL_099 窓際の花、今朝やっと一輪咲いたんだよ。
NORMAL_100 打ち合わせの要点は手帳に書いたから、今は仕事の話をやめてお茶にしようよ。
NORMAL_101 時計を5分進めておくね。
NORMAL_102 日が暮れる前に、川沿いを少し歩かない？
NORMAL_103 風が収まるまでは外へ出ないで、ベランダの鉢は私が見ておくから安心してね…
NORMAL_104 昨日借りた傘は入口の箱へ返しておいたよ。
NORMAL_105 このディスプレイ、文字が読みやすくなるまで、もう少し暗くしてもかまわない？
NORMAL_106 台所の棚を整理してたら懐かしいカップが出てきて、母の笑顔を思い出したんだ。
NORMAL_107 案内を待つ間は、ここで静かにしていよう…
NORMAL_108 駐車場所は入口から少し遠いけど、帰りに川沿いを歩けるから少しも悪くないよね。
NORMAL_109 今月は少し余裕があるし、久しぶりに外で食べよう。
NORMAL_110 昼休みに読む大事な本、君がすすめてくれたページへ印を付けて持ってきたよ。
NORMAL_111 荷物、廊下に置いてあるよ。
NORMAL_112 台所からいい匂いがするけど、何を作ってるの？
NORMAL_113 椅子の脚に丸いパッドを貼ったら音がずいぶん静かになって、猫も逃げなくなったよ。
NORMAL_114 受付でもらった鍵、なくすと困るからお願い、帰るまで君が持っていてくれない？
NORMAL_115 今度の週末は近所の公園を歩くつもりだよ。
NORMAL_116 帰りが遅くなるなら夕食を冷蔵庫へ入れておくけど、無理しないで早めに帰ってね。
NORMAL_117 部屋の温度、今から少し下げておくね。
NORMAL_118 洗面所のタオルを替えたら石けんの香りがふわっとして、朝の眠気が少し覚めたよ。
NORMAL_119 郵便局なら、ここから歩いて10分くらいだよ。
NORMAL_120 新しい住所を連絡帳へ書いたけど、どうしても引っ越した実感はまだ全然ないんだ。
NORMAL_121 水筒、空のままだったよ。
NORMAL_122 この写真の場所、次の休みに二人で行ってみよう！
NORMAL_123 さっき届いた案内を読んだら楽しそうな催しだったから、君も一緒に行かない？
NORMAL_124 こちらの大きな紙袋に入れても大丈夫かな？
NORMAL_125 本棚の前に脚立があるから気をつけてね、夜には私が隣の部屋へ移しておくよ。
NORMAL_126 少し休んでから行こう…
NORMAL_127 その青い上着、今日の空にすごく似合ってるよ。
NORMAL_128 途中で休むなら、木の橋を渡った先にある広場が静かでのんびりできてよくない？
NORMAL_129 片づけはあとで一緒にやろう、今は窓から見える夕焼けをもう少し眺めたいな。
NORMAL_130 午後は予定がないから、のんびり話せるよ。
NORMAL_131 外に干した布団がふかふかになったから、今夜は早めに横になってぐっすり眠れそうだね。
NORMAL_132 台に置いた布、丁寧にたたんでおいたよ。
NORMAL_133 明かり、消しておくね。
NORMAL_134 注文した箱を開けたら頼んでいない青い皿まで入っていて、ちょっと驚いたよ。
NORMAL_135 今夜の夕食は6時前から作り始めるね。
NORMAL_136 掲示板に来週の新しい予定が出てたけど、今度の土曜の催しは君も参加するよね？
NORMAL_137 隣の部屋から小さなピアノの音がするね。
NORMAL_138 書類をもう一度読んだら気になる所があって、署名する前に君へ相談したいんだ…
NORMAL_139 駅前の店、毎週月曜は休みなんだって。
NORMAL_140 休みの朝は掃除を急がず、窓を開けて好きな音楽を1曲ゆっくり聞いてから始めよう。
NORMAL_141 紙なら机に広げてあるよ。
NORMAL_142 その続きが気になるから、もう少しだけ話して！
NORMAL_143 使っていない食器を近所の人が欲しいらしいけど、思い出の皿だけは残しておきたいな。
NORMAL_144 買い物のメモ、冷蔵庫の扉に貼ったよ。
NORMAL_145 雨の日のマットを新しくしたら玄関が明るくなって、帰ってくるのが楽しみになったよ。
NORMAL_146 開始時刻が変わったって聞いたけど、少し遅くなったから一緒に昼ごはんを食べられるね！
NORMAL_147 白い鳥が窓の外をゆっくり横切ったよ。
NORMAL_148 旅行用の鞄を開けたらきれいな海辺の砂が残っていて、去年の夏を思い出したよ。
NORMAL_149 戸棚の中身には触れず、そのままにしてね…
NORMAL_150 この申込用紙、連絡先まで書けばいいみたいだけど、君も一緒に参加してみる？
NORMAL_151 この席、使っていい？
NORMAL_152 この建物では靴を脱いだほうがいいかな？
NORMAL_153 倉庫の長机を窓辺へ出してみたら、午後のお茶にちょうどいい場所ができたよ。
NORMAL_154 温かいお湯を沸かして白いカップも出したから、みんなが来るまで少し休もうか？
NORMAL_155 今日は私がおいしいおやつを持ってきたんだ。
NORMAL_156 畑で採れた野菜、形はばらばらだけど、今夜のスープならきっとすごくおいしいよ。
NORMAL_157 さっき受け取った荷物は奥の部屋へ移したよ。
NORMAL_158 郵便受けに懐かしい案内状が入ってたけど、昔通っていた学校の同窓会だったんだ。
NORMAL_159 水差しは丸いテーブルの中央に置いたよ。
NORMAL_160 古い写真の裏に知らない町の名前があって、いつか君と訪ねてみたいと思ったよ。
NORMAL_161 スープ、温めてくるね！
NORMAL_162 予定の時間になったら入口で声をかけるね！
NORMAL_163 朝の空気が涼しいから、落ち葉を少し集めたら一緒に近くの川まで散歩しない？
NORMAL_164 読み終えたら、どの話が好きだったか教えてね。
NORMAL_165 観葉植物の向きを変えたら小さな新しい芽が見えて、なんだか得をした気分だよ。
NORMAL_166 連絡は午後にするよ。
NORMAL_167 午前中に届いた花、君の部屋に飾っておいたよ。
NORMAL_168 会議のあとに残った資料を見たら、君が小さく描いた猫の絵をすぐに見つけたよ。
NORMAL_169 新しい靴を玄関の棚へ置いたけど、雨がやむまでは履かずに眺めていようかな。
NORMAL_170 廊下の照明は自動で消える仕組みなんだ。
NORMAL_171 夕食の魚に下味を付けたけど、君の帰りが遅いなら先に食べずに待ってるからね。
NORMAL_172 明日の朝は7時30分ちょうどに出よう。
NORMAL_173 風、少し弱くなったね。
NORMAL_174 配達の車が着くまでずっとここで待つよ、重い箱なら一緒に運んであげるからね…
NORMAL_175 濡れた靴は新聞紙を敷いた上で乾かそう。
NORMAL_176 この荷物の宛先、前に住んでた町の近くだね、届けに行くなら私も連れてって。
NORMAL_177 余分な紙は小さなメモ用に取っておこう。
NORMAL_178 報告書は書き終えたけど、君に読んでもらうまではどうしても少し落ち着かないんだ。
NORMAL_179 受付が終わったら、窓辺の席で一緒に待とうか？
NORMAL_180 もう休憩が終わる時刻だけど、話が途中だからあと5分だけ二人でここにいない？
NORMAL_181 本は元の棚へ戻したよ。
NORMAL_182 ここまで終わったら、みんなで少し休もう！
NORMAL_183 机の上に積んだ封筒の中に君の名前を見つけて、つい先に渡しに来ちゃったんだ。
NORMAL_184 昔の写真を見てたら、子どもの頃を思い出したよ。
NORMAL_185 朝に使った道具を洗っていたら昔の傷を見つけて、師匠のことを思い出したよ。
NORMAL_186 来週の当番表を見たら君と同じ日だったから、ちょっとだけ楽しみになったよ。
NORMAL_187 来週の日曜、みんなで夕飯を食べられそうだよ。
NORMAL_188 夕方の風がかなり冷たくなってきたし、植木を入れたら一緒に温かい物でも飲もう！
NORMAL_189 ティーバッグなら戸棚の一番上にあるよ。
NORMAL_190 引っ越しの箱が増えるたび、この部屋で過ごす時間もあと少しなんだと感じるよ。
NORMAL_191 手袋は鞄に入れたよ。
NORMAL_192 夕方の連絡が来るまでここで静かに待とう…
NORMAL_193 この写真を大きく印刷して部屋に飾ったら、旅先の景色をいつでも思い出せそうだね。
NORMAL_194 帰りの電車に間に合いそうだから、駅前で温かい飲み物を二人で一杯買って帰ろう。
NORMAL_195 帰りの電車、君と同じ時刻なら一緒に乗ろう。
NORMAL_196 忘れ物がないか机の周りを見てたら、君の青いペンが椅子の下に落ちてたからね！
NORMAL_197 明かりが強いから厚いカーテンを閉めるね。
NORMAL_198 静かな午後は窓辺で本をのんびり読んで、君のおすすめだった章まで一気に進めそうだよ。
NORMAL_199 今日のおやつ、君が好きな分も取っておいたよ。
NORMAL_200 荷物は玄関へ運んだし、出発までまだ時間があるから少し温かいお茶を飲もう…
