FEAR_001 わっ、今の音は何！
FEAR_100 地下室から聞こえる歌は誰の声ですか？
FEAR_101 今すぐここを離れよう、霧の港で海から鐘が響くたび足元の水位が上がっているよ。
FEAR_102 隊長、見張り台の火が全部消えました！
FEAR_103 どうしよう、同じ倒木をもう3回も見たし森へ置いた目印が全部逆を向いているんだ。
FEAR_104 あの声は誰なの？
FEAR_105 窓をたたく音が、雨の間も続いている。
FEAR_106 どうしよう、避難用の扉へ着いた瞬間に電子錠が赤く光って閉まってしまった。
FEAR_107 気味が悪い、空き家のポストへ毎朝届く手紙がどれも私の名前で始まっている。
FEAR_108 眠ったはずの人形が、朝には場所を変えていた。
FEAR_109 今すぐ逃げよう、雪原の黒い影が望遠鏡を下ろすたび倍の速さで近づいてくるよ。
FEAR_110 急に画面が真っ暗になり、警告音だけ鳴っている。
FEAR_111 誰かいるの、古い劇場で幕が勝手に開いて誰もいない客席から拍手が聞こえた。
FEAR_112 嫌な予感がするよ。
FEAR_113 この細い道を馬車で下りるつもりなの？
FEAR_114 早く出口を探して、会場の扉が全部ふさがれ天井から焦げた匂いまでしてきたよ。
FEAR_115 これは敵の偽の合図だ、谷の反対側からこちらの人数まで正確に告げてきているぞ。
FEAR_116 風のない夜に木々が揺れるのは不気味ですね。
FEAR_117 気味が悪い、閉じたフォルダが朝には開いて知らない場所の写真まで増えていた…
FEAR_118 裏口に見覚えのない濡れた靴が並んでいる。
FEAR_119 本当に振り向かないで、夜道で止まった子どもの歌がすぐ後ろから聞こえたよ。
FEAR_120 魔術書の文字が赤く光り、ページが熱くなった。
FEAR_121 今すぐここから逃げよう、豪雨で山が崩れて避難車両の道まで土に埋まり始めている。
FEAR_122 さっきより出口が遠く見えるのはなぜだ…
FEAR_123 この箱には触れないで、中から規則正しい音がして表面がわずかに温かいんです。
FEAR_124 灯りが消えそうだ…
FEAR_125 皆、黒い煙を吸わないよう低く伏せろ！
FEAR_126 本当に怖いよ、避難放送が流れたのにホテルの人さえ理由を知らないって言うんだ。
FEAR_127 親方、そこから離れて、勝手に回りだした歯車から手元へ火花まで散っています。
FEAR_128 そのディスプレイの警告は消して平気なの？
FEAR_129 月がすっかり隠れて獣の声が四方から近づいてくる、私たちはもう囲まれたみたいだ。
FEAR_130 通信が途切れた瞬間に部屋が静まり、急に怖くなった。
FEAR_131 お願いだから動かないで、誰もいない2階から下りた足音が階段の途中で止まったよ。
FEAR_132 体が冷たくなる。
FEAR_133 来るな、これ以上ドアを押すんじゃない！
FEAR_134 あと10分しかない、研究室の冷却装置が止まって危険な温度へ近づいている。
FEAR_135 この地図を見て、道が消えているのに現在地の印だけ勝手に森の奥へ動いているよ。
FEAR_136 怖いな、ぴったり閉めたはずの箱から冷気が漏れている。
FEAR_137 窓から離れて、突然の激しい揺れで棚が倒れて雨と冷たい風まで吹き込んできたよ。
FEAR_138 知らない香りがすると、昔の悪夢を思い出す。
FEAR_139 外へ出ないで、山小屋を何周も囲む大きな足跡が入口の前だけで途切れている。
FEAR_140 さっきの地震で壁にひびが入ってない？
FEAR_141 何があったんだ、大切な遠征隊の日誌は最後だけ破られて泥の手袋が残っている。
FEAR_142 このスープ、飲んだ後から手がしびれてきた。
FEAR_143 早く中へ入ろう、空が不気味な黄土色に変わって鳥の群れまで山から逃げてきたよ。
FEAR_144 本当に安全なの？
FEAR_145 森の番人がまだ帰らないまま夜が深くなって、嫌な胸騒ぎがする。
FEAR_146 もう井戸へ近づけない、恐ろしいことに水面へ浮かんだのは私ではない誰かの顔だった。
FEAR_147 止まってください、照明が消えたのに階数表示だけが地下へ下がり続けています。
FEAR_148 危険だ、その崖の端から今すぐ離れろ！
FEAR_149 あの人形を遠ざけて、毎晩向きが変わって今夜はずっと枕元を見つめているんです。
FEAR_150 店のシャッターが閉まり、外へ出られない。
FEAR_151 結界が破れそうだ、光が弱まって遠い森から黒い霧までどんどん流れ込んできたぞ。
FEAR_152 今の獣の声、怖い。
FEAR_153 本当にこのパスワードを入力していいの？
FEAR_154 静かにして、火が消えた直後からテントの周りを何かが速く走り回っているよ。
FEAR_155 ラジオを止めて、雑音の中の私がまだ話していない言葉を勝手に繰り返している。
FEAR_156 隣の部屋から、誰かの泣き声が聞こえる。
FEAR_157 もう急ごう、後ろの街灯が順に消えて最後の灯りも消えそうだし足音まで近い…
FEAR_158 うわっ、鏡の中の私だけ動いていない！
FEAR_159 見てはいけない、誰もいない村の通りを無数の影がゆっくり同じ方向へ進んでいる。
FEAR_160 遠征隊の旗が谷底に落ちている、皆が戻らないのは何かあったの？
FEAR_161 船室へ戻らないで、非常ベルの後から乗員が皆を必死に甲板より遠ざけています。
FEAR_162 小さな物音にも肩が跳ね、眠れそうにない。
FEAR_163 もう出られない、壁の古い時計が逆に進み始めて扉の鍵まで勝手に閉まったよ。
FEAR_164 危ない、床が抜ける！
FEAR_165 先生が戻るまで、この機械には触れないで。
FEAR_166 どうしてこんな写真があるの、夜中のメールに眠っている私が写っていました。
FEAR_167 もう戻れない、谷の細い橋で縄が切れて残った板まで強風にあおられているよ。
FEAR_168 あの洞窟から出た風は、氷みたいに冷たい。
FEAR_169 地下室から離れよう、雷が鳴るたび扉が何度も揺れて冷たい空気まで漏れてくる。
FEAR_170 パニックになるな、順番に出口へ進め！
FEAR_171 みんな様子がおかしい、祭りの音楽が止まって不気味に同じ方向を見たまま動かない。
FEAR_172 この道で合ってる？
FEAR_173 怖いよ、手紙の文字が途中から震え、急に途切れている。
FEAR_174 怖くてたまらない、画面に映る知らない部屋の中央に私と同じ姿がじっと座っている。
FEAR_175 あの声へ決して近づかないで、森の奥で呼んでいるのは隣にいる仲間と同じ声だ。
FEAR_176 フィルター越しでも空が紫色に見えて、不安です。
FEAR_177 今すぐここから逃げよう、商店街の扉が全部閉まり放送も逃げろと繰り返している。
FEAR_178 門の外に立つ黒い影が、朝まで動かない…
FEAR_179 あの小舟には近づけない、海岸へ上がった後もまだ新しい水滴が落ち続けている。
FEAR_180 あのフォルダに、見覚えのない写真があります。
FEAR_181 この写真を見て、写る人数が毎日増えて今日は私によく似た人まで加わっている。
FEAR_182 急げ、堤防を越えて濁った水が流れ込むぞ！
FEAR_183 城の地下へ入るな、封印の石が割れて眠っていた大きな翼まで今にも動き始めたぞ。
FEAR_184 うわっ、手が触れた！
FEAR_185 パーティーの帰り道だけ、街灯が消えている。
FEAR_186 返事をしなければよかった、深夜のチャイムの後から家中の窓をたたかれている。
FEAR_187 どうしよう、雪道で車が止まったうえ暖房の燃料もあとわずかと表示されています。
FEAR_188 すぐ近くで金属が折れる音がして、怖くて振り向けない。
FEAR_189 完全に閉じ込められた、図書室で最後のページを開いたら出口が本棚に変わったよ。
FEAR_190 このテントの周りに、大きな足跡があります。
FEAR_191 今すぐ高台へ避難して、ダムの水位が限界へ近づいて下流の町まで危険なんです。
FEAR_192 もう戻れないのか…
FEAR_193 城門の鐘が3回鳴った、緊急事態かもしれない。
FEAR_194 あの列車には絶対乗れない、暗い窓の内側に人ではなく手形だけが並んでいる。
FEAR_195 誰も知らない合言葉を扉の向こうから呼ばれたうえ、その声まで本当に私と同じだ…
FEAR_196 足音を立てないで、何かがこちらを探している。
FEAR_197 玄関を開けたくない、夜明けに足音が止んで見覚えのない泥の靴が残っている。
FEAR_198 みんな起きろ、山の斜面が崩れ始めた！
FEAR_199 ここももうすぐ暗くなる、遠くの警報が途切れて町の灯りまで一つずつ消えていく…
FEAR_200 帰りのバスが来ないと、だんだん不安になる。
