LAZY_001 今日はずっと寝てたい…
LAZY_073 森の泉まで水をくみに行くより、屋根から落ちる雨を桶へためた方が楽だと思います。
LAZY_074 あなたが選んだ青いリボンはきれいだけど、結ぶ練習は元気な日に回していいかな。
LAZY_075 昼寝の場所なら、日陰の木の下が一番だ。
LAZY_076 秘密の通路は便利だと聞きましたが、入口を探すより普通の道をゆっくり歩きたいです。
LAZY_077 もう走らないで、ゆっくり歩いて帰ろうよ。
LAZY_078 風邪は治ったけれど、休む理由がなくなるのは惜しいから今日まで寝ていることにする。
LAZY_079 このファイルを開く前に、お茶にしましょう。
LAZY_080 朝から続く雨を眺めているうちに、外へ出る予定そのものを忘れてしまいました。
LAZY_081 昼まで寝ていよう。
LAZY_082 あの階段、本当に上まで行くんですか？
LAZY_083 王の寝室へ薬を届ける役は大切ですが、長い廊下を歩く前に少し座らせてください。
LAZY_084 誰かベルを止めて、まだ眠っていたいんだ。
LAZY_085 茂みの向こうに白い鹿がいるらしいけど、立ち上がると逃げそうだからここで待とう。
LAZY_086 なんだか力が出ない…
LAZY_087 難しい話は、頭が起きてから聞かせてくれ。
LAZY_088 君が大切にしている写真を直すつもりですが、細かい作業は目が覚めてから始めます。
LAZY_089 こんな静かな夜には何か考えるより、毛布に包まって時計の音を聞いていたい…
LAZY_090 親方、今日は細かい作業をする気分ではないです。
LAZY_091 暖炉の火が小さくなってきたけれど、薪を取りに行くより毛布をもう1枚掛けよう。
LAZY_092 近くの店まで、馬車を使っちゃだめかな？
LAZY_093 急ぐなんて無理だよ。
LAZY_094 倉庫の奥で古い箱を見つけましたが、ほこりを払うのが面倒なので中身は後で見ます。
LAZY_095 もう体力の限界だから、次の宿では休ませて。
LAZY_096 夜のパトロールへ出る時間ですが、月が雲に隠れるまではここで待っていたいです。
LAZY_097 お茶が冷めても、いまは取り替える気がしない。
LAZY_098 演奏を最後まで聞く予定だったのに、柔らかな座席で途中から眠ってしまいました。
LAZY_099 このまま午後までずっと座っていてもいい？
LAZY_100 月が雲に隠れたら門を閉める決まりですが、今夜はずっと晴れていてほしいものです。
LAZY_101 今日はゆっくりする。
LAZY_102 先生、今日は課題を少なくしてください…
LAZY_103 お茶の香りで目は覚めたけれど、体はまだ眠っているのでベッドから動けません。
LAZY_104 書棚の上の本は、誰か取ってくれないかな。
LAZY_105 旅立つ前に必要な物を並べたところで満足し、かばんへ詰める作業は明日に回しました。
LAZY_106 森の小道を歩くのは気持ちいいけれど、帰りも同じ距離だと思うと出かける気が失せる。
LAZY_107 片づける前に、どこへ座るか決めよう。
LAZY_108 古い手紙に返事を書くため羽ペンを出しましたが、インクのふたを開けずに休憩中です。
LAZY_109 旅の地図を見るだけで、足が重くなってきた。
LAZY_110 夜空を横切る雲を数えていたはずなのに、3つ目から先は眠くて覚えていません。
LAZY_111 もう歩きたくない…
LAZY_112 夕方まで何もしない日があってもいいよね？
LAZY_113 先生が置いていった本を読もうと思いましたが、机まで運ぶだけで今日は十分です。
LAZY_114 あなたの返事を待っている間に眠くなったので、話の続きは夢の中で聞かせて…
LAZY_115 眠気が消えないので、話は短めにお願いします。
LAZY_116 城の地下へ続く階段は段数が多すぎるから、何があるかは元気な騎士に任せよう。
LAZY_117 ピアノの練習は、指が起きてから始めます。
LAZY_118 子どもたちへ星の話を始めたのに、聞いていた私の方が先に眠ってしまいました。
LAZY_119 杖を振らなくても使える魔法を覚えたいな。
LAZY_120 このフォルダを整理するため新しい名前を考えましたが、変更する作業は来週にします。
LAZY_121 休憩にしませんか？
LAZY_122 今日は雲を眺めて終わりでもいいかな…
LAZY_123 雨上がりの庭はきれいだけど、靴が汚れるので窓から静かに眺めるだけで満足です。
LAZY_124 長い山道はもう嫌だから、ここで野営しようよ。
LAZY_125 机の引き出しに予備の鍵がありますが、手を伸ばすのが面倒なので扉は開けません。
LAZY_126 頭がまだ眠ってる。
LAZY_127 この会議、欠伸をしながら聞いても平気？
LAZY_128 今夜は波が穏やかだから船を出せるけれど、岸辺で寝転んでいる方が楽しそうだ。
LAZY_129 親方が仕上げた銀の器を運ぶ役ですが、落とさないよう明るくなるまで待っています。
LAZY_130 お客様が来るまで、少し横になっていますね。
LAZY_131 あの高い塔の窓に灯りが見えても、階段を上る気はないので下から手を振っておきます。
LAZY_132 そんなに急がず、もっとのんびり行こうよ。
LAZY_133 このまま横になろう…
LAZY_134 誰にも気づかれないよう花束を置く計画でしたが、眠いので入口へそのまま置きました。
LAZY_135 毛布が暖かくて、朝の寒さに勝てそうもない。
LAZY_136 深い森で道に迷っても焦る元気がなく、切り株へ座って誰かが来るのを待っています。
LAZY_137 明かりを消すのは、立った人に任せよう。
LAZY_138 このティーカップは薄くて割れそうだから、洗うのは慎重な人へ任せた方がいいね。
LAZY_139 あのすぐ近くの椅子まで運んでくれない？
LAZY_140 朝食を作る予定で早く起きたのに、献立を考えているうちに昼になってしまいました。
LAZY_141 靴を履くのも面倒。
LAZY_142 波が穏やかだから、船の上で昼寝したい。
LAZY_143 礼拝堂まで祈りに行くのは遠いので、この部屋から静かに願えば届くことにします。
LAZY_144 師匠の長い話は、半分くらい夢で聞きました。
LAZY_145 君が作ったペンダントを毎日着けたいけれど、留め具が細かくて少し面倒なんだ。
LAZY_146 騎士たちが交代する鐘は聞こえましたが、毛布から出るのは次の鐘まで待ちます。
LAZY_147 今日はもう料理せず、パンだけでいいや。
LAZY_148 雲の間から星が1個だけ見えているけど、名前を考えるのは明日の夜にしよう。
LAZY_149 戸棚を開ける元気がなくて、お菓子を諦めた。
LAZY_150 この静かな部屋で本を読んでいると、同じ行を3回読んだあたりで眠くなります。
LAZY_151 今やる必要あるの？
LAZY_152 今夜の見張りは、座ったままでもいい？
LAZY_153 明日の朝になれば元気になる気がするので、今日の仕事は未来の私へ渡します。
LAZY_154 ランプの油が少なくなってきたけど、補充へ行くより暗いまま眠った方が早い。
LAZY_155 予定表を見るだけで、疲れた気分になります。
LAZY_156 遠い港へ向かう船を見送る予定だったのに、最初の汽笛を聞いただけで満足したよ…
LAZY_157 重い盾はここへ置いて、手ぶらで帰りたいな。
LAZY_158 森の番人が眠っているなら、起こして門を開けてもらうより木陰で昼寝しよう。
LAZY_159 朝の手紙は、午後になったら読みますね。
LAZY_160 お嬢様の朝の支度は終わりましたので、次のご用まで椅子で休ませていただきます。
LAZY_161 明日の私に任せる。
LAZY_162 炉の火を見ていると、何もせず眠くなる。
LAZY_163 川辺で拾った丸い石を磨けば光るそうですが、今の素朴な色でも十分きれいです。
LAZY_164 この指輪を磨くのは、気が向いた時にするよ。
LAZY_165 今夜の夕食は豪華らしいけれど、着替えるのが面倒なので部屋でパンを食べます。
LAZY_166 もう階段は上らないよ。
LAZY_167 君の話を聞きたいけど、目は閉じさせてね。
LAZY_168 友人が緊張しているようですが、励ます言葉を考えているうちに舞台が始まりました。
LAZY_169 古い城の回廊は歩くだけで疲れるから、中庭へ抜ける短い道を誰かに聞きたい。
LAZY_170 今日は訓練を休んで、日陰に座っていたいな。
LAZY_171 月明かりで銀色に見える花びらは美しいけれど、集めるのは風に任せて眺めよう。
LAZY_172 急ぎの用でなければ、明日にしてください。
LAZY_173 近道ってないかな？
LAZY_174 あなたが眠るまで本を読む約束でしたが、最初の章で私の方が眠ってしまいそうです。
LAZY_175 フィルター交換は、次の当番に任せます。
LAZY_176 見張りの足音が西へ遠ざかったので、追いかけずにここで交代を待つことにします。
LAZY_177 もう考えることにも少し疲れてきたな…
LAZY_178 ピアノの練習はもう終わったけど、楽譜を片づける前に鍵盤に突っ伏して眠りたい。
LAZY_179 王様への報告は、短い文章で済ませたい。
LAZY_180 この長い旅が終わったら何をするか聞かれたけど、まず3日くらい眠りたいな。
LAZY_181 今日は本気で動かない。
LAZY_182 今日は重い扉を開けに行くのも面倒だよ。
LAZY_183 師匠から借りた魔術書は重すぎるので、返しに行くまで机の重しとして使います。
LAZY_184 ティーカップが空でも、席を立ちたくない。
LAZY_185 雨の夜にだけ開く花を見たいけれど、傘を差して庭へ出るほどの元気はありません。
LAZY_186 目を閉じて風の流れを感じれば進めるらしいけど、そのまま眠る方が簡単だよ。
LAZY_187 難しい判断は、元気な人に任せましょう。
LAZY_188 フェンスの向こうで子犬が待っていますが、入口まで遠いので誰か連れてきてください。
LAZY_189 このフォルダの整理は、来週から始めます。
LAZY_190 君へのプレゼントは青い箱に入れたままなので、自分で戸棚から取ってくれるかな。
LAZY_191 あと5分だけ眠るよ…
LAZY_192 小舟をこぐより、流れに任せて進みたい。
LAZY_193 静かな夜更けに時計の針を眺めていると、何もしない時間が一番ぜいたくに思える。
LAZY_194 王子が戻るまで城門を守る役ですが、椅子に座ったままでも見張りはできます。
LAZY_195 鐘が鳴っても、あと3分は座っていたい。
LAZY_196 最後に交わした約束は覚えているけど、実行する日は今のところまだ決めていないんだ…
LAZY_197 もう疲れたから、今日はみんないつもより早めに仕事を終えようよ。
LAZY_198 朝の鳥が歌い始めても、暖かな布団の中ではまだ夜ということにして眠り続けます。
LAZY_199 暖炉の前なら、1日中ここにいられる。
LAZY_200 もう少し休んだら動くつもりだけど、その後で本当に動くかもう一度考えることにするよ…
