CONFUSE_001 あれ、順番が違う！
CONFUSE_103 使うなと書かれたボタンの下に、開始するには押せという説明が貼られています。
CONFUSE_104 どこへ並べばいいの？
CONFUSE_105 名簿に私の名前が2回あり、席は1個しかない。
CONFUSE_106 友人が送った写真に私も写っていますが、その時間は家にいて説明がつきません。
CONFUSE_107 2人分を予約したはずなのに、席は3人分で料理は1人分しかなくて何が正しいのか分かりません。
CONFUSE_108 店員さんごとに、返品の手順が違っています。
CONFUSE_109 隊長の地図では川を渡りますが、案内役は川に着く前に船へ乗れと言っています。
CONFUSE_110 コンパスが示す北と地図の北が正反対で、どちらを信じればいいの？
CONFUSE_111 先生は答えを簡潔にと言いながら、指定された文字数は前回の倍になっています。
CONFUSE_112 答えが一つじゃない。
CONFUSE_113 この申込書は提出する前に返却されるの？
CONFUSE_114 店の営業時間は入口とサイトで異なり、どちらにも最新情報と書いてあります。
CONFUSE_115 ぴったり合う部品をはめたら完成図と逆向きになり、外す方法は載っていません。
CONFUSE_116 先輩の話を聞くほど、課題の目的がぼやけます。
CONFUSE_117 朝には白かった壁が夕方は青く見えるのに、写真では赤く写っていて理解できない…
CONFUSE_118 ピアノの音と鍵盤の動きが少しずれています。
CONFUSE_119 このフォルダには完成版が4個あり、どれも更新時刻と内容が少しずつ違います。
CONFUSE_120 魔法の呪文を逆から読むとは聞いていません。
CONFUSE_121 冒険者の目印をたどると町から離れますが、地図では町へ近づいていることになります。
CONFUSE_122 私が持っているのは控えか原本なのか…
CONFUSE_123 電話では予約済みと言われたのに、受付では申し込み自体がないと言われました。
CONFUSE_124 ますます分からない…
CONFUSE_125 ちょっと待て、出口が入口に変わったぞ！
CONFUSE_126 魔法のランプは願いを1個だけかなえるはずなのに、願う前から数字が減っています。
CONFUSE_127 同じ人から届いた2通の手紙には、同じ場所へ来てほしいとも来ないでほしいとも書かれています。
CONFUSE_128 最初に最後のページを読む決まりなんですか？
CONFUSE_129 計算の途中で単位がメートルから個数へ変わり、答えだけ秒になる理由が分かりません。
CONFUSE_130 パンを焼く前に冷ますとは、どういう意味だ。
CONFUSE_131 受付番号は50番なのに画面では49番の次が51番で、私だけ飛ばされています。
CONFUSE_132 地図と景色が違う。
CONFUSE_133 おい、同じ標識が反対を向いているぞ！
CONFUSE_134 書類を出すには予約が必要で、その予約には提出済みの書類が必要だそうです。
CONFUSE_135 森の案内板は同じ村を示すのに矢印だけ四方へ向き、どの道を選ぶべきか迷います。
CONFUSE_136 このディスプレイは昨日と日付が同じです。
CONFUSE_137 昨日は倉庫へ続いた右の扉から今日は庭へ出てしまい、もう場所が分かりません。
CONFUSE_138 先生は自由と言ったのに、正解が決まっている。
CONFUSE_139 温かい飲み物専用のカップへ店員が氷を入れていて、どう見ても説明と逆に見えます。
CONFUSE_140 右の列が左へ進むって、どうやって並ぶの？
CONFUSE_141 先生の説明では自由課題ですが、見本と違う内容は採点できないと言われました。
CONFUSE_142 ぴったり合った部品が、説明図では別の場所だ。
CONFUSE_143 パスワードは8文字以上必要なのに入力欄は7文字までで、どうにも先へ進めません。
CONFUSE_144 今は何時なんだろう？
CONFUSE_145 受付票の店名欄に、なぜか私の住所が書かれている。
CONFUSE_146 同じ列車の指定席券が2枚あり、どちらにも私の名前と同じ席番号があります。
CONFUSE_147 スープの表面には混ぜるなとあり底にはよく混ぜろと見え、どちらに従うか迷います。
CONFUSE_148 そんな、合計だけ先に書かれているぞ！
CONFUSE_149 親方は右回しと教えたのに説明書では歯車が左へ回り、どうにも正解が分かりません。
CONFUSE_150 約束は7時なのに、招待状には8時とあります。
CONFUSE_151 朝の会議は中止と聞いた直後に開始を早める連絡が届き、意味が分かりません。
CONFUSE_152 指示が反対に見える。
CONFUSE_153 このフェイントは味方への合図でもあるの？
CONFUSE_154 フィナーレの後に第1幕が始まったけれど、私は帰るべきか座るべきか分かりません。
CONFUSE_155 この地図は現在地の印だけ動いて道や建物は昨日のままで、どちらを信じるか迷います。
CONFUSE_156 話題が変わったことに、私だけ気づかなかった。
CONFUSE_157 説明を理解したつもりで質問したら前提から違うと言われて、また迷ってしまう…
CONFUSE_158 えっ、選ばなかった方が当たりなのか！
CONFUSE_159 商人の領収書では代金が0円なのにおつりが5円不足して、計算が合いません。
CONFUSE_160 同じ道具なのに、職人ごとに呼び名が違う。
CONFUSE_161 パトロールの予定表では休みですが、集合場所と開始時刻まで書かれています。
CONFUSE_162 どのボタンにも開始と書いてあって困ります。
CONFUSE_163 私のペンで友人の名前を書いたのに、乾くと知らない人の名前へ変わりました。
CONFUSE_164 あれっ、鍵が多すぎる！
CONFUSE_165 その言葉は賛成にも反対にも聞こえるんだ。
CONFUSE_166 3階の会議室へ向かったのに2階の表示がまた現れ、今どこにいるのか分かりません。
CONFUSE_167 フィルターを切ると音が大きくなり最大では静かになって、操作が逆に思えます。
CONFUSE_168 馬車を降りた場所と、乗った場所が同じだ。
CONFUSE_169 料理長は塩を最後に入れろと言うのに鍋は最初から塩味で、手順が分かりません。
CONFUSE_170 いや、この手順では完成前に壊れるぞ！
CONFUSE_171 目的地へ急ぐほど到着時刻が遅くなり止まると早まって、表示の意味が読めません。
CONFUSE_172 誰に聞けばいいの？
CONFUSE_173 私のメモなのに、知らない予定が書いてある。
CONFUSE_174 先生から返された答案は全問正解なのに点数だけ0点で、どうにも納得できません。
CONFUSE_175 同じ番号のロッカーが廊下の両端にあるのに、鍵はどちらにも入らず困りました。
CONFUSE_176 パーティーは中止か延期か、連絡が曖昧です。
CONFUSE_177 道具を片づける棚には棚を作る道具が必要だと言われて、まるで話が堂々巡りです。
CONFUSE_178 記憶では青なのに、写真は赤なんだよな…
CONFUSE_179 友人の文は駅で待つとも来ないとも読めるため、どちらなのか判断できません。
CONFUSE_180 このフォークは料理用か飾り用か分かりません。
CONFUSE_181 画面には接続済みとあるのに接続先の名前は空欄で、どうにも状態が読み取れません。
CONFUSE_182 待って、1番の次が3番になっているよ！
CONFUSE_183 旅のしおりは昼食後に出発で予定表は出発後に昼食となり、順番を決められません。
CONFUSE_184 鍵を開ける前に中へ入るの？
CONFUSE_185 目的は同じなのに、指示だけ正反対ですね。
CONFUSE_186 騎士団では帽子が必須なのに門では脱げとあり、どちらの規則に従うか迷います。
CONFUSE_187 パンを3個買えば1個無料で合計4個のはずなのに、袋には2個しかなくて数が合いません。
CONFUSE_188 説明を聞き直したら、疑問が一つ増えました。
CONFUSE_189 記録では在庫が増えているのに棚は昨日より空いていて、どちらが正しいか迷います。
CONFUSE_190 このペンは書くと文字がすぐ消えてしまいます。
CONFUSE_191 即興のパフォーマンスと聞いたのに全員が同じ台本を持ち、何が即興なのか分かりません。
CONFUSE_192 何か勘違いしてる…
CONFUSE_193 階段を上ったのに、地下へ着いたようです。
CONFUSE_194 締切は明日と言われた直後、今朝までに出せと念を押されてどちらか分かりません。
CONFUSE_195 地図に現在地が2個あるうえ両方とも遠く離れていて、どう見ればいいのか分からない…
CONFUSE_196 同じ重さの箱で1個だけ中身があるなら、どう見分けるの？
CONFUSE_197 店員は返品できると言うのに伝票は返品不可で、どちらを信じればよいか迷います。
CONFUSE_198 みんな止まって、番号札が重複してる！
CONFUSE_199 何度読み返しても結論が質問より先に置かれていて、どうしても話の順序が分からない…
CONFUSE_200 安全の合図なのに警報まで鳴るのは、どういうことですか？
