EXPLAIN_001 この地図の赤線が安全な道だよ。
EXPLAIN_140 この表では数の多い順に上から並べ、同じ数の場合は名前の順で整理しています。
EXPLAIN_141 白い枠内だけを切ります。
EXPLAIN_142 次の合図を聞いたら赤いレバーを下げてください！
EXPLAIN_143 パックの切り口を上へ向けて持つと、中身をこぼさず容器へ移しやすくなります。
EXPLAIN_144 雨量の違いを青色の濃さで表しています。
EXPLAIN_145 設定画面で音量を選び、右のつまみを少しずつ動かして聞きやすい位置に合わせます。
EXPLAIN_146 全員が説明を読み終えたら、合図に合わせて1番のボタンから押してください！
EXPLAIN_147 同じ幅になるよう定規で印を付けます。
EXPLAIN_148 中央の太い線は全体の平均を示し、上下の細い線は値の広がりを表しています。
EXPLAIN_149 箱の細かなゆがみは、最後の工程でまとめて直しましょう。
EXPLAIN_150 この2つの文章を見比べると、主語の位置による印象の差にはっきり気づきますか？
EXPLAIN_151 次は割り算の例も解きますか？
EXPLAIN_152 ここまでの地図の読み方で疑問は残っていますか？
EXPLAIN_153 まず苗の根を水で湿らせ、土を入れた鉢の中央へ傾かないようまっすぐ植えます。
EXPLAIN_154 フィルムの端にある印を本体の溝へ合わせ、空気が入らないようゆっくり貼ります。
EXPLAIN_155 表の右端には合計値を記載しています。
EXPLAIN_156 数値が上限を超えた場合は赤い表示となり、操作を続ける前に確認が必要です。
EXPLAIN_157 小さな穴から余分な空気を逃がします。
EXPLAIN_158 最初に結論を話し、そのあとで理由と例を続けると、聞き手へ要点が伝わりやすいんです。
EXPLAIN_159 黄色の枠内だけが今回詳しく調べる畑です。
EXPLAIN_160 作業台の高さを腕に合わせて調整すれば、長い時間でも姿勢を保ちやすくなります。
EXPLAIN_161 布を張る位置がポイントです！
EXPLAIN_162 目盛りを読む位置に注意してください！
EXPLAIN_163 次のページでは苗を植える練習問題を使い、覚えた手順をもう一度自分で確かめてみましょう！
EXPLAIN_164 粘土は大きな形を作ってから、細部を整えます。
EXPLAIN_165 フォントの大きさは見出しと本文で変え、同じ役割の文字はすべて統一します。
EXPLAIN_166 丸印の項目を選んでいます。
EXPLAIN_167 青い星印は入力が必要な場所を示します。
EXPLAIN_168 外側のケースは内部の部品を守り、底の小さな穴は熱を逃がす役割を持ちます。
EXPLAIN_169 結果に差が出たときは、入力値と操作手順の両方を最初から注意深く見直します。
EXPLAIN_170 保存した内容は次回も自動で引き継がれます。
EXPLAIN_171 水色の範囲は安全に操作できる温度を示し、赤い範囲ではすぐ停止が必要です。
EXPLAIN_172 2本の線が重なる所を中央と呼びます。
EXPLAIN_173 この線が畑の境界です。
EXPLAIN_174 発電機の基本的な仕組みが分かったところで、残る例外を次の項目で見ていきましょう。
EXPLAIN_175 警告表示が赤なら温度をすぐに下げます。
EXPLAIN_176 表示された警告を閉じる前に、原因と対処方法を手帳へ短くメモしておけますか？
EXPLAIN_177 指定の幅までテープを切って使います。
EXPLAIN_178 2枚の紙を重ねて光へかざすと、細かな印刷位置の小さなずれまで確認できます。
EXPLAIN_179 電車とバスなら、どちらが予定に合うと思いますか？
EXPLAIN_180 最後に道具の数を一覧と照らし合わせ、1つずつ元の場所へきちんと戻しましょう！
EXPLAIN_181 合計は右端の欄に出ます。
EXPLAIN_182 ここで縫い目の基本パターンを覚えましょう！
EXPLAIN_183 上段の式で求めた値を下段へ移し、決められた単位を付けて最終結果として記入します。
EXPLAIN_184 数字は右へ進むほど順に大きくなります。
EXPLAIN_185 液体を混ぜるときは容器を強く振らず、細い棒を使って一定の速さで回します。
EXPLAIN_186 説明の横にある図は、文章だけでは分かりにくい部品の位置関係を補っています。
EXPLAIN_187 フォルダー名には作成日を付けておきます。
EXPLAIN_188 この区切りまで進んだらいったん手を止め、入力内容を必ず保存してください！
EXPLAIN_189 ディスプレイの中央に結果が現れます。
EXPLAIN_190 ピンクの付箋には具体的な疑問点を書き、緑の付箋には確認できた答えを記録します。
EXPLAIN_191 布の色が薄い理由はあとで話すね。
EXPLAIN_192 顕微鏡の次の操作へ移る前に、いったんひと息入れましょう。
EXPLAIN_193 ウェブ画面の表示が異なる場合、更新ボタンを押してから比べてもよいですか？
EXPLAIN_194 最初の例では1つの条件だけを扱いましたが、実際には複数の要因が重なります。
EXPLAIN_195 各欄の値を足すと全体の数になります。
EXPLAIN_196 全工程が終わったら、最後に完成した形と見本を離れた位置から見比べてください！
EXPLAIN_197 形が崩れないよう端を支えて持ちます。
EXPLAIN_198 数値だけで判断せず、観察した色や音の変化も合わせて記録すると役立ちます。
EXPLAIN_199 これでテントを張る準備はすべて完了です。
EXPLAIN_200 この装置の基本操作はここまでですので、次は実際のサンプルを使って練習してみましょう。
