ANGRY_001 もう、我慢の限界だ。
ANGRY_044 私たちは便利な駒ではない、都合の良いときだけ呼び出すのはやめてもらいたい。
ANGRY_045 また帳簿が合わないぞ、確認を怠ったな。
ANGRY_046 自分が不利になった途端に話題を変えても、さっきの質問には必ず答えてもらう。
ANGRY_047 勝手な判断は困るよ。
ANGRY_048 助けてもらって当然という顔はやめてくれ。
ANGRY_049 工房の道具にはそれぞれ置き場所がある、使った者がきちんと戻すのが決まりだ。
ANGRY_050 そんな曖昧な返事では、誰も動けません。
ANGRY_051 仲間を置き去りにして宝箱だけ抱えて戻るとは、冒険者の名が泣いている、恥を知れ！
ANGRY_052 あれほど静かに休ませてほしいと頼んだのに、なぜわざわざ扉を強く閉めるんだ？
ANGRY_053 私の作品を勝手に直すとは、どういうつもりだ？
ANGRY_054 こんなの納得できない。
ANGRY_055 失敗そのものより、隠して周りを巻き込んだことに私は怒っているんです、簡単には許せません。
ANGRY_056 会議の直前に予定を変えるなんて無責任だ。
ANGRY_057 こちらの都合を一度も尋ねず予定を決められては、協力したくてもできません。
ANGRY_058 言葉で済む話を、わざと複雑にしないで。
ANGRY_059 誰にでも間違いはあるが、謝る人をさらに笑うような態度は到底認められない。
ANGRY_060 こちらの好意を踏みにじるなんて、本当に腹立たしい。
ANGRY_061 門限を破った理由を、正直に話しなさい。
ANGRY_062 ご主人さまのお考えでも、皆が傷つく命令なら私はきっぱり反対いたしますよ。
ANGRY_063 苦労して集めた材料を勝手に捨てられて、すぐ許せるほど私はお人好しではない！
ANGRY_064 静かに読む場所で、大声を出さないでくれ。
ANGRY_065 順番に意見を聞くと決めたのだから、大声で押し切ろうとするのはやめなさい。
ANGRY_066 話を最後まで聞いて。
ANGRY_067 何もかも人任せにした後で結果だけ批判するなんて、さすがに虫が良すぎるぞ。
ANGRY_068 何も知らないのに、知ったふりをするな。
ANGRY_069 この地図が古いと知っていながら渡したのか、それとも確認さえしなかったのか？
ANGRY_070 こんな雑な縫い方では、商品になりません。
ANGRY_071 仲間を置いて逃げるなど、冒険者の恥だぞ。
ANGRY_072 ぴかぴかに磨いた鎧を泥の上へ放るとは、道具への敬意がまるで足りず情けない。
ANGRY_073 ふん、後から謝れば済むと思うんじゃない。
ANGRY_074 フェアな競争を掲げるなら、相手によって規則を変えるようなまねはするなよ！
ANGRY_075 頼まれて手伝ったのに、礼も言わず遅いと責めるなんて、どこまで勝手なんだ！
ANGRY_076 ごまかしは通用しない。
ANGRY_077 私が並べた花を、勝手に動かさないで。
ANGRY_078 説明の途中で結論を決めつけられると、何を話しても無駄に思えて、本当に腹が立つよ…
ANGRY_079 一生懸命作ったものを、笑うのは許せない。
ANGRY_080 店員へ横柄な態度を取る人が、仲間にだけ優しい顔をしても信頼できませんよ。
ANGRY_081 勝手に私の話を遮るな！
ANGRY_082 ご主人さま、無茶なご命令はお控えください。
ANGRY_083 皆の食事を用意した料理人の前で、面白半分に皿を残すのは失礼で許せないぞ。
ANGRY_084 危険な橋だと警告したはずだ、どうして子どもたちまで連れて渡ったんだ、無謀すぎるぞ！
ANGRY_085 大事な場面で黙るなんて、ずるいじゃないか。
ANGRY_086 先輩だから何を言っても許されると思うなら、その考えは今すぐ改めてください。
ANGRY_087 冗談では済まされない。
ANGRY_088 そのファイルを消したなら、すぐ報告して。
ANGRY_089 私のいない場所で勝手に役割を変えて、後から当然のように頼まないでほしい。
ANGRY_090 他人の手柄を奪うとは、見下げた根性だ。
ANGRY_091 何度も書き直した報告を読まずに机へ戻され、さすがに声を荒らげそうになった。
ANGRY_092 守れない約束を軽々しく口にするくらいなら、最初から正直に断ってくれ、そのほうが誠実だ。
ANGRY_093 説明を後回しにされて、納得できるはずがない。
ANGRY_094 返事くらいしてくれ。
ANGRY_095 たった一度の失敗を皆の前で責め続けるのが、指導だと本気で思っているのか？
ANGRY_096 案内役の君が、同じ分かれ道を何度も間違えるなんて無責任だ！
ANGRY_097 大事な会議で居眠りをしていた人に、準備不足だと批判される筋合いはないよ。
ANGRY_098 忙しくても、挨拶を無視する理由にはならない。
ANGRY_099 村を守る結界へいたずらするとは、冗談で済むことと済まないことを知れ、許さんぞ！
ANGRY_100 こちらは真剣なのに、笑ってごまかすのか。
ANGRY_101 先輩のノートを、断りもなく使わないで！
ANGRY_102 お渡ししたファイルには必要な情報がそろっています、まず目を通していただけますか？
ANGRY_103 こちらが困っていると分かった途端、連絡を絶つような人とは一緒に働けない。
ANGRY_104 魔法の実験なら、周りの安全を確かめろ。
ANGRY_105 勝った側だけが楽しい催しでは意味がない、参加者全員への配慮がなく腹が立つ。
ANGRY_106 遅れた理由を聞かせて。
ANGRY_107 あなたが落としたごみでしょう、誰かが拾うまで知らないふりをするつもりですか？
ANGRY_108 遅れたうえに言い訳まで長いとは困ったな。
ANGRY_109 命令に従わなかったことではなく、理由を聞こうともしない隊長に腹を立てている。
ANGRY_110 注文と違う品を届けて、平気なのですか？
ANGRY_111 この剣を飾り扱いするとは、我慢ならぬ。
ANGRY_112 顔を背けて逃げるな、こちらの問いに答えるまで、絶対にこの話は終わらせないぞ！
ANGRY_113 ぱっと見ただけで、分かった気にならないで。
ANGRY_114 私の焼いたパンを勝手に配ったうえ、自分が作ったように話すなんてひどすぎる！
ANGRY_115 皆が休まず作業している横で、一人だけ文句を並べて手を動かさないのはなぜ？
ANGRY_116 その態度を改めなさい。
ANGRY_117 作業を押しつけて、自分だけ帰るつもりか！
ANGRY_118 同じ質問に答えるのは構わないが、前の説明を聞かず怒る態度に本当に腹が立つ。
ANGRY_119 その場しのぎの約束など、もう信じない。
ANGRY_120 失礼ですが、予約の料理を今になって取り消されると、用意した食材がすべて無駄になります。
ANGRY_121 せっかく整えたのに！
ANGRY_122 間違えたなら、まず素直に認めるべきだ。
ANGRY_123 正面から勝負すると誓った剣士が、背後から相手を驚かせるとは情けないにもほどがあるぞ。
ANGRY_124 ぽんと肩をたたいて済ませても、傷つけた言葉は消えず、どうしても私は許せない…
ANGRY_125 列を乱す者は、最後尾へ戻ってもらおう。
ANGRY_126 他の人には許したことを私だけ責めるなら、その違いをきちんと説明してほしい。
ANGRY_127 私を甘く見ないで。
ANGRY_128 弱い者にだけ威張る態度は、実に不愉快だ。
ANGRY_129 締め切りを早めた連絡が届いていないのに、遅いと叱られても対応できません！
ANGRY_130 どうして私の話だけ聞き流すんだ、いい加減にして！
ANGRY_131 大切にしていた絵へ勝手に線を書き足され、平気でいられるはずがないだろう。
ANGRY_132 嵐が来ると何度も伝えたのに、面倒がって船をつながなかった結果がこの有様だ。
ANGRY_133 せっかく磨いた床を、泥だらけにして！
ANGRY_134 理不尽すぎて頭にくる。
ANGRY_135 お嬢さまを心配して申し上げています、無謀な外出だけはお許しできませんよ。
ANGRY_136 その騒ぎで、小鳥が逃げてしまったじゃない。
ANGRY_137 話し合いの場を設けたのだから、相手の言葉を笑わず最後まで聞きなさい、分かったね。
ANGRY_138 規則を守らぬ騎士に、門は任せられない。
ANGRY_139 せっかく直した扉をまた蹴って開けるなんて、修理した人の苦労も考えてくれ！
ANGRY_140 注意を受けたのに、また繰り返すのですか？
ANGRY_141 仕事を途中で投げ出す姿勢が気に入らない。
ANGRY_142 魔術書をぺらぺらめくるだけで理解したふりをされると、教える気も失せるぞ。
ANGRY_143 初心者の質問を見下すような返事では、誰も安心して学べなくなるでしょうね。
ANGRY_144 人の失敗を笑う暇があれば、自分を見直せ。
ANGRY_145 遅れてきた本人が一番良い席を取るなんて、どう考えてもおかしくないですか？
ANGRY_146 今は顔も見たくない…
ANGRY_147 私は怒鳴りたいのではなく、同じ失敗を防ぐために真剣な説明を求めているよ。
ANGRY_148 こんな冷めたティーを出すとは、雑すぎる。
ANGRY_149 守衛が門を離れている間に問題が起きたのだ、責任の重さを分かっているのか！
ANGRY_150 本当のことを隠されるほうが、ずっと腹立たしい。
ANGRY_151 勝手に決めた計画へ、皆を巻き込むな！
ANGRY_152 友達だからこそ、約束を軽く扱われたことが余計につらくて本当に悔しいんだ。
ANGRY_153 頼んだ品がまだ届かない理由を、今すぐ説明してください！
ANGRY_154 見栄えだけ整えて中身の確認を省くやり方では、大切な仕事を任せられません。
ANGRY_155 私たちの提案を無視した後で助けだけ求められても、すぐ笑顔では応じられない…
ANGRY_156 また責任逃れとは呆れる。
ANGRY_157 ぷつりと連絡を断つなんて、誠実さがない。
ANGRY_158 休憩中の人を何度も呼び戻しておきながら、自分は先に帰るなんて勝手すぎる！
ANGRY_159 こちらの努力まで、無駄だと言うつもり？
ANGRY_160 薬草の量を確かめずに鍋へ入れただと、皆が使う大切な薬を何だと思っているんだ？
ANGRY_161 雑に扱わないでくれ。
ANGRY_162 何でも魔法で片づける、その考えが甘い。
ANGRY_163 誰も反対しなかったのではない、発言する機会を最初から与えなかっただけだ。
ANGRY_164 かわいい飾りだからと商品を勝手に触れば、壊してしまうことだってあるんです。
ANGRY_165 後輩に責任を押しつけるなんて情けないぞ。
ANGRY_166 何度フォローされても、本人から誠実な謝罪がなければ気持ちは収まりません。
ANGRY_167 何度言えば分かるんだ。
ANGRY_168 その中途半端な覚悟で、危険な森へ入るな！
ANGRY_169 皆の前では賛成したのに、後から知らないと言うなんて責任逃れも甚だしいぞ。
ANGRY_170 大切な手紙を、ぞんざいに扱わないで。
ANGRY_171 そんなに急かすなら必要な資料を先に渡してくれ、手ぶらで完成させられるものか！
ANGRY_172 きちんと列へ並んでいた子どもを押しのけるなんて、大人として恥ずかしくないの？
ANGRY_173 そんな頼み方では、ぴしゃりと断られて当然だ。
ANGRY_174 筋の通らない話だね。
ANGRY_175 私のティーだけ冷えていたことより、頼んでも交換してくれなかった態度が不満だ。
ANGRY_176 そのフォローでは、失った信用は戻らない。
ANGRY_177 剣を抜く前に話し合えと教えたはずだ、怒りに任せて誇りまで捨てるつもりか。
ANGRY_178 料理人の前で、味も見ずに文句を言うな。
ANGRY_179 信じて大切な役目を任せたのに、その信頼をこんなに軽く扱うなんて、絶対に許せない！
ANGRY_180 店の看板を汚した者は、名乗り出なさい。
ANGRY_181 約束の時刻を忘れたとは、どういうこと？
ANGRY_182 何も言わず予定を取り消され、待っていた時間まで無かったことにされたのが腹立たしい…
ANGRY_183 この不具合を知りながら黙って販売したのなら、商人として断じて見過ごせません！
ANGRY_184 何度呼んでも返事がなく、いらいらする。
ANGRY_185 分からないことを尋ねるのは良いが、答える人を試すような態度は感心しない。
ANGRY_186 約束を破るなんて許さない！
ANGRY_187 雨の中を届けた荷物へ文句だけ言われ、労いの一言もないなんて腹が立って仕方ない。
ANGRY_188 人の善意につけ込むなんて、卑怯だぞ！
ANGRY_189 後で直すと言い続けて放置した結果、今では皆の作業が完全に止まっているんだぞ！
ANGRY_190 中身を見ずに却下する判断には従えません。
ANGRY_191 言い分があるなら、陰でなく正面から話せ。
ANGRY_192 騒ぎを起こした本人が知らない顔で去るなんて、こちらは到底受け入れられない。
ANGRY_193 こんな不公平を放っておけるものか、今すぐ理由を話してくれ。
ANGRY_194 反論する前に私の話を最後まで聞け、都合のいい部分だけ勝手に切り取るんじゃない。
ANGRY_195 仲間の努力を笑うような者に、この祝宴へ参加する資格があると本気で思っているのか？
ANGRY_196 礼儀を忘れるんじゃない。
ANGRY_197 ミスを隠したまま進めるほうが問題です。
ANGRY_198 急な変更にも対応したのだから、当然だと片づけず少しくらい感謝してほしい。
ANGRY_199 反省のない顔を見ていると、言葉を失う…
ANGRY_200 長い間信じて待ったのに、最後まで本当の理由を隠し続けるなんて、どうしても許せない…
