FEAR_001 怖い、何かが近づいてくる気配がする。
FEAR_047 嵐が近づいてきている、早く避難しなきゃ。
FEAR_048 あたし、本当に怖いの。
FEAR_049 この閉塞感がじわじわと心を蝕んでいくんだ。
FEAR_050 ぞわっとした。
FEAR_051 息を潜めてやり過ごすしかない。
FEAR_052 夜道を歩くたびに後ろが気になるんだ。
FEAR_053 地震の揺れが収まるまで身を縮めていたよ。
FEAR_054 冒険者としてこの洞窟の奥には行きたくない。
FEAR_055 もう二度とあんな目にあいたくない。
FEAR_056 お嬢様、お気をつけて、ここは危のうございます。
FEAR_057 影が追いかけてくるみたいで気味が悪い。
FEAR_058 鳥肌が立っている、何か嫌なものを感じるんだ。
FEAR_059 叫びたいのに声が出ないんだよ。
FEAR_060 恐ろしい。
FEAR_061 自分の運命がどうなるか怖くてたまらない。
FEAR_062 あの高さから下を見るだけで足がすくむよ。
FEAR_063 パニックになりそうだ、落ち着かなきゃ。
FEAR_064 何かが近くにいる、息遣いが聞こえるんだ。
FEAR_065 真夜中に聞こえる足音はさすがに怖い。
FEAR_066 胃が痛くなるほど緊張している。
FEAR_067 あの角を曲がったら何があるか分からないよ。
FEAR_068 先生、あの森には入らないほうがいいと思います。
FEAR_069 時間が過ぎるのが怖いと感じたことはなかったのに。
FEAR_070 もしものことがあったらと考えると居ても立ってもいられない。
FEAR_071 ぶるぶる震えている。
FEAR_072 誰かそばにいてほしい、一人は怖いよ。
FEAR_073 窓の外に人影が見えた気がするんだけど。
FEAR_074 この場所に来るべきじゃなかった。
FEAR_075 臆病だと笑わないでほしい。
FEAR_076 不安が頭の中をぐるぐる駆け巡っている。
FEAR_077 こわい。
FEAR_078 途端に周りが暗くなって何も見えなくなった。
FEAR_079 もう限界だ、ここから出たいんだ。
FEAR_080 あの音がだんだん近づいてきているよ。
FEAR_081 我が剣をもってしてもこの闇には立ち向かえぬ。
FEAR_082 恐怖で頭がうまく働かないんだ。
FEAR_083 家に帰りたい。
FEAR_084 明日の検査結果が怖くて眠れない。
FEAR_085 一刻も早くこの場を離れたいのに足が動かない。
FEAR_086 ぎゅっと目をつぶっていたらやり過ごせるだろうか。
FEAR_087 あの人の目が怖い。
FEAR_088 商売が失敗するかもしれないと思うと夜も眠れない。
FEAR_089 ディナーの約束をしたけれど断りたいくらい緊張している。
FEAR_090 壁の向こうから不気味な音がする。
FEAR_091 喉が渇いているのに水を飲む余裕もないんだ。
FEAR_092 こんな恐ろしいことが現実に起きるとは。
FEAR_093 もう少しでも遅れていたら大変なことになっていた。
FEAR_094 びくびくしながら歩いている自分が情けない。
FEAR_095 怖くて涙が出てきたよ。
FEAR_096 あの場所には二度と近づかないと心に決めた。
FEAR_097 まさか自分がこんな目にあうなんて思ってもみなかった。
FEAR_098 ぞっとする。
FEAR_099 職人の仕事場に変な音が響くと気味が悪いよ。
FEAR_100 今にも崩れそうな建物の下にいるのが怖いんだ。
FEAR_101 きゃあ。
FEAR_102 隣の部屋から聞こえてきた声が人のものとは思えない。
FEAR_103 不安が波のように押し寄せてくる。
FEAR_104 この霧の中では方向感覚を失ってしまいそうだ。
FEAR_105 犬に追いかけられて必死に逃げたよ。
FEAR_106 怖いけれど前に進むしかないんだ。
FEAR_107 このパーティーを全滅させるわけにはいかない。
FEAR_108 肝試しは絶対に参加したくないな。
FEAR_109 ガタンと音がして心臓が止まるかと思った。
FEAR_110 人混みの中にいるとどうも落ち着かないんだ。
FEAR_111 夜中に目が覚めると天井が妙に低く感じるよ。
FEAR_112 ぴしっと亀裂の入る音が聞こえたんだ。
FEAR_113 一人で留守番をするのが怖いよ。
FEAR_114 大勢の前で話すのは胃が痛くなるほど緊張する。
FEAR_115 早くここから逃げよう。
FEAR_116 あの狭い空間に閉じ込められたらと思うと震える。
FEAR_117 蜘蛛の巣をかき分けるのは勘弁してほしい。
FEAR_118 この暗い海の底を想像するだけで足がすくむ。
FEAR_119 怯えているのは恥ずかしいけれど正直に言うよ。
FEAR_120 戦を前にして手が震えるのは初めてだ。
FEAR_121 何が待ち受けているか分からない道を進むのは恐ろしい。
FEAR_122 突然の停電で真っ暗になった。
FEAR_123 ヘリコプターの音が近づいてきて不安が増す。
FEAR_124 友達が帰ってこないから心配でそわそわしている。
FEAR_125 怖気づいてしまった。
FEAR_126 あの急な坂道を下るのは足がすくんで無理だよ。
FEAR_127 ふいに肩を叩かれたら飛び上がりそうだ。
FEAR_128 この先に何があるか想像するだけで恐ろしい。
FEAR_129 深夜のチャイムの音ほど怖いものはない。
FEAR_130 おどおどしながらも一歩を踏み出した。
FEAR_131 ぱたぱたと足音が聞こえた、誰かいるの？
FEAR_132 ご主人様のお身体が心配で夜も安らかに眠れません。
FEAR_133 目の前が真っ暗で何も見えないんだ。
FEAR_134 雷が近い、どこかに隠れたい。
FEAR_135 この試合に負けたら全てが終わるという恐怖に震える。
FEAR_136 刻一刻と迫ってくる期限が怖いよ。
FEAR_137 夢の中で追いかけられて冷や汗をかいて目が覚めた。
FEAR_138 もう逃げ道がない。
FEAR_139 正体不明の影が壁を這っているように見えた。
FEAR_140 失敗するのが怖くて挑戦できないんだ。
FEAR_141 周りの視線が怖くて外に出られない日がある。
FEAR_142 先輩と二人で夜の校舎を見回るのは怖いです。
FEAR_143 あの日の恐怖が今もフラッシュバックするよ。
FEAR_144 嵐の夜に一人でいるのは心細い。
FEAR_145 手の打ちようがない事態に追い込まれた。
FEAR_146 不気味な静寂に包まれていて生きた心地がしない。
FEAR_147 もしかして道に迷ったかもしれない。
FEAR_148 こわくて胸がきゅっとなるんだ。
FEAR_149 暗がりから目が光っているように見えた。
FEAR_150 急に風向きが変わって気味が悪い。
FEAR_151 ここにいたら危ない、すぐに動くべきだ。
FEAR_152 ティーカップを持つ手が震えているわよ。
FEAR_153 背中に冷たいものが走ったよ。
FEAR_154 このまま忘れ去られるのではないかと思うと怖い。
FEAR_155 水の中に引き込まれそうで近づけないんだ。
FEAR_156 おばけの類は本当に苦手なんだ。
FEAR_157 冒険者として様々な危機を乗り越えてきたが今回は格別に恐ろしい。
FEAR_158 頭が真っ白になって何も考えられない。
FEAR_159 怖くて体が固まっている。
FEAR_160 あの人に会うのが怖いよ。
FEAR_161 じわじわと追い詰められている感覚がする。
FEAR_162 夜更かしの後に聞こえるこの音は何だろう。
FEAR_163 蛇が苦手なのに足元に現れて固まってしまった。
FEAR_164 ぴたっと足音が止まった、まだそこにいるの？
FEAR_165 安全だと分かっていても高いところが怖いんだよ。
FEAR_166 魔物の唸り声が洞窟の奥から響いてくる。
FEAR_167 締め切りが迫っていて焦りと恐怖でいっぱいだ。
FEAR_168 電気を消した瞬間が一番怖い。
FEAR_169 何度深呼吸しても心臓のどきどきが治まらない。
FEAR_170 この橋は本当に渡っても大丈夫なのか。
FEAR_171 後ろを振り向くのが怖い。
FEAR_172 ざわざわする。
FEAR_173 ほんの小さな物音でもびくっとしてしまうんだ。
FEAR_174 知らない場所で一人取り残されたらどうしよう。
FEAR_175 歯がかちかちと鳴るほど怯えている。
FEAR_176 こんな得体の知れないものが実在するなんて。
FEAR_177 今夜は眠れそうにない。
FEAR_178 あの目つきの鋭い人が近づいてくる。
FEAR_179 絶体絶命だ。
FEAR_180 暗い水面に反射する月明かりが不穏に揺れている。
FEAR_181 検査の結果を聞くまで気が気じゃないよ。
FEAR_182 びくっ。
FEAR_183 この感覚は何だろう、何かが起きる前触れのような。
FEAR_184 あたしのことを忘れないでね、お願い。
FEAR_185 急に背後から物音がして全身の毛が逆立った。
FEAR_186 この霧は尋常じゃない、引き返すべきだ。
FEAR_187 ぷるぷる震えてしまう。
FEAR_188 先生、この実験は本当に安全なんですか。
FEAR_189 逃げ場のない恐怖ほどつらいものはない。
FEAR_190 こんな暗い夜道を一人で歩くのは無謀だった。
FEAR_191 考えすぎて頭が痛くなってきた。
FEAR_192 怖すぎてもう限界だよ。
FEAR_193 見えない敵が一番恐ろしい。
FEAR_194 お前たち、気を付けろ、敵の気配がするぞ。
FEAR_195 あの場面を思い出すだけで体が震える。
FEAR_196 できることなら今すぐ誰かの腕の中に飛び込みたい。
FEAR_197 ファンヒーターの火が急に大きくなって慌てたよ。
FEAR_198 不安で押しつぶされそうだ。
FEAR_199 どこからか視線を感じるのは気のせいだろうか。
FEAR_200 恐怖に打ち勝つ勇気がどうしても湧いてこないんだ。
