WHISPER_ANGRY_001 許さない……絶対に許さないからね。
WHISPER_NORMAL_001 ねえ……ちょっと聞いてくれる？
WHISPER_NORMAL_002 そろそろ行こうか。
WHISPER_NORMAL_003 ここに置いておくね。
WHISPER_NORMAL_004 少し眠くなってきたかも。
WHISPER_NORMAL_005 ありがとう。
WHISPER_NORMAL_006 お茶でも飲もう。
WHISPER_NORMAL_007 今日はいい天気だったね。
WHISPER_NORMAL_008 明日の予定……決まった？
WHISPER_NORMAL_009 ちょっと休もうか。
WHISPER_NORMAL_010 うん……分かったよ。
WHISPER_NORMAL_011 何か食べたいものある？
WHISPER_NORMAL_012 そういえば……あの件どうなった？
WHISPER_NORMAL_013 静かだね。
WHISPER_NORMAL_014 見て……きれいな月だよ。
WHISPER_NORMAL_015 もう遅いし帰ろうか。
WHISPER_NORMAL_016 おはよう……まだ眠い。
WHISPER_NORMAL_017 こっちにおいで。
WHISPER_NORMAL_018 外はまだ暗いね。
WHISPER_NORMAL_019 ほら……猫がいるよ。
WHISPER_NORMAL_020 その本……面白い？
WHISPER_NORMAL_021 少し散歩してくるね。
WHISPER_NORMAL_022 ぽつぽつ雨が降ってきたよ。
WHISPER_NORMAL_023 おやすみなさい。
WHISPER_NORMAL_024 隣に座ってもいい？
WHISPER_NORMAL_025 暖かい日だなあ。
WHISPER_NORMAL_026 電気……消す？
WHISPER_NORMAL_027 なんだか懐かしい匂いがする。
WHISPER_NORMAL_028 もう少しだけ起きていたいな。
WHISPER_NORMAL_029 手紙が届いていたよ。
WHISPER_NORMAL_030 風がそよそよ吹いているね。
WHISPER_NORMAL_031 ねえ。
WHISPER_NORMAL_032 あの星……きれいだね。
WHISPER_NORMAL_033 もうすぐ朝が来るよ。
WHISPER_NORMAL_034 今日も一日お疲れ様。
WHISPER_NORMAL_035 静かな夜だなあ。
WHISPER_NORMAL_036 ここ……好きな場所なんだ。
WHISPER_NORMAL_037 紅茶を入れたよ。
WHISPER_NORMAL_038 ゆっくり話そうね。
WHISPER_NORMAL_039 また来ようね。
WHISPER_NORMAL_040 ひとりの時間も悪くないよ。
WHISPER_NORMAL_041 ぽかぽかして気持ちいいなあ。
WHISPER_NORMAL_042 明日も晴れるといいね。
WHISPER_NORMAL_043 ふう……落ち着くね。
WHISPER_NORMAL_044 遠くでサイレンが鳴ってるよ。
WHISPER_NORMAL_045 肌寒くなってきたかも。
WHISPER_NORMAL_046 あの曲……なんだっけ。
WHISPER_NORMAL_047 小さい声でいいから返事してね。
WHISPER_NORMAL_048 もうこんな時間か。
WHISPER_NORMAL_049 ちょっとだけ耳を貸して。
WHISPER_NORMAL_050 穏やかな朝だね。
WHISPER_NORMAL_051 ここは静かでいい場所だ。
WHISPER_NORMAL_052 花が咲き始めたよ。
WHISPER_NORMAL_053 今夜は冷えるね。
WHISPER_NORMAL_054 ありがとう……嬉しかったよ。
WHISPER_NORMAL_055 起きてる？
WHISPER_NORMAL_056 もう行かなくちゃ。
WHISPER_NORMAL_057 あの雲……なんだか面白い形してない？
WHISPER_NORMAL_058 虫の声が聞こえるね。
WHISPER_NORMAL_059 ゆっくりおやすみ。
WHISPER_NORMAL_060 また明日ね。
