NORMAL_001 今日はいい天気だね。
NORMAL_077 今月はあと2回ほど打ち合わせがあるよ。
NORMAL_078 水を一杯もらえるかな。
NORMAL_079 ティータイムにはケーキも添えましょう。
NORMAL_080 そういうものなんだろうね。
NORMAL_081 玄関の鍵は閉めてきたよ。
NORMAL_082 明日の朝は7時に起きないといけないんだ。
NORMAL_083 この魔術の基本原理は比較的単純なものだ。
NORMAL_084 ちょっとそこまで行ってくるね。
NORMAL_085 週末に映画でも見に行かない？
NORMAL_086 ああ、それならあっちの棚にあるよ。
NORMAL_087 久しぶりに手紙を書こうかな。
NORMAL_088 今日のおやつはクッキーだよ。
NORMAL_089 お先に失礼します。
NORMAL_090 あと少しで完成するから。
NORMAL_091 ちゃんと朝ご飯を食べてから出かけなさいよ。
NORMAL_092 カレンダーに予定を書き込んでおこう。
NORMAL_093 この問題はそんなに難しくないと思うよ。
NORMAL_094 冒険に必要な装備はすべて揃ったよ。
NORMAL_095 電車の時間を調べておくね。
NORMAL_096 特に何もないよ。
NORMAL_097 そろそろ衣替えの季節だねえ。
NORMAL_098 午後から少し雨が降るらしいよ。
NORMAL_099 この通りをまっすぐ行くと公園に出るよ。
NORMAL_100 ごゆっくりどうぞ。
NORMAL_101 明日のために早めに準備しておこう。
NORMAL_102 職人の朝は早いんだよ。
NORMAL_103 エアコンの温度を少し下げてもいいかな。
NORMAL_104 いつもこの時間帯は人が多いんだ。
NORMAL_105 今日はお弁当を持ってきたよ。
NORMAL_106 そのまま置いておいてくれて大丈夫だよ。
NORMAL_107 まあ、そういうこともあるさ。
NORMAL_108 日が暮れるのが早くなったなあ。
NORMAL_109 商店街に寄って帰ろうかな。
NORMAL_110 少し歩こう。
NORMAL_111 何か飲み物を買ってこようか。
NORMAL_112 先輩、今度教えていただけますか。
NORMAL_113 ちょっとした用事を済ませてくるよ。
NORMAL_114 この書類に目を通しておいてほしいんだ。
NORMAL_115 鳥がさえずっているね。
NORMAL_116 おはよう。
NORMAL_117 あの角のパン屋さんはいつも朝早くから開いているね。
NORMAL_118 もう一度確認してみよう。
NORMAL_119 今日は何曜日だっけ。
NORMAL_120 お疲れ様、今日もよく頑張ったね。
NORMAL_121 棚を片付けないとなあ。
NORMAL_122 次の信号を右に曲がれば目的地だよ。
NORMAL_123 我が騎士団は毎朝この城門前で整列するのだ。
NORMAL_124 ここに座ってていいよ。
NORMAL_125 ありがとう。
NORMAL_126 梅雨に入ったみたいだね。
NORMAL_127 先生、この問題の解き方を教えてもらいたいのですが。
NORMAL_128 ちょっと疲れたから休もうかな。
NORMAL_129 明日は天気が崩れるらしいよ。
NORMAL_130 では、始めましょうか。
NORMAL_131 おかわりはいかがですか。
NORMAL_132 そろそろ帰ろう。
NORMAL_133 先に食べていてくれて構わないよ。
NORMAL_134 あの映画はなかなか面白かったね。
NORMAL_135 今から間に合うかな。
NORMAL_136 植木に水をやらなきゃ。
NORMAL_137 商品をお包みしますね。
NORMAL_138 この道はよく使うんだ。
NORMAL_139 お腹が空いてきたなあ。
NORMAL_140 それじゃあまた。
NORMAL_141 忘れ物がないか確認しよう。
NORMAL_142 そうそう、伝言を預かっているんだ。
NORMAL_143 バスはあと5分くらいで来ると思うよ。
NORMAL_144 起きたら窓を開けて空気を入れ替えよう。
NORMAL_145 この季節は過ごしやすくていいね。
NORMAL_146 どういたしまして。
NORMAL_147 お嬢様、お着替えはこちらにご用意しております。
NORMAL_148 頼まれていた件、終わったよ。
NORMAL_149 今日は少し肌寒いかもしれないな。
NORMAL_150 おやすみなさい。
NORMAL_151 椅子を引いて座ってくれ。
NORMAL_152 この辺りは静かでいいところだね。
NORMAL_153 ご飯が炊けたよ。
NORMAL_154 いってきます。
NORMAL_155 あとは乾かすだけだよ。
NORMAL_156 隣町まで電車で30分くらいかかるね。
NORMAL_157 のどが渇いたなあ。
NORMAL_158 冒険者の日常は意外と地味なものだよ。
NORMAL_159 それは知らなかったなあ。
NORMAL_160 この棚の本を順番に並べていこう。
NORMAL_161 おかえり。
NORMAL_162 部屋をちょっと片付けようか。
NORMAL_163 今日はゆっくりしていってね。
NORMAL_164 ここに名前を書いてもらえますか。
NORMAL_165 ぱぱっと準備して出発しよう。
NORMAL_166 いい季節になったなあ。
NORMAL_167 テレビのリモコンどこに置いたっけ。
NORMAL_168 この辺りは夕方になると涼しくなるよ。
NORMAL_169 来週の予定を合わせておこう。
NORMAL_170 郵便が届いているよ。
NORMAL_171 お弁当を二つ作ったから一つあげるよ。
NORMAL_172 蛍光灯を交換してもらえるかな。
NORMAL_173 毎朝この公園を散歩するのが日課なんだ。
NORMAL_174 今日で3日連続の晴れだね。
NORMAL_175 お手洗いはあちらですよ。
NORMAL_176 ポストに手紙を出してくるよ。
NORMAL_177 パソコンの充電器をどこに置いたか覚えている？
NORMAL_178 よし、そろそろ取りかかろうか。
NORMAL_179 はい、大丈夫ですよ。
NORMAL_180 駅前のカフェで待ち合わせしようか。
NORMAL_181 あの花はもうすぐ咲きそうだね。
NORMAL_182 今日は魔術書の整理をする日だ。
NORMAL_183 レシートは必要ですか。
NORMAL_184 この道具の手入れは毎日欠かさずやるんだよ。
NORMAL_185 ちょっと聞きたいことがあるんだけど。
NORMAL_186 雨が上がったみたいだよ。
NORMAL_187 では、お先に。
NORMAL_188 ぽつぽつ雨が降り始めたなあ。
NORMAL_189 こちらこそよろしくお願いします。
NORMAL_190 このあたりは桜の名所らしいよ。
NORMAL_191 かばんの中に入っているよ。
NORMAL_192 お気をつけてお帰りください。
NORMAL_193 次はいつ会えるかな。
NORMAL_194 猫が塀の上で日向ぼっこをしているよ。
NORMAL_195 いただきます。
NORMAL_196 この部屋は日当たりがいいね。
NORMAL_197 帰りにスーパーに寄ってくるよ。
NORMAL_198 ごちそうさまでした。
NORMAL_199 また明日ね。
NORMAL_200 よい一日を。
