ANNOUNCE_001 本日はご来場いただきまして誠にありがとうございます。
ANNOUNCE_043 お席は全席自由席となっております。
ANNOUNCE_044 本日のイベントは原則として雨天決行でございます。
ANNOUNCE_045 お手荷物はお手元から離さないようお願いいたします。
ANNOUNCE_046 地震発生時は係員の指示に従って避難してください。
ANNOUNCE_047 場内への食べ物の持ち込みはご遠慮ください。
ANNOUNCE_048 ご用の方はインフォメーションカウンターまでお気軽にお声がけください。
ANNOUNCE_049 次の演目まで15分間の休憩となります。
ANNOUNCE_050 お連れ様がお待ちです、2階ロビーまでお越しください。
ANNOUNCE_051 展示室は右手の通路を進んだ先にございます。
ANNOUNCE_052 本日は満席のためお立ち見でのご観覧になる場合がございます。
ANNOUNCE_053 プログラムの変更がございましたのでお手元の資料をご確認ください。
ANNOUNCE_054 貴重品の管理にはくれぐれもご注意ください。
ANNOUNCE_055 ただいまの気温は18度、風は穏やかです。
ANNOUNCE_056 閉館は午後5時でございます、お早めにお越しください。
ANNOUNCE_057 駐車場の空き状況はモニターでご確認いただけます。
ANNOUNCE_058 お乗り換えのお客様は次の駅でお降りください。
ANNOUNCE_059 館内ではゆっくりとお歩きください。
ANNOUNCE_060 ご質問がございましたらスタッフまでお申しつけください。
ANNOUNCE_061 まもなく最終入場のお時間でございます。
ANNOUNCE_062 フードコートは4階にございます。
ANNOUNCE_063 本日のお詫びとしまして次回ご利用いただける割引券をお配りしております。
ANNOUNCE_064 お車の移動をお願いいたします、お心当たりのある方は受付まで。
ANNOUNCE_065 チケットは当日券売り場でもお求めいただけます。
ANNOUNCE_066 車内での通話はデッキをご利用ください。
ANNOUNCE_067 午後の部は1時30分より開始いたします。
ANNOUNCE_068 館内の温度は25度に設定しております。
ANNOUNCE_069 出口は左手前方にございます、足元にお気をつけてお進みください。
ANNOUNCE_070 案内図は各フロアに掲示してございます。
ANNOUNCE_071 本日は開店記念セールを実施しております。
ANNOUNCE_072 ただいま一部区間において遅延が発生しております。
ANNOUNCE_073 優先席付近では携帯電話の電源をお切りください。
ANNOUNCE_074 お預かりの荷物は1階のロッカーにてお受け取りください。
ANNOUNCE_075 本日の最終公演は午後9時からでございます。
ANNOUNCE_076 この施設は全館禁煙でございます。
ANNOUNCE_077 点検のためエレベーターを一時停止いたします。
ANNOUNCE_078 再入場の際にはスタンプの提示をお願いいたします。
ANNOUNCE_079 まもなく花火大会が始まります。
ANNOUNCE_080 お子様向けのワークショップは午前11時から開催いたします。
ANNOUNCE_081 混雑時はお一人様2点までとさせていただきます。
ANNOUNCE_082 ただいまエスカレーターの定期点検を行っております。
ANNOUNCE_083 お並びのお客様はこちらの列にお進みください。
ANNOUNCE_084 バスは定刻通り運行しております。
ANNOUNCE_085 催事場は5階で開催中でございます。
ANNOUNCE_086 終演後はお忘れ物のないようご確認ください。
ANNOUNCE_087 この先は関係者以外の立ち入りを禁止しております。
ANNOUNCE_088 お体の不自由なお客様はお気軽にお声がけください。
ANNOUNCE_089 本日の試合結果をお知らせいたします。
ANNOUNCE_090 ご来園の皆様へお願いがございます。
ANNOUNCE_091 図書の返却は正面カウンターにてお願いいたします。
ANNOUNCE_092 まもなくパレードが始まります、場所取りはお控えください。
ANNOUNCE_093 お釣りの取り忘れにご注意ください。
ANNOUNCE_094 定期券のご購入は窓口でも承っております。
ANNOUNCE_095 非常時には係員が誘導いたしますので冷静にお待ちください。
ANNOUNCE_096 本日の入場者数は3200名でございました。
ANNOUNCE_097 お知らせが1点ございます。
ANNOUNCE_098 開場時間を30分繰り上げまして午前8時30分より入場を開始いたします。
ANNOUNCE_099 配布資料はお一人様1部ずつお取りください。
ANNOUNCE_100 お帰りの際は北口が便利でございます。
ANNOUNCE_101 ご来場の皆様に重要なお知らせがございます。
ANNOUNCE_102 階段の手すりにおつかまりになってお進みください。
ANNOUNCE_103 ご購入品の交換は7日以内にレシートをお持ちください。
ANNOUNCE_104 授乳室は2階のエレベーター横にございます。
ANNOUNCE_105 本日の受付は午後4時をもって終了いたします。
ANNOUNCE_106 お足元が滑りやすくなっておりますのでご注意ください。
ANNOUNCE_107 館内巡回バスは20分間隔で運行しております。
ANNOUNCE_108 ピークタイムはお待ちいただく場合がございます。
ANNOUNCE_109 落とし物のお届けがございました、お心当たりの方はカウンターまで。
ANNOUNCE_110 本フロアは立入禁止区域となっております。
ANNOUNCE_111 お食事のご予約はフロントにて承っております。
ANNOUNCE_112 スタンプラリーの台紙は受付にてお渡ししております。
ANNOUNCE_113 プラットフォームへのご移動はお早めにお願いいたします。
ANNOUNCE_114 ゴミは所定のゴミ箱にお捨てください。
ANNOUNCE_115 お手元のパンフレットをご覧ください。
ANNOUNCE_116 ご入場の際はチケットのご提示をお願いいたします。
ANNOUNCE_117 次の停留所ではドアが右側に開きます。
ANNOUNCE_118 障がい者用駐車場は建物正面にございます。
ANNOUNCE_119 店内改装のため2月15日から18日まで臨時休業いたします。
ANNOUNCE_120 まもなく抽選会を開始いたします。
ANNOUNCE_121 この通路は一方通行となっております。
ANNOUNCE_122 お探しの商品が見つからない場合はスタッフにお尋ねください。
ANNOUNCE_123 車内温度は24度に設定しております。
ANNOUNCE_124 セルフサービスとなっておりますのでカウンターまでお越しください。
ANNOUNCE_125 本日のフライトは天候の影響により遅延しております。
ANNOUNCE_126 喫煙はおたばこコーナーにてお願いいたします。
ANNOUNCE_127 お待たせいたしました、ただいまより開場いたします。
ANNOUNCE_128 チケットの半券は再入場時に必要ですのでお持ちください。
ANNOUNCE_129 館内のウォータサーバーは自由にご利用いただけます。
ANNOUNCE_130 緊急地震速報が発表されました、頭を守って低い姿勢をとってください。
ANNOUNCE_131 防火シャッターの前に荷物を置かないでください。
ANNOUNCE_132 開演前のベルが鳴りましたらお席にお戻りください。
ANNOUNCE_133 お客様のご協力に心より感謝申し上げます。
ANNOUNCE_134 次回の講座は3月8日の土曜日に開催予定です。
ANNOUNCE_135 まもなく整理券の配布を開始いたします。
ANNOUNCE_136 本日の催しは予定通り進行しております。
ANNOUNCE_137 スロープは建物の西側にございます。
ANNOUNCE_138 駅構内での飲食はお控えくださいますようお願いいたします。
ANNOUNCE_139 お子様の迷子を防ぐため保護者の方はお手をつないでください。
ANNOUNCE_140 車内を巡回しておりますので何かございましたらお声がけください。
ANNOUNCE_141 新商品の無料試食会を本日限り開催しております。
ANNOUNCE_142 緊急車両が通過いたしますのでしばらくお待ちください。
ANNOUNCE_143 屋上庭園は午前10時から午後6時までご覧いただけます。
ANNOUNCE_144 ただいまの混雑状況は約30分待ちとなっております。
ANNOUNCE_145 ご使用後は元の場所にお戻しください。
ANNOUNCE_146 景品の引き換えは1階のサービスカウンターにて承ります。
ANNOUNCE_147 回送電車が通過いたしますのでご注意ください。
ANNOUNCE_148 本日の天気予報は曇りのち晴れでございます。
ANNOUNCE_149 全席指定席となっておりますのでチケットの座席番号をご確認ください。
ANNOUNCE_150 まもなくメインステージでライブが始まります。
ANNOUNCE_151 携帯電話はマナーモードに設定してください。
ANNOUNCE_152 お取り置きの商品は3日以内にお引き取りください。
ANNOUNCE_153 臨時便を増発して運行しております。
ANNOUNCE_154 ギフト包装は無料で承っております。
ANNOUNCE_155 お越しの際は公共交通機関をご利用ください。
ANNOUNCE_156 本日の最高気温は28度と予想されておりますので水分補給を忘れずに。
ANNOUNCE_157 お席をお譲りいただける方はお声がけください。
ANNOUNCE_158 屋外イベントのため帽子や日傘をお持ちになることをおすすめいたします。
ANNOUNCE_159 トイレ清掃のためしばらくご利用をお控えください。
ANNOUNCE_160 落し物はサービスセンターにてお預かりしております。
ANNOUNCE_161 ご来館の際は入口で検温にご協力をお願いいたします。
ANNOUNCE_162 アンケートにご記入いただいた方にはプレゼントを差し上げます。
ANNOUNCE_163 ポイントカードをお持ちでないお客様は本日お作りいただけます。
ANNOUNCE_164 閉店まであと1時間でございます。
ANNOUNCE_165 お荷物を複数お持ちのお客様はカートをご利用ください。
ANNOUNCE_166 強風のため屋外施設を一時閉鎖しております。
ANNOUNCE_167 大型バスの駐車場は南門よりお入りください。
ANNOUNCE_168 お食事中のお客様は引き続きごゆっくりお過ごしください。
ANNOUNCE_169 お呼び出しのお客様、受付までお越しください。
ANNOUNCE_170 次の電車は各駅停車でございます。
ANNOUNCE_171 会場の都合により立ち見エリアを設けさせていただきます。
ANNOUNCE_172 正面玄関は改修工事中のため東側入口をご利用ください。
ANNOUNCE_173 お客様のお名前が記載された整理券をお受け取りください。
ANNOUNCE_174 試食コーナーは2階のフードホールにございます。
ANNOUNCE_175 券売機はプラットフォーム手前に2台設置してございます。
ANNOUNCE_176 お子様のご利用には保護者の同伴が必要です。
ANNOUNCE_177 まもなくシャトルバスが到着いたします。
ANNOUNCE_178 記念撮影スポットは館内に3か所ご用意しております。
ANNOUNCE_179 お会計時にポイントカードのご提示をお願いいたします。
ANNOUNCE_180 なお、明日の営業開始は午前10時でございます。
ANNOUNCE_181 お預かり荷物の受付時間は午後5時までとなります。
ANNOUNCE_182 レンタル機材の返却はこちらのカウンターにてお願いいたします。
ANNOUNCE_183 構内マップはアプリでもご確認いただけます。
ANNOUNCE_184 お手元に整理券をご準備の上お待ちください。
ANNOUNCE_185 駅前広場にてフリーマーケットを開催中です。
ANNOUNCE_186 大変お待たせいたしました。
ANNOUNCE_187 ただいまの入場待ち時間はおよそ20分でございます。
ANNOUNCE_188 雨天のため本日のイベントは屋内会場に変更いたします。
ANNOUNCE_189 お召し上がりの際はアレルギー表示をご確認ください。
ANNOUNCE_190 総合受付はこの建物の1階にございます。
ANNOUNCE_191 次のご案内までこちらでお待ちください。
ANNOUNCE_192 本日の営業をもちまして今季の営業は終了いたします。
ANNOUNCE_193 お客様にお詫び申し上げます、ただいまシステム障害が発生しております。
ANNOUNCE_194 火気の使用は厳禁でございます。
ANNOUNCE_195 混雑緩和のためご入場をお待ちいただく場合がございます。
ANNOUNCE_196 皆様のご理解とご協力をお願いいたします。
ANNOUNCE_197 お帰りの際はこちらの出口をご利用ください。
ANNOUNCE_198 お気をつけてお帰りくださいませ。
ANNOUNCE_199 またのご来場を心よりお待ちしております。
ANNOUNCE_200 以上をもちまして本日のご案内を終了いたします。
