CONTEMPT_001 ふん、その程度か。
CONTEMPT_124 気の毒だけど実力が足りないんだよ。
CONTEMPT_125 哀れだな。
CONTEMPT_126 見ていられないよ、あまりにも酷い出来で。
CONTEMPT_127 自分の立場を理解していないようだね。
CONTEMPT_128 品がないんだよ、やることなすこと。
CONTEMPT_129 先生としてこの結果は受け入れがたいよ。
CONTEMPT_130 まったく、使えないやつだなあ。
CONTEMPT_131 その浅はかさが見ていて痛々しいよ。
CONTEMPT_132 素人が口を出すなよ。
CONTEMPT_133 期待外れもいいところだ。
CONTEMPT_134 格の違いを思い知れ。
CONTEMPT_135 お前に務まるほど甘い仕事じゃないんだ。
CONTEMPT_136 何度チャンスをもらっても結果は同じか。
CONTEMPT_137 表面だけを真似ても本質はつかめないよ。
CONTEMPT_138 こんな人間には関わりたくないね。
CONTEMPT_139 おままごとのようなレベルだな。
CONTEMPT_140 あの人を信用した自分が馬鹿だったよ。
CONTEMPT_141 商人として恥ずかしくないのかね、その品質では。
CONTEMPT_142 はいはい、勝手にやってくれ。
CONTEMPT_143 お前の実力ではこの先やっていけないぞ。
CONTEMPT_144 能力が伴わないのに態度だけは一人前だな。
CONTEMPT_145 井の中の蛙が何を言っているんだか。
CONTEMPT_146 軽蔑する。
CONTEMPT_147 なんの取り柄もないくせに偉そうに振る舞うな。
CONTEMPT_148 他人に迷惑をかけていることに気づかないのか。
CONTEMPT_149 お前のやっていることは茶番だよ。
CONTEMPT_150 こんなつまらない罠に引っかかるのは阿呆だけだ。
CONTEMPT_151 ディフェンスが甘すぎてあくびが出るぜ。
CONTEMPT_152 ぷっ、真面目にやってるのにそのレベルなの。
CONTEMPT_153 芯のない人間ほど他人の顔色をうかがうものだよ。
CONTEMPT_154 目障りだ。
CONTEMPT_155 こんなことも自分で判断できないのかい。
CONTEMPT_156 下手の横好きとはよく言ったものだ。
CONTEMPT_157 我が騎士団にあのような者を入れるわけにはいかない。
CONTEMPT_158 自覚がないのが一番たちが悪いんだよ。
CONTEMPT_159 滑稽だ。
CONTEMPT_160 その考えが通用すると本気で思っているのか。
CONTEMPT_161 所詮は烏合の衆だな。
CONTEMPT_162 あたしをなめないでよね。
CONTEMPT_163 子供の遊びじゃないんだぞ。
CONTEMPT_164 品性のかけらもない振る舞いだった。
CONTEMPT_165 こんな低水準の作品を世に出す気か。
CONTEMPT_166 口先三寸だけは達者なんだよなあ。
CONTEMPT_167 何をやっても二番煎じ止まりだな。
CONTEMPT_168 こうも考えが浅いと心配になるよ。
CONTEMPT_169 弱い者いじめしかできない連中は軽蔑するよ。
CONTEMPT_170 しょうもないやつだな。
CONTEMPT_171 知識も経験もないのに口を挟むなよ。
CONTEMPT_172 あんな泥縄式の対策で切り抜けられると思っているのか。
CONTEMPT_173 ファンタジーの中でしか生きられない夢想家だね。
CONTEMPT_174 独りで粋がっているのが滑稽だよ。
CONTEMPT_175 なんの成果も残せずに終わるのか、案の定だな。
CONTEMPT_176 こんな見え透いた嘘をつくなんて愚かだ。
CONTEMPT_177 お前の失態を尻拭いする身にもなってみろ。
CONTEMPT_178 薄い。
CONTEMPT_179 先生を失望させるとは残念なことだな。
CONTEMPT_180 まさかこんな初歩的なことも理解できていないとは。
CONTEMPT_181 自分の非を棚に上げてよく言えるものだな。
CONTEMPT_182 小賢しい真似をするなよ。
CONTEMPT_183 つくづく愚か者だ。
CONTEMPT_184 もうちょっとましな言い訳はないのかい。
CONTEMPT_185 この仕事を任せたのは人選ミスだったな。
CONTEMPT_186 あの人の話はいつも中身がないんだよなあ。
CONTEMPT_187 くだらない。
CONTEMPT_188 パーティーの足を引っ張るだけなら参加しないでくれ。
CONTEMPT_189 威勢がいいのは最初だけだったな。
CONTEMPT_190 どうせ途中で投げ出すに決まっている。
CONTEMPT_191 その浅知恵でどこまでやれるか見物だな。
CONTEMPT_192 何度でも言うが、お前には無理だ。
CONTEMPT_193 自分の無力さに気づいていないのが痛いよ。
CONTEMPT_194 興ざめだ。
CONTEMPT_195 ぐだぐだ言ってないでさっさとやれよ。
CONTEMPT_196 力不足を認める勇気すらないのか。
CONTEMPT_197 お前がいなくても何も困らないよ。
CONTEMPT_198 冒険者の風上にも置けない未熟者め。
CONTEMPT_199 鼻で笑ってしまうような出来だな。
CONTEMPT_200 その程度の志で我の前に立つなど愚の骨頂だ。
