ANGRY_001 ふざけるのも大概にしろよ。
ANGRY_162 言わなきゃ分からないなら言ってやるよ。
ANGRY_163 こちらの都合も考えてもらいたいものだ。
ANGRY_164 堪忍袋の緒が切れたんだよ。
ANGRY_165 文句を言いたいのはこっちのほうだ。
ANGRY_166 ふんっ。
ANGRY_167 何もしなかったくせに偉そうにするな。
ANGRY_168 お前の油断が招いた結果だということを忘れるな。
ANGRY_169 言い逃れはできないぞ。
ANGRY_170 もう知らない、勝手にしろ。
ANGRY_171 反省しなさい。
ANGRY_172 あんたが悪いんだから謝ってよ。
ANGRY_173 こんなことで挫けてたまるか。
ANGRY_174 お前たちの怠慢が我が領地を危険にさらしたのだ。
ANGRY_175 三度目はないと肝に銘じておけ。
ANGRY_176 腕利きの職人を愚弄するような依頼は受けないよ。
ANGRY_177 うるさい。
ANGRY_178 時間を返してくれ。
ANGRY_179 みんなの努力を無駄にする気か。
ANGRY_180 こんなデタラメな報告書を提出するとは。
ANGRY_181 ティータイムの邪魔をするなんて、許さないんだから。
ANGRY_182 筋を通せと言っているんだ。
ANGRY_183 うんざりするよ。
ANGRY_184 自分の発言には責任を持てよ。
ANGRY_185 先を急げ、のんびりしている場合じゃないぞ。
ANGRY_186 どうしてそんなに無神経なことが言えるんだ。
ANGRY_187 口ばっかりで行動が伴ってないじゃないか。
ANGRY_188 期限を過ぎているんだ、早急に対応してくれ。
ANGRY_189 お前にだけは言われたくないよ。
ANGRY_190 冗談にしてはたちが悪すぎるぞ。
ANGRY_191 こんなことを繰り返すようじゃ先が思いやられる。
ANGRY_192 嫌だ。
ANGRY_193 あたしの話をちゃんと聞いてよ。
ANGRY_194 甘い顔をしていたら付け上がるだけだ。
ANGRY_195 連絡もなしに遅れるなんて非常識だろう。
ANGRY_196 誠意のない対応にはもう付き合えないよ。
ANGRY_197 我が決闘の申し出を侮辱するとは愚かな。
ANGRY_198 ちょっと、何してくれてるの。
ANGRY_199 度が過ぎる。
ANGRY_200 こんな仕打ちを受けて黙っていられるものか。
