LAZY_ANGRY_001 だるいんだけど……怒ってるんだよ、一応。
LAZY_SURPRISE_012 驚くのも疲れるんだよねえ。
LAZY_SURPRISE_013 はあ……そうだったの。
LAZY_SURPRISE_014 ぼーっとしてたら大変なことが起きてた。
LAZY_SURPRISE_015 知らなかったなあ……ふうん。
LAZY_SURPRISE_016 あ、そう……びっくり。
LAZY_SURPRISE_017 まあ人生何があるか分からないよね。
LAZY_SURPRISE_018 珍しいこともあるもんだ。
LAZY_SURPRISE_019 のんびりしてたらいきなり驚かされた。
LAZY_SURPRISE_020 ん……今なんか言った？
LAZY_CONTEMPT_001 ふうん……くだらない。
LAZY_CONTEMPT_002 つまんないことに必死だねえ。
LAZY_CONTEMPT_003 あー……あれね、大したことないよ。
LAZY_CONTEMPT_004 どうでもいいかな。
LAZY_CONTEMPT_005 わざわざ相手してあげる義理もないし。
LAZY_CONTEMPT_006 へえ……それが自慢なんだ、ふうん。
LAZY_CONTEMPT_007 見るに堪えないけど……寝返り打つのもだるい。
LAZY_CONTEMPT_008 まあ、好きにすれば。
LAZY_CONTEMPT_009 あくびが出るほど退屈だよ。
LAZY_CONTEMPT_010 だらだらしてても俺のほうがましだろ。
LAZY_CONTEMPT_011 何をやっても中途半端なんだよなあ。
LAZY_CONTEMPT_012 頑張ってるアピールだけは立派だよね。
LAZY_CONTEMPT_013 興味ないかな……ゼロ。
LAZY_CONTEMPT_014 笑えるくらいしょぼいなあ。
LAZY_CONTEMPT_015 あの人の話聞くだけでだるくなるよ。
LAZY_CONTEMPT_016 ぷっ……えらそうに。
LAZY_CONTEMPT_017 勝手にやってれば。
LAZY_CONTEMPT_018 下手の横好きって言葉知ってる？
LAZY_CONTEMPT_019 関わりたくないんだよなあ……めんどいし。
LAZY_CONTEMPT_020 はあ……レベルが低すぎて話にならない。
LAZY_FEAR_001 怖いけど……動く気が起きない。
LAZY_FEAR_002 嫌な予感するなあ……でも布団から出たくない。
LAZY_FEAR_003 あれ……なんか怖くない？
LAZY_FEAR_004 びくっ……でもまあいいか。
LAZY_FEAR_005 だるいけど逃げないとまずいのかなあ。
LAZY_FEAR_006 不安なんだけど確認するのもだるい。
LAZY_FEAR_007 怖い話はやめてよ……夜眠れなくなるから。
LAZY_FEAR_008 地震かな……動く気にはなれないけど。
LAZY_FEAR_009 ぞわっときたけど……気のせいにしておこう。
LAZY_FEAR_010 怖すぎて逆に動けないパターンだ。
LAZY_FEAR_011 今の音なに……まあいいか。
LAZY_FEAR_012 不安だなあ……でも考えるのもだるい。
LAZY_FEAR_013 おばけでも出たってことにしておこう。
LAZY_FEAR_014 心臓どきどきしてるけど起き上がりたくない。
LAZY_FEAR_015 あー……怖いからもう寝よう。
LAZY_FEAR_016 嫌だなあ……でも逃げる気力もないし。
LAZY_FEAR_017 何あれ……ちょっと怖いんだけど。
LAZY_FEAR_018 怯えながらごろごろしてる。
LAZY_FEAR_019 暗いの嫌だけど電気つけに行くのもだるい。
LAZY_FEAR_020 ぶるっ……寒いのか怖いのか分からない。
LAZY_CONFUSE_001 はて……なんだっけ。
LAZY_CONFUSE_002 考えるのだるいなあ……答え教えてよ。
LAZY_CONFUSE_003 あれ……よく分かんない。
LAZY_CONFUSE_004 ぼーっとしてたら何の話だったか忘れた。
LAZY_CONFUSE_005 んー……どっちでもいいかなあ。
LAZY_CONFUSE_006 面倒だから適当に選んでいい？
LAZY_CONFUSE_007 頭使うの疲れるよ。
LAZY_CONFUSE_008 説明がややこしくて途中で寝そうになった。
LAZY_CONFUSE_009 結局なにが正解なの。
LAZY_CONFUSE_010 まあ分からないけど何とかなるでしょ。
LAZY_CONFUSE_011 混乱してるけど整理するのもだるい。
LAZY_CONFUSE_012 あー……もう一回言ってもらっていい？
LAZY_CONFUSE_013 どっちでもいいんじゃないの。
LAZY_CONFUSE_014 考えれば考えるほど眠くなる。
LAZY_CONFUSE_015 よく分かんないけどまあいっか。
LAZY_CONFUSE_016 はいはい……で、何だっけ。
LAZY_CONFUSE_017 頭がぱんぱんでもう無理だよ。
LAZY_CONFUSE_018 ぼーっとしながら首をかしげてる。
LAZY_CONFUSE_019 何が何やら。
LAZY_CONFUSE_020 迷子だけど歩くのだるいからここにいるよ。
LAZY_NORMAL_001 んー……まあ、そんなもんだよね。
LAZY_NORMAL_002 だらだらしてていいかなあ。
LAZY_NORMAL_003 動きたくないなあ。
LAZY_NORMAL_004 ぼーっとしてたら一日が終わった。
LAZY_NORMAL_005 まあ……いっか。
LAZY_NORMAL_006 明日やればいいよね。
LAZY_NORMAL_007 あくび。
LAZY_NORMAL_008 ごろごろしてるのが一番幸せかも。
LAZY_NORMAL_009 あー……何もしたくない。
LAZY_NORMAL_010 布団は宇宙だよ。
LAZY_NORMAL_011 二度寝しようかな。
LAZY_NORMAL_012 のんびりするのが得意なんだ。
LAZY_NORMAL_013 ぐだぐだの日曜日って最高だよね。
LAZY_NORMAL_014 ふわあ……もう少しだけ寝かせて。
LAZY_NORMAL_015 やる気スイッチが見当たらない。
LAZY_NORMAL_016 あとで……あとでやるから。
LAZY_NORMAL_017 今日は何もしない日にしよう。
LAZY_NORMAL_018 だらん。
LAZY_NORMAL_019 起きてるけど動いてない。
LAZY_NORMAL_020 まあ、なんとかなるでしょ。
LAZY_NORMAL_021 ペースはゆっくりめでお願いします。
LAZY_NORMAL_022 ぐうたらしてても怒らないでね。
LAZY_NORMAL_023 自然体が一番だよ。
LAZY_NORMAL_024 あー……そろそろ起きないとまずいかなあ。
LAZY_NORMAL_025 ねむい。
LAZY_NORMAL_026 もう少しだけこのままでいさせてよ。
LAZY_NORMAL_027 省エネモードで過ごしたいんだけど。
LAZY_NORMAL_028 休日はとりあえずだらだらから始まるよね。
LAZY_NORMAL_029 ふう、動くのしんどいなあ。
LAZY_NORMAL_030 寝返りは打つけど起き上がりはしないよ。
LAZY_NORMAL_031 ふにゃあ。
LAZY_NORMAL_032 テレビつけっぱなしで何も見てない。
LAZY_NORMAL_033 あとでいいよね……何もかも。
LAZY_NORMAL_034 今のところ予定なし。
LAZY_NORMAL_035 のびのび。
LAZY_NORMAL_036 まあ……ぼちぼちやるよ。
LAZY_NORMAL_037 体が重いなあ。
LAZY_NORMAL_038 ぬくぬく。
LAZY_NORMAL_039 今日くらいサボっても罰は当たらないでしょ。
LAZY_NORMAL_040 リラックスはしてるよ、だらだらとね。
LAZY_NORMAL_041 何かしようとは思ってるんだけどね。
LAZY_NORMAL_042 布団の中が天国だよ。
LAZY_NORMAL_043 じっとしてるのが今の俺の全力だ。
LAZY_NORMAL_044 ぽけーっとしていたいな。
LAZY_NORMAL_045 頑張らない日があってもいいよね。
LAZY_NORMAL_046 うーん……お腹は空いたけど作るのだるい。
LAZY_NORMAL_047 電池切れ。
LAZY_NORMAL_048 ソファと一体化してる気がする。
LAZY_NORMAL_049 ぱたん。
LAZY_NORMAL_050 まだ起きなくていいよね。
LAZY_NORMAL_051 今日は低空飛行の日だ。
LAZY_NORMAL_052 こたつに入ったら出られなくなった。
LAZY_NORMAL_053 適当に過ごすのも悪くない。
LAZY_NORMAL_054 あくびが止まらないなあ。
LAZY_NORMAL_055 明日の自分に任せたよ。
LAZY_NORMAL_056 ゆるゆるいこう。
LAZY_NORMAL_057 何も考えていない時間って贅沢だよね。
LAZY_NORMAL_058 ごろん。
LAZY_NORMAL_059 まあ、とりあえず生きてるからよし。
LAZY_NORMAL_060 えっと……何かしようと思ったんだけど忘れちゃった。
