CONFUSE_001 えっと、何を言いたかったんだっけ。
CONFUSE_181 こんなに迷うのは珍しいことだよ。
CONFUSE_182 頭を抱えるしかないよ。
CONFUSE_183 ぱっとしない答えしか出てこなくて申し訳ないな。
CONFUSE_184 この地図の記号の意味がさっぱり読めない。
CONFUSE_185 堂々巡りだ。
CONFUSE_186 一度全部白紙に戻してやり直したい気分だよ。
CONFUSE_187 何をどう考えても結論が出ないんだ。
CONFUSE_188 ふわふわした説明だと余計に分からなくなるよ。
CONFUSE_189 みんなはすんなり理解できているのかな。
CONFUSE_190 冒険の目的地を見失ってしまった気分だ。
CONFUSE_191 お前の言い分は矛盾だらけだぞ。
CONFUSE_192 考えがぐるぐる回って前に進めない。
CONFUSE_193 つまるところ何が問題なのか特定できないんだ。
CONFUSE_194 はっきりと教えてもらえないと困るよ。
CONFUSE_195 ティーポットのふたがどこに行ったか分からないわ。
CONFUSE_196 曖昧な表現が多くて意図がつかめないんだ。
CONFUSE_197 もう一度整理しなおさないとダメだね。
CONFUSE_198 この問いに正解はあるのだろうか。
CONFUSE_199 ぐるぐるだ。
CONFUSE_200 こんなに分からないことだらけだと不安になってくるよ。
