SURPRISE_001 えっ、うそでしょ。
SURPRISE_066 この結末は読めなかったなあ。
SURPRISE_067 いきなりプレゼントをもらえるなんて。
SURPRISE_068 後ろから声をかけられて本当にびっくりしたよ。
SURPRISE_069 魔法みたいな出来事に目が点になった。
SURPRISE_070 昨日の自分からは想像もできない展開だよ。
SURPRISE_071 えっ、今のは何だったの？
SURPRISE_072 仰天するしかないよ、これは。
SURPRISE_073 あのおとなしい人がこんなことをするなんて。
SURPRISE_074 友達からの思いがけない告白に頭が追いつかない。
SURPRISE_075 ほう、それは興味深い。
SURPRISE_076 一体何が起きたのか順を追って教えてくれ。
SURPRISE_077 知らない間にこんなことになっていたなんて。
SURPRISE_078 突然の雷に体が硬直した。
SURPRISE_079 ふむ、これは予想外の結果だな。
SURPRISE_080 あっと驚く展開にページをめくる手が止まらない。
SURPRISE_081 人生で一番びっくりした瞬間かもしれない。
SURPRISE_082 おったまげた。
SURPRISE_083 こんな場所にこんなものがあるとは。
SURPRISE_084 電話の向こうの声に耳を疑ったよ。
SURPRISE_085 先生があんなことを言うなんて驚きました。
SURPRISE_086 箱を開けたら中身が全然違っていて驚いた。
SURPRISE_087 思いもよらない人物が現れて呆然とした。
SURPRISE_088 まったく気づかなかったよ、参ったな。
SURPRISE_089 あたしの予想とは真逆の結果じゃない。
SURPRISE_090 こんなサプライズは初めてだよ。
SURPRISE_091 商いにおいてこのような幸運に恵まれるとは驚きだ。
SURPRISE_092 今の光景、写真に撮っておけばよかった。
SURPRISE_093 ドアを開けた瞬間に全身が凍りついた。
SURPRISE_094 ええっ、ちょっと待ってよ。
SURPRISE_095 あの穏やかな顔の裏にそんな秘密があったのか。
SURPRISE_096 朝刊の見出しを見て目を疑ったよ。
SURPRISE_097 ぎゃあ、虫がいるじゃないか。
SURPRISE_098 なんと見事な腕前でしょう、恐れ入りました。
SURPRISE_099 職人としてこの素材の品質には目を見張るものがある。
SURPRISE_100 ふええ、怖かった。
SURPRISE_101 えっ、本当にいいの？
SURPRISE_102 突然の来客に慌ててしまったよ。
SURPRISE_103 奇想天外な話に唖然としてしまった。
SURPRISE_104 我が領土にこのような秘宝が眠っていたとは。
SURPRISE_105 急に静かになったから何事かと思ったよ。
SURPRISE_106 へえ、世界は広いなあ。
SURPRISE_107 こんなに上手にできるようになったの？
SURPRISE_108 開けてみたらとんでもないものが入っていたんだ。
SURPRISE_109 どこからともなく音楽が聞こえてきて驚いた。
SURPRISE_110 ティーカップに蝶々がとまったのよ、見て。
SURPRISE_111 なんだって、もう一度言ってくれ。
SURPRISE_112 完全に油断していたところを不意打ちされたよ。
SURPRISE_113 この数値は異常だ、何かの間違いではないのか。
SURPRISE_114 突然の大雨に傘もなくて途方に暮れたよ。
SURPRISE_115 ほおお。
SURPRISE_116 あの二人が結婚するなんて聞いてないよ。
SURPRISE_117 変装がうますぎて本人だと気づかなかった。
SURPRISE_118 冒険者の直感が外れたのは初めてだよ。
SURPRISE_119 なんということだ、歴史が塗り替えられたぞ。
SURPRISE_120 ぱっと明かりがついて全員が現れたんだ。
SURPRISE_121 こんなところで旧友に出会うとは思わなかったよ。
SURPRISE_122 試験の結果を見て目が飛び出るかと思った。
SURPRISE_123 うわあっ。
SURPRISE_124 隣の席の人がまさかの有名人だったんだ。
SURPRISE_125 あの静かな湖の底にこんなものがあるとは。
SURPRISE_126 急にスポットライトを当てられて固まってしまった。
SURPRISE_127 何これ、昨日までなかったよね？
SURPRISE_128 日常の中にこんな不思議が潜んでいたなんて。
SURPRISE_129 すごいタイミングで連絡が来たなあ。
SURPRISE_130 目の前の景色が一変して息を呑んだ。
SURPRISE_131 あっ。
SURPRISE_132 こんな才能が隠されていたなんて知らなかった。
SURPRISE_133 最初はいたずらかと思ったよ、本当にびっくりした。
SURPRISE_134 テストの点数が予想外に良くて自分でも驚いている。
SURPRISE_135 先輩の意外な趣味を知ってしまいました。
SURPRISE_136 この古文書に書かれていることが事実だというのか。
SURPRISE_137 ふむ、まさか弟子に追い抜かれる日が来ようとは。
SURPRISE_138 花のつぼみが一斉に開く瞬間を見て感動した。
SURPRISE_139 開封した手紙の内容に唖然としてしまったよ。
SURPRISE_140 まさかの再会に声にならない声が出た。
SURPRISE_141 おいおい、冗談はよしてくれよ。
SURPRISE_142 ぎょっとした。
SURPRISE_143 こんなに綺麗な虹を見たのは初めてだ。
SURPRISE_144 帰宅したら部屋の模様替えがされていて驚いたよ。
SURPRISE_145 時が止まったかのような錯覚を覚えた。
SURPRISE_146 おったまげたなあ、まったく。
SURPRISE_147 え、今日って誕生日だっけ？
SURPRISE_148 この研究結果は学会を驚かせるに違いない。
SURPRISE_149 ぱっと目の前が開けた瞬間の感動は忘れられない。
SURPRISE_150 なんともまあ、世の中は分からないものだ。
SURPRISE_151 いきなりハグされてびっくりしたじゃないか。
SURPRISE_152 お店に入ったらまさかの行列だったよ。
SURPRISE_153 あら、こんなところで会うなんて奇遇ですわね。
SURPRISE_154 思っていたのと全然違う方向に話が進んでいる。
SURPRISE_155 怪しいと思っていたらやっぱり何か隠していたんだな。
SURPRISE_156 自分にこんな力が備わっていたとは意外だった。
SURPRISE_157 ドキッとした。
SURPRISE_158 まさか優勝するとは夢にも思っていなかったよ。
SURPRISE_159 昨日までの常識が覆されたような気分だ。
SURPRISE_160 おお、やるじゃないか。
SURPRISE_161 突然のサイレンに慌てて外へ飛び出した。
SURPRISE_162 暗闇から急に猫が飛び出してきて声が出ちゃったよ。
SURPRISE_163 このパーティーの規模には度肝を抜かれたなあ。
SURPRISE_164 引き出しの奥から昔のアルバムが出てきて懐かしかった。
SURPRISE_165 噂どおりの凄腕だったか。
SURPRISE_166 なんで誰も教えてくれなかったんだよ。
SURPRISE_167 まじか。
SURPRISE_168 お化け屋敷で想定以上に驚いてしまった。
SURPRISE_169 あたしの絵がコンクールに入賞だなんて嘘みたい。
SURPRISE_170 いきなり告白されてどうしたらいいか分からないよ。
SURPRISE_171 これは我が魔術の理論を根底から覆す発見だぞ。
SURPRISE_172 窓の外を見たら虹がかかっていた。
SURPRISE_173 はっ、気がついたらもうこんな時間だ。
SURPRISE_174 道で芸能人とすれ違ったらしいけど気づかなかったよ。
SURPRISE_175 この計画は想像以上にうまくいったなあ。
SURPRISE_176 ちょうど話していた人から電話がかかってきた。
SURPRISE_177 まさかお前がやったのか。
SURPRISE_178 おどろいた。
SURPRISE_179 見覚えのある字が手紙に書かれていて手が震えた。
SURPRISE_180 ファンレターが届くなんて思ってもみなかった。
SURPRISE_181 急に名前を呼ばれて心臓が跳ねたよ。
SURPRISE_182 この作品のオチは予測できなかったなあ。
SURPRISE_183 ご主人様のお帰りがこんなに早いとは存じませんでした。
SURPRISE_184 ぱちくりと目をしばたたせてしまったよ。
SURPRISE_185 ありえない場所で知り合いに会ったんだ。
SURPRISE_186 新人がこんなに実力を持っていたとは見くびっていたよ。
SURPRISE_187 おや、こんなところに抜け道があったのか。
SURPRISE_188 突然のプロポーズに頭が真っ白になった。
SURPRISE_189 おおお、これはとんでもない掘り出し物だ。
SURPRISE_190 くしゃみが止まらないのは誰かが噂しているのかな。
SURPRISE_191 ピンポイントで当ててくるなんて鋭いね。
SURPRISE_192 何もかもが初めてのことだらけだよ。
SURPRISE_193 知らぬ間にこんなに成長していたとは頼もしい限りだ。
SURPRISE_194 まさかの伏線回収に鳥肌が止まらなかった。
SURPRISE_195 おや、珍しい客が来たものだな。
SURPRISE_196 自分の名前が新聞に載っているのを見つけて固まった。
SURPRISE_197 ぱっと視界が広がった瞬間に絶景が飛び込んできた。
SURPRISE_198 この古い地図が本物だったとは驚愕の事実だ。
SURPRISE_199 うっそだあ。
SURPRISE_200 今日は驚きの連続で心の整理が追いつかないよ。
