SAD_001 もう会えないと思うと胸が締めつけられる。
SAD_057 信じていたのに裏切られた傷はなかなか癒えない。
SAD_058 ごめんなさい、力になれなくてごめんなさい。
SAD_059 あの笑い声をもう聞けないのかと思うと切ないよ。
SAD_060 自分が嫌になることがあるんだ。
SAD_061 お嬢様のお悲しみを思うと、胸が張り裂けそうです。
SAD_062 頑張れと言われるのがつらい時もある。
SAD_063 いつまでこの悲しみは続くんだろう。
SAD_064 手を伸ばしても届かないものがあるんだな。
SAD_065 冒険の仲間を失うほどつらいことはない。
SAD_066 消えてしまいそうだ。
SAD_067 あの言葉を取り消せたらいいのに。
SAD_068 幸せだった時間ほど思い出すと苦しくなる。
SAD_069 何をしていても心ここにあらずなんだ。
SAD_070 分かってほしいのに伝え方が分からない。
SAD_071 空が曇っていると気分もふさがるね。
SAD_072 こんなにも無力なのかと痛感しているよ。
SAD_073 先生、僕はどうすればいいんでしょうか。
SAD_074 もう前に進めない気がする。
SAD_075 取り返しのつかないことをしてしまった。
SAD_076 誰かそばにいてほしいのに素直に言えないんだ。
SAD_077 悲しい。
SAD_078 この胸の痛みをどうしたらいいのか分からない。
SAD_079 うちの店も畳まなきゃならないなんてなあ。
SAD_080 どんなに泣いても現実は変わらないんだ。
SAD_081 胸が苦しい。
SAD_082 大好きだった場所がなくなってしまった。
SAD_083 その言葉が胸に突き刺さって抜けないよ。
SAD_084 ふっ、虚しいものだな。
SAD_085 あたしばっかり置いてけぼりだよ。
SAD_086 さよならを言う覚悟ができなかったんだ。
SAD_087 何度思い返しても後悔がぬぐえない。
SAD_088 壊れてしまった関係はもう戻らないんだろうな。
SAD_089 この重い気持ちを誰かに打ち明けたいよ。
SAD_090 せめて最後にもう一度だけ会いたかった。
SAD_091 我が領地の民が苦しんでいる姿を見るのは忍びない。
SAD_092 どこにいても落ち着けないんだ。
SAD_093 せっかくの晴れの日なのに心は暗いまま。
SAD_094 自分には価値がないんじゃないかと思ってしまう。
SAD_095 もう泣かないと決めていたのにな。
SAD_096 温かい場所が恋しいよ。
SAD_097 胸の奥にしまいこんだ悲しみが溢れてきた。
SAD_098 守ってあげられなくてごめんね。
SAD_099 こんなにも世界が暗く見えるなんて。
SAD_100 ただ悲しいとしか言えないよ。
SAD_101 帰る場所を失ったような気持ちだ。
SAD_102 なんで自分だけこんな目にあうんだろう。
SAD_103 職人としてこの品を手放すのは断腸の思いだよ。
SAD_104 努力が報われないと感じる日はつらいな。
SAD_105 時間が傷を癒してくれるというけれど本当だろうか。
SAD_106 泣きたい。
SAD_107 大切にしていたものほど失った時の衝撃は大きい。
SAD_108 もう一人で頑張るのは限界だよ。
SAD_109 こんなに心が重いのは初めてだ。
SAD_110 何をしても楽しくなれないんだ。
SAD_111 枯れた花を見ると自分の心と重なる。
SAD_112 冒険に出る気力ももう残っていない。
SAD_113 約束の場所にはもう誰もいなかった。
SAD_114 あの温もりをもう感じることはないんだね。
SAD_115 自分を責めても何も変わらないのに止められない。
SAD_116 苦しいよ。
SAD_117 また一つ大事なものが壊れてしまった。
SAD_118 この道を選んだことを後悔する瞬間がある。
SAD_119 先輩の背中がどんどん遠くなっていくようで寂しいです。
SAD_120 ただ、そばにいてほしいだけなんだ。
SAD_121 商いがうまくいかず肩を落としているよ。
SAD_122 もう立ち上がれないかもしれない。
SAD_123 秋風が身に染みるなあ。
SAD_124 忘れたいのに忘れられないんだ。
SAD_125 ここまで来たのに全部水の泡だなんて。
SAD_126 写真を見ると当時のことが鮮やかによみがえって切ないよ。
SAD_127 ふう、ため息が出る。
SAD_128 こんなに頑張ったのに認めてもらえないなんて。
SAD_129 言いたいことがたくさんあったのに言えなかった。
SAD_130 寒いね。
SAD_131 傷ついた心を隠して笑うのはもう疲れたよ。
SAD_132 誰もいない部屋に帰ると寂しさが押し寄せてくる。
SAD_133 ご主人様のお心が曇っていらっしゃるのが何より辛うございます。
SAD_134 この喪失感には慣れそうもないな。
SAD_135 一番つらい時に一人きりだったのが悲しかった。
SAD_136 もっと素直になればよかったのにな。
SAD_137 あの人の優しさに甘えすぎていたのかもしれない。
SAD_138 もう遅い。
SAD_139 壊してしまったものは二度と元には戻らない。
SAD_140 儚い。
SAD_141 みんな先に行ってしまって取り残された気分だ。
SAD_142 何度やり直しても同じ結末にたどり着くんだ。
SAD_143 ぽつんと一人になった教室が寂しい。
SAD_144 このまま止まってしまいたい。
SAD_145 我が魔導書に記された予言通りの悲劇になってしまった。
SAD_146 声を上げて泣きたいのに泣けないんだ。
SAD_147 好きだったからこそ別れがこんなにつらいんだな。
SAD_148 過去に縛られて前に進めない自分が嫌だよ。
SAD_149 穏やかだった日常がもう戻ってこないと知った時が一番つらかった。
SAD_150 弱いな、自分。
SAD_151 こんな切ない夕焼けは見たことがないよ。
SAD_152 全力を尽くしたのに届かなかった無力さが悔しい。
SAD_153 家族に心配をかけてしまって申し訳ない。
SAD_154 ティータイムも一人だと寂しいものだわ。
SAD_155 失ったものの大きさに今さら気づいたよ。
SAD_156 どんなに願っても過去には戻れないんだね。
SAD_157 こんな惨めな自分を見せたくなかったのに。
SAD_158 会いたい。
SAD_159 抱えきれないほどの悲しみに押しつぶされそうだ。
SAD_160 居なくなって初めてその存在の大きさに気づいた。
SAD_161 もうどうでもいい。
SAD_162 信頼していた仲間が去っていくのは本当につらいよ。
SAD_163 誰かに助けを求めたいのに声にならないんだ。
SAD_164 冷たい風が心のすき間に入り込んでくる。
SAD_165 この街を離れるのは名残惜しいな。
SAD_166 ひとりぼっちの夜は長い。
SAD_167 大好きだった公園のベンチに座って泣いてしまった。
SAD_168 あたしの想いは届かなかったんだね。
SAD_169 先生のいない教壇を見ると胸が詰まるよ。
SAD_170 何度目の別れだろう。
SAD_171 こんなにも脆い自分が悲しい。
SAD_172 背負いきれない。
SAD_173 思い出の品を片づけるたびに涙がこぼれる。
SAD_174 静かすぎる部屋の中で一人思い出に浸っている。
SAD_175 ごめん、今は一人にしてほしいんだ。
SAD_176 本当は誰かに頼りたかったのに強がってしまった。
SAD_177 この痛みを抱えたまま歩き続けるしかないんだ。
SAD_178 ぽつぽつ降る雨が涙のかわりみたいだ。
SAD_179 卒業式のあとの静けさが切ないよ。
SAD_180 こんなに寂しいなら出会わなければよかったなんて嘘だよ。
SAD_181 疲れた。
SAD_182 何も手につかないくらい落ち込んでいるんだ。
SAD_183 好きだった景色が色あせて見える。
SAD_184 あの約束はもう果たされることはない。
SAD_185 騎士の誇りも今は慰めにならない。
SAD_186 朝が来るのが怖いと思う日もあるんだ。
SAD_187 ひとりで抱え込んでいたら押しつぶされそうだよ。
SAD_188 ノートの端に残った落書きを見て目頭が熱くなった。
SAD_189 胸の中がからっぽだ。
SAD_190 忘れられない人がいるのはしあわせでもあり苦しみでもある。
SAD_191 こんな自分でも生きていていいのかな。
SAD_192 ただ静かに泣いている。
SAD_193 もう戻れないと分かっていても未練が残るんだ。
SAD_194 花が散っていくのを見ると物悲しい気持ちになる。
SAD_195 居場所がほしい。
SAD_196 何も言わずに去っていくなんてひどいよ。
SAD_197 夕暮れの空がやけに目に沁みる。
SAD_198 パーティーの仲間を失うことがこんなに堪えるとは。
SAD_199 ぽろりとこぼれた涙を拭えなかった。
SAD_200 この悲しみを乗り越えるまでどれくらいかかるんだろう。
