EXPLAIN_001 まずはこちらの図をご覧ください。この赤い部分が心臓にあたります。
EXPLAIN_067 この薬は食後に服用してください。1日3回までです。
EXPLAIN_068 統計データを見ると、若者の車離れが進んでいることが分かります。
EXPLAIN_069 このトリックの種明かしをしましょう。実は鏡を使っているのです。
EXPLAIN_070 ご主人様、本日のメインディッシュは、鹿肉のローストでございます。
EXPLAIN_071 いかがでしたか？ 今回は、誰でもできる節約術をご紹介しました。
EXPLAIN_072 南の海上には、依然として活発な雨雲が停滞しています。
EXPLAIN_073 哲学とは、答えのない問いに対して、考え続ける営みのことです。
EXPLAIN_074 敵の攻撃パターンを分析しました。次は右から来ます。
EXPLAIN_075 ご主人様、この宝石に込められた意味をご存じでいらっしゃいますか？
EXPLAIN_076 作業を始める前に、必ずデータのバックアップを取ってください。
EXPLAIN_077 これはあくまで仮説ですが、非常に興味深いデータが出ています。
EXPLAIN_078 犯人は身長170センチ前後、黒のパーカーを着ていたとのことです。
EXPLAIN_079 このシーンの演出意図について、監督は次のように語っています。
EXPLAIN_080 ご主人様、乗馬における手綱(たづな)の捌(さば)き方をご指導いたします。
EXPLAIN_081 結論を急ぐ前に、まずは現状を正しく把握することが大切です。
EXPLAIN_082 レビュー動画をご覧いただき、ありがとうございます。
EXPLAIN_083 宇宙の始まりは、ビッグバンと呼ばれる大爆発だったと言われています。
EXPLAIN_084 攻撃魔法の威力は、詠唱(えいしょう)の長さに比例して高まります。
EXPLAIN_085 ご主人様、この書類への署名捺印(なついん)をお願いいたします。
EXPLAIN_086 注意点として、この機能はプレミアム会員限定となっております。
EXPLAIN_087 専門家の意見によれば、今後さらに需要が高まると予測されます。
EXPLAIN_088 この絵のタッチから、作者が晩年に描いた作品だと推測できます。
EXPLAIN_089 それでは、実際にやってみましょう。まずは足を開いて立ちます。
EXPLAIN_090 ご主人様、社交界におけるダンスのマナーをご教示いたします。
EXPLAIN_091 交通情報です。高速道路は、事故のため通行止めとなっています。
EXPLAIN_092 なぜ失敗したのかを分析し、次に活かすことが成長への近道です。
EXPLAIN_093 このクエストをクリアすると、伝説の武器が手に入ります。
EXPLAIN_094 ご主人様、紅茶のゴールデンドロップについてご説明いたします。
EXPLAIN_095 グラフの横軸は時間、縦軸は売上を表しています。
EXPLAIN_096 犯行動機は、金銭トラブルによるものと見られています。
EXPLAIN_097 今回のアップデートで、新機能が追加されました。
EXPLAIN_098 人体の構造上、そのような動きは不可能です。
EXPLAIN_099 ご主人様、執事としての心得、第一条を暗唱できますか？
EXPLAIN_100 皆さん、こんにちは。解説役の結月(ゆづき)ゆかりです。
EXPLAIN_101 この植物は、直射日光を避けて、風通しの良い場所に置いてください。
EXPLAIN_102 本日の閣議で、新しい法案が提出されました。
EXPLAIN_103 効率よくレベルを上げるには、このエリアでの狩りがおすすめです。
EXPLAIN_104 ご主人様、このアンティーク時計の歴史についてお話ししましょう。
EXPLAIN_105 比較実験の結果、A社の製品の方が耐久性に優れていることが分かりました。
EXPLAIN_106 謎を解く鍵は、ダイイングメッセージに隠されています。
EXPLAIN_107 この曲は、短調から長調への転調が非常に効果的に使われています。
EXPLAIN_108 まずは無料体験版をダウンロードして、使い心地を試してみてください。
EXPLAIN_109 ご主人様、テーブルマナーにおいて、音を立てることは厳禁です。
EXPLAIN_110 そもそも、なぜ円安が進んでいるのでしょうか。
EXPLAIN_111 この技は、相手の力を利用して投げるのがポイントです。
EXPLAIN_112 明日の天気です。全国的に晴れて、行楽日和となるでしょう。
EXPLAIN_113 ご主人様、この城の隠し通路について、特別にお教えいたします。
EXPLAIN_114 理論上は可能ですが、技術的なハードルが高いのが現状です。
EXPLAIN_115 犯人は、窓ガラスを割って侵入した形跡があります。
EXPLAIN_116 動画の最後におまけコーナーがあるから、最後まで見てね！
EXPLAIN_117 この化石は、約一億年前の地層から発見されました。
EXPLAIN_118 ご主人様、チェスの定跡(じょうせき)について解説いたします。
EXPLAIN_119 手順を間違えると故障の原因になりますので、ご注意ください。
EXPLAIN_120 選挙の結果、現職の市長が再選を果たしました。
EXPLAIN_121 このモンスターは炎属性が弱点なので、ファイア系の魔法が有効です。
EXPLAIN_122 ご主人様、資産運用のポートフォリオについてご提案がございます。
EXPLAIN_123 人間関係のトラブルは、コミュニケーション不足が原因であることが多いです。
EXPLAIN_124 このツボを押すと、肩こりや目の疲れに効果があります。
EXPLAIN_125 今週のランキング、第一位に輝いたのはこの曲です！
EXPLAIN_126 容疑者は容疑を否認しており、警察は慎重に捜査を進めています。
EXPLAIN_127 ご主人様、この美術品の真贋(しんがん)を見分ける方法をご存じですか？
EXPLAIN_128 プレゼンテーションのコツは、大きな声でハキハキと話すことです。
EXPLAIN_129 この現象は「ブロッケン現象」と呼ばれ、山頂などで見られます。
EXPLAIN_130 次回の講義までに、この課題図書を読んでおいてください。
EXPLAIN_131 ご主人様、カクテルの名前には、それぞれ由来があるのですよ。
EXPLAIN_132 設定画面の「プライバシー」から、公開範囲を変更できます。
EXPLAIN_133 海外市場の動向を受け、東京株式市場は反発して始まりました。
EXPLAIN_134 敵の防御力が高い場合は、貫通攻撃を持ったキャラを編成しましょう。
EXPLAIN_135 ご主人様、これが当家に代々伝わる秘伝のレシピでございます。
EXPLAIN_136 心理学では、これを「認知的不協和」と呼びます。
EXPLAIN_137 犯人は現場に足跡を残さず、巧妙に逃走しました。
EXPLAIN_138 今日のコーディネートのポイントは、このスカーフです。
EXPLAIN_139 法律の専門家によりますと、この契約は無効になる可能性があります。
EXPLAIN_140 ご主人様、お辞儀の角度は、場面によって使い分ける必要があります。
EXPLAIN_141 よくある質問をまとめましたので、こちらをご覧ください。
EXPLAIN_142 この遺跡は、古代ローマ時代に建設された公衆浴場跡です。
EXPLAIN_143 攻略のヒントは、NPCの会話の中に隠されています。
EXPLAIN_144 ご主人様、なぜ空が夕焼けで赤く染まるのかご説明しましょう。
EXPLAIN_145 今週の運勢、第一位はおひつじ座のあなたです！
EXPLAIN_146 警察庁の発表によりますと、昨年の犯罪件数は減少傾向にあります。
EXPLAIN_147 この素材は熱に弱いため、アイロンがけは避けてください。
EXPLAIN_148 ご主人様、本日のオペラのあらすじを簡単にご紹介いたします。
EXPLAIN_149 論理的に考えれば、犯人はあの部屋には入れなかったはずです。
EXPLAIN_150 チャンネル登録者数10万人突破！ 本当にありがとうございます！
EXPLAIN_151 この装置は、太陽光をエネルギーに変換して動いています。
EXPLAIN_152 ご主人様、フェンシングの基本姿勢、アン・ガルドについて説明します。
EXPLAIN_153 次に、フライパンを中火で熱し、油を引きます。
EXPLAIN_154 今夜は、オリオン座流星群が見られるピークとなります。
EXPLAIN_155 この本は、ビジネス書大賞を受賞したベストセラーです。
EXPLAIN_156 容疑者は、犯行時刻には別の場所にいたと主張しています。
EXPLAIN_157 ご主人様、この庭園は枯山水(かれさんすい)という様式で作られております。
EXPLAIN_158 エラーが発生した場合は、一度アプリを再起動してみてください。
EXPLAIN_159 勝因は、後半の交代選手が流れを変えたことにあります。
EXPLAIN_160 ここだけの話、実はこの商品、まだ未発表なんです。
EXPLAIN_161 ご主人様、ご来賓(らいひん)の方々の席次についてご説明いたします。
EXPLAIN_162 歴史的な背景を知ることで、この映画をより深く楽しめます。
EXPLAIN_163 敵のHPが半分を切ると、強力な全体攻撃をしてくるので注意です。
EXPLAIN_164 この物質は、水に溶けると酸性を示す性質があります。
EXPLAIN_165 ご主人様、バイオリンのストラディバリウスについて解説しましょう。
EXPLAIN_166 詳しくは、ウェブサイトの特設ページをご覧ください。
EXPLAIN_167 本日の東京外国為替市場、円相場は1ドル145円台で取引されています。
EXPLAIN_168 成功の秘訣は、諦めずに継続すること。これに尽きます。
EXPLAIN_169 犯人は、被害者の顔見知りである可能性が高いと見られています。
EXPLAIN_170 ご主人様、英国式のアフタヌーンティーの作法をご存じですか？
EXPLAIN_171 この設定をオンにすると、バッテリーの消費が早くなる場合があります。
EXPLAIN_172 解説のポイントは、分かりやすい言葉を選ぶことです。
EXPLAIN_173 攻撃を避けるタイミングは、敵が光った瞬間です。
EXPLAIN_174 ご主人様、この古文書(こもんじょ)には、かつての王国の歴史が記されています。
EXPLAIN_175 今回の実験では、予想とは異なる興味深い結果が得られました。
EXPLAIN_176 ニュースをお伝えしました。次はスポーツです。
EXPLAIN_177 この絵画の構図は、黄金比に基づいて描かれています。
EXPLAIN_178 ご主人様、狩猟における獲物の追跡方法をご説明いたします。
EXPLAIN_179 まずは深呼吸をして、リラックスした状態で行ってください。
EXPLAIN_180 コメント欄で、みんなの意見も聞かせてね！
EXPLAIN_181 この法律は、来年の4月1日から施行されます。
EXPLAIN_182 ご主人様、この星座神話についてお話ししましょう。
EXPLAIN_183 原因不明のエラーですが、現在エンジニアが調査中です。
EXPLAIN_184 この戦いは、我々の勝利で幕を閉じました。
EXPLAIN_185 手品にはタネも仕掛けもございません。よくご覧ください。
EXPLAIN_186 容疑者は、取り調べに対して黙秘を続けています。
EXPLAIN_187 ご主人様、ワインのデキャンタージュを行う理由をご説明します。
EXPLAIN_188 基本的な文法をマスターすれば、英会話は難しくありません。
EXPLAIN_189 ラスボスの弱点は、背中のコアです。そこを集中攻撃してください。
EXPLAIN_190 この化学反応は、急激な発熱を伴うため危険です。
EXPLAIN_191 ご主人様、当家の家系図についてご説明申し上げます。
EXPLAIN_192 お問い合わせは、こちらのフリーダイヤルまでお願いします。
EXPLAIN_193 株主総会では、経営陣に対する厳しい質問が相次ぎました。
EXPLAIN_194 良い姿勢を保つことは、健康維持にもつながります。
EXPLAIN_195 このミステリーのトリックは、叙述(じょじゅつ)トリックですね。
EXPLAIN_196 ご主人様、薔薇の手入れには、剪定(せんてい)が欠かせません。
EXPLAIN_197 データの保存をお忘れなく。消えてしまうと復元できません。
EXPLAIN_198 今回の騒動について、事務所側は事実関係を認めるコメントを出しました。
EXPLAIN_199 それでは、また次回の動画でお会いしましょう！
EXPLAIN_200 以上、本日のニュースをお伝えしました。
