SAD_001 あの日のことを思い出すたびに、胸がきゅっと痛くなるんだ。
SAD_091 守りたかった。命に代えても。
SAD_092 あの時の君の悲しい顔が、頭から離れないんだ。
SAD_093 運命は残酷ですね。
SAD_094 お嬢様、悲しみの雨も、いつかは止(や)む時が来ます。
SAD_095 私には、幸せになる資格なんてないのかもしれない。
SAD_096 残された者の気持ちも考えてよ。
SAD_097 永遠なんてないって、知っていたはずなのに。
SAD_098 積み上げてきたものが、全部無駄になった気がする。
SAD_099 こんなに辛いなら、心なんていらなかった。
SAD_100 静かだね。まるで世界が終わったみたい。
SAD_101 行かないで。一人にしないで。
SAD_102 ご主人様、失ったものを数えるより、今あるものを大切になさいませ。
SAD_103 言葉が出ないよ。ショックすぎて。
SAD_104 君は強いね。僕なんて、もう立っているのがやっとだよ。
SAD_105 傷跡はずっと消えない。一生背負っていくんだ。
SAD_106 どうして、もっと優しくできなかったんだろう。
SAD_107 バカだよね。まだ期待してるなんて。
SAD_108 お嬢様、私の胸をお貸ししましょう。
SAD_109 失恋って、こんなに痛いものだったんだ。
SAD_110 光が見えない。深い海の底にいるみたい。
SAD_111 あの頃の私たちは、無敵だと思ってたのにね。
SAD_112 もう頑張らなくていいよね？ 疲れたよ。
SAD_113 約束したじゃないか。ずっと一緒だって。
SAD_114 ご主人様、思い出は美しいまま、心にしまっておきましょう。
SAD_115 さようなら、私の初恋。
SAD_116 誰も分かってくれない。この苦しみを。
SAD_117 すべて夢だったらいいのに。
SAD_118 私はただ、愛されたかっただけなのに。
SAD_119 勇気が出なかった。そのせいで、君を失った。
SAD_120 虚勢を張るのも、もう限界だよ。
SAD_121 お嬢様、涙の数だけ、人は強くなれると言います。
SAD_122 もう会えないなんて、信じたくない。
SAD_123 君の代わりなんて、どこにもいないんだ。
SAD_124 寂しくないと言えば嘘になるけど、大丈夫だよ。
SAD_125 どうして神様は、こんなに残酷なことができるの？
SAD_126 私の居場所は、もうここにはないみたい。
SAD_127 忘れられるのが怖い。記憶から消えてしまうのが。
SAD_128 ご主人様、お気を確かに持ってください。
SAD_129 哀れだろ？ 笑ってくれよ。
SAD_130 時が解決してくれるなんて、嘘だ。
SAD_131 手を伸ばしても、もう届かない。
SAD_132 自分が嫌いになりそうだ。
SAD_133 なんで、あんな酷いことを言ってしまったんだろう。
SAD_134 お嬢様、今はただ、静かに時が過ぎるのを待ちましょう。
SAD_135 ひとりぼっちの部屋は、広すぎて寒いよ。
SAD_136 誰か、嘘だと言って。
SAD_137 君との未来を描いていたのに、全部白紙になっちゃった。
SAD_138 もう何も感じない。心が麻痺しちゃったみたい。
SAD_139 逃げ出したかった。この現実から。
SAD_140 ご主人様、私がついております。決して一人ではありませんよ。
SAD_141 悲しみが波のように押し寄せてくる。
SAD_142 昨日のことのように思い出せるよ。君の最後の言葉を。
SAD_143 私がいなくても、世界は回っていくんだね。
SAD_144 壊れちゃった。大事なものが、音を立てて。
SAD_145 涙で前が見えないや。
SAD_146 幸せになってね。私の分まで。
SAD_147 お嬢様、その涙は決して無駄にはなりません。
SAD_148 自分が情けない。何も守れなかった。
SAD_149 終わりはいつも唐突だね。
SAD_150 独り言が増えた気がする。寂しさの裏返しかもしれない。
SAD_151 君を傷つけるつもりじゃなかったんだ。
SAD_152 もう二度と、名前を呼んでもらえないんだね。
SAD_153 ご主人様、悲しみは分かち合うものでございます。
SAD_154 どこへ行けば、この苦しみから解放されるの？
SAD_155 信じるのが怖くなったんだ。
SAD_156 あの笑顔が、今はただ辛い。
SAD_157 さよなら。私の全てだった人。
SAD_158 何もかも捨ててしまいたい。
SAD_159 お嬢様、今はゆっくりとお休みください。
SAD_160 朝が来るのが怖い。また孤独な一日が始まるから。
SAD_161 君のいない世界で生きていく自信がないよ。
SAD_162 ごめん、もう無理みたいだ。
SAD_163 どうして、一番大切な人から順にいなくなるんだろう。
SAD_164 私の心は、もうボロボロだよ。
SAD_165 ご主人様、止まない雨はありません。いつか必ず晴れます。
SAD_166 誰のせいでもない。だからこそ、やり場がないんだ。
SAD_167 奇跡なんて起きなかった。
SAD_168 もし生まれ変われるなら、次は悲しみのない世界がいい。
SAD_169 手紙、書いたけど出せなかったよ。
SAD_170 無力さを噛みしめているよ。
SAD_171 お嬢様、その悲しみも、いつか美しい思い出に変わります。
SAD_172 なんで気づかなかったんだろう。君のサインに。
SAD_173 好きだったよ。誰よりも、ずっと。
SAD_174 もう、声も思い出せないの。
SAD_175 孤独には慣れているつもりだったけど、やっぱり寂しいな。
SAD_176 ご主人様、どうか私に免じて、お心を鎮めてください。
SAD_177 走馬灯のように、過去の記憶が蘇るよ。
SAD_178 私って、何のために生きてるんだろう。
SAD_179 冷たい雨だね。私の心みたいだ。
SAD_180 もう会えないと思うと、足がすくんで動けない。
SAD_181 お嬢様、今は何も考えず、ただ眠りましょう。
SAD_182 全部、幻だったのかな。
SAD_183 心にぽっかり空いた穴は、もう埋まらない。
SAD_184 許してほしいなんて言えないよね。
SAD_185 さみしい。ただひたすらに、さみしい。
SAD_186 ご主人様、悲しみの後には、必ず喜びが訪れます。
SAD_187 君がいないと、何も手につかないよ。
SAD_188 あの時、引き止めていればよかった。
SAD_189 絶望って、こういう色のことを言うんだね。
SAD_190 私は、愛される価値のない人間なんだ。
SAD_191 お嬢様、あなたの痛みは、私の痛みでもあります。
SAD_192 もう一度、やり直したい。
SAD_193 涙が枯れるまで泣いたけど、まだ悲しいよ。
SAD_194 君を忘れることなんて、できるわけないじゃないか。
SAD_195 灰色の世界に、私一人だけ取り残されたみたい。
SAD_196 ご主人様、どうか希望だけは捨てないでください。
SAD_197 結局、私は一人なんだ。
SAD_198 幸せな夢を見た分、目覚めた時が辛いね。
SAD_199 何も言わずに消えるなんて、ひどいよ。
SAD_200 悲しいけど、これでお別れだね。元気でね。
