ANNOUNCE_001 本日も、当駅をご利用いただきまして、誠にありがとうございます。
ANNOUNCE_070 運賃は、先払いです。小銭をご用意ください。
ANNOUNCE_071 ICカードをタッチしてください。
ANNOUNCE_072 残高不足です。チャージしてください。
ANNOUNCE_073 新聞・雑誌コーナーは、ロビーの奥にございます。
ANNOUNCE_074 天候調査のため、出発が遅れる場合がございます。
ANNOUNCE_075 到着地周辺の天候は、晴れ、気温は25度です。
ANNOUNCE_076 シートベルトを腰の低い位置でしっかりとお締めください。
ANNOUNCE_077 お手洗いは、前と後ろにございます。
ANNOUNCE_078 機内でのWi-Fiサービスをご利用いただけます。
ANNOUNCE_079 公園内でのバーベキューは禁止されております。
ANNOUNCE_080 いらっしゃいませ。ご注文がお決まりになりましたら、ボタンでお知らせください。
ANNOUNCE_081 お水はセルフサービスとなっております。
ANNOUNCE_082 ラストオーダーのお時間となりました。
ANNOUNCE_083 お会計は、テーブルにてお願いいたします。
ANNOUNCE_084 クリーニングの受付は、1階サービスカウンターにて承ります。
ANNOUNCE_085 2番の方、診察室へお入りください。
ANNOUNCE_086 薬局で薬をお受け取りください。
ANNOUNCE_087 面会時間は、午後1時から午後8時までとなっております。
ANNOUNCE_088 安静になさってください。
ANNOUNCE_089 次は、市役所前、市役所前でございます。
ANNOUNCE_090 このバスは、ノンステップバスです。
ANNOUNCE_091 車内での飲食はご遠慮ください。
ANNOUNCE_092 書籍コーナーよりお知らせです。話題のベストセラーが入荷いたしました。
ANNOUNCE_093 投票日は、来週の日曜日です。
ANNOUNCE_094 ゴミの分別にご協力ください。
ANNOUNCE_095 粗大ごみの収集には、事前の申し込みが必要です。
ANNOUNCE_096 資源ごみは、指定の袋に入れて出してください。
ANNOUNCE_097 地域の皆様へ、防災無線からのお知らせです。
ANNOUNCE_098 ルームサービスのご注文は、内線9番までお申し付けください。
ANNOUNCE_099 毎度ありがとうございます。◯◯宅配便です。
ANNOUNCE_100 お荷物のお届けにあがりました。印鑑かサインをお願いします。
ANNOUNCE_101 宅配ボックスにお荷物を入れさせていただきました。
ANNOUNCE_102 再配達の受付は、午後6時までとなっております。
ANNOUNCE_103 郵便物の集荷時間は、午後3時となっております。
ANNOUNCE_104 映画泥棒は犯罪です。盗撮は法律で禁止されています。
ANNOUNCE_105 上映中は、お静かにお願いいたします。
ANNOUNCE_106 3Dメガネは、お帰りの際にご返却ください。
ANNOUNCE_107 本編の上映時間は、120分です。
ANNOUNCE_108 3Dメガネは、上映終了後、回収ボックスにご返却ください。
ANNOUNCE_109 図書館内での通話はご遠慮ください。
ANNOUNCE_110 本の返却期限をお守りください。
ANNOUNCE_111 閉館時間は、午後5時です。
ANNOUNCE_112 貸出カードをお忘れの方は、カウンターまでお申し出ください。
ANNOUNCE_113 図書館の閉館時間です。お帰りの支度をお願いいたします。
ANNOUNCE_114 プールサイドを走らないでください。
ANNOUNCE_115 飛び込みは禁止されています。
ANNOUNCE_116 水泳帽を必ず着用してください。
ANNOUNCE_117 準備体操を行ってから、入水してください。
ANNOUNCE_118 タオルの追加は有料となっております。
ANNOUNCE_119 只今より、イルカショーを開始いたします。
ANNOUNCE_120 前列のお客様は、水がかかる場合がございます。
ANNOUNCE_121 フラッシュ撮影はご遠慮ください。
ANNOUNCE_122 動物たちに餌(えさ)を与えないでください。
ANNOUNCE_123 パンフレットは、入園ゲートにて配布しております。
ANNOUNCE_124 アトラクションのご利用には、パスポートが必要です。
ANNOUNCE_125 身長制限がございます。120センチ未満の方はご利用になれません。
ANNOUNCE_126 安全バーが下ります。動かないでください。
ANNOUNCE_127 手荷物は、ロッカーにお預けください。
ANNOUNCE_128 パレード中は、通路での立ち止まりをご遠慮ください。
ANNOUNCE_129 只今、渋滞が発生しております。通過に30分ほどかかります。
ANNOUNCE_130 工事のため、片側通行となっております。
ANNOUNCE_131 事故多発地点です。スピードを落として走行してください。
ANNOUNCE_132 サービスエリアまで、あと5キロです。
ANNOUNCE_133 交通安全運動実施中です。シートベルトを締めましょう。
ANNOUNCE_134 銀行ATMのご利用時間は、午後9時までです。
ANNOUNCE_135 お振込先の金融機関名を選択してください。
ANNOUNCE_136 暗証番号を他人に教えないでください。
ANNOUNCE_137 現金のお取り忘れにご注意ください。
ANNOUNCE_138 コインロッカーの鍵をなくさないよう、ご注意ください。
ANNOUNCE_139 只今より、結婚披露宴を開宴いたします。
ANNOUNCE_140 新郎新婦の入場です。拍手でお迎えください。
ANNOUNCE_141 ケーキ入刀です。カメラをお持ちの方は前へお進みください。
ANNOUNCE_142 お色直しのため、中座させていただきます。
ANNOUNCE_143 講演中の写真撮影、録音はご遠慮ください。
ANNOUNCE_144 この放送は、テスト放送です。
ANNOUNCE_145 Jアラート。Jアラート。ミサイル発射情報。
ANNOUNCE_146 避難指示が発令されました。直ちに避難してください。
ANNOUNCE_147 土砂災害警戒情報が発表されました。
ANNOUNCE_148 防災訓練、防災訓練。これは訓練です。
ANNOUNCE_149 皆様、長らくお待たせいたしました。
ANNOUNCE_150 会場の準備が整いましたので、ご入場ください。
ANNOUNCE_151 チケットの半券をお切りになってお待ちください。
ANNOUNCE_152 再入場の際は、チケットの提示が必要です。
ANNOUNCE_153 受付にて、招待状のご提示をお願いいたします。
ANNOUNCE_154 お風呂の自動運転を開始します。
ANNOUNCE_155 お湯張りが完了しました。
ANNOUNCE_156 給湯温度を40度に設定しました。
ANNOUNCE_157 追い焚きをします。
ANNOUNCE_158 入浴の前には、必ずかけ湯をしてください。
ANNOUNCE_159 インターホンが鳴っています。
ANNOUNCE_160 電池残量が少なくなっています。交換してください。
ANNOUNCE_161 フィルターの掃除をしてください。
ANNOUNCE_162 エラーが発生しました。取扱説明書をご覧ください。
ANNOUNCE_163 電球交換のため、一時的に照明を落とします。
ANNOUNCE_164 次の番組は、「世界の絶景」をお送りします。
ANNOUNCE_165 この番組は、ご覧のスポンサーの提供でお送りします。
ANNOUNCE_166 ニュース速報が入りました。
ANNOUNCE_167 気象情報をお伝えします。
ANNOUNCE_168 録画予約がいっぱいになっています。不要なデータを削除してください。
ANNOUNCE_169 ゲームセット！ 試合終了です！
ANNOUNCE_170 優勝おめでとうございます！
ANNOUNCE_171 本日のヒーローインタビューです。
ANNOUNCE_172 選手の交代をお知らせします。
ANNOUNCE_173 チケットの転売は、固くお断りいたします。
ANNOUNCE_174 本日は、晴天に恵まれました。
ANNOUNCE_175 只今より、開会式を行います。
ANNOUNCE_176 選手宣誓！
ANNOUNCE_177 国歌斉唱。ご起立ください。
ANNOUNCE_178 始球式を行いますので、ご起立をお願いいたします。
ANNOUNCE_179 毎度、ご利用ありがとうございます。
ANNOUNCE_180 お買い上げ金額、3000円になります。
ANNOUNCE_181 お支払いはご一括でよろしいですか？
ANNOUNCE_182 ありがとうございました。またお越しくださいませ。
ANNOUNCE_183 商品の配送をご希望のお客様は、サービスカウンターまでお越しください。
ANNOUNCE_184 落とし物のお知らせです。黒い財布をお預かりしております。
ANNOUNCE_185 お心当たりのある方は、サービスカウンターまでお越しください。
ANNOUNCE_186 駐車場内での事故・盗難につきましては、一切責任を負いません。
ANNOUNCE_187 車の中に貴重品を置かないでください。
ANNOUNCE_188 送迎バスをご利用のお客様は、ロータリーでお待ちください。
ANNOUNCE_189 只今、満席となっております。
ANNOUNCE_190 お名前を書いてお待ちください。
ANNOUNCE_191 喫煙席と禁煙席、どちらになさいますか？
ANNOUNCE_192 お冷(ひや)のお代わりはいかがですか？
ANNOUNCE_193 個室のご予約を承りました。お時間になりましたらお越しください。
ANNOUNCE_194 これより、避難訓練を行います。
ANNOUNCE_195 慌てずに、係員の指示に従ってください。
ANNOUNCE_196 エレベーターは使わないでください。
ANNOUNCE_197 ハンカチで口を覆い、低い姿勢で移動してください。
ANNOUNCE_198 災害時は、エレベーターを使用せず、階段で避難してください。
ANNOUNCE_199 本日は、誠にありがとうございました。
ANNOUNCE_200 お気をつけてお帰りくださいませ。
