WHISPER_NORMAL_001 シッ、静かに。赤ちゃんがやっと寝たところなんだ。
WHISPER_NORMAL_028 ご主人様、ブランケットをお掛けしましょうか。
WHISPER_NORMAL_029 ……約束だよ。指切りげんまん。
WHISPER_NORMAL_030 美術館では、小声で話すのがマナーだよ。
WHISPER_NORMAL_031 隠れて。見つかったら怒られちゃう。
WHISPER_NORMAL_032 お嬢様、悪い夢でもご覧になったのですか？
WHISPER_NORMAL_033 ……起きて。もう朝だよ。
WHISPER_NORMAL_034 その話は、場所を変えてからにしよう。
WHISPER_NORMAL_035 ご主人様、お疲れのようですね。マッサージしましょうか。
WHISPER_NORMAL_036 ……ん、まだ眠い……あと5分……。
WHISPER_NORMAL_037 誰かが来る。電気を消して。
WHISPER_NORMAL_038 お嬢様、お静かに。他のお客様のご迷惑になります。
WHISPER_NORMAL_039 ……これ、君にあげる。内緒だよ。
WHISPER_NORMAL_040 耳元で話すと、くすぐったい？
WHISPER_ANGRY_001 ……殺すよ？ 次、余計なことを喋ったら。
WHISPER_ANGRY_002 いい加減にして。声を出したら見つかるでしょ。
WHISPER_ANGRY_003 ……許さない。絶対に許さないから。
WHISPER_ANGRY_004 ご主人様、何度申し上げたらご理解いただけるのですか？
WHISPER_ANGRY_005 調子に乗るなよ。痛い目見せるぞ。
WHISPER_ANGRY_006 ……黙れ。お前の言い訳なんて聞きたくない。
WHISPER_ANGRY_007 二度と私の前に現れないで。目障りなの。
WHISPER_ANGRY_008 お嬢様、いい加減になさいませ。これ以上は庇(かば)いきれません。
WHISPER_ANGRY_009 ……裏切り者が。地獄へ落ちろ。
WHISPER_ANGRY_010 邪魔だ。そこを退(ど)け。
WHISPER_ANGRY_011 ……ねえ、私が怒ってる理由、本当に分からないの？
WHISPER_ANGRY_012 ふざけるな。誰が許可したんだ。
WHISPER_ANGRY_013 ご主人様、そのような態度は改めていただきたいものです。
WHISPER_ANGRY_014 ……消えろ。今すぐ私の視界から消えろ。
WHISPER_ANGRY_015 余計な詮索はするなと言ったはずだ。
WHISPER_ANGRY_016 ……次はないと思え。分かったな？
WHISPER_ANGRY_017 お嬢様、わがままも大概になさいませ。
WHISPER_ANGRY_018 ……チッ、使えない奴だな。
WHISPER_ANGRY_019 声を落とせ。周りに聞こえるだろ。
WHISPER_ANGRY_020 ご主人様、これは警告でございます。
WHISPER_ANGRY_021 ……あんたなんか、大っ嫌い。
WHISPER_ANGRY_022 笑わせるな。自分の立場をわきまえろ。
WHISPER_ANGRY_023 お嬢様、そのような汚い言葉、口になさらないでください。
WHISPER_ANGRY_024 ……ぶっ殺してやる。
WHISPER_ANGRY_025 触るな。気安く触れるんじゃない。
WHISPER_ANGRY_026 ご主人様、これ以上は私も黙っていられませんよ。
WHISPER_ANGRY_027 ……後悔させてやる。覚悟しておけ。
WHISPER_ANGRY_028 嘘つき。もう何も信じない。
WHISPER_ANGRY_029 お嬢様、仏の顔も三度までですよ。
WHISPER_ANGRY_030 ……黙って聞いてれば、図に乗りやがって。
WHISPER_SAD_001 ……どうして、僕じゃだめなのかな。
WHISPER_SAD_002 行かないで。一人にしないでよ。
WHISPER_SAD_003 ……ごめんね。守ってあげられなくて。
WHISPER_SAD_004 お嬢様、泣かないでください。私がついております。
WHISPER_SAD_005 寂しいな。君がいない夜は、こんなに静かなんだね。
WHISPER_SAD_006 ……もう、疲れたよ。全部終わりにしたい。
WHISPER_SAD_007 忘れちゃったのかな。あんなに楽しかったのに。
WHISPER_SAD_008 ご主人様、悲しみを一人で抱え込まないでください。
WHISPER_SAD_009 ……さよなら。大好きだったよ。
WHISPER_SAD_010 誰も私のことなんて必要としてないんだ。
WHISPER_SAD_011 ……痛いよ。心が、張り裂けそうだよ。
WHISPER_SAD_012 結局、私は一人ぼっちなんだね。
WHISPER_SAD_013 お嬢様、その涙を拭うハンカチをお使いください。
WHISPER_SAD_014 ……もしもあの時、違う道を選んでいたら。
WHISPER_SAD_015 会いたい。声が聞きたいよ。
WHISPER_SAD_016 ご主人様、どうかご自身を責めないでください。
WHISPER_SAD_017 ……なんで、私だけ生き残ってしまったんだろう。
WHISPER_SAD_018 壊れちゃった。何もかも。
WHISPER_SAD_019 お嬢様、雨音が涙を隠してくれますよ。
WHISPER_SAD_020 ……怖いよ。暗闇が、私を飲み込もうとしてる。
WHISPER_SAD_021 信じてたのに。酷いよ。
WHISPER_SAD_022 ご主人様、今夜ばかりは、お側にいさせてください。
WHISPER_SAD_023 ……もう二度と、あの笑顔は見られないんだね。
WHISPER_SAD_024 助けて。誰か、助けて……。
WHISPER_SAD_025 お嬢様、思い出は美しいまま、心にしまっておきましょう。
WHISPER_SAD_026 ……私が悪いんだ。全部、私が……。
WHISPER_SAD_027 帰りたい。懐かしいあの場所に。
WHISPER_SAD_028 ご主人様、お辛いでしょうが、これも運命(さだめ)でございます。
WHISPER_SAD_029 ……消えてしまいたい。泡のように。
WHISPER_SAD_030 涙が止まらないの。どうしてだろう。
WHISPER_JOY_001 ……やった！ 見て、合格通知だよ！
WHISPER_JOY_002 ありがとう。最高のプレゼントだ。
WHISPER_JOY_003 ……ねえ、起きて。サンタさんが来たみたいだよ。
WHISPER_JOY_004 ご主人様、素晴らしいニュースがございます！
WHISPER_JOY_005 嬉しい。君とこうしていられるだけで。
WHISPER_JOY_006 ……ふふっ、くすぐったいよ。
WHISPER_JOY_007 おめでとう。よく頑張ったね。
WHISPER_JOY_008 お嬢様、王子様からお手紙が届いておりますよ。
WHISPER_JOY_009 ……これ、ずっと欲しかったんだ。夢みたい。
WHISPER_JOY_010 成功だね。私たちの勝ちだよ。
WHISPER_JOY_011 ……大好き。世界で一番、愛してる。
WHISPER_JOY_012 ご主人様、今夜は祝杯をあげましょう。
WHISPER_JOY_013 やったね。また明日も会えるんだ。
WHISPER_JOY_014 ……見て、流れ星！ 願い事しなきゃ。
WHISPER_JOY_015 お嬢様、その笑顔が見られて、私も幸せです。
WHISPER_JOY_016 楽しいね。時間が止まればいいのに。
WHISPER_JOY_017 ……サプライズ大成功だね。びっくりした？
WHISPER_JOY_018 ご主人様、素晴らしいご英断です。
WHISPER_JOY_019 幸せすぎて、怖いくらいだよ。
WHISPER_JOY_020 ……ありがとう。君に出会えてよかった。
WHISPER_JOY_021 お嬢様、ダンスのお相手、お上手でしたよ。
WHISPER_JOY_022 やったー。誰もいない、貸切だ！
WHISPER_JOY_023 ……ふふ、なんだかいいことがありそうな予感。
WHISPER_JOY_024 ご主人様、幸運の女神が微笑んでいるようです。
WHISPER_JOY_025 嬉しいな。君がそんな風に思ってくれてたなんて。
WHISPER_JOY_026 ……これ、秘密の宝物なんだ。見せてあげる。
WHISPER_JOY_027 お嬢様、今日は特別なデザートをご用意しました。
WHISPER_JOY_028 最高だね。こんな景色、初めて見たよ。
WHISPER_JOY_029 ……よし、上手くいった。完璧だ。
WHISPER_JOY_030 ご主人様、どうぞこの喜びを噛み締めてください。
WHISPER_FEAR_001 ……シッ、静かに。あいつらが近くまで来てる。
WHISPER_FEAR_002 怖い……。暗闇から誰かが見てる気がする。
WHISPER_FEAR_003 ……来ないで。お願いだから、あっちに行って。
WHISPER_FEAR_004 ご主人様、この部屋には何かが潜んでおります。
WHISPER_FEAR_005 足音がする。こっちに向かってくるよ。
WHISPER_FEAR_006 ……バレたら殺される。息を止めて。
WHISPER_FEAR_007 お嬢様、決して後ろを振り返ってはなりません。
WHISPER_FEAR_008 嫌な予感がする。引き返そうよ。
WHISPER_FEAR_009 ……助けて。ここから出して。
WHISPER_FEAR_010 ご主人様、今夜は月が不吉な色をしております。
WHISPER_FEAR_011 呪われてるんだ。逃げられないよ。
WHISPER_FEAR_012 ……聞いた？ 今、悲鳴が聞こえたよね。
WHISPER_FEAR_013 お嬢様、震えておいでですか？
WHISPER_FEAR_014 死にたくない。まだ死にたくないよ。
WHISPER_FEAR_015 ……誰かいるの？ 返事をして……。
WHISPER_FEAR_016 ご主人様、武器をお持ちください。敵襲です。
WHISPER_FEAR_017 隠れて。見つかったら終わりだ。
WHISPER_FEAR_018 ……どうしよう。出口が塞がれちゃった。
WHISPER_FEAR_019 お嬢様、私の背中から離れないでください。
WHISPER_FEAR_020 震えが止まらない。怖いよ。
WHISPER_FEAR_021 ……あいつの目が、笑ってなかった。
WHISPER_FEAR_022 ご主人様、ここは危険です。お逃げください。
WHISPER_FEAR_023 罠だ。嵌(は)められたんだ。
WHISPER_FEAR_024 ……夢であってほしい。悪い夢であってほしい。
WHISPER_FEAR_025 お嬢様、悲鳴を上げないでください。気づかれます。
WHISPER_FEAR_026 殺気を感じる。プロの仕業だ。
WHISPER_FEAR_027 ……もう駄目だ。追い詰められた。
WHISPER_FEAR_028 ご主人様、毒ガスです！ 口を覆ってください！
WHISPER_FEAR_029 何かがいる。すぐそこに、何かが……。
WHISPER_FEAR_030 ……嫌だ、嫌だ！ 連れて行かないで！
WHISPER_LOVE_001 ……ねえ、もっと近くに来て。体温を感じたいの。
WHISPER_LOVE_002 愛してる。誰よりも、ずっと。
WHISPER_LOVE_003 ……君のことが好きすぎて、おかしくなりそう。
WHISPER_LOVE_004 ご主人様、今夜はお帰りしたくありません。
WHISPER_LOVE_005 ずっと一緒にいようね。約束だよ。
WHISPER_LOVE_006 ……その声、もっと聞かせて。ゾクゾクする。
WHISPER_LOVE_007 お嬢様、あなたは私の全てでございます。
WHISPER_LOVE_008 可愛いね。食べてしまいたいくらいだ。
WHISPER_LOVE_009 ……私だけのものになってよ。ね？
WHISPER_LOVE_010 ご主人様、朝までお側にいさせてください。
WHISPER_LOVE_011 抱きしめて。壊れるくらい強く。
WHISPER_LOVE_012 ……君の匂い、落ち着くなぁ。
WHISPER_LOVE_013 お嬢様、そのような瞳で見つめられますと……。
WHISPER_LOVE_014 キスしてもいい？ ……だめ？
WHISPER_LOVE_015 ……愛しい人。夢の中でも会おうね。
WHISPER_LOVE_016 ご主人様、私の心はあなたのものです。
WHISPER_LOVE_017 離さないで。ずっとこのままでいたい。
WHISPER_LOVE_018 ……ねえ、耳貸して。「好きだよ」
WHISPER_LOVE_019 お嬢様、恋の病には薬も効きませんね。
WHISPER_LOVE_020 独り占めしたい。誰にも渡したくないんだ。
WHISPER_SECRET_001 ……ここだけの話、実はへそくり隠してるんだ。
WHISPER_SECRET_002 誰にも言っちゃだめだよ。二人だけの秘密。
WHISPER_SECRET_003 ……知ってる？ あの二人、付き合ってるんだって。
WHISPER_SECRET_004 ご主人様、壁に耳あり障子に目ありでございます。
WHISPER_SECRET_005 鍵の場所、教えてあげる。植木鉢の下だよ。
WHISPER_SECRET_006 ……実はね、私、魔法が使えるの。
WHISPER_SECRET_007 お嬢様、この手紙は燃やしてしまいましょう。
WHISPER_SECRET_008 作戦コードは「オメガ」。忘れないでね。
WHISPER_SECRET_009 ……犯人は、この中にいる。
WHISPER_SECRET_010 ご主人様、例のブツが手に入りました。
WHISPER_SECRET_011 裏口が開いてる。そこから入って。
WHISPER_SECRET_012 ……本当のことは、誰にも言えないんだ。
WHISPER_SECRET_013 お嬢様、夜のお散歩は内密にお願いしますよ。
WHISPER_SECRET_014 パスワードは、君の誕生日だよ。
WHISPER_SECRET_015 ……見てはいけないものを見ちゃったかも。
WHISPER_SECRET_016 ご主人様、この件は墓場まで持っていきます。
WHISPER_SECRET_017 宝の地図、見つけちゃった。
WHISPER_SECRET_018 ……実は私、未来から来たんだ。
WHISPER_SECRET_019 お嬢様、秘密の隠れ家へご案内します。
WHISPER_SECRET_020 約束破ったら、針千本飲ますからね。
